日期,代码,名称,今开,最新价,最高,最低,振幅
2000-04-03,AORD,澳大利亚普通股,3133.3,3183.2,3183.2,3133.3,0.0
2000-04-04,AORD,澳大利亚普通股,3183.2,3163.5,3189.4,3158.5,0.97
2000-04-05,AORD,澳大利亚普通股,3163.5,3137.8,3163.5,3125.7,1.19
2000-04-06,AORD,澳大利亚普通股,3137.8,3142.4,3150.4,3124.2,0.83
2000-04-07,AORD,澳大利亚普通股,3142.4,3168.2,3178.8,3142.4,1.16
2000-04-10,AORD,澳大利亚普通股,3168.2,3187.3,3187.3,3166.1,0.67
2000-04-11,AORD,澳大利亚普通股,3187.3,3155.4,3187.3,3148.0,1.23
2000-04-12,AORD,澳大利亚普通股,3155.4,3133.4,3155.4,3123.7,1.0
2000-04-13,AORD,澳大利亚普通股,3133.4,3084.7,3133.4,3074.9,1.87
2000-04-14,AORD,澳大利亚普通股,3084.7,3096.0,3097.8,3059.6,1.24
2000-04-17,AORD,澳大利亚普通股,3096.0,2920.0,3096.0,2883.0,6.88
2000-04-18,AORD,澳大利亚普通股,2920.0,2986.5,3011.2,2919.9,3.13
2000-04-19,AORD,澳大利亚普通股,2986.5,3042.3,3046.0,2986.5,1.99
2000-04-20,AORD,澳大利亚普通股,3042.3,3041.5,3044.9,3013.1,1.05
2000-04-26,AORD,澳大利亚普通股,3041.5,3084.5,3095.9,3041.5,1.79
2000-04-27,AORD,澳大利亚普通股,3084.5,3073.1,3084.5,3058.4,0.85
2000-04-28,AORD,澳大利亚普通股,3073.1,3085.1,3087.9,3056.7,1.02
2000-05-01,AORD,澳大利亚普通股,3085.1,3071.8,3093.9,3071.8,0.72
2000-05-02,AORD,澳大利亚普通股,3071.8,3099.1,3099.8,3071.8,0.91
2000-05-03,AORD,澳大利亚普通股,3099.1,3076.7,3099.1,3073.2,0.84
2000-05-04,AORD,澳大利亚普通股,3076.7,3025.9,3076.7,3021.9,1.78
2000-05-05,AORD,澳大利亚普通股,3025.9,3075.6,3075.6,3025.9,1.64
2000-05-08,AORD,澳大利亚普通股,3075.6,3075.1,3091.8,3073.2,0.6
2000-05-09,AORD,澳大利亚普通股,3075.1,3054.6,3075.6,3054.6,0.68
2000-05-10,AORD,澳大利亚普通股,3054.6,3011.8,3054.6,3003.0,1.69
2000-05-11,AORD,澳大利亚普通股,3011.8,2966.8,3011.8,2958.2,1.78
2000-05-12,AORD,澳大利亚普通股,2966.8,3004.0,3012.7,2966.8,1.55
2000-05-15,AORD,澳大利亚普通股,3004.0,3018.6,3025.5,3001.2,0.81
2000-05-16,AORD,澳大利亚普通股,3018.6,3053.1,3054.2,3018.6,1.18
2000-05-17,AORD,澳大利亚普通股,3053.1,3040.1,3055.6,3033.9,0.71
2000-05-18,AORD,澳大利亚普通股,3040.1,3011.9,3040.1,3009.2,1.02
2000-05-19,AORD,澳大利亚普通股,3011.9,3005.4,3018.8,3000.0,0.62
2000-05-22,AORD,澳大利亚普通股,3005.4,2970.5,3005.4,2962.8,1.42
2000-05-23,AORD,澳大利亚普通股,2969.0,2985.9,2985.9,2969.0,0.57
2000-05-24,AORD,澳大利亚普通股,2985.9,2972.2,2985.9,2951.8,1.14
2000-05-25,AORD,澳大利亚普通股,2972.2,2979.8,2992.4,2972.2,0.68
2000-05-26,AORD,澳大利亚普通股,2979.8,2964.3,2979.8,2960.1,0.66
2000-05-29,AORD,澳大利亚普通股,2964.3,2996.0,2996.0,2963.0,1.11
2000-05-30,AORD,澳大利亚普通股,2996.0,3010.8,3010.8,2994.8,0.53
2000-05-31,AORD,澳大利亚普通股,3010.8,3040.6,3062.3,3010.8,1.71
2000-06-01,AORD,澳大利亚普通股,3040.6,3047.8,3047.8,3027.9,0.65
2000-06-02,AORD,澳大利亚普通股,3047.8,3096.3,3098.5,3047.8,1.66
2000-06-05,AORD,澳大利亚普通股,3096.3,3105.13,3124.0,3096.3,0.89
2000-06-06,AORD,澳大利亚普通股,3105.1,3108.61,3108.61,3090.9,0.57
2000-06-07,AORD,澳大利亚普通股,3105.8,3070.77,3107.0,3070.77,1.17
2000-06-08,AORD,澳大利亚普通股,3070.8,3083.4,3089.7,3069.1,0.67
2000-06-09,AORD,澳大利亚普通股,3083.4,3101.9,3107.9,3073.7,1.11
2000-06-13,AORD,澳大利亚普通股,3101.9,3071.3,3101.9,3065.1,1.19
2000-06-14,AORD,澳大利亚普通股,3071.3,3076.2,3076.2,3063.3,0.42
2000-06-15,AORD,澳大利亚普通股,3076.2,3089.8,3103.5,3076.2,0.89
2000-06-16,AORD,澳大利亚普通股,3089.8,3096.9,3100.4,3082.2,0.59
2000-06-19,AORD,澳大利亚普通股,3096.9,3104.5,3104.5,3076.5,0.9
2000-06-20,AORD,澳大利亚普通股,3104.5,3106.3,3110.4,3095.9,0.47
2000-06-21,AORD,澳大利亚普通股,3106.3,3125.6,3125.6,3091.8,1.09
2000-06-22,AORD,澳大利亚普通股,3125.6,3123.6,3134.6,3113.8,0.67
2000-06-23,AORD,澳大利亚普通股,3123.6,3127.3,3127.3,3107.0,0.65
2000-06-26,AORD,澳大利亚普通股,3127.3,3129.0,3133.0,3114.5,0.59
2000-06-27,AORD,澳大利亚普通股,3129.0,3143.1,3145.1,3124.2,0.67
2000-06-28,AORD,澳大利亚普通股,3143.1,3165.6,3165.6,3141.0,0.78
2000-06-29,AORD,澳大利亚普通股,3165.6,3205.5,3205.5,3163.7,1.32
2000-06-30,AORD,澳大利亚普通股,3205.5,3257.6,3260.0,3180.1,2.49
2000-07-03,AORD,澳大利亚普通股,3257.6,3256.5,3264.0,3230.7,1.02
2000-07-04,AORD,澳大利亚普通股,3256.5,3259.5,3275.3,3248.5,0.82
2000-07-05,AORD,澳大利亚普通股,3259.5,3271.5,3272.4,3247.3,0.77
2000-07-06,AORD,澳大利亚普通股,3271.5,3262.0,3271.5,3244.3,0.83
2000-07-07,AORD,澳大利亚普通股,3262.0,3261.0,3281.1,3261.0,0.62
2000-07-10,AORD,澳大利亚普通股,3261.0,3279.9,3290.2,3261.0,0.9
2000-07-11,AORD,澳大利亚普通股,3279.9,3280.0,3282.1,3266.0,0.49
2000-07-12,AORD,澳大利亚普通股,3280.0,3276.3,3293.2,3272.7,0.63
2000-07-13,AORD,澳大利亚普通股,3276.3,3265.5,3286.7,3255.6,0.95
2000-07-14,AORD,澳大利亚普通股,3265.5,3263.6,3267.7,3256.5,0.34
2000-07-17,AORD,澳大利亚普通股,3263.6,3273.0,3279.4,3257.5,0.67
2000-07-18,AORD,澳大利亚普通股,3273.0,3260.3,3275.9,3254.0,0.67
2000-07-19,AORD,澳大利亚普通股,3260.3,3258.8,3271.7,3244.6,0.83
2000-07-20,AORD,澳大利亚普通股,3258.8,3259.4,3263.0,3248.6,0.44
