日期,代码,名称,今开,最新价,最高,最低,振幅
2000-04-26,AS51,澳大利亚标普200,3070.8,3117.3,3127.1,3070.8,0.0
2000-04-27,AS51,澳大利亚标普200,3114.8,3106.3,3114.8,3090.1,0.79
2000-04-28,AS51,澳大利亚标普200,3106.8,3115.8,3119.1,3086.5,1.05
2000-05-01,AS51,澳大利亚标普200,3115.8,3102.0,3124.4,3102.0,0.72
2000-05-02,AS51,澳大利亚标普200,3116.1,3131.1,3131.9,3116.0,0.51
2000-05-03,AS51,澳大利亚标普200,3129.6,3107.5,3130.6,3103.7,0.86
2000-05-04,AS51,澳大利亚标普200,3104.4,3053.8,3104.4,3049.6,1.76
2000-05-05,AS51,澳大利亚标普200,3053.7,3107.2,3107.2,3053.7,1.75
2000-05-08,AS51,澳大利亚标普200,3111.1,3106.2,3123.3,3103.7,0.63
2000-05-09,AS51,澳大利亚标普200,3104.7,3086.1,3108.3,3086.1,0.71
2000-05-10,AS51,澳大利亚标普200,3083.4,3043.4,3083.4,3033.7,1.61
2000-05-11,AS51,澳大利亚标普200,3040.7,2996.4,3040.7,2989.0,1.7
2000-05-12,AS51,澳大利亚标普200,3000.2,3034.8,3044.3,3000.2,1.47
2000-05-15,AS51,澳大利亚标普200,3034.4,3051.1,3058.3,3034.0,0.8
2000-05-16,AS51,澳大利亚标普200,3052.6,3089.2,3090.4,3052.6,1.24
2000-05-17,AS51,澳大利亚标普200,3091.8,3074.8,3091.8,3067.9,0.77
2000-05-18,AS51,澳大利亚标普200,3070.5,3044.9,3071.3,3041.9,0.96
2000-05-19,AS51,澳大利亚标普200,3046.8,3039.1,3053.1,3033.4,0.65
2000-05-22,AS51,澳大利亚标普200,3033.5,3004.0,3033.5,2995.9,1.24
2000-05-23,AS51,澳大利亚标普200,3005.1,3021.4,3021.4,3002.4,0.63
2000-05-24,AS51,澳大利亚标普200,3016.4,3009.5,3017.4,2985.7,1.05
2000-05-25,AS51,澳大利亚标普200,3010.6,3018.1,3031.1,3010.6,0.68
2000-05-26,AS51,澳大利亚标普200,3012.9,3000.7,3013.3,2997.2,0.53
2000-05-29,AS51,澳大利亚标普200,3000.6,3035.1,3035.1,2999.4,1.19
2000-05-30,AS51,澳大利亚标普200,3033.8,3050.6,3050.6,3033.8,0.55
2000-05-31,AS51,澳大利亚标普200,3050.7,3081.0,3105.0,3050.7,1.78
2000-06-01,AS51,澳大利亚标普200,3079.5,3088.0,3088.2,3067.1,0.68
2000-06-02,AS51,澳大利亚标普200,3088.4,3140.9,3143.7,3088.4,1.79
2000-06-05,AS51,澳大利亚标普200,3141.7,3153.0,3169.0,3141.7,0.87
2000-06-06,AS51,澳大利亚标普200,3148.1,3149.9,3151.9,3133.1,0.6
2000-06-07,AS51,澳大利亚标普200,3150.4,3112.6,3151.5,3112.6,1.23
