日期,代码,名称,今开,最新价,最高,最低,振幅
1986-12-18,OMXSPI,瑞典OMXSPI,125.62,125.62,125.62,125.0,0.0
1986-12-19,OMXSPI,瑞典OMXSPI,125.62,126.22,126.22,125.57,0.52
1986-12-22,OMXSPI,瑞典OMXSPI,125.98,125.5,125.98,125.43,0.44
1986-12-23,OMXSPI,瑞典OMXSPI,125.3,125.01,125.3,124.79,0.41
1986-12-29,OMXSPI,瑞典OMXSPI,125.01,125.0,125.24,124.82,0.34
1986-12-30,OMXSPI,瑞典OMXSPI,125.15,126.18,126.18,125.15,0.82
1987-01-02,OMXSPI,瑞典OMXSPI,126.46,127.18,127.18,126.46,0.57
1987-01-05,OMXSPI,瑞典OMXSPI,127.18,127.99,128.08,127.09,0.78
1987-01-07,OMXSPI,瑞典OMXSPI,127.99,126.01,128.23,126.01,1.73
1987-01-08,OMXSPI,瑞典OMXSPI,125.89,123.79,125.89,123.31,2.05
1987-01-09,OMXSPI,瑞典OMXSPI,123.47,120.86,123.47,120.73,2.21
1987-01-12,OMXSPI,瑞典OMXSPI,120.46,117.01,120.46,117.01,2.85
1987-01-13,OMXSPI,瑞典OMXSPI,117.01,114.05,117.59,114.05,3.03
1987-01-14,OMXSPI,瑞典OMXSPI,113.62,110.24,113.62,109.22,3.86
1987-01-15,OMXSPI,瑞典OMXSPI,111.47,114.98,115.07,111.47,3.27
1987-01-16,OMXSPI,瑞典OMXSPI,114.92,113.35,114.92,113.35,1.37
1987-01-19,OMXSPI,瑞典OMXSPI,113.61,114.98,114.98,113.61,1.21
1987-01-20,OMXSPI,瑞典OMXSPI,115.53,116.67,116.94,115.53,1.23
1987-01-21,OMXSPI,瑞典OMXSPI,116.67,116.39,116.83,116.29,0.46
1987-01-22,OMXSPI,瑞典OMXSPI,115.43,113.1,115.43,113.1,2.0
1987-01-23,OMXSPI,瑞典OMXSPI,113.41,113.65,113.87,113.41,0.41
1987-01-26,OMXSPI,瑞典OMXSPI,113.65,112.29,113.65,112.25,1.23
1987-01-27,OMXSPI,瑞典OMXSPI,111.85,109.92,111.85,108.87,2.65
1987-01-28,OMXSPI,瑞典OMXSPI,109.82,107.52,109.82,107.52,2.09
1987-01-29,OMXSPI,瑞典OMXSPI,108.08,109.15,109.18,108.08,1.02
1987-01-30,OMXSPI,瑞典OMXSPI,109.17,111.13,111.19,109.17,1.85
1987-02-02,OMXSPI,瑞典OMXSPI,111.6,113.78,113.88,111.6,2.05
1987-02-03,OMXSPI,瑞典OMXSPI,114.11,116.96,117.03,114.11,2.57
1987-02-04,OMXSPI,瑞典OMXSPI,116.96,116.04,116.96,115.44,1.3
1987-02-05,OMXSPI,瑞典OMXSPI,116.07,117.36,118.13,116.07,1.78
1987-02-06,OMXSPI,瑞典OMXSPI,117.36,116.97,117.87,116.97,0.77
1987-02-09,OMXSPI,瑞典OMXSPI,116.97,116.02,117.24,116.02,1.04
1987-02-10,OMXSPI,瑞典OMXSPI,116.02,116.14,116.14,115.64,0.43
1987-02-11,OMXSPI,瑞典OMXSPI,116.14,117.03,117.03,115.74,1.11
1987-02-12,OMXSPI,瑞典OMXSPI,117.26,118.15,118.72,117.26,1.25
1987-02-13,OMXSPI,瑞典OMXSPI,118.15,117.58,118.15,117.49,0.56
1987-02-16,OMXSPI,瑞典OMXSPI,117.58,117.6,117.75,117.38,0.31
1987-02-17,OMXSPI,瑞典OMXSPI,117.6,118.78,118.96,117.6,1.16
1987-02-18,OMXSPI,瑞典OMXSPI,118.9,119.53,119.53,118.9,0.53
1987-02-19,OMXSPI,瑞典OMXSPI,119.56,121.13,121.13,119.56,1.31
1987-02-20,OMXSPI,瑞典OMXSPI,121.13,122.51,122.66,121.01,1.36
1987-02-23,OMXSPI,瑞典OMXSPI,122.51,123.95,124.12,122.43,1.38
1987-02-24,OMXSPI,瑞典OMXSPI,123.95,122.98,124.24,122.79,1.17
1987-02-25,OMXSPI,瑞典OMXSPI,122.98,123.79,123.79,122.43,1.11
1987-02-26,OMXSPI,瑞典OMXSPI,124.14,125.79,126.52,124.14,1.92
1987-02-27,OMXSPI,瑞典OMXSPI,125.79,127.13,127.14,125.53,1.28
1987-03-02,OMXSPI,瑞典OMXSPI,127.14,128.0,128.0,127.14,0.68
1987-03-03,OMXSPI,瑞典OMXSPI,128.0,127.77,128.0,127.77,0.18
1987-03-04,OMXSPI,瑞典OMXSPI,127.77,128.65,128.76,127.3,1.14
1987-03-05,OMXSPI,瑞典OMXSPI,129.52,129.56,129.7,129.52,0.14
1987-03-06,OMXSPI,瑞典OMXSPI,129.56,129.25,129.57,128.59,0.76
1987-03-09,OMXSPI,瑞典OMXSPI,129.25,129.81,129.81,128.89,0.71
1987-03-10,OMXSPI,瑞典OMXSPI,129.81,130.93,131.32,129.81,1.16
1987-03-11,OMXSPI,瑞典OMXSPI,129.46,129.94,129.94,128.36,1.21
1987-03-12,OMXSPI,瑞典OMXSPI,129.83,128.45,129.83,128.45,1.06
1987-03-13,OMXSPI,瑞典OMXSPI,128.45,129.46,129.46,128.36,0.86
