日期,代码,名称,今开,最新价,最高,最低,振幅
1990-09-26,SSMI,瑞士SMI,1373.4,1373.4,1373.4,1373.4,0.0
1990-09-27,SSMI,瑞士SMI,1386.1,1386.1,1386.1,1386.1,0.0
1990-09-28,SSMI,瑞士SMI,1351.0,1351.0,1351.0,1351.0,0.0
1990-10-01,SSMI,瑞士SMI,1400.4,1400.4,1400.4,1400.4,0.0
1990-10-02,SSMI,瑞士SMI,1437.2,1437.2,1437.2,1437.2,0.0
1990-10-03,SSMI,瑞士SMI,1428.0,1428.0,1428.0,1428.0,0.0
1990-10-04,SSMI,瑞士SMI,1411.3,1411.3,1411.3,1411.3,0.0
1990-10-05,SSMI,瑞士SMI,1408.6,1408.6,1408.6,1408.6,0.0
1990-10-08,SSMI,瑞士SMI,1447.2,1447.2,1447.2,1447.2,0.0
1990-10-09,SSMI,瑞士SMI,1429.3,1429.3,1429.3,1429.3,0.0
1990-10-10,SSMI,瑞士SMI,1420.9,1420.9,1420.9,1420.9,0.0
1990-10-11,SSMI,瑞士SMI,1435.1,1435.1,1435.1,1435.1,0.0
1990-10-12,SSMI,瑞士SMI,1444.8,1444.8,1444.8,1444.8,0.0
1990-10-15,SSMI,瑞士SMI,1454.1,1454.1,1454.1,1454.1,0.0
1990-10-16,SSMI,瑞士SMI,1450.9,1450.9,1450.9,1450.9,0.0
1990-10-17,SSMI,瑞士SMI,1442.2,1442.2,1442.2,1442.2,0.0
1990-10-18,SSMI,瑞士SMI,1470.2,1470.2,1470.2,1470.2,0.0
1990-10-19,SSMI,瑞士SMI,1484.5,1484.5,1484.5,1484.5,0.0
1990-10-22,SSMI,瑞士SMI,1481.8,1481.8,1481.8,1481.8,0.0
1990-10-23,SSMI,瑞士SMI,1499.1,1499.1,1499.1,1499.1,0.0
1990-10-24,SSMI,瑞士SMI,1494.8,1494.8,1494.8,1494.8,0.0
1990-10-25,SSMI,瑞士SMI,1475.1,1475.1,1475.1,1475.1,0.0
1990-10-26,SSMI,瑞士SMI,1442.0,1442.0,1442.0,1442.0,0.0
1990-10-29,SSMI,瑞士SMI,1436.7,1436.7,1436.7,1436.7,0.0
1990-10-30,SSMI,瑞士SMI,1423.8,1423.8,1423.8,1423.8,0.0
1990-10-31,SSMI,瑞士SMI,1417.9,1417.9,1417.9,1417.9,0.0
1990-11-01,SSMI,瑞士SMI,1390.7,1390.7,1390.7,1390.7,0.0
1990-11-02,SSMI,瑞士SMI,1397.4,1397.4,1397.4,1397.4,0.0
1990-11-05,SSMI,瑞士SMI,1399.6,1399.6,1399.6,1399.6,0.0
1990-11-06,SSMI,瑞士SMI,1387.8,1387.8,1387.8,1387.8,0.0
1990-11-07,SSMI,瑞士SMI,1380.8,1380.8,1380.8,1380.8,0.0
1990-11-08,SSMI,瑞士SMI,1377.3,1377.3,1377.3,1377.3,0.0
1990-11-09,SSMI,瑞士SMI,1387.4,1387.4,1387.4,1387.4,0.0
1990-11-12,SSMI,瑞士SMI,1407.5,1407.5,1407.5,1407.5,0.0
1990-11-13,SSMI,瑞士SMI,1415.2,1415.2,1415.2,1415.2,0.0
1990-11-14,SSMI,瑞士SMI,1410.3,1410.3,1410.3,1410.3,0.0
1990-11-15,SSMI,瑞士SMI,1405.7,1405.7,1405.7,1405.7,0.0
1990-11-16,SSMI,瑞士SMI,1395.2,1395.2,1395.2,1395.2,0.0
1990-11-19,SSMI,瑞士SMI,1416.0,1416.0,1416.0,1416.0,0.0
1990-11-20,SSMI,瑞士SMI,1405.8,1405.8,1405.8,1405.8,0.0
1990-11-21,SSMI,瑞士SMI,1398.4,1398.4,1398.4,1398.4,0.0
1990-11-22,SSMI,瑞士SMI,1388.8,1388.8,1388.8,1388.8,0.0
1990-11-23,SSMI,瑞士SMI,1385.6,1385.6,1385.6,1385.6,0.0
1990-11-26,SSMI,瑞士SMI,1353.7,1353.7,1353.7,1353.7,0.0
1990-11-27,SSMI,瑞士SMI,1357.5,1357.5,1357.5,1357.5,0.0
1990-11-28,SSMI,瑞士SMI,1366.6,1366.6,1366.6,1366.6,0.0
1990-11-29,SSMI,瑞士SMI,1368.3,1368.3,1368.3,1368.3,0.0
1990-11-30,SSMI,瑞士SMI,1385.1,1385.1,1385.1,1385.1,0.0
1990-12-03,SSMI,瑞士SMI,1409.5,1409.5,1409.5,1409.5,0.0
1990-12-04,SSMI,瑞士SMI,1403.1,1403.1,1403.1,1403.1,0.0
1990-12-05,SSMI,瑞士SMI,1411.4,1411.4,1411.4,1411.4,0.0
1990-12-06,SSMI,瑞士SMI,1450.3,1450.3,1450.3,1450.3,0.0
1990-12-07,SSMI,瑞士SMI,1444.5,1444.5,1444.5,1444.5,0.0
1990-12-10,SSMI,瑞士SMI,1426.2,1426.2,1426.2,1426.2,0.0
1990-12-11,SSMI,瑞士SMI,1413.9,1413.9,1413.9,1413.9,0.0
1990-12-12,SSMI,瑞士SMI,1419.9,1419.9,1419.9,1419.9,0.0
1990-12-13,SSMI,瑞士SMI,1417.0,1417.0,1417.0,1417.0,0.0
1990-12-14,SSMI,瑞士SMI,1407.6,1407.6,1407.6,1407.6,0.0
1990-12-17,SSMI,瑞士SMI,1388.9,1388.9,1388.9,1388.9,0.0
1990-12-18,SSMI,瑞士SMI,1393.4,1393.4,1393.4,1393.4,0.0
1990-12-19,SSMI,瑞士SMI,1386.7,1386.7,1386.7,1386.7,0.0
1990-12-20,SSMI,瑞士SMI,1371.2,1371.2,1371.2,1371.2,0.0
1990-12-21,SSMI,瑞士SMI,1387.9,1387.9,1387.9,1387.9,0.0
1990-12-24,SSMI,瑞士SMI,1387.4,1387.4,1387.4,1387.4,0.0
1990-12-27,SSMI,瑞士SMI,1384.0,1384.0,1384.0,1384.0,0.0
1990-12-28,SSMI,瑞士SMI,1383.1,1383.1,1383.1,1383.1,0.0
1991-01-03,SSMI,瑞士SMI,1372.1,1372.1,1372.1,1372.1,0.0
1991-01-04,SSMI,瑞士SMI,1371.7,1371.7,1371.7,1371.7,0.0
1991-01-07,SSMI,瑞士SMI,1340.3,1340.3,1340.3,1340.3,0.0
1991-01-08,SSMI,瑞士SMI,1326.4,1326.4,1326.4,1326.4,0.0
1991-01-09,SSMI,瑞士SMI,1349.9,1349.9,1349.9,1349.9,0.0
1991-01-10,SSMI,瑞士SMI,1331.5,1331.5,1331.5,1331.5,0.0
1991-01-11,SSMI,瑞士SMI,1320.9,1320.9,1320.9,1320.9,0.0
1991-01-14,SSMI,瑞士SMI,1287.6,1287.6,1287.6,1287.6,0.0
1991-01-15,SSMI,瑞士SMI,1296.7,1296.7,1296.7,1296.7,0.0
1991-01-16,SSMI,瑞士SMI,1289.4,1289.4,1289.4,1289.4,0.0
1991-01-17,SSMI,瑞士SMI,1364.4,1364.4,1364.4,1364.4,0.0
1991-01-18,SSMI,瑞士SMI,1354.0,1354.0,1354.0,1354.0,0.0
1991-01-21,SSMI,瑞士SMI,1331.1,1331.1,1331.1,1331.1,0.0
1991-01-22,SSMI,瑞士SMI,1336.8,1336.8,1336.8,1336.8,0.0
1991-01-23,SSMI,瑞士SMI,1349.7,1349.7,1349.7,1349.7,0.0
1991-01-24,SSMI,瑞士SMI,1387.8,1387.8,1387.8,1387.8,0.0
1991-01-25,SSMI,瑞士SMI,1400.5,1400.5,1400.5,1400.5,0.0
1991-01-28,SSMI,瑞士SMI,1413.9,1413.9,1413.9,1413.9,0.0
1991-01-29,SSMI,瑞士SMI,1412.2,1412.2,1412.2,1412.2,0.0
1991-01-30,SSMI,瑞士SMI,1438.5,1438.5,1438.5,1438.5,0.0
1991-01-31,SSMI,瑞士SMI,1434.3,1434.3,1434.3,1434.3,0.0
1991-02-01,SSMI,瑞士SMI,1448.1,1448.1,1448.1,1448.1,0.0
