日期,代码,名称,今开,最新价,最高,最低,振幅
1993-01-04,HSCCI,红筹指数,1531.79,1531.79,1531.79,1531.79,0.0
1993-01-05,HSCCI,红筹指数,1560.8,1560.8,1560.8,1560.8,0.0
1993-01-06,HSCCI,红筹指数,1541.39,1541.39,1541.39,1541.39,0.0
1993-01-07,HSCCI,红筹指数,1528.51,1528.51,1528.51,1528.51,0.0
1993-01-08,HSCCI,红筹指数,1532.19,1532.19,1532.19,1532.19,0.0
1993-01-11,HSCCI,红筹指数,1544.38,1544.38,1544.38,1544.38,0.0
1993-01-12,HSCCI,红筹指数,1545.29,1545.29,1545.29,1545.29,0.0
1993-01-13,HSCCI,红筹指数,1541.26,1541.26,1541.26,1541.26,0.0
1993-01-14,HSCCI,红筹指数,1566.68,1566.68,1566.68,1566.68,0.0
1993-01-15,HSCCI,红筹指数,1571.59,1571.59,1571.59,1571.59,0.0
1993-01-18,HSCCI,红筹指数,1578.85,1578.85,1578.85,1578.85,0.0
1993-01-19,HSCCI,红筹指数,1574.94,1574.94,1574.94,1574.94,0.0
1993-01-20,HSCCI,红筹指数,1553.33,1553.33,1553.33,1553.33,0.0
1993-01-21,HSCCI,红筹指数,1570.53,1570.53,1570.53,1570.53,0.0
1993-01-26,HSCCI,红筹指数,1561.81,1561.81,1561.81,1561.81,0.0
1993-01-27,HSCCI,红筹指数,1559.73,1559.73,1559.73,1559.73,0.0
1993-01-28,HSCCI,红筹指数,1532.25,1532.25,1532.25,1532.25,0.0
1993-01-29,HSCCI,红筹指数,1510.31,1510.31,1510.31,1510.31,0.0
1993-02-01,HSCCI,红筹指数,1531.81,1531.81,1531.81,1531.81,0.0
1993-02-02,HSCCI,红筹指数,1514.36,1514.36,1514.36,1514.36,0.0
1993-02-03,HSCCI,红筹指数,1516.7,1516.7,1516.7,1516.7,0.0
1993-02-04,HSCCI,红筹指数,1535.11,1535.11,1535.11,1535.11,0.0
1993-02-05,HSCCI,红筹指数,1517.48,1517.48,1517.48,1517.48,0.0
1993-02-08,HSCCI,红筹指数,1523.78,1523.78,1523.78,1523.78,0.0
1993-02-09,HSCCI,红筹指数,1532.82,1532.82,1532.82,1532.82,0.0
1993-02-10,HSCCI,红筹指数,1582.32,1582.32,1582.32,1582.32,0.0
