日期,代码,名称,今开,最新价,最高,最低,振幅
1991-08-12,NDX,纳斯达克,508.27,510.0,510.23,507.14,0.0
1991-08-13,NDX,纳斯达克,510.91,514.4,515.27,510.0,1.03
1991-08-14,NDX,纳斯达克,515.3,517.68,517.98,514.42,0.69
1991-08-15,NDX,纳斯达克,517.82,515.67,518.52,515.28,0.63
1991-08-16,NDX,纳斯达克,515.38,512.47,515.85,510.83,0.97
1991-08-19,NDX,纳斯达克,504.97,497.64,511.98,487.0,4.87
1991-08-20,NDX,纳斯达克,499.1,502.05,504.02,497.7,1.27
1991-08-21,NDX,纳斯达克,505.51,517.97,517.97,502.14,3.15
1991-08-22,NDX,纳斯达克,518.26,518.3,519.39,516.25,0.61
1991-08-23,NDX,纳斯达克,517.57,521.06,521.52,516.12,1.04
1991-08-26,NDX,纳斯达克,520.6,521.38,521.48,519.28,0.42
1991-08-27,NDX,纳斯达克,521.63,521.75,522.26,519.26,0.58
1991-08-28,NDX,纳斯达克,521.94,526.29,526.48,521.64,0.93
1991-08-29,NDX,纳斯达克,526.8,526.39,527.76,525.33,0.46
1991-08-30,NDX,纳斯达克,526.49,525.68,526.65,523.54,0.59
1991-09-03,NDX,纳斯达克,526.01,520.91,526.58,520.8,1.1
1991-09-04,NDX,纳斯达克,521.15,517.92,521.63,517.16,0.86
1991-09-05,NDX,纳斯达克,518.42,516.93,518.82,516.36,0.47
1991-09-06,NDX,纳斯达克,517.57,516.94,518.36,516.39,0.38
1991-09-09,NDX,纳斯达克,516.9,518.07,518.14,516.3,0.36
1991-09-10,NDX,纳斯达克,518.25,511.28,518.5,510.97,1.45
1991-09-11,NDX,纳斯达克,512.19,514.76,514.86,511.23,0.71
1991-09-12,NDX,纳斯达克,516.76,521.13,521.15,514.77,1.24
1991-09-13,NDX,纳斯达克,521.53,516.71,522.03,516.04,1.15
1991-09-16,NDX,纳斯达克,516.99,515.68,517.14,514.08,0.59
1991-09-17,NDX,纳斯达克,515.6,515.17,516.23,513.85,0.46
1991-09-18,NDX,纳斯达克,514.69,518.55,518.96,513.8,1.0
1991-09-19,NDX,纳斯达克,519.17,522.67,523.55,518.57,0.96
1991-09-20,NDX,纳斯达克,523.98,527.19,528.23,522.69,1.06
1991-09-23,NDX,纳斯达克,526.39,524.69,527.22,524.02,0.61
1991-09-24,NDX,纳斯达克,525.38,526.47,526.55,522.99,0.68
1991-09-25,NDX,纳斯达克,527.24,527.82,528.45,525.97,0.47
1991-09-26,NDX,纳斯达克,527.14,526.94,528.37,524.88,0.66
1991-09-27,NDX,纳斯达克,527.32,524.48,529.29,523.96,1.01
1991-09-30,NDX,纳斯达克,524.29,526.88,527.01,522.28,0.9
1991-10-01,NDX,纳斯达克,527.34,528.51,528.91,525.86,0.58
1991-10-02,NDX,纳斯达克,528.69,526.33,529.21,526.09,0.59
1991-10-03,NDX,纳斯达克,525.75,520.51,526.31,519.78,1.24
1991-10-04,NDX,纳斯达克,521.01,520.4,522.69,519.9,0.54
1991-10-07,NDX,纳斯达克,519.63,516.2,520.45,515.87,0.88
1991-10-08,NDX,纳斯达克,515.15,517.25,517.28,514.73,0.49
1991-10-09,NDX,纳斯达克,517.21,513.81,517.48,513.8,0.71
1991-10-10,NDX,纳斯达克,515.25,515.94,516.45,513.08,0.66
1991-10-11,NDX,纳斯达克,517.16,519.05,519.16,515.94,0.62
1991-10-14,NDX,纳斯达克,519.79,525.66,525.69,519.0,1.29
1991-10-15,NDX,纳斯达克,526.64,534.11,534.12,525.67,1.61
1991-10-16,NDX,纳斯达克,534.99,540.94,541.05,534.13,1.3
1991-10-17,NDX,纳斯达克,539.49,536.27,540.96,535.27,1.05
1991-10-18,NDX,纳斯达克,536.92,538.9,539.22,536.27,0.55
1991-10-21,NDX,纳斯达克,538.95,536.96,539.2,535.7,0.65
1991-10-22,NDX,纳斯达克,537.83,537.14,539.58,536.82,0.51
1991-10-23,NDX,纳斯达克,537.66,535.17,538.45,534.11,0.81
1991-10-24,NDX,纳斯达克,535.33,528.75,535.68,527.63,1.5
1991-10-25,NDX,纳斯达克,528.4,525.17,528.82,524.89,0.74
1991-10-28,NDX,纳斯达克,526.58,529.41,529.46,525.14,0.82
1991-10-29,NDX,纳斯达克,530.49,534.51,534.62,529.29,1.01
1991-10-30,NDX,纳斯达克,535.61,541.32,541.52,534.54,1.31
1991-10-31,NDX,纳斯达克,541.52,542.98,543.11,540.92,0.4
1991-11-01,NDX,纳斯达克,543.26,540.93,543.64,539.87,0.69
1991-11-04,NDX,纳斯达克,540.74,537.5,540.95,536.65,0.79
1991-11-05,NDX,纳斯达克,538.12,538.82,540.41,537.13,0.61
1991-11-06,NDX,纳斯达克,539.93,539.48,540.94,537.72,0.6
1991-11-07,NDX,纳斯达克,540.17,545.28,545.55,539.5,1.12
1991-11-08,NDX,纳斯达克,546.38,548.08,549.31,545.29,0.74
1991-11-11,NDX,纳斯达克,548.62,550.71,551.21,548.16,0.56
1991-11-12,NDX,纳斯达克,551.91,555.68,556.04,550.76,0.96
1991-11-13,NDX,纳斯达克,553.95,556.17,556.39,550.86,1.0
1991-11-14,NDX,纳斯达克,557.02,554.84,558.29,552.93,0.96
1991-11-15,NDX,纳斯达克,554.52,531.29,554.92,531.17,4.28
1991-11-18,NDX,纳斯达克,530.28,534.73,535.14,525.47,1.82
1991-11-19,NDX,纳斯达克,533.41,523.47,534.69,516.34,3.43
1991-11-20,NDX,纳斯达克,524.2,526.12,527.97,523.52,0.85
1991-11-21,NDX,纳斯达克,526.41,530.33,530.48,526.12,0.83
1991-11-22,NDX,纳斯达克,529.66,526.46,530.96,523.98,1.32
1991-11-25,NDX,纳斯达克,526.21,522.88,526.59,522.81,0.72
1991-11-26,NDX,纳斯达克,524.18,522.23,525.24,517.9,1.4
1991-11-27,NDX,纳斯达克,522.25,522.78,522.93,521.31,0.31
1991-11-29,NDX,纳斯达克,522.74,523.9,524.3,521.67,0.5
1991-12-02,NDX,纳斯达克,522.23,530.91,530.93,518.53,2.37
1991-12-03,NDX,纳斯达克,531.44,533.34,533.68,530.85,0.53
1991-12-04,NDX,纳斯达克,534.08,535.28,536.13,533.18,0.55
1991-12-05,NDX,纳斯达克,535.12,534.03,536.74,533.16,0.67
1991-12-06,NDX,纳斯达克,533.75,536.3,537.54,531.52,1.13
1991-12-09,NDX,纳斯达克,536.52,535.35,538.9,534.88,0.75
1991-12-10,NDX,纳斯达克,534.92,534.23,535.97,531.68,0.8
1991-12-11,NDX,纳斯达克,535.46,531.64,536.8,529.17,1.43
1991-12-12,NDX,纳斯达克,532.39,536.02,536.08,531.64,0.84
1991-12-13,NDX,纳斯达克,536.9,540.9,541.11,536.07,0.94
1991-12-16,NDX,纳斯达克,540.91,543.73,543.99,540.39,0.67
1991-12-17,NDX,纳斯达克,543.69,539.7,544.09,539.2,0.9
1991-12-18,NDX,纳斯达克,539.34,539.84,540.27,537.08,0.59
1991-12-19,NDX,纳斯达克,538.16,534.53,539.72,533.65,1.12
1991-12-20,NDX,纳斯达克,537.12,535.76,539.92,534.57,1.0
1991-12-23,NDX,纳斯达克,536.01,543.9,544.0,535.32,1.62
1991-12-24,NDX,纳斯达克,544.27,549.56,550.98,543.86,1.31
1991-12-26,NDX,纳斯达克,549.83,559.3,559.79,549.52,1.87
1991-12-27,NDX,纳斯达克,560.14,565.71,566.69,559.31,1.32
1991-12-30,NDX,纳斯达克,566.86,579.75,579.79,565.79,2.47
1991-12-31,NDX,纳斯达克,580.87,586.34,586.35,578.29,1.39
1992-01-02,NDX,纳斯达克,584.28,586.45,586.5,576.04,1.78
