日期,代码,名称,今开,最新价,最高,最低,振幅
1986-01-09,UDI,美元指数,124.18,123.21,124.71,122.91,0.0
1986-01-10,UDI,美元指数,123.98,124.16,124.27,123.46,0.66
1986-01-13,UDI,美元指数,124.82,124.47,125.21,124.23,0.79
1986-01-14,UDI,美元指数,124.75,124.67,124.91,124.38,0.43
1986-01-15,UDI,美元指数,124.64,124.3,124.64,124.07,0.46
1986-01-16,UDI,美元指数,124.1,124.53,124.59,124.04,0.44
1986-01-17,UDI,美元指数,124.56,124.41,124.57,124.2,0.3
1986-01-20,UDI,美元指数,124.87,124.6,124.93,124.52,0.33
1986-01-21,UDI,美元指数,124.4,124.5,124.63,124.18,0.36
1986-01-22,UDI,美元指数,124.77,124.75,124.97,123.88,0.88
1986-01-23,UDI,美元指数,124.47,124.45,124.72,124.24,0.38
1986-01-24,UDI,美元指数,123.38,122.78,123.41,122.67,0.59
1986-01-27,UDI,美元指数,122.52,122.45,122.78,122.11,0.55
1986-01-28,UDI,美元指数,122.2,122.13,122.39,122.0,0.32
1986-01-29,UDI,美元指数,121.7,121.85,121.99,121.67,0.26
1986-01-30,UDI,美元指数,121.92,121.15,121.92,121.03,0.73
1986-01-31,UDI,美元指数,121.63,121.52,121.87,121.48,0.32
1986-02-03,UDI,美元指数,121.78,122.04,122.41,121.76,0.53
1986-02-04,UDI,美元指数,123.03,122.87,123.26,122.72,0.44
1986-02-05,UDI,美元指数,122.5,121.63,122.57,121.51,0.86
1986-02-06,UDI,美元指数,121.55,121.81,122.06,121.08,0.81
1986-02-07,UDI,美元指数,121.67,121.97,122.3,121.67,0.52
1986-02-10,UDI,美元指数,121.1,120.81,121.23,120.62,0.5
1986-02-11,UDI,美元指数,120.49,120.6,120.68,120.4,0.23
1986-02-12,UDI,美元指数,119.81,120.09,120.29,119.81,0.4
1986-02-13,UDI,美元指数,119.49,119.14,120.17,119.04,0.94
1986-02-14,UDI,美元指数,119.41,118.82,119.41,118.71,0.59
1986-02-18,UDI,美元指数,119.08,118.05,119.08,117.93,0.97
1986-02-19,UDI,美元指数,117.24,117.19,117.64,115.86,1.51
1986-02-20,UDI,美元指数,116.97,117.1,117.46,116.51,0.81
1986-02-21,UDI,美元指数,117.79,117.22,117.97,117.02,0.81
1986-02-24,UDI,美元指数,116.56,115.86,116.86,115.63,1.05
1986-02-25,UDI,美元指数,115.21,115.17,115.4,114.6,0.69
1986-02-26,UDI,美元指数,115.0,114.77,115.22,114.38,0.73
1986-02-27,UDI,美元指数,113.54,114.38,115.14,113.45,1.47
1986-02-28,UDI,美元指数,114.63,115.08,115.2,114.21,0.87
1986-03-03,UDI,美元指数,114.94,114.38,115.11,114.28,0.72
1986-03-04,UDI,美元指数,114.2,113.73,114.29,113.66,0.55
1986-03-05,UDI,美元指数,114.5,116.1,116.56,114.5,1.81
1986-03-06,UDI,美元指数,115.41,115.25,115.68,115.05,0.54
1986-03-07,UDI,美元指数,115.29,114.97,115.4,114.66,0.64
1986-03-10,UDI,美元指数,116.2,116.22,116.85,115.95,0.78
1986-03-11,UDI,美元指数,116.24,115.86,116.29,115.55,0.64
1986-03-12,UDI,美元指数,115.72,116.13,116.55,115.72,0.72
1986-03-13,UDI,美元指数,116.4,116.75,117.12,116.4,0.62
1986-03-14,UDI,美元指数,115.25,115.22,115.47,114.96,0.44
1986-03-17,UDI,美元指数,114.68,114.83,115.01,114.45,0.49
1986-03-18,UDI,美元指数,114.68,114.42,114.94,114.34,0.52
1986-03-19,UDI,美元指数,115.14,115.1,115.38,114.97,0.36
1986-03-20,UDI,美元指数,114.61,114.68,114.98,114.61,0.32
1986-03-21,UDI,美元指数,114.62,114.17,114.68,114.1,0.51
1986-03-24,UDI,美元指数,116.04,116.84,117.17,116.01,1.02
1986-03-25,UDI,美元指数,117.44,118.11,118.42,117.36,0.91
1986-03-26,UDI,美元指数,118.66,118.02,118.66,117.67,0.84
1986-03-27,UDI,美元指数,117.22,117.68,117.85,117.22,0.53
1986-03-31,UDI,美元指数,118.17,117.92,118.71,117.7,0.86
1986-04-01,UDI,美元指数,117.78,118.0,118.21,117.45,0.64
1986-04-02,UDI,美元指数,118.69,118.85,119.34,118.64,0.59
1986-04-03,UDI,美元指数,119.29,119.95,120.17,119.19,0.82
1986-04-04,UDI,美元指数,120.15,120.69,120.83,120.11,0.6
1986-04-07,UDI,美元指数,120.9,120.42,121.16,120.32,0.7
1986-04-08,UDI,美元指数,118.53,118.4,118.83,118.34,0.41
1986-04-09,UDI,美元指数,118.28,118.44,118.63,117.98,0.55
1986-04-10,UDI,美元指数,118.37,116.92,118.43,116.85,1.33
1986-04-11,UDI,美元指数,117.14,117.3,117.52,116.85,0.57
1986-04-14,UDI,美元指数,117.69,117.5,117.77,117.35,0.36
1986-04-15,UDI,美元指数,118.08,117.4,118.08,117.02,0.9
1986-04-16,UDI,美元指数,115.51,114.95,115.58,114.92,0.56
1986-04-17,UDI,美元指数,114.56,114.29,114.72,113.51,1.05
1986-04-18,UDI,美元指数,113.86,113.17,114.12,113.09,0.9
1986-04-21,UDI,美元指数,113.2,113.0,113.64,112.64,0.88
1986-04-22,UDI,美元指数,112.31,112.18,113.15,111.85,1.15
1986-04-23,UDI,美元指数,112.01,112.17,112.7,111.75,0.85
1986-04-24,UDI,美元指数,112.31,112.35,112.7,112.26,0.39
1986-04-25,UDI,美元指数,112.82,111.12,112.82,110.98,1.64
1986-04-28,UDI,美元指数,111.34,110.93,111.41,110.76,0.58
1986-04-29,UDI,美元指数,111.36,111.44,111.57,111.1,0.42
1986-04-30,UDI,美元指数,111.82,111.77,112.18,110.9,1.15
1986-05-01,UDI,美元指数,112.28,113.38,113.7,112.28,1.27
1986-05-02,UDI,美元指数,112.8,112.74,113.21,112.5,0.63
1986-05-05,UDI,美元指数,111.67,111.25,111.8,111.05,0.67
1986-05-06,UDI,美元指数,113.04,112.03,113.38,111.91,1.32
1986-05-07,UDI,美元指数,112.32,111.44,112.38,111.13,1.12
1986-05-08,UDI,美元指数,110.97,111.34,111.62,110.58,0.93
1986-05-09,UDI,美元指数,111.05,111.32,111.4,110.85,0.49
1986-05-12,UDI,美元指数,110.64,110.58,110.88,110.35,0.48
1986-05-13,UDI,美元指数,110.8,111.54,111.93,110.66,1.15
1986-05-14,UDI,美元指数,111.66,111.47,111.77,111.24,0.48
1986-05-15,UDI,美元指数,111.5,111.59,111.84,111.42,0.38
1986-05-16,UDI,美元指数,112.56,112.87,113.01,112.36,0.58
1986-05-19,UDI,美元指数,113.28,112.42,113.49,112.12,1.21
1986-05-20,UDI,美元指数,112.92,113.65,114.09,112.92,1.04
1986-05-21,UDI,美元指数,113.53,114.46,114.72,113.53,1.05
1986-05-22,UDI,美元指数,114.68,115.17,115.35,114.43,0.8
1986-05-23,UDI,美元指数,115.25,115.46,115.71,115.06,0.56
1986-05-27,UDI,美元指数,115.88,115.03,115.88,114.66,1.06
1986-05-28,UDI,美元指数,115.03,115.44,115.59,114.66,0.81
1986-05-29,UDI,美元指数,115.42,116.52,116.69,115.42,1.1
1986-05-30,UDI,美元指数,116.92,117.51,117.65,116.89,0.65
1986-06-02,UDI,美元指数,117.83,117.49,118.03,117.15,0.75
1986-06-03,UDI,美元指数,116.01,115.65,116.06,115.27,0.67
1986-06-04,UDI,美元指数,115.32,115.39,115.86,115.22,0.55
1986-06-05,UDI,美元指数,114.86,114.09,114.99,113.85,0.99
