日期,代码,名称,今开,最新价,最高,最低,振幅
2013-06-27,HEX,芬兰赫尔辛基,5890.12,5950.1,5957.52,5890.12,0.0
2013-06-28,HEX,芬兰赫尔辛基,5878.09,5906.84,5960.06,5878.09,1.38
2013-07-01,HEX,芬兰赫尔辛基,5919.02,5953.16,5987.43,5919.02,1.16
2013-07-02,HEX,芬兰赫尔辛基,5969.04,5966.41,5971.17,5921.87,0.83
2013-07-03,HEX,芬兰赫尔辛基,5877.55,5937.77,5940.35,5877.55,1.05
2013-07-04,HEX,芬兰赫尔辛基,5959.08,6045.5,6054.66,5959.08,1.61
2013-07-05,HEX,芬兰赫尔辛基,6055.39,6020.66,6084.35,6007.19,1.28
2013-07-08,HEX,芬兰赫尔辛基,6047.02,6095.15,6112.64,6047.02,1.09
2013-07-09,HEX,芬兰赫尔辛基,6116.34,6193.51,6194.49,6116.34,1.28
2013-07-10,HEX,芬兰赫尔辛基,6184.86,6172.54,6192.0,6140.42,0.83
2013-07-11,HEX,芬兰赫尔辛基,6224.28,6255.14,6267.56,6224.28,0.7
2013-07-12,HEX,芬兰赫尔辛基,6266.32,6226.47,6274.4,6222.39,0.83
2013-07-15,HEX,芬兰赫尔辛基,6239.55,6205.7,6258.9,6196.46,1.0
2013-07-16,HEX,芬兰赫尔辛基,6209.08,6157.61,6212.06,6154.0,0.94
2013-07-17,HEX,芬兰赫尔辛基,6161.78,6195.3,6206.49,6136.16,1.14
2013-07-18,HEX,芬兰赫尔辛基,6177.17,6204.35,6205.0,6141.67,1.02
2013-07-19,HEX,芬兰赫尔辛基,6227.14,6178.7,6238.38,6170.91,1.09
2013-07-22,HEX,芬兰赫尔辛基,6199.2,6163.69,6201.2,6148.77,0.85
2013-07-23,HEX,芬兰赫尔辛基,6172.58,6185.84,6217.27,6172.58,0.73
2013-07-24,HEX,芬兰赫尔辛基,6189.86,6196.86,6216.47,6175.88,0.66
2013-07-25,HEX,芬兰赫尔辛基,6207.27,6165.17,6212.79,6139.86,1.18
2013-07-26,HEX,芬兰赫尔辛基,6187.71,6138.95,6192.82,6134.74,0.94
2013-07-29,HEX,芬兰赫尔辛基,6151.87,6133.13,6171.78,6133.13,0.63
2013-07-30,HEX,芬兰赫尔辛基,6150.19,6149.86,6162.09,6133.63,0.46
2013-07-31,HEX,芬兰赫尔辛基,6134.92,6118.19,6148.07,6112.82,0.57
