日期,代码,名称,今开,最新价,最高,最低,振幅
1984-01-03,FTSE,英国富时100,997.5,997.5,1001.4,997.5,0.0
1984-01-04,FTSE,英国富时100,997.5,998.6,999.5,993.3,0.62
1984-01-05,FTSE,英国富时100,1007.1,1015.8,1015.8,1007.1,0.87
1984-01-06,FTSE,英国富时100,1019.0,1029.0,1029.3,1019.0,1.01
1984-01-09,FTSE,英国富时100,1030.59,1034.59,1035.4,1030.59,0.47
1984-01-10,FTSE,英国富时100,1034.59,1034.3,1034.9,1029.9,0.48
1984-01-11,FTSE,英国富时100,1033.59,1023.4,1033.59,1021.4,1.18
1984-01-12,FTSE,英国富时100,1023.4,1031.3,1031.3,1020.2,1.08
1984-01-13,FTSE,英国富时100,1033.09,1042.7,1042.7,1033.09,0.93
1984-01-16,FTSE,英国富时100,1042.7,1046.0,1046.0,1039.09,0.66
1984-01-17,FTSE,英国富时100,1044.4,1041.9,1044.4,1036.2,0.78
1984-01-18,FTSE,英国富时100,1044.4,1058.7,1058.7,1044.4,1.37
1984-01-19,FTSE,英国富时100,1058.7,1057.8,1060.2,1053.9,0.6
1984-01-20,FTSE,英国富时100,1057.8,1059.0,1060.59,1056.2,0.42
1984-01-23,FTSE,英国富时100,1059.0,1046.8,1059.0,1046.3,1.2
1984-01-24,FTSE,英国富时100,1046.8,1055.2,1055.2,1039.9,1.46
1984-01-25,FTSE,英国富时100,1058.2,1073.5,1073.5,1058.2,1.45
1984-01-26,FTSE,英国富时100,1073.5,1072.09,1074.8,1069.0,0.54
1984-01-27,FTSE,英国富时100,1072.09,1075.9,1075.9,1065.0,1.02
1984-01-30,FTSE,英国富时100,1075.9,1068.59,1082.0,1068.59,1.25
1984-01-31,FTSE,英国富时100,1063.5,1063.0,1063.5,1058.0,0.51
1984-02-01,FTSE,英国富时100,1062.59,1060.3,1062.59,1060.3,0.22
1984-02-02,FTSE,英国富时100,1055.0,1050.8,1055.0,1046.0,0.85
1984-02-03,FTSE,英国富时100,1054.4,1059.8,1060.2,1054.4,0.55
1984-02-06,FTSE,英国富时100,1054.2,1038.2,1054.2,1038.2,1.51
1984-02-07,FTSE,英国富时100,1026.7,1021.7,1026.7,1019.2,0.72
1984-02-08,FTSE,英国富时100,1026.7,1029.7,1034.5,1026.7,0.76
1984-02-09,FTSE,英国富时100,1016.9,1016.9,1016.9,1010.0,0.67
1984-02-10,FTSE,英国富时100,1016.9,1018.0,1020.7,1012.3,0.83
1984-02-13,FTSE,英国富时100,1018.3,1018.3,1023.0,1018.3,0.46
1984-02-14,FTSE,英国富时100,1018.3,1027.0,1027.0,1015.4,1.14
1984-02-15,FTSE,英国富时100,1031.7,1033.0,1036.8,1031.7,0.5
1984-02-16,FTSE,英国富时100,1033.0,1035.0,1035.59,1030.4,0.5
1984-02-17,FTSE,英国富时100,1035.0,1039.0,1039.0,1035.0,0.39
1984-02-20,FTSE,英国富时100,1038.7,1035.4,1038.7,1034.2,0.43
1984-02-21,FTSE,英国富时100,1038.4,1044.4,1044.7,1038.4,0.61
1984-02-22,FTSE,英国富时100,1044.4,1043.0,1045.5,1040.7,0.46
1984-02-23,FTSE,英国富时100,1042.09,1031.7,1042.09,1031.7,1.0
1984-02-24,FTSE,英国富时100,1031.7,1036.9,1036.9,1030.8,0.59
1984-02-27,FTSE,英国富时100,1038.8,1041.3,1044.3,1038.8,0.53
1984-02-28,FTSE,英国富时100,1039.2,1039.2,1039.2,1039.2,0.0
1984-02-29,FTSE,英国富时100,1039.2,1040.3,1040.59,1031.2,0.9
1984-03-01,FTSE,英国富时100,1042.09,1046.09,1047.09,1042.09,0.48
1984-03-02,FTSE,英国富时100,1048.8,1060.7,1060.7,1048.8,1.14
1984-03-05,FTSE,英国富时100,1053.7,1053.7,1053.7,1053.7,0.0
1984-03-06,FTSE,英国富时100,1053.7,1064.5,1064.8,1050.9,1.32
1984-03-07,FTSE,英国富时100,1063.09,1055.59,1063.09,1055.59,0.7
1984-03-08,FTSE,英国富时100,1055.59,1055.8,1056.0,1050.9,0.48
1984-03-09,FTSE,英国富时100,1056.3,1060.09,1060.4,1056.3,0.39
1984-03-12,FTSE,英国富时100,1060.09,1063.59,1065.2,1058.59,0.62
1984-03-13,FTSE,英国富时100,1067.5,1082.5,1082.7,1067.5,1.43
1984-03-14,FTSE,英国富时100,1082.5,1087.7,1088.09,1079.9,0.76
1984-03-15,FTSE,英国富时100,1087.7,1101.09,1101.09,1082.59,1.7
1984-03-16,FTSE,英国富时100,1115.8,1128.5,1131.3,1115.8,1.41
1984-03-19,FTSE,英国富时100,1125.9,1109.7,1125.9,1109.7,1.44
1984-03-20,FTSE,英国富时100,1110.0,1123.3,1125.09,1110.0,1.36
1984-03-21,FTSE,英国富时100,1126.09,1130.7,1130.8,1126.09,0.42
1984-03-22,FTSE,英国富时100,1125.4,1117.2,1125.4,1117.0,0.74
1984-03-23,FTSE,英国富时100,1117.2,1121.3,1121.3,1109.3,1.07
1984-03-26,FTSE,英国富时100,1119.9,1119.7,1119.9,1110.7,0.82
1984-03-27,FTSE,英国富时100,1117.3,1101.9,1117.3,1099.9,1.55
1984-03-28,FTSE,英国富时100,1101.9,1103.59,1110.09,1101.9,0.74
1984-03-29,FTSE,英国富时100,1109.3,1113.59,1116.5,1109.3,0.65
1984-03-30,FTSE,英国富时100,1113.59,1112.5,1114.4,1110.09,0.39
1984-04-02,FTSE,英国富时100,1112.5,1108.09,1115.9,1108.09,0.7
1984-04-03,FTSE,英国富时100,1101.5,1095.4,1101.5,1095.4,0.55
1984-04-04,FTSE,英国富时100,1095.09,1093.59,1095.09,1093.4,0.15
1984-04-05,FTSE,英国富时100,1097.8,1102.2,1104.4,1097.8,0.6
1984-04-06,FTSE,英国富时100,1096.3,1096.3,1096.3,1090.0,0.57
1984-04-09,FTSE,英国富时100,1096.3,1096.7,1096.7,1092.4,0.39
1984-04-10,FTSE,英国富时100,1097.9,1105.4,1106.59,1097.9,0.79
1984-04-11,FTSE,英国富时100,1108.3,1110.59,1111.7,1108.3,0.31
1984-04-12,FTSE,英国富时100,1110.59,1117.0,1117.59,1109.7,0.71
1984-04-13,FTSE,英国富时100,1127.8,1129.09,1132.0,1127.8,0.38
1984-04-16,FTSE,英国富时100,1122.9,1105.9,1122.9,1105.59,1.53
1984-04-17,FTSE,英国富时100,1105.9,1110.2,1112.9,1104.8,0.73
1984-04-18,FTSE,英国富时100,1114.2,1116.2,1116.9,1114.2,0.24
1984-04-19,FTSE,英国富时100,1114.59,1108.4,1114.59,1108.4,0.55
1984-04-20,FTSE,英国富时100,1108.4,1108.4,1108.4,1108.4,0.0
1984-04-23,FTSE,英国富时100,1108.4,1108.4,1108.4,1108.4,0.0
1984-04-24,FTSE,英国富时100,1105.59,1105.4,1105.59,1102.8,0.25
1984-04-25,FTSE,英国富时100,1112.4,1119.8,1121.0,1112.4,0.78
1984-04-26,FTSE,英国富时100,1124.7,1130.9,1131.5,1124.7,0.61
