日期,代码,名称,今开,最新价,最高,最低,振幅
2018-11-26,MCX,英国富时250,18588.21,18719.12,18763.15,18531.59,0.0
2018-11-27,MCX,英国富时250,18697.24,18660.89,18752.99,18609.61,0.77
2018-11-28,MCX,英国富时250,18652.65,18639.73,18735.64,18605.95,0.69
2018-11-29,MCX,英国富时250,18626.51,18609.03,18754.12,18607.41,0.79
2018-11-30,MCX,英国富时250,18594.36,18480.83,18629.04,18458.66,0.92
2018-12-03,MCX,英国富时250,18709.31,18563.85,18774.48,18480.83,1.59
2018-12-04,MCX,英国富时250,18536.34,18329.64,18574.32,18329.64,1.32
2018-12-05,MCX,英国富时250,18149.21,18271.1,18385.22,18088.57,1.62
2018-12-06,MCX,英国富时250,18163.63,17753.31,18271.1,17716.05,3.04
2018-12-07,MCX,英国富时250,17810.8,17844.11,18006.75,17753.31,1.43
2018-12-10,MCX,英国富时250,17844.11,17513.18,17844.11,17495.49,1.95
2018-12-11,MCX,英国富时250,17569.33,17653.26,17795.43,17485.75,1.77
2018-12-12,MCX,英国富时250,17708.53,17978.39,17993.51,17638.43,2.01
2018-12-13,MCX,英国富时250,18031.73,17818.56,18038.59,17818.56,1.22
2018-12-14,MCX,英国富时250,17711.86,17666.91,17818.99,17592.44,1.27
2018-12-17,MCX,英国富时250,17672.51,17416.96,17675.36,17416.84,1.46
2018-12-18,MCX,英国富时250,17387.05,17495.04,17596.36,17309.2,1.65
2018-12-19,MCX,英国富时250,17484.94,17604.5,17652.79,17427.49,1.29
2018-12-20,MCX,英国富时250,17393.22,17446.94,17605.65,17245.94,2.04
2018-12-21,MCX,英国富时250,17409.18,17442.98,17467.17,17355.36,0.64
2018-12-24,MCX,英国富时250,17442.98,17312.18,17442.98,17312.18,0.75
2018-12-27,MCX,英国富时250,17402.57,17090.47,17455.4,17054.72,2.31
2018-12-28,MCX,英国富时250,17238.95,17465.05,17465.05,17090.47,2.19
2018-12-31,MCX,英国富时250,17465.05,17502.05,17563.08,17465.05,0.56
2019-01-02,MCX,英国富时250,17476.14,17586.7,17586.7,17249.96,1.92
2019-01-03,MCX,英国富时250,17543.86,17438.91,17591.05,17436.82,0.88
2019-01-04,MCX,英国富时250,17503.5,17795.88,17795.88,17438.91,2.05
2019-01-07,MCX,英国富时250,17892.71,17976.15,17976.15,17795.55,1.01
2019-01-08,MCX,英国富时250,17978.54,18175.79,18283.52,17970.05,1.74
2019-01-09,MCX,英国富时250,18239.31,18413.71,18433.35,18175.79,1.42
2019-01-10,MCX,英国富时250,18392.31,18435.62,18452.76,18354.13,0.54
