日期,代码,名称,今开,最新价,最高,最低,振幅
1990-03-22,AEX,荷兰AEX,128.27,128.27,128.27,128.27,0.0
1990-03-23,AEX,荷兰AEX,129.08,129.08,129.08,129.08,0.0
1990-03-26,AEX,荷兰AEX,130.65,130.65,130.65,130.65,0.0
1990-03-27,AEX,荷兰AEX,129.77,129.77,129.77,129.77,0.0
1990-03-28,AEX,荷兰AEX,130.6,130.6,130.6,130.6,0.0
1990-03-29,AEX,荷兰AEX,130.87,130.87,130.87,130.87,0.0
1990-03-30,AEX,荷兰AEX,131.04,131.04,131.04,131.04,0.0
1990-04-02,AEX,荷兰AEX,128.74,128.74,128.74,128.74,0.0
1990-04-03,AEX,荷兰AEX,130.44,130.44,130.44,130.44,0.0
1990-04-04,AEX,荷兰AEX,130.61,130.61,130.61,130.61,0.0
1990-04-05,AEX,荷兰AEX,131.0,131.0,131.0,131.0,0.0
1990-04-06,AEX,荷兰AEX,131.56,131.56,131.56,131.56,0.0
1990-04-09,AEX,荷兰AEX,131.04,131.04,131.04,131.04,0.0
1990-04-10,AEX,荷兰AEX,129.74,129.74,129.74,129.74,0.0
1990-04-11,AEX,荷兰AEX,130.27,130.27,130.27,130.27,0.0
1990-04-12,AEX,荷兰AEX,131.32,131.32,131.32,131.32,0.0
1990-04-17,AEX,荷兰AEX,132.75,132.75,132.75,132.75,0.0
1990-04-18,AEX,荷兰AEX,133.62,133.62,133.62,133.62,0.0
1990-04-19,AEX,荷兰AEX,131.92,131.92,131.92,131.92,0.0
1990-04-20,AEX,荷兰AEX,131.9,131.9,131.9,131.9,0.0
1990-04-23,AEX,荷兰AEX,129.43,129.43,129.43,129.43,0.0
1990-04-24,AEX,荷兰AEX,130.09,130.09,130.09,130.09,0.0
1990-04-25,AEX,荷兰AEX,129.98,129.98,129.98,129.98,0.0
1990-04-26,AEX,荷兰AEX,128.95,128.95,128.95,128.95,0.0
1990-04-27,AEX,荷兰AEX,127.53,127.53,127.53,127.53,0.0
1990-05-01,AEX,荷兰AEX,127.21,127.21,127.21,127.21,0.0
1990-05-02,AEX,荷兰AEX,126.78,126.78,126.78,126.78,0.0
1990-05-03,AEX,荷兰AEX,127.4,127.4,127.4,127.4,0.0
1990-05-04,AEX,荷兰AEX,127.66,127.66,127.66,127.66,0.0
1990-05-07,AEX,荷兰AEX,128.26,128.26,128.26,128.26,0.0
1990-05-08,AEX,荷兰AEX,128.16,128.16,128.16,128.16,0.0
1990-05-09,AEX,荷兰AEX,127.45,127.45,127.45,127.45,0.0
1990-05-10,AEX,荷兰AEX,126.55,126.55,126.55,126.55,0.0
1990-05-11,AEX,荷兰AEX,127.1,127.1,127.1,127.1,0.0
1990-05-14,AEX,荷兰AEX,128.65,128.65,128.65,128.65,0.0
1990-05-15,AEX,荷兰AEX,128.52,128.52,128.52,128.52,0.0
1990-05-16,AEX,荷兰AEX,129.27,129.27,129.27,129.27,0.0
1990-05-17,AEX,荷兰AEX,130.61,130.61,130.61,130.61,0.0
1990-05-18,AEX,荷兰AEX,129.73,129.73,129.73,129.73,0.0
1990-05-21,AEX,荷兰AEX,128.87,128.87,128.87,128.87,0.0
1990-05-22,AEX,荷兰AEX,130.11,130.11,130.11,130.11,0.0
1990-05-23,AEX,荷兰AEX,130.09,130.09,130.09,130.09,0.0
1990-05-25,AEX,荷兰AEX,130.34,130.34,130.34,130.34,0.0
1990-05-28,AEX,荷兰AEX,130.27,130.27,130.27,130.27,0.0
1990-05-29,AEX,荷兰AEX,130.94,130.94,130.94,130.94,0.0
1990-05-30,AEX,荷兰AEX,131.34,131.34,131.34,131.34,0.0
1990-05-31,AEX,荷兰AEX,131.07,131.07,131.07,131.07,0.0
1990-06-01,AEX,荷兰AEX,131.81,131.81,131.81,131.81,0.0
1990-06-05,AEX,荷兰AEX,131.92,131.92,131.92,131.92,0.0
1990-06-06,AEX,荷兰AEX,131.28,131.28,131.28,131.28,0.0
1990-06-07,AEX,荷兰AEX,132.0,132.0,132.0,132.0,0.0
1990-06-08,AEX,荷兰AEX,131.61,131.61,131.61,131.61,0.0
1990-06-11,AEX,荷兰AEX,130.92,130.92,130.92,130.92,0.0
1990-06-12,AEX,荷兰AEX,131.28,131.28,131.28,131.28,0.0
1990-06-13,AEX,荷兰AEX,131.49,131.49,131.49,131.49,0.0
1990-06-14,AEX,荷兰AEX,131.44,131.44,131.44,131.44,0.0
1990-06-15,AEX,荷兰AEX,130.69,130.69,130.69,130.69,0.0
