日期,代码,名称,今开,最新价,最高,最低,振幅
1989-10-31,PSI,菲律宾马尼拉,1300.07,1300.07,1300.07,1300.07,0.0
1989-11-01,PSI,菲律宾马尼拉,1309.37,1309.37,1309.37,1309.37,0.0
1989-11-02,PSI,菲律宾马尼拉,1313.55,1313.55,1313.55,1313.55,0.0
1989-11-03,PSI,菲律宾马尼拉,1301.71,1301.71,1301.71,1301.71,0.0
1989-11-06,PSI,菲律宾马尼拉,1342.98,1342.98,1342.98,1342.98,0.0
1989-11-07,PSI,菲律宾马尼拉,1337.05,1337.05,1337.05,1337.05,0.0
1989-11-08,PSI,菲律宾马尼拉,1350.23,1350.23,1350.23,1350.23,0.0
1989-11-09,PSI,菲律宾马尼拉,1352.16,1352.16,1352.16,1352.16,0.0
1989-11-10,PSI,菲律宾马尼拉,1352.96,1352.96,1352.96,1352.96,0.0
1989-11-13,PSI,菲律宾马尼拉,1379.07,1379.07,1379.07,1379.07,0.0
1989-11-14,PSI,菲律宾马尼拉,1386.57,1386.57,1386.57,1386.57,0.0
1989-11-15,PSI,菲律宾马尼拉,1373.65,1373.65,1373.65,1373.65,0.0
1989-11-16,PSI,菲律宾马尼拉,1359.91,1359.91,1359.91,1359.91,0.0
1989-11-17,PSI,菲律宾马尼拉,1376.39,1376.39,1376.39,1376.39,0.0
1989-11-20,PSI,菲律宾马尼拉,1395.36,1395.36,1395.36,1395.36,0.0
1989-11-21,PSI,菲律宾马尼拉,1385.5,1385.5,1385.5,1385.5,0.0
1989-11-22,PSI,菲律宾马尼拉,1386.52,1386.52,1386.52,1386.52,0.0
1989-11-23,PSI,菲律宾马尼拉,1374.14,1374.14,1374.14,1374.14,0.0
1989-11-24,PSI,菲律宾马尼拉,1368.4,1368.4,1368.4,1368.4,0.0
1989-11-27,PSI,菲律宾马尼拉,1348.65,1348.65,1348.65,1348.65,0.0
1989-11-28,PSI,菲律宾马尼拉,1340.88,1340.88,1340.88,1340.88,0.0
1989-11-29,PSI,菲律宾马尼拉,1313.61,1313.61,1313.61,1313.61,0.0
1989-11-30,PSI,菲律宾马尼拉,1317.86,1317.86,1317.86,1317.86,0.0
1989-12-01,PSI,菲律宾马尼拉,1317.86,1317.86,1317.86,1317.86,0.0
1989-12-04,PSI,菲律宾马尼拉,1317.86,1317.86,1317.86,1317.86,0.0
1989-12-05,PSI,菲律宾马尼拉,1317.86,1317.86,1317.86,1317.86,0.0
1989-12-06,PSI,菲律宾马尼拉,1317.86,1317.86,1317.86,1317.86,0.0
1989-12-07,PSI,菲律宾马尼拉,1317.86,1317.86,1317.86,1317.86,0.0
1989-12-11,PSI,菲律宾马尼拉,1199.87,1199.87,1199.87,1199.87,0.0
1989-12-12,PSI,菲律宾马尼拉,1160.95,1160.95,1160.95,1160.95,0.0
1989-12-13,PSI,菲律宾马尼拉,1099.72,1099.72,1099.72,1099.72,0.0
1989-12-14,PSI,菲律宾马尼拉,1065.54,1065.54,1065.54,1065.54,0.0
1989-12-15,PSI,菲律宾马尼拉,999.42,999.42,999.42,999.42,0.0
1989-12-18,PSI,菲律宾马尼拉,985.06,985.06,985.06,985.06,0.0
1989-12-19,PSI,菲律宾马尼拉,990.78,990.78,990.78,990.78,0.0
1989-12-20,PSI,菲律宾马尼拉,1034.05,1034.05,1034.05,1034.05,0.0
1989-12-21,PSI,菲律宾马尼拉,1058.92,1058.92,1058.92,1058.92,0.0
1989-12-22,PSI,菲律宾马尼拉,1086.37,1086.37,1086.37,1086.37,0.0
1989-12-26,PSI,菲律宾马尼拉,1137.71,1137.71,1137.71,1137.71,0.0
1989-12-27,PSI,菲律宾马尼拉,1123.14,1123.14,1123.14,1123.14,0.0
1989-12-28,PSI,菲律宾马尼拉,1110.83,1110.83,1110.83,1110.83,0.0
1989-12-29,PSI,菲律宾马尼拉,1110.64,1110.64,1110.64,1110.64,0.0
1990-01-02,PSI,菲律宾马尼拉,1120.76,1120.76,1120.76,1120.76,0.0
1990-01-03,PSI,菲律宾马尼拉,1114.74,1114.74,1114.74,1114.74,0.0
1990-01-04,PSI,菲律宾马尼拉,1129.25,1129.25,1129.25,1129.25,0.0
1990-01-05,PSI,菲律宾马尼拉,1128.61,1128.61,1128.61,1128.61,0.0
1990-01-08,PSI,菲律宾马尼拉,1131.37,1131.37,1131.37,1131.37,0.0
1990-01-09,PSI,菲律宾马尼拉,1124.16,1124.16,1124.16,1124.16,0.0
1990-01-10,PSI,菲律宾马尼拉,1124.15,1124.15,1124.15,1124.15,0.0
1990-01-11,PSI,菲律宾马尼拉,1114.84,1114.84,1114.84,1114.84,0.0
1990-01-12,PSI,菲律宾马尼拉,1105.05,1105.05,1105.05,1105.05,0.0
1990-01-15,PSI,菲律宾马尼拉,1085.71,1085.71,1085.71,1085.71,0.0
1990-01-16,PSI,菲律宾马尼拉,1061.3,1061.3,1061.3,1061.3,0.0
1990-01-17,PSI,菲律宾马尼拉,1065.07,1065.07,1065.07,1065.07,0.0
1990-01-18,PSI,菲律宾马尼拉,1067.48,1067.48,1067.48,1067.48,0.0
1990-01-19,PSI,菲律宾马尼拉,1087.76,1087.76,1087.76,1087.76,0.0
1990-01-22,PSI,菲律宾马尼拉,1090.44,1090.44,1090.44,1090.44,0.0
1990-01-23,PSI,菲律宾马尼拉,1079.46,1079.46,1079.46,1079.46,0.0
1990-01-24,PSI,菲律宾马尼拉,1069.27,1069.27,1069.27,1069.27,0.0
1990-01-25,PSI,菲律宾马尼拉,1060.64,1060.64,1060.64,1060.64,0.0
1990-01-26,PSI,菲律宾马尼拉,1052.47,1052.47,1052.47,1052.47,0.0
1990-01-29,PSI,菲律宾马尼拉,1069.0,1069.0,1069.0,1069.0,0.0
1990-01-30,PSI,菲律宾马尼拉,1066.28,1066.28,1066.28,1066.28,0.0
1990-01-31,PSI,菲律宾马尼拉,1052.59,1052.59,1052.59,1052.59,0.0
1990-02-01,PSI,菲律宾马尼拉,1047.35,1047.35,1047.35,1047.35,0.0
1990-02-02,PSI,菲律宾马尼拉,1021.54,1021.54,1021.54,1021.54,0.0
1990-02-05,PSI,菲律宾马尼拉,1020.61,1020.61,1020.61,1020.61,0.0
1990-02-06,PSI,菲律宾马尼拉,1032.38,1032.38,1032.38,1032.38,0.0
1990-02-07,PSI,菲律宾马尼拉,1037.22,1037.22,1037.22,1037.22,0.0
1990-02-08,PSI,菲律宾马尼拉,1037.04,1037.04,1037.04,1037.04,0.0
1990-02-09,PSI,菲律宾马尼拉,1043.96,1043.96,1043.96,1043.96,0.0
1990-02-12,PSI,菲律宾马尼拉,1048.09,1048.09,1048.09,1048.09,0.0
1990-02-13,PSI,菲律宾马尼拉,1058.26,1058.26,1058.26,1058.26,0.0
1990-02-14,PSI,菲律宾马尼拉,1060.66,1060.66,1060.66,1060.66,0.0
1990-02-15,PSI,菲律宾马尼拉,1039.53,1039.53,1039.53,1039.53,0.0
1990-02-16,PSI,菲律宾马尼拉,1045.03,1045.03,1045.03,1045.03,0.0
1990-02-19,PSI,菲律宾马尼拉,1052.61,1052.61,1052.61,1052.61,0.0
1990-02-20,PSI,菲律宾马尼拉,1051.88,1051.88,1051.88,1051.88,0.0
1990-02-21,PSI,菲律宾马尼拉,1046.62,1046.62,1046.62,1046.62,0.0
1990-02-22,PSI,菲律宾马尼拉,1043.65,1043.65,1043.65,1043.65,0.0
1990-02-23,PSI,菲律宾马尼拉,1038.07,1038.07,1038.07,1038.07,0.0
1990-02-26,PSI,菲律宾马尼拉,1032.5,1032.5,1032.5,1032.5,0.0
1990-02-27,PSI,菲律宾马尼拉,1027.32,1027.32,1027.32,1027.32,0.0
1990-02-28,PSI,菲律宾马尼拉,1022.05,1022.05,1022.05,1022.05,0.0
1990-03-01,PSI,菲律宾马尼拉,1024.28,1024.28,1024.28,1024.28,0.0
1990-03-02,PSI,菲律宾马尼拉,1033.33,1033.33,1033.33,1033.33,0.0
1990-03-05,PSI,菲律宾马尼拉,1021.35,1021.35,1021.35,1021.35,0.0
1990-03-06,PSI,菲律宾马尼拉,1028.04,1028.04,1028.04,1028.04,0.0
1990-03-07,PSI,菲律宾马尼拉,1036.12,1036.12,1036.12,1036.12,0.0
1990-03-08,PSI,菲律宾马尼拉,1042.37,1042.37,1042.37,1042.37,0.0
1990-03-09,PSI,菲律宾马尼拉,1044.72,1044.72,1044.72,1044.72,0.0
1990-03-12,PSI,菲律宾马尼拉,1045.26,1045.26,1045.26,1045.26,0.0
1990-03-13,PSI,菲律宾马尼拉,1065.38,1065.38,1065.38,1065.38,0.0
1990-03-14,PSI,菲律宾马尼拉,1089.86,1089.86,1089.86,1089.86,0.0
1990-03-15,PSI,菲律宾马尼拉,1121.2,1121.2,1121.2,1121.2,0.0
1990-03-16,PSI,菲律宾马尼拉,1132.87,1132.87,1132.87,1132.87,0.0
1990-03-19,PSI,菲律宾马尼拉,1154.42,1154.42,1154.42,1154.42,0.0
1990-03-20,PSI,菲律宾马尼拉,1122.37,1122.37,1122.37,1122.37,0.0
1990-03-21,PSI,菲律宾马尼拉,1163.65,1163.65,1163.65,1163.65,0.0
1990-03-22,PSI,菲律宾马尼拉,1139.17,1139.17,1139.17,1139.17,0.0
1990-03-23,PSI,菲律宾马尼拉,1121.9,1121.9,1121.9,1121.9,0.0
1990-03-26,PSI,菲律宾马尼拉,1133.85,1133.85,1133.85,1133.85,0.0
1990-03-27,PSI,菲律宾马尼拉,1134.46,1134.46,1134.46,1134.46,0.0
1990-03-28,PSI,菲律宾马尼拉,1126.8,1126.8,1126.8,1126.8,0.0
1990-03-29,PSI,菲律宾马尼拉,1105.65,1105.65,1105.65,1105.65,0.0
1990-03-30,PSI,菲律宾马尼拉,1104.31,1104.31,1104.31,1104.31,0.0
1990-04-02,PSI,菲律宾马尼拉,1098.09,1098.09,1098.09,1098.09,0.0
1990-04-03,PSI,菲律宾马尼拉,1091.89,1091.89,1091.89,1091.89,0.0
1990-04-04,PSI,菲律宾马尼拉,1102.39,1102.39,1102.39,1102.39,0.0
1990-04-05,PSI,菲律宾马尼拉,1096.92,1096.92,1096.92,1096.92,0.0
1990-04-06,PSI,菲律宾马尼拉,1093.97,1093.97,1093.97,1093.97,0.0
1990-04-10,PSI,菲律宾马尼拉,1084.88,1084.88,1084.88,1084.88,0.0
1990-04-11,PSI,菲律宾马尼拉,1100.27,1100.27,1100.27,1100.27,0.0
