日期,代码,名称,今开,最新价,最高,最低,振幅
1992-12-31,PSI20,葡萄牙PSI20,3000.0,3000.0,3000.0,3000.0,0.0
1993-01-04,PSI20,葡萄牙PSI20,2957.28,2957.28,2957.28,2957.28,0.0
1993-01-05,PSI20,葡萄牙PSI20,2960.8,2960.8,2960.8,2960.8,0.0
1993-01-06,PSI20,葡萄牙PSI20,2955.21,2955.21,2955.21,2955.21,0.0
1993-01-07,PSI20,葡萄牙PSI20,2948.66,2948.66,2948.66,2948.66,0.0
1993-01-08,PSI20,葡萄牙PSI20,2945.98,2945.98,2945.98,2945.98,0.0
1993-01-11,PSI20,葡萄牙PSI20,2928.35,2928.35,2928.35,2928.35,0.0
1993-01-12,PSI20,葡萄牙PSI20,2950.93,2950.93,2950.93,2950.93,0.0
1993-01-13,PSI20,葡萄牙PSI20,2920.75,2920.75,2920.75,2920.75,0.0
1993-01-14,PSI20,葡萄牙PSI20,2917.56,2917.56,2917.56,2917.56,0.0
1993-01-15,PSI20,葡萄牙PSI20,2926.59,2926.59,2926.59,2926.59,0.0
1993-01-18,PSI20,葡萄牙PSI20,2926.44,2926.44,2926.44,2926.44,0.0
1993-01-19,PSI20,葡萄牙PSI20,2943.6,2943.6,2943.6,2943.6,0.0
1993-01-20,PSI20,葡萄牙PSI20,2980.39,2980.39,2980.39,2980.39,0.0
1993-01-21,PSI20,葡萄牙PSI20,3025.38,3025.38,3025.38,3025.38,0.0
1993-01-22,PSI20,葡萄牙PSI20,3045.6,3045.6,3045.6,3045.6,0.0
1993-01-25,PSI20,葡萄牙PSI20,3089.53,3089.53,3089.53,3089.53,0.0
1993-01-26,PSI20,葡萄牙PSI20,3086.71,3086.71,3086.71,3086.71,0.0
1993-01-27,PSI20,葡萄牙PSI20,3061.72,3061.72,3061.72,3061.72,0.0
1993-01-28,PSI20,葡萄牙PSI20,3047.48,3047.48,3047.48,3047.48,0.0
1993-01-29,PSI20,葡萄牙PSI20,3055.97,3055.97,3055.97,3055.97,0.0
1993-02-01,PSI20,葡萄牙PSI20,3055.7,3055.7,3055.7,3055.7,0.0
1993-02-02,PSI20,葡萄牙PSI20,3092.61,3092.61,3092.61,3092.61,0.0
1993-02-03,PSI20,葡萄牙PSI20,3103.53,3103.53,3103.53,3103.53,0.0
1993-02-04,PSI20,葡萄牙PSI20,3098.77,3098.77,3098.77,3098.77,0.0
1993-02-05,PSI20,葡萄牙PSI20,3120.85,3120.85,3120.85,3120.85,0.0
1993-02-08,PSI20,葡萄牙PSI20,3118.99,3118.99,3118.99,3118.99,0.0
1993-02-09,PSI20,葡萄牙PSI20,3173.15,3173.15,3173.15,3173.15,0.0
1993-02-10,PSI20,葡萄牙PSI20,3148.89,3148.89,3148.89,3148.89,0.0
1993-02-11,PSI20,葡萄牙PSI20,3179.26,3179.26,3179.26,3179.26,0.0
1993-02-12,PSI20,葡萄牙PSI20,3201.35,3201.35,3201.35,3201.35,0.0
1993-02-15,PSI20,葡萄牙PSI20,3202.43,3202.43,3202.43,3202.43,0.0
1993-02-16,PSI20,葡萄牙PSI20,3208.61,3208.61,3208.61,3208.61,0.0
1993-02-17,PSI20,葡萄牙PSI20,3211.61,3211.61,3211.61,3211.61,0.0
1993-02-18,PSI20,葡萄牙PSI20,3256.69,3256.69,3256.69,3256.69,0.0
1993-02-19,PSI20,葡萄牙PSI20,3295.7,3295.7,3295.7,3295.7,0.0
1993-02-22,PSI20,葡萄牙PSI20,3325.56,3325.56,3325.56,3325.56,0.0
1993-02-24,PSI20,葡萄牙PSI20,3361.9,3361.9,3361.9,3361.9,0.0
1993-02-25,PSI20,葡萄牙PSI20,3306.51,3306.51,3306.51,3306.51,0.0
1993-02-26,PSI20,葡萄牙PSI20,3314.25,3314.25,3314.25,3314.25,0.0
1993-03-01,PSI20,葡萄牙PSI20,3327.64,3327.64,3327.64,3327.64,0.0
1993-03-02,PSI20,葡萄牙PSI20,3297.53,3297.53,3297.53,3297.53,0.0
1993-03-03,PSI20,葡萄牙PSI20,3291.75,3291.75,3291.75,3291.75,0.0
1993-03-04,PSI20,葡萄牙PSI20,3247.74,3247.74,3247.74,3247.74,0.0
1993-03-05,PSI20,葡萄牙PSI20,3238.19,3238.19,3238.19,3238.19,0.0
1993-03-08,PSI20,葡萄牙PSI20,3217.09,3217.09,3217.09,3217.09,0.0
1993-03-09,PSI20,葡萄牙PSI20,3194.14,3194.14,3194.14,3194.14,0.0
1993-03-10,PSI20,葡萄牙PSI20,3161.41,3161.41,3161.41,3161.41,0.0
1993-03-11,PSI20,葡萄牙PSI20,3140.33,3140.33,3140.33,3140.33,0.0
1993-03-12,PSI20,葡萄牙PSI20,3150.74,3150.74,3150.74,3150.74,0.0
1993-03-15,PSI20,葡萄牙PSI20,3150.6,3150.6,3150.6,3150.6,0.0
1993-03-16,PSI20,葡萄牙PSI20,3162.97,3162.97,3162.97,3162.97,0.0
1993-03-17,PSI20,葡萄牙PSI20,3194.24,3194.24,3194.24,3194.24,0.0
1993-03-18,PSI20,葡萄牙PSI20,3198.03,3198.03,3198.03,3198.03,0.0
1993-03-19,PSI20,葡萄牙PSI20,3187.34,3187.34,3187.34,3187.34,0.0
1993-03-22,PSI20,葡萄牙PSI20,3191.64,3191.64,3191.64,3191.64,0.0
1993-03-23,PSI20,葡萄牙PSI20,3178.59,3178.59,3178.59,3178.59,0.0
1993-03-24,PSI20,葡萄牙PSI20,3164.7,3164.7,3164.7,3164.7,0.0
1993-03-25,PSI20,葡萄牙PSI20,3170.53,3170.53,3170.53,3170.53,0.0
1993-03-26,PSI20,葡萄牙PSI20,3176.1,3176.1,3176.1,3176.1,0.0
1993-03-29,PSI20,葡萄牙PSI20,3180.62,3180.62,3180.62,3180.62,0.0
1993-03-30,PSI20,葡萄牙PSI20,3188.37,3188.37,3188.37,3188.37,0.0
1993-03-31,PSI20,葡萄牙PSI20,3187.65,3187.65,3187.65,3187.65,0.0
1993-04-01,PSI20,葡萄牙PSI20,3174.0,3174.0,3174.0,3174.0,0.0
1993-04-02,PSI20,葡萄牙PSI20,3180.36,3180.36,3180.36,3180.36,0.0
1993-04-05,PSI20,葡萄牙PSI20,3170.34,3170.34,3170.34,3170.34,0.0
1993-04-06,PSI20,葡萄牙PSI20,3170.75,3170.75,3170.75,3170.75,0.0
1993-04-07,PSI20,葡萄牙PSI20,3166.6,3166.6,3166.6,3166.6,0.0
1993-04-08,PSI20,葡萄牙PSI20,3163.3,3163.3,3163.3,3163.3,0.0
1993-04-13,PSI20,葡萄牙PSI20,3158.06,3158.06,3158.06,3158.06,0.0
1993-04-14,PSI20,葡萄牙PSI20,3161.86,3161.86,3161.86,3161.86,0.0
1993-04-15,PSI20,葡萄牙PSI20,3161.18,3161.18,3161.18,3161.18,0.0
1993-04-16,PSI20,葡萄牙PSI20,3162.5,3162.5,3162.5,3162.5,0.0
1993-04-19,PSI20,葡萄牙PSI20,3161.04,3161.04,3161.04,3161.04,0.0
1993-04-20,PSI20,葡萄牙PSI20,3167.92,3167.92,3167.92,3167.92,0.0
1993-04-21,PSI20,葡萄牙PSI20,3180.19,3180.19,3180.19,3180.19,0.0
1993-04-22,PSI20,葡萄牙PSI20,3153.98,3153.98,3153.98,3153.98,0.0
1993-04-23,PSI20,葡萄牙PSI20,3137.49,3137.49,3137.49,3137.49,0.0
1993-04-26,PSI20,葡萄牙PSI20,3133.7,3133.7,3133.7,3133.7,0.0
1993-04-27,PSI20,葡萄牙PSI20,3113.86,3113.86,3113.86,3113.86,0.0
1993-04-28,PSI20,葡萄牙PSI20,3102.12,3102.12,3102.12,3102.12,0.0
1993-04-29,PSI20,葡萄牙PSI20,3059.7,3059.7,3059.7,3059.7,0.0
1993-04-30,PSI20,葡萄牙PSI20,3057.14,3057.14,3057.14,3057.14,0.0
1993-05-03,PSI20,葡萄牙PSI20,3029.58,3029.58,3029.58,3029.58,0.0
1993-05-04,PSI20,葡萄牙PSI20,3018.81,3018.81,3018.81,3018.81,0.0
1993-05-05,PSI20,葡萄牙PSI20,2998.61,2998.61,2998.61,2998.61,0.0
1993-05-06,PSI20,葡萄牙PSI20,2984.73,2984.73,2984.73,2984.73,0.0
1993-05-07,PSI20,葡萄牙PSI20,3020.55,3020.55,3020.55,3020.55,0.0
1993-05-10,PSI20,葡萄牙PSI20,2978.25,2978.25,2978.25,2978.25,0.0
