日期,代码,名称,今开,最新价,最高,最低,振幅
1987-01-05,IBEX,西班牙IBEX35,2201.0,2201.0,2201.0,2201.0,0.0
1987-01-07,IBEX,西班牙IBEX35,2205.6,2205.6,2205.6,2205.6,0.0
1987-01-08,IBEX,西班牙IBEX35,2197.2,2197.2,2197.2,2197.2,0.0
1987-01-09,IBEX,西班牙IBEX35,2262.1,2262.1,2262.1,2262.1,0.0
1987-01-12,IBEX,西班牙IBEX35,2314.2,2314.2,2314.2,2314.2,0.0
1987-01-13,IBEX,西班牙IBEX35,2374.7,2374.7,2374.7,2374.7,0.0
1987-01-14,IBEX,西班牙IBEX35,2365.2,2365.2,2365.2,2365.2,0.0
1987-01-15,IBEX,西班牙IBEX35,2419.6,2419.6,2419.6,2419.6,0.0
1987-01-16,IBEX,西班牙IBEX35,2396.5,2396.5,2396.5,2396.5,0.0
1987-01-19,IBEX,西班牙IBEX35,2415.7,2415.7,2415.7,2415.7,0.0
1987-01-20,IBEX,西班牙IBEX35,2429.9,2429.9,2429.9,2429.9,0.0
1987-01-21,IBEX,西班牙IBEX35,2453.8,2453.8,2453.8,2453.8,0.0
1987-01-22,IBEX,西班牙IBEX35,2438.0,2438.0,2438.0,2438.0,0.0
1987-01-23,IBEX,西班牙IBEX35,2447.3,2447.3,2447.3,2447.3,0.0
1987-01-26,IBEX,西班牙IBEX35,2454.2,2454.2,2454.2,2454.2,0.0
1987-01-27,IBEX,西班牙IBEX35,2477.0,2477.0,2477.0,2477.0,0.0
1987-01-28,IBEX,西班牙IBEX35,2499.4,2499.4,2499.4,2499.4,0.0
1987-01-29,IBEX,西班牙IBEX35,2526.9,2526.9,2526.9,2526.9,0.0
1987-01-30,IBEX,西班牙IBEX35,2499.9,2499.9,2499.9,2499.9,0.0
1987-02-02,IBEX,西班牙IBEX35,2514.4,2514.4,2514.4,2514.4,0.0
1987-02-03,IBEX,西班牙IBEX35,2536.9,2536.9,2536.9,2536.9,0.0
1987-02-04,IBEX,西班牙IBEX35,2562.3,2562.3,2562.3,2562.3,0.0
1987-02-05,IBEX,西班牙IBEX35,2519.4,2519.4,2519.4,2519.4,0.0
1987-02-06,IBEX,西班牙IBEX35,2460.2,2460.2,2460.2,2460.2,0.0
1987-02-09,IBEX,西班牙IBEX35,2457.0,2457.0,2457.0,2457.0,0.0
1987-02-10,IBEX,西班牙IBEX35,2432.7,2432.7,2432.7,2432.7,0.0
1987-02-11,IBEX,西班牙IBEX35,2357.6,2357.6,2357.6,2357.6,0.0
1987-02-12,IBEX,西班牙IBEX35,2313.9,2313.9,2313.9,2313.9,0.0
1987-02-13,IBEX,西班牙IBEX35,2339.0,2339.0,2339.0,2339.0,0.0
1987-02-16,IBEX,西班牙IBEX35,2409.5,2409.5,2409.5,2409.5,0.0
1987-02-17,IBEX,西班牙IBEX35,2524.2,2524.2,2524.2,2524.2,0.0
1987-02-18,IBEX,西班牙IBEX35,2583.7,2583.7,2583.7,2583.7,0.0
1987-02-19,IBEX,西班牙IBEX35,2584.4,2584.4,2584.4,2584.4,0.0
1987-02-20,IBEX,西班牙IBEX35,2610.4,2610.4,2610.4,2610.4,0.0
1987-02-23,IBEX,西班牙IBEX35,2652.9,2652.9,2652.9,2652.9,0.0
1987-02-24,IBEX,西班牙IBEX35,2615.2,2615.2,2615.2,2615.2,0.0
1987-02-25,IBEX,西班牙IBEX35,2535.4,2535.4,2535.4,2535.4,0.0
1987-02-26,IBEX,西班牙IBEX35,2558.6,2558.6,2558.6,2558.6,0.0
1987-02-27,IBEX,西班牙IBEX35,2612.4,2612.4,2612.4,2612.4,0.0
1987-03-02,IBEX,西班牙IBEX35,2624.0,2624.0,2624.0,2624.0,0.0
1987-03-03,IBEX,西班牙IBEX35,2560.6,2560.6,2560.6,2560.6,0.0
1987-03-04,IBEX,西班牙IBEX35,2549.1,2549.1,2549.1,2549.1,0.0
1987-03-05,IBEX,西班牙IBEX35,2529.8,2529.8,2529.8,2529.8,0.0
1987-03-06,IBEX,西班牙IBEX35,2495.6,2495.6,2495.6,2495.6,0.0
1987-03-09,IBEX,西班牙IBEX35,2482.8,2482.8,2482.8,2482.8,0.0
1987-03-10,IBEX,西班牙IBEX35,2440.0,2440.0,2440.0,2440.0,0.0
1987-03-11,IBEX,西班牙IBEX35,2399.8,2399.8,2399.8,2399.8,0.0
1987-03-12,IBEX,西班牙IBEX35,2383.4,2383.4,2383.4,2383.4,0.0
1987-03-13,IBEX,西班牙IBEX35,2390.5,2390.5,2390.5,2390.5,0.0
1987-03-16,IBEX,西班牙IBEX35,2417.0,2417.0,2417.0,2417.0,0.0
1987-03-17,IBEX,西班牙IBEX35,2388.9,2388.9,2388.9,2388.9,0.0
1987-03-18,IBEX,西班牙IBEX35,2381.3,2381.3,2381.3,2381.3,0.0
1987-03-20,IBEX,西班牙IBEX35,2378.8,2378.8,2378.8,2378.8,0.0
1987-03-23,IBEX,西班牙IBEX35,2356.7,2356.7,2356.7,2356.7,0.0
1987-03-24,IBEX,西班牙IBEX35,2345.3,2345.3,2345.3,2345.3,0.0
1987-03-25,IBEX,西班牙IBEX35,2341.3,2341.3,2341.3,2341.3,0.0
1987-03-26,IBEX,西班牙IBEX35,2336.5,2336.5,2336.5,2336.5,0.0
1987-03-27,IBEX,西班牙IBEX35,2357.2,2357.2,2357.2,2357.2,0.0
1987-03-30,IBEX,西班牙IBEX35,2377.4,2377.4,2377.4,2377.4,0.0
1987-03-31,IBEX,西班牙IBEX35,2338.1,2338.1,2338.1,2338.1,0.0
1987-04-01,IBEX,西班牙IBEX35,2324.0,2324.0,2324.0,2324.0,0.0
1987-04-02,IBEX,西班牙IBEX35,2306.1,2306.1,2306.1,2306.1,0.0
1987-04-03,IBEX,西班牙IBEX35,2303.5,2303.5,2303.5,2303.5,0.0
1987-04-06,IBEX,西班牙IBEX35,2288.7,2288.7,2288.7,2288.7,0.0
1987-04-08,IBEX,西班牙IBEX35,2293.6,2293.6,2293.6,2293.6,0.0
1987-04-09,IBEX,西班牙IBEX35,2308.3,2308.3,2308.3,2308.3,0.0
1987-04-10,IBEX,西班牙IBEX35,2373.5,2373.5,2373.5,2373.5,0.0
1987-04-13,IBEX,西班牙IBEX35,2440.9,2440.9,2440.9,2440.9,0.0
1987-04-14,IBEX,西班牙IBEX35,2434.6,2434.6,2434.6,2434.6,0.0
1987-04-15,IBEX,西班牙IBEX35,2423.3,2423.3,2423.3,2423.3,0.0
1987-04-20,IBEX,西班牙IBEX35,2433.6,2433.6,2433.6,2433.6,0.0
1987-04-21,IBEX,西班牙IBEX35,2436.2,2436.2,2436.2,2436.2,0.0
1987-04-22,IBEX,西班牙IBEX35,2481.1,2481.1,2481.1,2481.1,0.0
1987-04-23,IBEX,西班牙IBEX35,2435.5,2435.5,2435.5,2435.5,0.0
1987-04-24,IBEX,西班牙IBEX35,2388.5,2388.5,2388.5,2388.5,0.0
1987-04-27,IBEX,西班牙IBEX35,2347.6,2347.6,2347.6,2347.6,0.0
1987-04-28,IBEX,西班牙IBEX35,2313.8,2313.8,2313.8,2313.8,0.0
1987-04-29,IBEX,西班牙IBEX35,2339.4,2339.4,2339.4,2339.4,0.0
1987-04-30,IBEX,西班牙IBEX35,2327.2,2327.2,2327.2,2327.2,0.0
1987-05-04,IBEX,西班牙IBEX35,2298.3,2298.3,2298.3,2298.3,0.0
1987-05-05,IBEX,西班牙IBEX35,2218.8,2218.8,2218.8,2218.8,0.0
1987-05-06,IBEX,西班牙IBEX35,2165.0,2165.0,2165.0,2165.0,0.0
1987-05-07,IBEX,西班牙IBEX35,2127.4,2127.4,2127.4,2127.4,0.0
1987-05-08,IBEX,西班牙IBEX35,2135.6,2135.6,2135.6,2135.6,0.0
1987-05-11,IBEX,西班牙IBEX35,2162.3,2162.3,2162.3,2162.3,0.0
1987-05-12,IBEX,西班牙IBEX35,2211.4,2211.4,2211.4,2211.4,0.0
1987-05-13,IBEX,西班牙IBEX35,2259.6,2259.6,2259.6,2259.6,0.0
1987-05-14,IBEX,西班牙IBEX35,2312.2,2312.2,2312.2,2312.2,0.0
1987-05-18,IBEX,西班牙IBEX35,2351.9,2351.9,2351.9,2351.9,0.0
1987-05-19,IBEX,西班牙IBEX35,2353.2,2353.2,2353.2,2353.2,0.0
1987-05-20,IBEX,西班牙IBEX35,2366.4,2366.4,2366.4,2366.4,0.0
1987-05-21,IBEX,西班牙IBEX35,2334.7,2334.7,2334.7,2334.7,0.0
1987-05-22,IBEX,西班牙IBEX35,2343.6,2343.6,2343.6,2343.6,0.0
1987-05-25,IBEX,西班牙IBEX35,2376.5,2376.5,2376.5,2376.5,0.0
1987-05-26,IBEX,西班牙IBEX35,2416.2,2416.2,2416.2,2416.2,0.0
1987-05-27,IBEX,西班牙IBEX35,2436.2,2436.2,2436.2,2436.2,0.0
1987-05-28,IBEX,西班牙IBEX35,2433.7,2433.7,2433.7,2433.7,0.0
1987-05-29,IBEX,西班牙IBEX35,2413.2,2413.2,2413.2,2413.2,0.0
1987-06-01,IBEX,西班牙IBEX35,2436.4,2436.4,2436.4,2436.4,0.0
1987-06-02,IBEX,西班牙IBEX35,2423.8,2423.8,2423.8,2423.8,0.0
1987-06-03,IBEX,西班牙IBEX35,2416.6,2416.6,2416.6,2416.6,0.0
1987-06-04,IBEX,西班牙IBEX35,2391.7,2391.7,2391.7,2391.7,0.0
1987-06-05,IBEX,西班牙IBEX35,2368.3,2368.3,2368.3,2368.3,0.0
1987-06-08,IBEX,西班牙IBEX35,2345.8,2345.8,2345.8,2345.8,0.0
1987-06-09,IBEX,西班牙IBEX35,2364.8,2364.8,2364.8,2364.8,0.0
1987-06-10,IBEX,西班牙IBEX35,2375.4,2375.4,2375.4,2375.4,0.0
1987-06-11,IBEX,西班牙IBEX35,2379.2,2379.2,2379.2,2379.2,0.0
1987-06-12,IBEX,西班牙IBEX35,2400.5,2400.5,2400.5,2400.5,0.0
1987-06-15,IBEX,西班牙IBEX35,2423.1,2423.1,2423.1,2423.1,0.0
1987-06-16,IBEX,西班牙IBEX35,2418.8,2418.8,2418.8,2418.8,0.0
1987-06-17,IBEX,西班牙IBEX35,2414.2,2414.2,2414.2,2414.2,0.0
1987-06-19,IBEX,西班牙IBEX35,2444.0,2444.0,2444.0,2444.0,0.0
1987-06-23,IBEX,西班牙IBEX35,2537.2,2537.2,2537.2,2537.2,0.0
1987-06-24,IBEX,西班牙IBEX35,2550.2,2550.2,2550.2,2550.2,0.0
1987-06-25,IBEX,西班牙IBEX35,2562.4,2562.4,2562.4,2562.4,0.0
1987-06-26,IBEX,西班牙IBEX35,2587.6,2587.6,2587.6,2587.6,0.0
1987-06-29,IBEX,西班牙IBEX35,2605.6,2605.6,2605.6,2605.6,0.0
1987-06-30,IBEX,西班牙IBEX35,2604.7,2604.7,2604.7,2604.7,0.0
1987-07-01,IBEX,西班牙IBEX35,2584.1,2584.1,2584.1,2584.1,0.0
1987-07-02,IBEX,西班牙IBEX35,2568.6,2568.6,2568.6,2568.6,0.0
1987-07-03,IBEX,西班牙IBEX35,2571.5,2571.5,2571.5,2571.5,0.0
1987-07-06,IBEX,西班牙IBEX35,2619.2,2619.2,2619.2,2619.2,0.0
1987-07-07,IBEX,西班牙IBEX35,2637.5,2637.5,2637.5,2637.5,0.0
1987-07-08,IBEX,西班牙IBEX35,2675.8,2675.8,2675.8,2675.8,0.0
1987-07-09,IBEX,西班牙IBEX35,2704.8,2704.8,2704.8,2704.8,0.0
1987-07-10,IBEX,西班牙IBEX35,2687.2,2687.2,2687.2,2687.2,0.0
1987-07-13,IBEX,西班牙IBEX35,2709.2,2709.2,2709.2,2709.2,0.0
1987-07-14,IBEX,西班牙IBEX35,2705.9,2705.9,2705.9,2705.9,0.0
1987-07-15,IBEX,西班牙IBEX35,2681.7,2681.7,2681.7,2681.7,0.0
