日期,代码,名称,今开,最新价,最高,最低,振幅
2010-09-20,VNINDEX,越南胡志明,462.01,457.87,462.83,457.87,0.0
2010-09-21,VNINDEX,越南胡志明,457.73,453.32,457.92,453.32,1.0
2010-09-22,VNINDEX,越南胡志明,453.01,453.9,455.81,453.01,0.62
2010-09-23,VNINDEX,越南胡志明,453.9,450.77,453.9,447.16,1.48
2010-09-24,VNINDEX,越南胡志明,449.13,449.71,452.28,448.16,0.91
2010-09-26,VNINDEX,越南胡志明,449.13,449.71,452.28,448.16,0.92
2010-09-27,VNINDEX,越南胡志明,451.17,450.2,452.51,449.37,0.7
2010-09-28,VNINDEX,越南胡志明,452.07,455.13,455.13,452.07,0.68
2010-09-29,VNINDEX,越南胡志明,457.99,452.94,458.0,452.94,1.11
2010-09-30,VNINDEX,越南胡志明,452.71,454.52,454.52,451.28,0.72
2010-10-01,VNINDEX,越南胡志明,454.41,451.71,455.46,451.71,0.83
2010-10-04,VNINDEX,越南胡志明,452.38,445.83,452.38,443.98,1.86
2010-10-05,VNINDEX,越南胡志明,440.91,450.96,450.96,440.63,2.32
2010-10-06,VNINDEX,越南胡志明,452.88,460.72,460.72,452.78,1.76
2010-10-07,VNINDEX,越南胡志明,461.99,462.05,467.61,460.16,1.62
2010-10-08,VNINDEX,越南胡志明,459.3,459.26,465.05,459.26,1.25
2010-10-11,VNINDEX,越南胡志明,457.41,459.32,461.48,456.6,1.06
2010-10-12,VNINDEX,越南胡志明,457.19,454.32,459.94,453.72,1.35
2010-10-13,VNINDEX,越南胡志明,453.23,457.7,457.7,452.19,1.21
2010-10-14,VNINDEX,越南胡志明,459.79,458.66,460.92,457.88,0.66
2010-10-15,VNINDEX,越南胡志明,457.07,458.39,458.39,455.73,0.58
2010-10-18,VNINDEX,越南胡志明,458.44,457.59,459.35,456.0,0.73
2010-10-19,VNINDEX,越南胡志明,458.44,454.25,459.39,451.82,1.65
2010-10-20,VNINDEX,越南胡志明,450.79,442.17,451.04,441.16,2.18
2010-10-21,VNINDEX,越南胡志明,442.09,445.05,445.25,440.59,1.05
2010-10-22,VNINDEX,越南胡志明,444.84,445.21,446.39,441.5,1.1
2010-10-25,VNINDEX,越南胡志明,444.67,448.61,448.61,443.12,1.23
2010-10-26,VNINDEX,越南胡志明,450.23,455.12,458.23,450.23,1.78
2010-10-27,VNINDEX,越南胡志明,455.23,450.01,455.93,448.9,1.54
2010-10-28,VNINDEX,越南胡志明,448.62,450.07,451.51,448.28,0.72
2010-10-29,VNINDEX,越南胡志明,450.5,452.63,452.79,450.29,0.56
2010-11-01,VNINDEX,越南胡志明,451.81,451.06,451.86,449.83,0.45
2010-11-02,VNINDEX,越南胡志明,451.06,446.3,451.06,445.6,1.21
2010-11-03,VNINDEX,越南胡志明,445.33,444.16,445.76,442.34,0.77
2010-11-04,VNINDEX,越南胡志明,444.13,448.95,448.95,443.97,1.12
2010-11-05,VNINDEX,越南胡志明,452.41,457.27,457.27,450.09,1.6
2010-11-08,VNINDEX,越南胡志明,457.5,457.13,458.74,454.41,0.95
2010-11-09,VNINDEX,越南胡志明,455.58,449.4,455.65,449.4,1.37
2010-11-10,VNINDEX,越南胡志明,447.72,451.26,451.26,447.61,0.81
2010-11-11,VNINDEX,越南胡志明,451.24,446.69,451.61,446.31,1.17
2010-11-12,VNINDEX,越南胡志明,444.78,441.6,446.86,436.5,2.32
2010-11-15,VNINDEX,越南胡志明,440.61,433.54,443.08,432.72,2.35
2010-11-16,VNINDEX,越南胡志明,431.08,426.89,431.33,425.05,1.45
2010-11-17,VNINDEX,越南胡志明,426.89,425.5,430.24,424.32,1.39
2010-11-18,VNINDEX,越南胡志明,427.74,430.72,432.05,427.74,1.01
2010-11-19,VNINDEX,越南胡志明,434.39,426.51,434.42,426.51,1.84
2010-11-22,VNINDEX,越南胡志明,422.71,426.19,426.19,419.98,1.46
2010-11-23,VNINDEX,越南胡志明,426.19,430.81,430.81,426.03,1.12
2010-11-24,VNINDEX,越南胡志明,430.73,434.48,434.48,427.99,1.51
2010-11-25,VNINDEX,越南胡志明,434.7,439.85,440.19,434.7,1.26
2010-11-26,VNINDEX,越南胡志明,441.88,439.94,443.68,437.29,1.45
2010-11-29,VNINDEX,越南胡志明,437.92,446.36,446.36,436.38,2.27
