日期,代码,名称,今开,最新价,最高,最低,振幅
2012-05-11,CRB,路透CRB商品指数,292.64,291.8,293.63,291.55,0.0
2012-05-14,CRB,路透CRB商品指数,289.3,288.45,289.52,287.79,0.59
2012-05-15,CRB,路透CRB商品指数,288.78,289.14,289.76,287.98,0.62
2012-05-16,CRB,路透CRB商品指数,287.99,289.35,289.88,287.71,0.75
2012-05-17,CRB,路透CRB商品指数,289.53,289.55,290.17,288.8,0.47
2012-05-18,CRB,路透CRB商品指数,290.65,290.43,291.48,290.06,0.49
2012-05-21,CRB,路透CRB商品指数,290.48,289.8,291.08,289.41,0.58
2012-05-22,CRB,路透CRB商品指数,289.56,286.5,290.01,286.38,1.25
2012-05-23,CRB,路透CRB商品指数,284.26,281.44,284.26,280.35,1.36
2012-05-24,CRB,路透CRB商品指数,282.83,281.92,284.05,281.41,0.94
2012-05-25,CRB,路透CRB商品指数,282.6,281.95,282.7,281.23,0.52
2012-05-29,CRB,路透CRB商品指数,282.48,279.74,284.32,279.49,1.71
2012-05-30,CRB,路透CRB商品指数,277.68,275.05,277.68,274.52,1.13
2012-05-31,CRB,路透CRB商品指数,275.05,272.97,275.29,272.8,0.91
2012-06-01,CRB,路透CRB商品指数,269.21,268.31,270.42,267.49,1.07
2012-06-04,CRB,路透CRB商品指数,267.1,270.0,270.09,266.99,1.16
2012-06-05,CRB,路透CRB商品指数,269.84,270.38,271.49,269.78,0.63
2012-06-06,CRB,路透CRB商品指数,272.69,273.77,275.02,271.94,1.14
2012-06-07,CRB,路透CRB商品指数,275.88,274.01,276.54,273.15,1.24
2012-06-08,CRB,路透CRB商品指数,270.48,272.88,272.88,270.17,0.99
2012-06-11,CRB,路透CRB商品指数,274.17,270.75,274.71,270.65,1.49
2012-06-12,CRB,路透CRB商品指数,270.01,270.86,271.67,269.8,0.69
2012-06-13,CRB,路透CRB商品指数,270.71,269.29,271.48,269.27,0.82
2012-06-14,CRB,路透CRB商品指数,269.16,272.06,272.36,269.04,1.23
2012-06-15,CRB,路透CRB商品指数,272.97,272.23,273.44,271.83,0.59
2012-06-18,CRB,路透CRB商品指数,271.34,273.62,273.81,270.24,1.31
2012-06-19,CRB,路透CRB商品指数,274.04,277.21,277.75,273.52,1.55
2012-06-20,CRB,路透CRB商品指数,277.44,272.91,277.62,272.24,1.94
2012-06-21,CRB,路透CRB商品指数,271.42,267.16,271.94,267.07,1.78
2012-06-22,CRB,路透CRB商品指数,267.47,267.97,268.88,266.78,0.79
2012-06-25,CRB,路透CRB商品指数,267.95,270.9,271.0,267.32,1.37
2012-06-26,CRB,路透CRB商品指数,271.24,272.76,272.78,270.76,0.75
2012-06-27,CRB,路透CRB商品指数,273.6,275.2,277.01,273.41,1.32
2012-06-28,CRB,路透CRB商品指数,275.06,271.81,275.55,271.15,1.6
2012-06-29,CRB,路透CRB商品指数,276.29,284.19,284.33,276.27,2.97
2012-07-02,CRB,路透CRB商品指数,282.74,284.21,284.24,281.65,0.91
2012-07-03,CRB,路透CRB商品指数,287.35,292.64,292.64,287.21,1.91
2012-07-05,CRB,路透CRB商品指数,293.16,293.26,294.82,291.64,1.09
2012-07-06,CRB,路透CRB商品指数,290.84,286.92,291.26,286.8,1.52
2012-07-09,CRB,路透CRB商品指数,287.49,292.7,293.3,287.49,2.02
2012-07-10,CRB,路透CRB商品指数,292.47,288.65,293.0,288.62,1.5
2012-07-11,CRB,路透CRB商品指数,289.96,290.79,292.7,289.36,1.16
2012-07-12,CRB,路透CRB商品指数,287.87,290.27,290.84,286.93,1.34
2012-07-13,CRB,路透CRB商品指数,292.72,293.96,294.19,291.36,0.97
2012-07-16,CRB,路透CRB商品指数,293.71,295.98,296.06,292.69,1.15
2012-07-17,CRB,路透CRB商品指数,296.35,295.64,296.52,293.45,1.04
2012-07-18,CRB,路透CRB商品指数,295.14,299.08,299.14,294.44,1.59
2012-07-19,CRB,路透CRB商品指数,301.52,304.97,305.04,301.13,1.31
2012-07-20,CRB,路透CRB商品指数,303.02,304.57,304.62,302.4,0.73
2012-07-23,CRB,路透CRB商品指数,299.55,298.88,300.64,298.05,0.85
2012-07-24,CRB,路透CRB商品指数,298.18,296.37,299.68,295.02,1.56
2012-07-25,CRB,路透CRB商品指数,296.47,297.24,297.71,294.53,1.07
2012-07-26,CRB,路透CRB商品指数,298.86,297.47,299.97,296.9,1.03
2012-07-27,CRB,路透CRB商品指数,298.13,299.6,299.97,297.62,0.79
2012-07-30,CRB,路透CRB商品指数,299.88,302.5,302.66,299.62,1.01
2012-07-31,CRB,路透CRB商品指数,302.64,299.51,302.83,299.02,1.26
2012-08-01,CRB,路透CRB商品指数,299.74,299.23,299.98,297.79,0.73
2012-08-02,CRB,路透CRB商品指数,299.1,294.5,299.85,294.48,1.79
2012-08-03,CRB,路透CRB商品指数,295.36,300.69,301.13,295.08,2.05
2012-08-06,CRB,路透CRB商品指数,300.0,301.75,301.96,299.65,0.77
2012-08-07,CRB,路透CRB商品指数,302.81,303.87,304.59,302.27,0.77
2012-08-08,CRB,路透CRB商品指数,303.0,304.32,304.91,302.54,0.78
2012-08-09,CRB,路透CRB商品指数,304.06,304.81,306.54,303.95,0.85
2012-08-10,CRB,路透CRB商品指数,302.53,301.81,303.37,301.31,0.68
2012-08-13,CRB,路透CRB商品指数,302.65,299.0,302.78,299.0,1.25
2012-08-14,CRB,路透CRB商品指数,300.08,300.32,300.88,299.44,0.48
2012-08-15,CRB,路透CRB商品指数,299.8,301.71,302.15,299.31,0.95
2012-08-16,CRB,路透CRB商品指数,301.83,302.39,302.82,300.98,0.61
2012-08-17,CRB,路透CRB商品指数,301.95,303.48,303.95,301.89,0.68
2012-08-20,CRB,路透CRB商品指数,303.77,304.76,304.79,302.7,0.69
2012-08-21,CRB,路透CRB商品指数,306.25,307.63,308.59,306.21,0.78
2012-08-22,CRB,路透CRB商品指数,307.0,308.02,308.08,306.59,0.48
2012-08-23,CRB,路透CRB商品指数,308.85,307.24,309.17,306.17,0.97
2012-08-24,CRB,路透CRB商品指数,306.48,306.04,308.09,305.99,0.68
2012-08-27,CRB,路透CRB商品指数,308.22,305.89,309.05,305.64,1.11
2012-08-28,CRB,路透CRB商品指数,306.09,306.91,307.12,305.71,0.46
2012-08-29,CRB,路透CRB商品指数,306.21,307.12,307.23,305.79,0.47
2012-08-30,CRB,路透CRB商品指数,307.26,306.51,307.78,306.05,0.56
2012-08-31,CRB,路透CRB商品指数,307.64,309.59,309.88,307.07,0.92
2012-09-04,CRB,路透CRB商品指数,310.52,308.81,310.59,308.59,0.65
2012-09-05,CRB,路透CRB商品指数,308.4,308.28,309.48,307.62,0.6
2012-09-06,CRB,路透CRB商品指数,310.01,308.89,310.67,308.75,0.62
2012-09-07,CRB,路透CRB商品指数,310.0,311.67,312.07,308.58,1.13
2012-09-10,CRB,路透CRB商品指数,311.45,313.24,313.46,311.17,0.73
2012-09-11,CRB,路透CRB商品指数,313.53,314.9,315.06,313.46,0.51
2012-09-12,CRB,路透CRB商品指数,315.85,315.7,315.95,314.3,0.52
2012-09-13,CRB,路透CRB商品指数,315.98,317.45,317.5,314.92,0.82
2012-09-14,CRB,路透CRB商品指数,320.41,320.93,321.36,319.59,0.56
2012-09-17,CRB,路透CRB商品指数,320.25,314.46,320.55,312.98,2.36
2012-09-18,CRB,路透CRB商品指数,312.94,311.56,314.2,311.56,0.84
2012-09-19,CRB,路透CRB商品指数,310.68,308.41,311.42,307.55,1.24
2012-09-20,CRB,路透CRB商品指数,307.94,306.93,308.38,306.54,0.6
2012-09-21,CRB,路透CRB商品指数,308.37,308.98,309.61,308.3,0.43
2012-09-24,CRB,路透CRB商品指数,306.53,305.93,306.75,305.11,0.53
2012-09-25,CRB,路透CRB商品指数,307.61,306.71,308.31,306.21,0.69
2012-09-26,CRB,路透CRB商品指数,305.52,303.74,305.52,302.45,1.0
2012-09-27,CRB,路透CRB商品指数,305.13,307.33,307.55,305.01,0.84
2012-09-28,CRB,路透CRB商品指数,307.78,309.3,309.65,307.17,0.81
2012-10-01,CRB,路透CRB商品指数,311.26,311.26,311.26,311.26,0.0
2012-10-02,CRB,路透CRB商品指数,311.49,311.49,311.49,311.49,0.0
2012-10-03,CRB,路透CRB商品指数,306.58,306.58,306.58,306.58,0.0
2012-10-04,CRB,路透CRB商品指数,310.45,310.45,310.45,310.45,0.0
2012-10-05,CRB,路透CRB商品指数,307.62,307.62,307.62,307.62,0.0
2012-10-08,CRB,路透CRB商品指数,306.17,306.17,306.17,306.17,0.0
2012-10-09,CRB,路透CRB商品指数,309.12,309.12,309.12,309.12,0.0
2012-10-10,CRB,路透CRB商品指数,307.01,307.01,307.01,307.01,0.0
2012-10-11,CRB,路透CRB商品指数,308.87,308.87,308.87,308.87,0.0
2012-10-12,CRB,路透CRB商品指数,306.55,306.55,306.55,306.55,0.0
2012-10-15,CRB,路透CRB商品指数,304.55,304.55,304.55,304.55,0.0
2012-10-16,CRB,路透CRB商品指数,306.2,306.2,306.2,306.2,0.0
2012-10-17,CRB,路透CRB商品指数,307.81,307.81,307.81,307.81,0.0
2012-10-18,CRB,路透CRB商品指数,308.75,308.75,308.75,308.75,0.0
2012-10-19,CRB,路透CRB商品指数,306.05,306.05,306.05,306.05,0.0
2012-10-22,CRB,路透CRB商品指数,303.51,303.51,303.51,303.51,0.0
2012-10-23,CRB,路透CRB商品指数,299.88,299.88,299.88,299.88,0.0
2012-10-24,CRB,路透CRB商品指数,297.69,297.69,297.69,297.69,0.0
2012-10-25,CRB,路透CRB商品指数,297.74,297.74,297.74,297.74,0.0
2012-10-26,CRB,路透CRB商品指数,296.84,296.84,296.84,296.84,0.0
2012-10-29,CRB,路透CRB商品指数,295.76,295.76,295.76,295.76,0.0
2012-10-30,CRB,路透CRB商品指数,295.23,295.23,295.23,295.23,0.0
2012-10-31,CRB,路透CRB商品指数,295.85,295.85,295.85,295.85,0.0
2012-11-01,CRB,路透CRB商品指数,296.89,296.89,296.89,296.89,0.0
2012-11-02,CRB,路透CRB商品指数,292.29,292.29,292.29,292.29,0.0
2012-11-05,CRB,路透CRB商品指数,292.31,292.31,292.31,292.31,0.0
2012-11-06,CRB,路透CRB商品指数,297.17,297.17,297.17,297.17,0.0
2012-11-07,CRB,路透CRB商品指数,291.49,291.49,291.49,291.49,0.0
2012-11-08,CRB,路透CRB商品指数,291.87,291.87,291.87,291.87,0.0
2012-11-09,CRB,路透CRB商品指数,292.22,292.22,292.22,292.22,0.0
2012-11-12,CRB,路透CRB商品指数,292.15,292.15,292.15,292.15,0.0
2012-11-13,CRB,路透CRB商品指数,292.16,292.16,292.16,292.16,0.0
2012-11-14,CRB,路透CRB商品指数,293.93,293.93,293.93,293.93,0.0
2012-11-15,CRB,路透CRB商品指数,292.84,292.84,292.84,292.84,0.0
2012-11-16,CRB,路透CRB商品指数,293.56,293.56,293.56,293.56,0.0
2012-11-19,CRB,路透CRB商品指数,298.35,298.35,298.35,298.35,0.0
2012-11-20,CRB,路透CRB商品指数,296.51,296.51,296.51,296.51,0.0
2012-11-21,CRB,路透CRB商品指数,297.59,297.59,297.59,297.59,0.0
2012-11-23,CRB,路透CRB商品指数,299.07,299.07,299.07,299.07,0.0
