日期,代码,名称,今开,最新价,最高,最低,振幅
1990-04-25,DJIA,道琼斯,2654.28,2666.44,2674.77,2654.28,0.0
1990-04-26,DJIA,道琼斯,2666.44,2676.58,2682.66,2655.86,1.01
1990-04-27,DJIA,道琼斯,2675.9,2645.05,2681.31,2644.14,1.39
1990-04-30,DJIA,道琼斯,2641.44,2656.76,2663.96,2634.01,1.13
1990-05-01,DJIA,道琼斯,2655.18,2668.92,2677.25,2654.28,0.86
1990-05-02,DJIA,道琼斯,2668.47,2689.64,2689.64,2666.67,0.86
1990-05-03,DJIA,道琼斯,2689.19,2696.17,2710.59,2689.19,0.8
1990-05-04,DJIA,道琼斯,2692.34,2710.36,2710.81,2685.36,0.94
1990-05-07,DJIA,道琼斯,2710.36,2721.62,2729.95,2706.31,0.87
1990-05-08,DJIA,道琼斯,2720.5,2733.56,2734.23,2718.24,0.59
1990-05-09,DJIA,道琼斯,2732.66,2732.88,2735.14,2717.34,0.65
1990-05-10,DJIA,道琼斯,2731.98,2738.51,2746.62,2726.35,0.74
1990-05-11,DJIA,道琼斯,2737.16,2801.58,2804.28,2737.16,2.45
1990-05-14,DJIA,道琼斯,2799.54,2821.53,2853.94,2799.07,1.96
1990-05-15,DJIA,道琼斯,2821.3,2822.45,2829.17,2807.41,0.77
1990-05-16,DJIA,道琼斯,2822.45,2819.68,2831.02,2806.25,0.88
1990-05-17,DJIA,道琼斯,2819.68,2831.71,2846.53,2819.68,0.95
1990-05-18,DJIA,道琼斯,2831.71,2819.91,2832.64,2811.57,0.74
1990-05-21,DJIA,道琼斯,2817.59,2844.68,2851.39,2808.8,1.51
1990-05-22,DJIA,道琼斯,2846.54,2852.23,2870.49,2835.15,1.24
1990-05-23,DJIA,道琼斯,2852.23,2856.26,2856.26,2835.63,0.72
1990-05-24,DJIA,道琼斯,2856.26,2855.55,2860.77,2842.98,0.62
1990-05-25,DJIA,道琼斯,2853.18,2820.92,2853.18,2817.84,1.24
1990-05-29,DJIA,道琼斯,2819.5,2870.49,2871.68,2819.02,1.87
1990-05-30,DJIA,道琼斯,2871.44,2878.56,2895.16,2867.41,0.97
1990-05-31,DJIA,道琼斯,2877.37,2876.66,2888.52,2869.54,0.66
1990-06-01,DJIA,道琼斯,2878.88,2900.97,2901.7,2877.91,0.83
1990-06-04,DJIA,道琼斯,2900.73,2935.19,2936.9,2894.42,1.46
1990-06-05,DJIA,道琼斯,2934.95,2925.0,2948.5,2918.69,1.02
1990-06-06,DJIA,道琼斯,2925.0,2911.65,2926.0,2901.94,0.82
1990-06-07,DJIA,道琼斯,2911.65,2897.33,2920.4,2885.68,1.19
1990-06-08,DJIA,道琼斯,2897.33,2862.38,2905.8,2859.47,1.6
1990-06-11,DJIA,道琼斯,2862.87,2892.57,2892.8,2859.41,1.17
1990-06-12,DJIA,道琼斯,2892.57,2933.42,2941.3,2885.64,1.92
1990-06-13,DJIA,道琼斯,2933.42,2929.7,2948.5,2921.53,0.92
1990-06-14,DJIA,道琼斯,2929.95,2928.22,2930.4,2908.42,0.75
1990-06-15,DJIA,道琼斯,2928.22,2935.89,2937.6,2912.62,0.85
1990-06-18,DJIA,道琼斯,2935.4,2882.18,2935.4,2881.44,1.84
1990-06-19,DJIA,道琼斯,2882.18,2893.56,2898.8,2873.51,0.88
1990-06-20,DJIA,道琼斯,2893.56,2895.3,2904.7,2876.73,0.97
1990-06-21,DJIA,道琼斯,2895.3,2901.73,2905.7,2875.5,1.04
1990-06-22,DJIA,道琼斯,2901.73,2857.18,2923.0,2853.96,2.38
1990-06-25,DJIA,道琼斯,2856.93,2845.05,2875.0,2840.35,1.21
1990-06-26,DJIA,道琼斯,2845.05,2842.33,2875.7,2838.61,1.3
1990-06-27,DJIA,道琼斯,2842.33,2862.13,2868.3,2832.18,1.27
1990-06-28,DJIA,道琼斯,2862.13,2878.71,2880.69,2859.41,0.74
1990-06-29,DJIA,道琼斯,2878.22,2880.69,2892.82,2876.24,0.58
1990-07-02,DJIA,道琼斯,2880.7,2899.26,2901.7,2879.2,0.78
1990-07-03,DJIA,道琼斯,2899.0,2911.63,2915.6,2899.0,0.57
1990-07-05,DJIA,道琼斯,2911.6,2879.21,2911.6,2872.5,1.34
1990-07-06,DJIA,道琼斯,2879.2,2904.95,2909.6,2870.8,1.35
1990-07-09,DJIA,道琼斯,2905.7,2914.11,2920.3,2899.5,0.72
1990-07-10,DJIA,道琼斯,2914.1,2890.84,2916.6,2890.8,0.89
1990-07-11,DJIA,道琼斯,2890.8,2932.67,2932.9,2890.8,1.46
1990-07-12,DJIA,道琼斯,2932.7,2969.8,2970.3,2930.2,1.37
1990-07-13,DJIA,道琼斯,2969.8,2980.2,3003.0,2969.8,1.12
1990-07-16,DJIA,道琼斯,2979.2,2999.75,3008.7,2979.2,0.99
1990-07-17,DJIA,道琼斯,2999.8,2999.75,3010.6,2978.7,1.06
1990-07-18,DJIA,道琼斯,2999.8,2981.68,2999.8,2970.8,0.97
1990-07-19,DJIA,道琼斯,2981.7,2993.81,3006.19,2948.27,1.94
1990-07-20,DJIA,道琼斯,2993.8,2961.14,3005.7,2959.9,1.53
1990-07-23,DJIA,道琼斯,2960.1,2904.7,2960.1,2852.2,3.64
1990-07-24,DJIA,道琼斯,2904.9,2922.52,2923.3,2876.7,1.6
1990-07-25,DJIA,道琼斯,2922.5,2930.94,2935.6,2908.2,0.94
1990-07-26,DJIA,道琼斯,2930.2,2920.79,2932.9,2899.0,1.16
1990-07-27,DJIA,道琼斯,2920.8,2898.51,2925.5,2889.4,1.24
1990-07-30,DJIA,道琼斯,2896.8,2917.33,2922.52,2861.14,2.12
1990-07-31,DJIA,道琼斯,2876.73,2905.2,2922.52,2861.14,2.1
1990-08-01,DJIA,道琼斯,2905.2,2899.26,2920.5,2888.6,1.1
1990-08-02,DJIA,道琼斯,2898.8,2864.6,2898.8,2851.7,1.62
1990-08-03,DJIA,道琼斯,2863.1,2809.65,2863.86,2745.5,4.13
1990-08-06,DJIA,道琼斯,2806.2,2716.34,2806.2,2683.17,4.38
1990-08-07,DJIA,道琼斯,2715.1,2710.64,2751.24,2686.14,2.4
