日期,代码,名称,今开,最新价,最高,最低,振幅
1980-01-04,KS11,韩国KOSPI,100.0,100.0,100.0,100.0,0.0
1980-01-05,KS11,韩国KOSPI,100.15,100.15,100.15,100.15,0.0
1980-01-07,KS11,韩国KOSPI,102.53,102.53,102.53,102.53,0.0
1980-01-08,KS11,韩国KOSPI,105.28,105.28,105.28,105.28,0.0
1980-01-09,KS11,韩国KOSPI,106.37,106.37,106.37,106.37,0.0
1980-01-10,KS11,韩国KOSPI,106.87,106.87,106.87,106.87,0.0
1980-01-11,KS11,韩国KOSPI,105.02,105.02,105.02,105.02,0.0
1980-01-12,KS11,韩国KOSPI,103.64,103.64,103.64,103.64,0.0
1980-01-14,KS11,韩国KOSPI,102.08,102.08,102.08,102.08,0.0
1980-01-15,KS11,韩国KOSPI,101.1,101.1,101.1,101.1,0.0
1980-01-16,KS11,韩国KOSPI,101.65,101.65,101.65,101.65,0.0
1980-01-17,KS11,韩国KOSPI,101.97,101.97,101.97,101.97,0.0
1980-01-18,KS11,韩国KOSPI,101.13,101.13,101.13,101.13,0.0
1980-01-19,KS11,韩国KOSPI,101.15,101.15,101.15,101.15,0.0
1980-01-21,KS11,韩国KOSPI,101.75,101.75,101.75,101.75,0.0
1980-01-22,KS11,韩国KOSPI,101.64,101.64,101.64,101.64,0.0
1980-01-23,KS11,韩国KOSPI,101.43,101.43,101.43,101.43,0.0
1980-01-24,KS11,韩国KOSPI,100.7,100.7,100.7,100.7,0.0
1980-01-25,KS11,韩国KOSPI,103.17,103.17,103.17,103.17,0.0
1980-01-26,KS11,韩国KOSPI,102.83,102.83,102.83,102.83,0.0
1980-01-28,KS11,韩国KOSPI,101.87,101.87,101.87,101.87,0.0
1980-01-29,KS11,韩国KOSPI,102.58,102.58,102.58,102.58,0.0
1980-01-30,KS11,韩国KOSPI,104.65,104.65,104.65,104.65,0.0
1980-01-31,KS11,韩国KOSPI,105.89,105.89,105.89,105.89,0.0
1980-02-01,KS11,韩国KOSPI,104.48,104.48,104.48,104.48,0.0
1980-02-02,KS11,韩国KOSPI,105.3,105.3,105.3,105.3,0.0
1980-02-04,KS11,韩国KOSPI,105.0,105.0,105.0,105.0,0.0
1980-02-05,KS11,韩国KOSPI,104.45,104.45,104.45,104.45,0.0
1980-02-06,KS11,韩国KOSPI,104.04,104.04,104.04,104.04,0.0
1980-02-07,KS11,韩国KOSPI,104.71,104.71,104.71,104.71,0.0
1980-02-08,KS11,韩国KOSPI,104.03,104.03,104.03,104.03,0.0
1980-02-09,KS11,韩国KOSPI,103.97,103.97,103.97,103.97,0.0
1980-02-11,KS11,韩国KOSPI,103.76,103.76,103.76,103.76,0.0
1980-02-12,KS11,韩国KOSPI,103.8,103.8,103.8,103.8,0.0
1980-02-13,KS11,韩国KOSPI,104.02,104.02,104.02,104.02,0.0
1980-02-14,KS11,韩国KOSPI,104.34,104.34,104.34,104.34,0.0
