日期,代码,名称,今开,最新价,最高,最低,振幅
1990-01-03,KOSPI200,韩国KOSPI200,100.0,100.0,100.0,100.0,0.0
1990-01-04,KOSPI200,韩国KOSPI200,102.0,102.0,102.0,102.0,0.0
1990-01-05,KOSPI200,韩国KOSPI200,100.38,100.38,100.38,100.38,0.0
1990-01-06,KOSPI200,韩国KOSPI200,100.02,100.02,100.02,100.02,0.0
1990-01-08,KOSPI200,韩国KOSPI200,100.51,100.51,100.51,100.51,0.0
1990-01-09,KOSPI200,韩国KOSPI200,100.54,100.54,100.54,100.54,0.0
1990-01-10,KOSPI200,韩国KOSPI200,99.73,99.73,99.73,99.73,0.0
1990-01-11,KOSPI200,韩国KOSPI200,98.77,98.77,98.77,98.77,0.0
1990-01-12,KOSPI200,韩国KOSPI200,98.78,98.78,98.78,98.78,0.0
1990-01-13,KOSPI200,韩国KOSPI200,97.7,97.7,97.7,97.7,0.0
1990-01-15,KOSPI200,韩国KOSPI200,96.49,96.49,96.49,96.49,0.0
1990-01-16,KOSPI200,韩国KOSPI200,96.57,96.57,96.57,96.57,0.0
1990-01-17,KOSPI200,韩国KOSPI200,95.58,95.58,95.58,95.58,0.0
1990-01-18,KOSPI200,韩国KOSPI200,95.62,95.62,95.62,95.62,0.0
1990-01-19,KOSPI200,韩国KOSPI200,94.82,94.82,94.82,94.82,0.0
1990-01-20,KOSPI200,韩国KOSPI200,95.41,95.41,95.41,95.41,0.0
1990-01-22,KOSPI200,韩国KOSPI200,98.3,98.3,98.3,98.3,0.0
1990-01-23,KOSPI200,韩国KOSPI200,97.51,97.51,97.51,97.51,0.0
1990-01-24,KOSPI200,韩国KOSPI200,98.98,98.98,98.98,98.98,0.0
1990-01-25,KOSPI200,韩国KOSPI200,99.12,99.12,99.12,99.12,0.0
1990-01-29,KOSPI200,韩国KOSPI200,98.14,98.14,98.14,98.14,0.0
1990-01-30,KOSPI200,韩国KOSPI200,97.06,97.06,97.06,97.06,0.0
1990-01-31,KOSPI200,韩国KOSPI200,97.83,97.83,97.83,97.83,0.0
1990-02-01,KOSPI200,韩国KOSPI200,96.66,96.66,96.66,96.66,0.0
1990-02-02,KOSPI200,韩国KOSPI200,95.69,95.69,95.69,95.69,0.0
1990-02-03,KOSPI200,韩国KOSPI200,95.39,95.39,95.39,95.39,0.0
1990-02-05,KOSPI200,韩国KOSPI200,95.63,95.63,95.63,95.63,0.0
1990-02-06,KOSPI200,韩国KOSPI200,96.77,96.77,96.77,96.77,0.0
1990-02-07,KOSPI200,韩国KOSPI200,96.04,96.04,96.04,96.04,0.0
1990-02-08,KOSPI200,韩国KOSPI200,96.25,96.25,96.25,96.25,0.0
1990-02-09,KOSPI200,韩国KOSPI200,95.83,95.83,95.83,95.83,0.0
1990-02-10,KOSPI200,韩国KOSPI200,95.17,95.17,95.17,95.17,0.0
1990-02-12,KOSPI200,韩国KOSPI200,94.4,94.4,94.4,94.4,0.0
1990-02-13,KOSPI200,韩国KOSPI200,94.35,94.35,94.35,94.35,0.0
1990-02-14,KOSPI200,韩国KOSPI200,95.0,95.0,95.0,95.0,0.0
1990-02-15,KOSPI200,韩国KOSPI200,95.38,95.38,95.38,95.38,0.0
1990-02-16,KOSPI200,韩国KOSPI200,95.12,95.12,95.12,95.12,0.0
1990-02-17,KOSPI200,韩国KOSPI200,94.47,94.47,94.47,94.47,0.0
1990-02-19,KOSPI200,韩国KOSPI200,93.64,93.64,93.64,93.64,0.0
1990-02-20,KOSPI200,韩国KOSPI200,93.41,93.41,93.41,93.41,0.0
1990-02-21,KOSPI200,韩国KOSPI200,93.08,93.08,93.08,93.08,0.0
1990-02-22,KOSPI200,韩国KOSPI200,93.08,93.08,93.08,93.08,0.0
1990-02-23,KOSPI200,韩国KOSPI200,92.74,92.74,92.74,92.74,0.0
1990-02-24,KOSPI200,韩国KOSPI200,92.14,92.14,92.14,92.14,0.0
1990-02-26,KOSPI200,韩国KOSPI200,90.87,90.87,90.87,90.87,0.0
1990-02-27,KOSPI200,韩国KOSPI200,93.88,93.88,93.88,93.88,0.0
1990-02-28,KOSPI200,韩国KOSPI200,94.06,94.06,94.06,94.06,0.0
1990-03-02,KOSPI200,韩国KOSPI200,96.53,96.53,96.53,96.53,0.0
1990-03-03,KOSPI200,韩国KOSPI200,96.32,96.32,96.32,96.32,0.0
1990-03-05,KOSPI200,韩国KOSPI200,94.6,94.6,94.6,94.6,0.0
1990-03-06,KOSPI200,韩国KOSPI200,93.8,93.8,93.8,93.8,0.0
1990-03-07,KOSPI200,韩国KOSPI200,92.69,92.69,92.69,92.69,0.0
1990-03-08,KOSPI200,韩国KOSPI200,92.77,92.77,92.77,92.77,0.0
1990-03-09,KOSPI200,韩国KOSPI200,93.34,93.34,93.34,93.34,0.0
1990-03-12,KOSPI200,韩国KOSPI200,93.1,93.1,93.1,93.1,0.0
