序号,代码,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,振幅,最新行情时间
1,MCX,英国富时250,22043.66,241.82,1.11,21801.85,22063.58,21801.04,21801.84,1.2,2025-10-13 17:04:08
2,VNINDEX,越南胡志明,1766.77,19.22,1.1,1747.55,1766.77,1704.63,1747.55,3.56,2025-10-13 15:45:05
3,AEX,荷兰AEX,950.09,9.63,1.02,947.6,952.13,946.05,940.46,0.65,2025-10-13 16:49:00
4,ATX,奥地利ATX,4708.87,42.16,0.9,4666.61,4722.5,4666.61,4666.71,1.2,2025-10-13 16:49:04
5,AXX,富时AIM全股,792.38,6.05,0.77,786.3,792.79,786.3,786.33,0.83,2025-10-13 17:04:00
6,MIB,富时意大利MIB,42339.45,291.95,0.69,42225.73,42450.89,42173.83,42047.5,0.66,2025-10-13 17:04:08
7,BDI,波罗的海BDI指数,1936.0,13.0,0.68,1936.0,1936.0,1936.0,1923.0,0.0,2025-10-10 12:56:36
8,SX5E,欧洲斯托克50,5563.17,31.85,0.58,5540.54,5591.29,5540.54,5531.32,0.92,2025-10-13 16:49:00
9,BFX,比利时BFX,4945.35,24.06,0.49,4939.38,4968.22,4935.21,4921.29,0.67,2025-10-13 16:49:00
10,GDAXI,德国DAX30,24356.1,114.64,0.47,24372.9,24448.77,24352.55,24241.46,0.4,2025-10-13 16:49:07
11,FCHI,法国CAC40,7953.27,35.27,0.45,7959.27,7995.49,7949.95,7918.0,0.58,2025-10-13 16:49:00
12,IBEX,西班牙IBEX35,15544.1,67.6,0.44,15534.4,15606.3,15534.4,15476.5,0.46,2025-10-13 16:48:59
13,PX,布拉格指数,2373.26,7.9,0.33,2365.47,2373.26,2360.71,2365.36,0.53,2025-10-13 17:03:14
14,UDI,美元指数,99.13,0.29,0.29,98.93,99.22,98.83,98.84,0.39,2025-10-13 17:04:01
15,PSI,菲律宾马尼拉,6052.33,14.54,0.24,6026.11,6078.37,6002.98,6037.79,1.25,2025-10-13 14:50:47
16,ASE,希腊雅典ASE,2114.84,4.7,0.22,2104.67,2119.24,2104.67,2110.14,0.69,2025-10-13 16:48:43
17,PSI20,葡萄牙PSI20,8186.21,16.34,0.2,8178.63,8217.73,8178.48,8169.87,0.48,2025-10-13 16:49:00
18,FTSE,英国富时100,9441.92,14.45,0.15,9427.46,9459.89,9427.46,9427.47,0.34,2025-10-13 17:04:08
19,ISEQ,爱尔兰综合,11608.41,16.59,0.14,11592.75,11649.74,11592.75,11591.82,0.49,2025-10-13 16:49:00
20,OMXSPI,瑞典OMXSPI,2710.85,3.35,0.12,2718.71,2723.0,2704.42,2707.5,0.69,2025-10-13 17:04:08
21,CSEALL,斯里兰卡科伦坡,22328.72,10.0,0.04,22318.72,22386.16,22222.11,22318.72,0.74,2025-10-13 16:59:57
22,HEX,芬兰赫尔辛基,11097.89,0.53,0.0,11101.55,11140.49,11087.34,11097.36,0.48,2025-10-13 17:03:49
23,SSMI,瑞士SMI,12488.88,-7.94,-0.06,12513.45,12546.55,12487.7,12496.82,0.47,2025-10-13 16:49:06
24,000001,上证指数,3889.5,-7.53,-0.19,3800.11,3895.83,3800.11,3897.03,2.46,2025-10-13 16:11:42
25,JKSE,印尼雅加达综合,8238.15,-19.71,-0.24,8152.4,8287.68,8137.85,8257.86,1.81,2025-10-13 16:49:59
26,HSCCI,红筹指数,4026.25,-9.93,-0.25,3948.87,4026.25,3936.67,4036.18,2.22,2025-10-13 16:08:48
27,SENSEX,印度孟买SENSEX,82248.48,-252.34,-0.31,82210.81,82329.15,82048.7,82500.82,0.34,2025-10-13 16:49:05
28,OSEBX,挪威OSEBX,1645.78,-5.08,-0.31,1650.83,1650.83,1639.98,1650.86,0.66,2025-10-13 17:04:06
29,MXX,墨西哥BOLSA,60568.93,-250.38,-0.41,60869.44,61160.67,60455.32,60819.31,1.16,2025-10-11 04:22:07
30,ICEXI,冰岛ICEX,2155.53,-9.1,-0.42,2164.63,2168.5,2153.72,2164.63,0.68,2025-10-10 23:34:06
31,KLSE,富时马来西亚KLCI,1615.19,-7.06,-0.44,1601.75,1618.13,1601.75,1622.25,1.01,2025-10-13 16:59:45
32,000300,沪深300,4593.98,-22.85,-0.49,4490.87,4601.81,4490.87,4616.83,2.4,2025-10-13 16:12:00
33,WIG,波兰WIG,107407.8,-543.71,-0.5,107184.33,107556.69,106879.69,107951.51,0.63,2025-10-13 16:48:00
34,RTS,俄罗斯RTS,997.3,-7.08,-0.7,1006.65,1013.29,995.16,1004.38,1.81,2025-10-13 17:03:57
35,KS11,韩国KOSPI,3584.55,-26.05,-0.72,3550.08,3584.55,3522.54,3610.6,1.72,2025-10-13 14:29:59
36,BVSP,巴西BOVESPA,140680.0,-1028.19,-0.73,141725.27,142274.0,140231.0,141708.19,1.44,2025-10-11 03:58:59
37,STI,富时新加坡海峡时报,4392.67,-34.39,-0.78,4377.23,4394.91,4362.4,4427.06,0.73,2025-10-13 16:49:01
38,AS51,澳大利亚标普200,8882.8,-75.5,-0.84,8916.3,8958.3,8868.0,8958.3,1.01,2025-10-13 12:59:44
39,NZ50,新西兰50,13351.92,-115.34,-0.86,13467.7,13467.7,13315.99,13467.26,1.13,2025-10-13 11:46:01
40,OMXC20,OMX哥本哈根20,1604.91,-14.0,-0.86,1597.85,1608.83,1592.35,1618.91,1.02,2025-10-13 17:04:08
41,AORD,澳大利亚普通股,9183.3,-81.0,-0.87,9216.1,9264.3,9169.0,9264.3,1.03,2025-10-13 12:59:44
42,399001,深证成指,13231.47,-123.95,-0.93,12837.25,13256.51,12837.25,13355.42,3.14,2025-10-13 15:34:24
43,KOSPI200,韩国KOSPI200,501.87,-5.1,-1.01,496.45,501.87,492.46,506.97,1.86,2025-10-13 14:29:59
44,N225,日经225,48088.8,-491.64,-1.01,48510.72,48510.72,47962.61,48580.44,1.13,2025-10-10 14:30:00
45,399006,创业板指,3078.76,-34.5,-1.11,2975.03,3096.4,2975.03,3113.26,3.9,2025-10-13 15:34:51
46,399005,中小100,8189.82,-103.89,-1.25,7936.2,8212.04,7936.2,8293.71,3.33,2025-10-13 15:34:57
47,TSX,加拿大S&P/TSX,29850.89,-419.09,-1.38,30324.16,30358.74,29842.01,30269.98,1.71,2025-10-11 03:59:46
48,TWII,台湾加权,26923.42,-378.5,-1.39,26762.6,26965.72,26470.44,27301.92,1.81,2025-10-13 13:30:00
49,HSCEI,国企指数,9222.54,-135.78,-1.45,9134.84,9228.07,9017.61,9358.32,2.25,2025-10-13 16:08:48
50,HSI,恒生指数,25889.48,-400.84,-1.52,25634.0,25895.62,25336.09,26290.32,2.13,2025-10-13 16:08:48
51,DJIA,道琼斯,45479.6,-878.82,-1.9,46394.88,46641.74,45470.72,46358.42,2.53,2025-10-11 03:59:45
52,SET,泰国SET,1286.98,-27.01,-2.06,1291.77,1296.55,1282.47,1313.99,1.07,2025-10-10 17:29:41
53,CRB,路透CRB商品指数,292.76,-6.57,-2.19,292.76,292.76,292.76,299.33,0.0,2025-10-11 01:00:02
54,SPX,标普500,6552.51,-182.6,-2.71,6740.49,6762.4,6550.78,6735.11,3.14,2025-10-11 03:59:45
55,KSE100,巴基斯坦卡拉奇,159083.07,-5671.35,-3.44,160240.82,161957.07,158069.38,164754.42,2.36,2025-10-13 16:35:00
56,NDX,纳斯达克,22204.43,-820.2,-3.56,23043.52,23119.91,22193.07,23024.63,4.03,2025-10-11 04:00:00
