序号,代码,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,振幅,最新行情时间
1,BDI,波罗的海BDI指数,2240.0,40.0,1.82,2240.0,2240.0,2240.0,2200.0,0.0,2025-09-24 12:57:15
2,399006,创业板指,3235.76,50.19,1.58,3167.75,3266.0,3161.08,3185.57,3.29,2025-09-25 15:19:03
3,CSEALL,斯里兰卡科伦坡,21544.36,205.91,0.96,21338.45,21548.79,21338.45,21338.45,0.99,2025-09-25 15:19:44
4,CRB,路透CRB商品指数,299.88,2.13,0.72,299.88,299.88,299.88,297.75,0.0,2025-09-24 01:00:05
5,399001,深证成指,13445.9,89.76,0.67,13333.02,13529.33,13295.53,13356.14,1.75,2025-09-25 15:19:36
6,SET,泰国SET,1286.43,8.02,0.63,1282.5,1288.73,1279.11,1278.41,0.75,2025-09-25 13:59:28
7,000300,沪深300,4593.49,27.42,0.6,4563.98,4613.95,4558.84,4566.07,1.21,2025-09-25 15:19:54
8,399005,中小100,8332.39,35.38,0.43,8304.56,8379.74,8262.5,8297.01,1.41,2025-09-25 15:19:09
9,VNINDEX,越南胡志明,1662.09,4.63,0.28,1657.46,1668.21,1654.47,1657.46,0.83,2025-09-25 15:19:50
10,RTS,俄罗斯RTS,1024.34,2.82,0.28,1022.05,1027.15,1022.05,1021.52,0.5,2025-09-25 15:19:49
11,N225,日经225,45754.93,124.62,0.27,45600.07,45824.69,45503.31,45630.31,0.7,2025-09-25 14:30:00
12,KSE100,巴基斯坦卡拉奇,159076.42,214.93,0.14,158916.38,159202.19,158339.88,158861.49,0.54,2025-09-25 15:18:00
13,ASE,希腊雅典ASE,2065.36,2.33,0.11,2061.28,2065.36,2052.06,2063.03,0.64,2025-09-24 21:59:36
14,AS51,澳大利亚标普200,8773.0,8.5,0.1,8744.2,8793.6,8737.9,8764.5,0.64,2025-09-25 13:59:44
15,AORD,澳大利亚普通股,9063.4,5.8,0.06,9035.7,9083.4,9029.5,9057.6,0.6,2025-09-25 13:59:44
16,PX,布拉格指数,2312.69,1.25,0.05,2311.54,2313.97,2308.92,2311.44,0.22,2025-09-25 15:19:15
17,KOSPI200,韩国KOSPI200,480.63,0.24,0.05,477.72,481.74,477.17,480.39,0.95,2025-09-25 14:29:59
18,BVSP,巴西BOVESPA,146491.75,66.75,0.05,146426.21,146585.26,146067.12,146425.0,0.35,2025-09-25 04:08:13
19,000001,上证指数,3853.3,-0.34,-0.01,3852.43,3866.11,3840.46,3853.64,0.67,2025-09-25 15:19:54
20,KS11,韩国KOSPI,3471.11,-1.03,-0.03,3458.98,3479.42,3454.08,3472.14,0.73,2025-09-25 14:29:59
21,KLSE,富时马来西亚KLCI,1599.04,-0.62,-0.04,1599.57,1600.21,1595.04,1599.66,0.32,2025-09-25 15:19:45
22,UDI,美元指数,97.8,-0.06,-0.06,97.87,97.87,97.74,97.86,0.13,2025-09-25 15:19:53
23,BFX,比利时BFX,4677.51,-4.09,-0.09,4684.75,4686.65,4677.51,4681.6,0.2,2025-09-25 15:04:45
24,OSEBX,挪威OSEBX,1659.97,-2.64,-0.16,1662.2,1663.61,1659.0,1662.61,0.28,2025-09-25 15:19:49
25,PSI20,葡萄牙PSI20,7902.26,-12.62,-0.16,7892.3,7905.69,7892.3,7914.88,0.17,2025-09-25 15:04:45
26,AEX,荷兰AEX,933.83,-1.57,-0.17,934.15,935.33,933.83,935.4,0.16,2025-09-25 15:04:45
