,0
maxAge,86400
priceHint,2
previousClose,24152.87
open,24174.62
dayLow,23977.99
dayHigh,24198.3
regularMarketPreviousClose,24152.87
regularMarketOpen,24174.62
regularMarketDayLow,23977.99
regularMarketDayHigh,24198.3
volume,0
regularMarketVolume,0
averageVolume,55752343
averageVolume10days,46693640
averageDailyVolume10Day,46693640
bid,0.0
ask,0.0
bidSize,0
askSize,0
fiftyTwoWeekLow,18208.84
fiftyTwoWeekHigh,24639.1
fiftyDayAverage,24027.986
twoHundredDayAverage,22339.293
currency,EUR
tradeable,False
52WeekChange,28.59385
quoteType,INDEX
symbol,^GDAXI
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
hasPrePostMarketData,False
firstTradeDateMilliseconds,567849600000
longName,DAX P
corporateActions,[]
regularMarketTime,1756310400
marketState,PREPRE
exchange,GER
messageBoardId,finmb_INDEXGDAXI
exchangeTimezoneName,Europe/Berlin
exchangeTimezoneShortName,CEST
gmtOffSetMilliseconds,7200000
market,de_market
esgPopulated,False
shortName,DAX                           P
cryptoTradeable,False
regularMarketChangePercent,-0.44159642
regularMarketPrice,24046.21
averageDailyVolume3Month,55752343
fiftyTwoWeekLowChange,5837.371
fiftyTwoWeekLowChangePercent,0.32057896
fiftyTwoWeekRange,18208.84 - 24639.1
fiftyTwoWeekHighChange,-592.8887
fiftyTwoWeekHighChangePercent,-0.02406292
fiftyTwoWeekChangePercent,28.59385
fiftyDayAverageChange,18.22461
fiftyDayAverageChangePercent,0.0007584743
twoHundredDayAverageChange,1706.918
twoHundredDayAverageChangePercent,0.07640877
sourceInterval,15
exchangeDataDelayedBy,15
regularMarketChange,-106.6582
regularMarketDayRange,23977.99 - 24198.3
fullExchangeName,XETRA
trailingPegRatio,
