,0
maxAge,86400
priceHint,2
previousClose,45565.23
open,45581.0
dayLow,45442.68
dayHigh,45682.83
regularMarketPreviousClose,45565.23
regularMarketOpen,45581.0
regularMarketDayLow,45442.68
regularMarketDayHigh,45682.83
volume,540887700
regularMarketVolume,540887700
averageVolume,499394603
averageVolume10days,460400000
averageDailyVolume10Day,460400000
bid,45278.85
ask,45709.19
bidSize,0
askSize,0
fiftyTwoWeekLow,36611.78
fiftyTwoWeekHigh,45757.84
fiftyDayAverage,44288.457
twoHundredDayAverage,43075.953
currency,USD
tradeable,False
52WeekChange,10.233879
quoteType,INDEX
symbol,^DJI
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
shortName,Dow Jones Industrial Average
longName,Dow Jones Industrial Average
marketState,POSTPOST
regularMarketChangePercent,0.15728652
regularMarketPrice,45636.9
regularMarketChange,71.66797
regularMarketDayRange,45442.68 - 45682.83
fullExchangeName,DJI
averageDailyVolume3Month,499394603
fiftyTwoWeekLowChange,9025.117
fiftyTwoWeekLowChangePercent,0.24650855
fiftyTwoWeekRange,36611.78 - 45757.84
fiftyTwoWeekHighChange,-120.94141
fiftyTwoWeekHighChangePercent,-0.002643075
fiftyTwoWeekChangePercent,10.233879
fiftyDayAverageChange,1348.4414
fiftyDayAverageChangePercent,0.030446792
twoHundredDayAverageChange,2560.9453
twoHundredDayAverageChangePercent,0.059451856
sourceInterval,120
exchangeDataDelayedBy,0
cryptoTradeable,False
hasPrePostMarketData,False
firstTradeDateMilliseconds,694362600000
corporateActions,[]
regularMarketTime,1756414051
exchange,DJI
messageBoardId,finmb_INDEXDJI
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
trailingPegRatio,
