,0
maxAge,86400
priceHint,2
previousClose,9265.8
open,9265.8
dayLow,9230.61
dayHigh,9301.86
regularMarketPreviousClose,9265.8
regularMarketOpen,9265.8
regularMarketDayLow,9230.61
regularMarketDayHigh,9301.86
volume,0
regularMarketVolume,0
averageVolume,770734743
averageVolume10days,698016650
averageDailyVolume10Day,698016650
bid,0.0
ask,0.0
bidSize,0
askSize,0
fiftyTwoWeekLow,7544.8
fiftyTwoWeekHigh,9357.5
fiftyDayAverage,9001.772
twoHundredDayAverage,8608.165
currency,GBP
tradeable,False
52WeekChange,11.048794
quoteType,INDEX
symbol,^FTSE
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
marketState,PREPRE
shortName,FTSE 100
longName,FTSE 100
corporateActions,[]
regularMarketTime,1756308929
exchange,FGI
messageBoardId,finmb_INDEXFTSE
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,-0.11115937
regularMarketPrice,9255.5
fiftyDayAverageChange,253.72754
fiftyDayAverageChangePercent,0.028186398
twoHundredDayAverageChange,647.33496
twoHundredDayAverageChangePercent,0.07520011
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
hasPrePostMarketData,False
firstTradeDateMilliseconds,441964800000
regularMarketChange,-10.299805
regularMarketDayRange,9230.61 - 9301.86
fullExchangeName,FTSE Index
averageDailyVolume3Month,770734743
fiftyTwoWeekLowChange,1710.7002
fiftyTwoWeekLowChangePercent,0.22673897
fiftyTwoWeekRange,7544.8 - 9357.5
fiftyTwoWeekHighChange,-102.0
fiftyTwoWeekHighChangePercent,-0.0109003475
fiftyTwoWeekChangePercent,11.048794
trailingPegRatio,
