,0
maxAge,86400
priceHint,2
previousClose,42520.27
open,42308.14
dayLow,42299.79
dayHigh,42709.24
regularMarketPreviousClose,42520.27
regularMarketOpen,42308.14
regularMarketDayLow,42299.79
regularMarketDayHigh,42709.24
volume,0
regularMarketVolume,0
averageVolume,124107936
averageVolume10days,124010000
averageDailyVolume10Day,124010000
bid,0.0
ask,0.0
bidSize,0
askSize,0
fiftyTwoWeekLow,30792.74
fiftyTwoWeekHigh,43876.42
fiftyDayAverage,40613.414
twoHundredDayAverage,38538.67
currency,JPY
tradeable,False
52WeekChange,10.483336
quoteType,INDEX
symbol,^N225
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
corporateActions,[]
regularMarketTime,1756343240
exchange,OSA
messageBoardId,finmb_INDEXN225
exchangeTimezoneName,Asia/Tokyo
exchangeTimezoneShortName,JST
gmtOffSetMilliseconds,32400000
market,jp_market
esgPopulated,False
regularMarketChangePercent,0.19046585
regularMarketPrice,42601.27
hasPrePostMarketData,False
firstTradeDateMilliseconds,-157420800000
regularMarketChange,81.0
regularMarketDayRange,42299.79 - 42709.24
fullExchangeName,Osaka
averageDailyVolume3Month,124107936
fiftyTwoWeekLowChange,11808.529
fiftyTwoWeekLowChangePercent,0.38348418
fiftyTwoWeekRange,30792.74 - 43876.42
fiftyTwoWeekHighChange,-1275.1523
fiftyTwoWeekHighChangePercent,-0.029062359
fiftyTwoWeekChangePercent,10.483336
fiftyDayAverageChange,1987.8555
fiftyDayAverageChangePercent,0.048945785
twoHundredDayAverageChange,4062.5977
twoHundredDayAverageChangePercent,0.105416134
sourceInterval,20
exchangeDataDelayedBy,20
cryptoTradeable,False
marketState,REGULAR
shortName,Nikkei 225
longName,Nikkei 225
trailingPegRatio,
