,0
maxAge,86400
priceHint,2
previousClose,6465.94
open,6462.26
dayLow,6457.84
dayHigh,6487.06
regularMarketPreviousClose,6465.94
regularMarketOpen,6462.26
regularMarketDayLow,6457.84
regularMarketDayHigh,6487.06
volume,2910864000
regularMarketVolume,2910864000
averageVolume,5123242539
averageVolume10days,4523035000
averageDailyVolume10Day,4523035000
bid,6406.14
ask,6512.26
bidSize,0
askSize,0
fiftyTwoWeekLow,4835.04
fiftyTwoWeekHigh,6487.06
fiftyDayAverage,6287.2095
twoHundredDayAverage,5951.737
currency,USD
tradeable,False
52WeekChange,15.624678
quoteType,INDEX
symbol,^GSPC
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
messageBoardId,finmb_INDEXGSPC
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
marketState,POSTPOST
regularMarketChangePercent,0.23909843
regularMarketPrice,6481.4
fiftyDayAverageChange,194.19043
fiftyDayAverageChangePercent,0.030886585
twoHundredDayAverageChange,529.6631
twoHundredDayAverageChangePercent,0.08899303
sourceInterval,15
exchangeDataDelayedBy,0
cryptoTradeable,False
hasPrePostMarketData,False
firstTradeDateMilliseconds,-1325583000000
regularMarketChange,15.459961
regularMarketDayRange,6457.84 - 6487.06
fullExchangeName,SNP
averageDailyVolume3Month,5123242539
fiftyTwoWeekLowChange,1646.3599
fiftyTwoWeekLowChangePercent,0.34050593
fiftyTwoWeekRange,4835.04 - 6487.06
fiftyTwoWeekHighChange,-5.6601562
fiftyTwoWeekHighChangePercent,-0.0008725303
fiftyTwoWeekChangePercent,15.624678
corporateActions,[]
regularMarketTime,1756327298
exchange,SNP
esgPopulated,False
shortName,S&P 500
longName,S&P 500
trailingPegRatio,
