,0
maxAge,86400
priceHint,2
previousClose,3868.38
open,3796.7112
dayLow,3761.422
dayHigh,3845.0872
regularMarketPreviousClose,3868.38
regularMarketOpen,3796.7112
regularMarketDayLow,3761.422
regularMarketDayHigh,3845.0872
volume,1525783372
regularMarketVolume,1525783372
averageVolume,542082
averageVolume10days,734660
averageDailyVolume10Day,734660
bid,0.0
ask,0.0
bidSize,0
askSize,0
fiftyTwoWeekLow,2689.695
fiftyTwoWeekHigh,3888.598
fiftyDayAverage,3578.537
twoHundredDayAverage,3397.1382
currency,CNY
tradeable,False
52WeekChange,34.61591
quoteType,INDEX
symbol,000001.SS
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
shortName,000001.SS
longName,000001.SS
fiftyDayAverageChange,265.0603
fiftyDayAverageChangePercent,0.074069455
twoHundredDayAverageChange,446.45923
twoHundredDayAverageChangePercent,0.13142216
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
regularMarketChange,43.24756
regularMarketDayRange,3761.422 - 3845.0872
fullExchangeName,Shanghai
averageDailyVolume3Month,542082
fiftyTwoWeekLowChange,1153.9023
fiftyTwoWeekLowChangePercent,0.4290086
fiftyTwoWeekRange,2689.695 - 3888.598
fiftyTwoWeekHighChange,-45.00049
fiftyTwoWeekHighChangePercent,-0.01157242
fiftyTwoWeekChangePercent,34.61591
regularMarketChangePercent,1.1379889
regularMarketPrice,3843.5974
corporateActions,[]
regularMarketTime,1756364424
marketState,PREPRE
hasPrePostMarketData,False
firstTradeDateMilliseconds,867807000000
exchange,SHH
messageBoardId,finmb_INDEX000001.SS
exchangeTimezoneName,Asia/Shanghai
exchangeTimezoneShortName,CST
gmtOffSetMilliseconds,28800000
market,cn_market
esgPopulated,False
trailingPegRatio,
