,0
maxAge,86400
priceHint,2
previousClose,12473.2
open,12254.274
dayLow,12199.938
dayHigh,12571.371
regularMarketPreviousClose,12473.2
regularMarketOpen,12254.274
regularMarketDayLow,12199.938
regularMarketDayHigh,12571.371
volume,1027542664
regularMarketVolume,1027542664
averageVolume,2001151
averageVolume10days,3102410
averageDailyVolume10Day,3102410
bid,0.0
ask,0.0
bidSize,0
askSize,0
fiftyTwoWeekLow,7908.52
fiftyTwoWeekHigh,12665.36
fiftyDayAverage,11034.353
twoHundredDayAverage,10577.537
currency,CNY
tradeable,False
52WeekChange,50.777615
quoteType,INDEX
symbol,399001.SZ
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
regularMarketChangePercent,2.2472565
regularMarketPrice,12571.371
shortName,399001.SZ
longName,399001.SZ
marketState,PREPRE
regularMarketChange,276.30176
regularMarketDayRange,12199.938 - 12571.371
fullExchangeName,Shenzhen
averageDailyVolume3Month,2001151
fiftyTwoWeekLowChange,4662.851
fiftyTwoWeekLowChangePercent,0.5895984
fiftyTwoWeekRange,7908.52 - 12665.36
fiftyTwoWeekHighChange,-93.98926
fiftyTwoWeekHighChangePercent,-0.0074209697
fiftyTwoWeekChangePercent,50.777615
fiftyDayAverageChange,1537.0186
fiftyDayAverageChangePercent,0.13929395
twoHundredDayAverageChange,1993.834
twoHundredDayAverageChangePercent,0.18849699
sourceInterval,15
exchangeDataDelayedBy,15
hasPrePostMarketData,False
firstTradeDateMilliseconds,872213400000
corporateActions,[]
exchange,SHZ
messageBoardId,finmb_INDEX399001.SZ
exchangeTimezoneName,Asia/Shanghai
exchangeTimezoneShortName,CST
gmtOffSetMilliseconds,28800000
market,cn_market
esgPopulated,False
cryptoTradeable,False
regularMarketTime,1756369786
trailingPegRatio,
