商品,日期,今值,预测值,前值
中国官方制造业PMI,2005-02-01,54.7,,
中国官方制造业PMI,2005-03-01,54.5,,54.7
中国官方制造业PMI,2005-04-01,57.9,,54.5
中国官方制造业PMI,2005-05-01,56.7,,57.9
中国官方制造业PMI,2005-06-01,52.9,,56.7
中国官方制造业PMI,2005-07-01,51.7,,52.9
中国官方制造业PMI,2005-08-01,51.1,,51.7
中国官方制造业PMI,2005-09-01,52.6,,51.1
中国官方制造业PMI,2005-10-01,55.1,,52.6
中国官方制造业PMI,2005-11-01,54.1,,55.1
中国官方制造业PMI,2005-12-01,54.1,,54.1
中国官方制造业PMI,2006-01-01,54.3,,54.1
中国官方制造业PMI,2006-02-01,52.1,,54.3
中国官方制造业PMI,2006-03-01,52.1,,52.1
中国官方制造业PMI,2006-04-01,55.3,,52.1
中国官方制造业PMI,2006-05-01,58.1,,55.3
中国官方制造业PMI,2006-06-01,54.8,,58.1
中国官方制造业PMI,2006-07-01,54.1,,54.8
中国官方制造业PMI,2006-08-01,52.4,,54.1
中国官方制造业PMI,2006-09-01,53.1,,52.4
中国官方制造业PMI,2006-10-01,57.0,,53.1
中国官方制造业PMI,2006-11-01,54.7,,57.0
中国官方制造业PMI,2006-12-01,55.3,,54.7
中国官方制造业PMI,2007-01-01,54.8,,55.3
中国官方制造业PMI,2007-02-01,55.1,,54.8
中国官方制造业PMI,2007-03-01,53.1,,55.1
中国官方制造业PMI,2007-04-01,56.1,,53.1
中国官方制造业PMI,2007-05-01,58.6,,56.1
中国官方制造业PMI,2007-06-01,55.7,,58.6
中国官方制造业PMI,2007-07-01,54.5,,55.7
中国官方制造业PMI,2007-08-01,53.3,,54.5
中国官方制造业PMI,2007-09-01,54.0,,53.3
中国官方制造业PMI,2007-10-01,56.1,,54.0
中国官方制造业PMI,2007-11-01,53.2,,56.1
中国官方制造业PMI,2007-12-01,55.4,,53.2
中国官方制造业PMI,2008-01-01,55.3,,55.4
中国官方制造业PMI,2008-02-01,53.0,,55.3
中国官方制造业PMI,2008-03-01,53.4,,53.0
中国官方制造业PMI,2008-04-01,58.4,,53.4
中国官方制造业PMI,2008-05-01,59.2,,58.4
中国官方制造业PMI,2008-06-01,53.3,,59.2
中国官方制造业PMI,2008-07-01,52.0,,53.3
中国官方制造业PMI,2008-08-01,48.4,,52.0
中国官方制造业PMI,2008-09-01,48.4,,48.4
中国官方制造业PMI,2008-10-01,51.2,,48.4
中国官方制造业PMI,2008-11-01,44.6,,51.2
中国官方制造业PMI,2008-12-01,38.8,,44.6
中国官方制造业PMI,2009-01-01,41.2,,38.8
中国官方制造业PMI,2009-02-01,45.3,,41.2
中国官方制造业PMI,2009-03-01,49.0,,45.3
中国官方制造业PMI,2009-04-01,52.4,,49.0
中国官方制造业PMI,2009-05-01,53.5,,52.4
中国官方制造业PMI,2009-06-01,53.1,,53.5
中国官方制造业PMI,2009-07-01,53.2,,53.1
中国官方制造业PMI,2009-08-01,53.3,,53.2
中国官方制造业PMI,2009-09-01,54.0,,53.3
中国官方制造业PMI,2009-10-01,54.3,,54.0
中国官方制造业PMI,2009-11-01,55.2,,54.3
中国官方制造业PMI,2009-12-01,55.2,,55.2
中国官方制造业PMI,2010-01-01,56.6,,55.2
中国官方制造业PMI,2010-02-01,55.8,,56.6
中国官方制造业PMI,2010-03-01,52.0,,55.8
中国官方制造业PMI,2010-04-01,55.1,,52.0
中国官方制造业PMI,2010-05-01,55.7,,55.1
中国官方制造业PMI,2010-06-01,53.9,,55.7
中国官方制造业PMI,2010-07-01,52.1,,53.9
中国官方制造业PMI,2010-08-01,51.2,,52.1
中国官方制造业PMI,2010-09-01,51.7,,51.2
中国官方制造业PMI,2010-10-01,53.8,,51.7
中国官方制造业PMI,2010-11-01,54.7,,53.8
中国官方制造业PMI,2010-12-01,55.2,,54.7
中国官方制造业PMI,2011-01-01,53.9,,55.2
中国官方制造业PMI,2011-02-01,52.9,,53.9
中国官方制造业PMI,2011-03-01,52.2,,52.9
中国官方制造业PMI,2011-04-01,53.4,,52.2
