商品,日期,总库存,增持/减持,总价值,单价
白银,2014-12-02,10891.14,68.54,5505643206,505515.7867771418
白银,2014-12-03,10806.2,-84.94,5614273871,519541.91769539705
白银,2014-12-05,10737.66,-68.54,5626921446,524036.09780901985
白银,2014-12-11,10648.28,-89.38,5839725280,548419.5832566386
白银,2014-12-13,10606.57,-41.71,5820097631,548725.7078395749
白银,2014-12-18,10544.01,-62.56,5405691548,512678.9094471648
白银,2014-12-20,10517.2,-26.81,5361361676,509770.82075077016
白银,2014-12-25,10281.87,-235.33,5211246923,506838.4372687069
白银,2014-12-27,10268.46,-13.41,5204307855,506824.5730128958
白银,2014-12-30,10250.59,-17.87,5270832262,514197.94002101343
白银,2015-01-06,10245.96,-4.63,5230759004,510519.17087320273
白银,2015-01-07,10216.18,-29.78,5350149359,523693.7249539456
白银,2015-01-09,10260.85,44.67,5399790967,526251.8180267717
白银,2015-01-10,10201.29,-59.56,5325731148,522064.47890413855
白银,2015-01-16,10150.66,-50.63,5429469240,534888.296918624
白银,2015-01-17,10108.97,-41.69,5563096006,550312.8415654612
白银,2015-01-22,9899.04,-209.93,5797177434,585630.2665713038
白银,2015-01-23,9931.8,32.76,5771581247,581121.3724601784
白银,2015-02-03,9967.53,35.73,5515899119,553386.7587055168
白银,2015-02-05,9963.31,-4.22,5634344896,565509.3433808645
白银,2015-02-19,10086.84,123.53,5323651452,527781.8872907669
白银,2015-02-24,10131.48,44.64,5275194062,520673.58984077355
白银,2015-03-03,10143.39,11.91,5421110015,534447.557966321
白银,2015-03-04,10139.5,-3.89,5352577300,527893.6140835347
白银,2015-03-06,10181.17,41.67,5299139146,520484.3005273461
白银,2015-03-21,10163.32,-17.85,5282252929,519736.9490481457
白银,2015-03-24,10118.69,-44.63,5441015207,537719.3299725557
白银,2015-03-27,10074.06,-44.63,5546341098,550556.6869762539
白银,2015-04-02,10014.56,-59.5,5342548189,533478.0748230576
白银,2015-04-03,10010.34,-4.22,5419638149,541404.0031607318
白银,2015-04-11,10084.7,74.36,5365280371,532021.8123494005
白银,2015-04-14,10105.52,20.82,5285166598,522997.9850616297
白银,2015-04-21,10150.14,44.62,5249255033,517160.8502936906
白银,2015-04-24,10209.61,59.47,5204311301,509746.33712747105
白银,2015-04-25,10239.35,29.74,5209528001,508775.2641525097
白银,2015-04-28,10283.96,44.61,5235323047,509076.56651717826
白银,2015-04-29,10191.78,-92.18,5345587676,524499.9083575194
白银,2015-05-07,10125.13,-66.65,5341516791,527550.4404387894
白银,2015-05-08,10035.93,-89.2,5275022047,525613.6747665637
白银,2015-05-14,10065.66,29.73,5387302519,535216.0234897662
白银,2015-05-15,9976.46,-89.2,5580046132,559321.2554352947
白银,2015-05-16,9925.92,-50.54,5503826371,554490.3012516724
白银,2015-05-19,9888.76,-37.16,5626058636,568934.6931263374
白银,2015-05-27,9857.54,-31.22,5319289544,539616.3286174847
白银,2015-05-28,9862.0,4.46,5280404392,535429.3644291218
白银,2015-06-03,9900.65,38.65,5313387803,536670.6027382041
白银,2015-06-04,9896.37,-4.28,5313387803,536902.7030113061
白银,2015-06-05,9940.95,44.58,5263670041,529493.6641870243
白银,2015-06-09,10046.46,105.51,5186825405,516283.8855676527
白银,2015-06-10,10082.12,35.66,5227859466,518527.7963364847
白银,2015-06-11,10168.31,86.19,5272483584,518521.12927320274
白银,2015-06-12,10198.03,29.72,5202576152,510155.01542945055
白银,2015-06-26,10206.94,8.91,5212751615,510706.5991374496
白银,2015-06-27,10236.66,29.72,5188366094,506841.69387280615
白银,2015-06-28,10088.09,-148.57,5132430690,508761.38991622796
白银,2015-06-30,10068.78,-19.31,5122390423,508739.9290678711
白银,2015-07-01,10119.29,50.51,5105731730,504554.34422770765
白银,2015-07-03,10115.01,-4.28,5076314071,501859.52075183316
白银,2015-07-09,10156.6,41.59,4894314054,481885.0849693795
白银,2015-07-14,10189.28,32.68,5060412183,496640.8012146098
白银,2015-07-18,10227.9,38.62,4934632715,482467.829662003
白银,2015-07-28,10165.53,-62.37,4799282891,472113.3960550999
白银,2015-08-04,10150.68,-14.85,4804866766,473354.1758778722
白银,2015-08-05,10146.24,-4.44,4742821188,467446.1857791655
白银,2015-08-13,10107.64,-38.6,4990722322,493757.4272530482
白银,2015-08-29,10137.33,29.69,4704452116,464072.1093226718
白银,2015-09-02,10110.61,-26.72,4769806415,471762.47674472653
白银,2015-09-03,10106.24,-4.37,4730750305,468101.9157471028
白银,2015-09-05,10058.74,-47.5,4750428890,472268.7821735128
白银,2015-09-10,10017.19,-41.55,4756242706,474808.0755181842
白银,2015-09-15,9981.57,-35.62,4629895477,463844.4129530725
白银,2015-09-23,9928.16,-53.41,4767380700,480187.73871492804
白银,2015-09-26,9898.48,-29.68,4705260023,475351.7735046189
白银,2015-09-29,9871.77,-26.71,4663735312,472431.5205885064
白银,2015-10-01,9907.38,35.61,4664510365,470811.69441365934
白银,2015-10-03,9903.21,-4.17,4594322560,463922.5624822659
白银,2015-10-07,9855.74,-47.47,4964960912,503763.38174505415
白银,2015-10-08,9802.33,-53.41,4985259445,508579.0261090986
白银,2015-10-21,9814.2,11.87,5003022767,509773.87530313217
白银,2015-10-30,9783.06,-31.14,4973941550,508423.9031550456
白银,2015-11-01,9760.81,-22.25,4902933426,502308.0488197189
白银,2015-11-04,9756.57,-4.24,4824214161,494458.00737349293
白银,2015-11-13,9801.05,44.48,4533671117,462569.94066962216
白银,2015-11-17,9867.78,66.73,4554773885,461580.4046097501
白银,2015-11-21,9897.43,29.65,4545941326,459305.2263062229
白银,2015-12-02,9928.86,31.43,4513652798,454599.29921461275
白银,2015-12-04,10000.01,71.15,4542660786,454265.62433437567
白银,2015-12-11,10062.27,62.26,4502565255,447470.1290066754
白银,2015-12-18,10017.81,-44.46,4450029541,444211.8128612941
白银,2015-12-22,9988.17,-29.64,4571488137,457690.26127909316
白银,2015-12-23,9962.97,-25.2,4588720164,460577.53501215
白银,2015-12-24,9918.52,-44.45,4526719595,456390.63035614183
白银,2015-12-31,9888.88,-29.64,4391943604,444129.52771193505
白银,2016-01-05,9884.62,-4.26,4452049092,450401.64336110034
白银,2016-01-07,9840.17,-44.45,4438233920,451032.24029666156
白银,2016-01-15,9795.73,-44.44,4345267031,443587.8725730497
白银,2016-01-19,9754.25,-41.48,4398755274,450957.81572135224
白银,2016-01-21,9692.04,-62.21,4364338888,450301.36978386383
白银,2016-01-25,9662.41,-29.63,4415991204,457027.92615920876
白银,2016-01-28,9626.86,-35.55,4201469886,436432.01272273617
白银,2016-02-02,9622.82,-4.04,4411649801,458457.0636258394
白银,2016-02-03,9610.97,-11.85,4452507278,463273.45502066915
白银,2016-02-10,9591.72,-19.25,4662098603,486054.49314617197
白银,2016-02-12,9710.19,118.47,4881899533,502760.45401789254
白银,2016-02-17,9671.69,-38.5,4740936362,490186.9644291742
白银,2016-02-22,9692.42,20.73,4672870454,482115.9683546524
白银,2016-03-02,9777.39,84.97,4658547063,476461.20927977713
白银,2016-03-03,9946.17,168.78,4786867002,481277.4165331982
白银,2016-03-04,10035.0,88.83,4977965205,496060.3094170404
白银,2016-03-10,10076.45,41.45,4946284024,490875.65799463104
白银,2016-03-11,10135.66,59.21,5050236452,498264.19315565046
白银,2016-03-18,10218.55,82.89,5235616223,512363.90906733344
白银,2016-03-21,10274.8,56.25,5221282618,508163.91735118936
白银,2016-03-22,10230.39,-44.41,5224954082,510728.729012286
白银,2016-03-28,10257.03,26.64,5036987758,491076.6330994449
白银,2016-03-29,10276.27,19.24,4973684809,483997.0932059979
白银,2016-03-31,10344.35,68.08,5112934270,494273.1317095806
白银,2016-04-04,10378.53,34.18,4991536293,480948.2935444615
白银,2016-04-05,10411.09,32.56,5084113278,488336.31041514385
白银,2016-04-08,10455.48,44.39,5095500850,487352.168432248
白银,2016-04-13,10396.29,-59.19,5340383216,513681.6321976397
白银,2016-04-15,10366.7,-29.59,5388359324,519775.75544773164
白银,2016-04-19,10411.09,44.39,5561766190,534215.5518778533
白银,2016-04-27,10437.72,26.63,5816990240,557304.6833982901
白银,2016-04-29,10482.1,44.38,6015132285,573848.0156648
白银,2016-05-02,10538.31,56.21,6047156697,573826.0401335699
白银,2016-05-04,10490.0,-48.31,5793820167,552318.4143946616
白银,2016-05-05,10454.5,-35.5,5841355378,558740.7698120427
白银,2016-05-10,10421.95,-32.55,5708849064,547771.6803477276
白银,2016-05-20,10451.53,29.58,5562978907,532264.5494965808
白银,2016-05-23,10442.66,-8.87,5474091699,524204.72360490524
白银,2016-06-02,10491.18,48.52,5389897054,513755.08322228765
白银,2016-06-07,10535.54,44.36,5524093765,524329.4377886658
白银,2016-06-10,10587.29,51.75,5894790275,556779.9007111357
白银,2016-06-14,10661.21,73.92,5911637602,554499.6864333411
白银,2016-06-17,10492.67,-168.54,5858405051,558333.1078743542
白银,2016-06-20,10403.97,-88.7,5796922054,557183.657200088
