label,板块,公司家数,平均价格,涨跌额,涨跌幅,总成交量,总成交额,股票代码,个股-涨跌幅,个股-当前价,个股-涨跌额,股票名称
new_blhy,玻璃行业,19,0,0,0,0,0,0,0,0,0,--
new_cbzz,船舶制造,8,0,0,0,0,0,0,0,0,0,--
new_cmyl,传媒娱乐,40,0,0,0,0,0,0,0,0,0,--
new_dlhy,电力行业,62,0,0,0,0,0,0,0,0,0,--
new_dqhy,电器行业,58,0,0,0,0,0,0,0,0,0,--
new_dzqj,电子器件,152,0,0,0,0,0,0,0,0,0,--
new_dzxx,电子信息,247,0,0,0,0,0,0,0,0,0,--
new_fdc,房地产,123,0,0,0,0,0,0,0,0,0,--
new_fdsb,发电设备,65,0,0,0,0,0,0,0,0,0,--
new_fjzz,飞机制造,14,0,0,0,0,0,0,0,0,0,--
new_fzhy,纺织行业,42,0,0,0,0,0,0,0,0,0,--
new_fzjx,纺织机械,8,0,0,0,0,0,0,0,0,0,--
new_fzxl,服装鞋类,49,0,0,0,0,0,0,0,0,0,--
new_glql,公路桥梁,20,0,0,0,0,0,0,0,0,0,--
new_gsgq,供水供气,25,0,0,0,0,0,0,0,0,0,--
new_gthy,钢铁行业,60,0,0,0,0,0,0,0,0,0,--
new_hbhy,环保行业,27,0,0,0,0,0,0,0,0,0,--
new_hghy,化工行业,150,0,0,0,0,0,0,0,0,0,--
new_hqhy,化纤行业,26,0,0,0,0,0,0,0,0,0,--
new_jdhy,家电行业,37,0,0,0,0,0,0,0,0,0,--
new_jdly,酒店旅游,35,0,0,0,0,0,0,0,0,0,--
new_jjhy,家具行业,16,0,0,0,0,0,0,0,0,0,--
new_jrhy,金融行业,51,0,0,0,0,0,0,0,0,0,--
new_jtys,交通运输,87,0,0,0,0,0,0,0,0,0,--
new_jxhy,机械行业,211,0,0,0,0,0,0,0,0,0,--
new_jzjc,建筑建材,91,0,0,0,0,0,0,0,0,0,--
new_kfq,开发区,10,0,0,0,0,0,0,0,0,0,--
new_ljhy,酿酒行业,33,0,0,0,0,0,0,0,0,0,--
new_mtc,摩托车,6,0,0,0,0,0,0,0,0,0,--
new_mthy,煤炭行业,41,0,0,0,0,0,0,0,0,0,--
new_nlmy,农林牧渔,64,0,0,0,0,0,0,0,0,0,--
new_nyhf,农药化肥,46,0,0,0,0,0,0,0,0,0,--
new_qczz,汽车制造,103,0,0,0,0,0,0,0,0,0,--
new_qtxy,其它行业,202,0,0,0,0,0,0,0,0,0,--
new_slzp,塑料制品,33,0,0,0,0,0,0,0,0,0,--
new_snhy,水泥行业,26,0,0,0,0,0,0,0,0,0,--
new_sphy,食品行业,58,0,0,0,0,0,0,0,0,0,--
new_stock,次新股,109,0,0,0,0,0,0,0,0,0,--
new_swzz,生物制药,155,0,0,0,0,0,0,0,0,0,--
new_sybh,商业百货,93,0,0,0,0,0,0,0,0,0,--
new_syhy,石油行业,24,0,0,0,0,0,0,0,0,0,--
new_tchy,陶瓷行业,8,0,0,0,0,0,0,0,0,0,--
new_wzwm,物资外贸,21,0,0,0,0,0,0,0,0,0,--
new_ylqx,医疗器械,31,0,0,0,0,0,0,0,0,0,--
new_yqyb,仪器仪表,48,0,0,0,0,0,0,0,0,0,--
new_ysbz,印刷包装,20,0,0,0,0,0,0,0,0,0,--
new_ysjs,有色金属,72,0,0,0,0,0,0,0,0,0,--
new_zhhy,综合行业,33,0,0,0,0,0,0,0,0,0,--
new_zzhy,造纸行业,24,0,0,0,0,0,0,0,0,0,--
