排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,游戏,BK1046,1258.41,44.69,3.68,383424560000,7.19,26,0,文投控股,10.0
2,文化传媒,BK0486,10211.76,328.02,3.32,1164403248000,4.31,92,11,龙韵股份,9.99
3,计算机设备,BK0735,1108.08,26.76,2.47,880495056000,2.36,46,6,微创光电,29.9
4,煤炭行业,BK0437,10761.32,251.86,2.4,1676786512000,1.03,31,3,恒源煤电,6.9
5,证券,BK0473,125681.37,2624.92,2.13,3001046992000,1.18,49,1,浙商证券,9.99
6,消费电子,BK1037,1249.55,23.86,1.95,1570989456000,1.87,82,10,亿道信息,10.0
7,电子化学品,BK1039,1508.78,26.05,1.76,244825039000,2.8,23,1,西陇科学,5.86
8,汽车零部件,BK0481,32661.1,553.57,1.72,1710262912000,2.69,186,28,新坐标,10.0
9,航天航空,BK0480,37603.96,634.47,1.72,749603216000,0.9,37,3,北摩高科,8.14
10,半导体,BK1036,1263.92,20.19,1.62,3466245568000,2.08,134,18,芯海科技,7.02
11,多元金融,BK0738,520.61,7.85,1.53,365464896000,1.38,20,3,仁东控股,9.99
12,公用事业,BK0427,7441.35,108.92,1.49,168624329000,1.18,20,1,洪城环境,4.26
13,燃气,BK1028,1455.4,21.25,1.48,280739424000,1.57,26,5,南京公用,9.95
14,美容护理,BK1035,785.6,11.18,1.44,328985600000,1.83,24,5,两面针,9.95
15,互联网服务,BK0447,21736.01,306.3,1.43,1583797168000,3.39,128,18,云鼎科技,10.01
16,风电设备,BK1032,1030.03,14.39,1.42,261549082000,1.2,19,1,海力风电,4.03
17,软件开发,BK0737,923.05,12.52,1.38,2069635120000,2.9,161,28,华信永道,30.0
18,光学光电子,BK1038,1312.15,17.79,1.37,1017210656000,1.87,74,24,五方光电,10.0
19,汽车服务,BK1016,1081.96,14.56,1.36,93095113000,1.85,10,3,北巴传媒,9.94
20,化纤行业,BK0471,12532.21,167.89,1.36,519063024000,0.87,25,4,新凤鸣,7.1
21,化肥行业,BK0731,1156.75,14.95,1.31,308767248000,1.14,17,5,泸天化,10.11
22,采掘行业,BK1017,1057.31,13.46,1.29,269938848000,0.63,17,2,惠博普,2.2
23,物流行业,BK0422,5996.22,76.17,1.29,1038828928000,0.64,46,6,海程邦达,7.41
24,纺织服装,BK0436,10638.41,125.18,1.19,517887632000,1.88,81,20,浔兴股份,10.03
25,家用轻工,BK0440,34418.9,404.36,1.19,163465198000,1.89,24,5,实丰文化,10.02
26,玻璃玻纤,BK0546,33162.26,388.86,1.19,348917168000,1.02,20,3,山东玻纤,6.43
27,综合行业,BK0539,8663.39,101.11,1.18,169589936000,1.0,21,1,海印股份,4.0
28,汽车整车,BK1029,1345.58,15.51,1.17,1682901968000,1.66,18,6,江淮汽车,7.31
