label,板块,公司家数,平均价格,涨跌额,涨跌幅,总成交量,总成交额,股票代码,个股-涨跌幅,个股-当前价,个股-涨跌额,股票名称
hangye_ZA01,农业,18,10.613333333333,-0.12277777777778,-1.143596377749,180214745,1588230528,bj831087,2.222,9.2,0.2,秋乐种业
hangye_ZA02,林业,4,10.3975,-0.03,-0.28770079117718,31055231,106368729,sz002200,0.611,8.23,0.05,ST交投
hangye_ZA03,畜牧业,20,16.754210526316,0.096842105263158,0.58137697873551,456991018,6216028968,sz000735,4.651,6.3,0.28,罗 牛 山
hangye_ZA04,渔业,8,5.835,-0.10625,-1.7883442036608,169994216,1072179151,sz002086,1.476,2.75,0.04,*ST东洋
hangye_ZA05,农、林、牧、渔服务业,1,8.31,-0.06,-0.7168458781362,8926660,74068912,sz002086,0.0,2.75,0.04,*ST东洋
hangye_ZB06,煤炭开采和洗选业,25,9.8804,-0.05336,-0.53715813548948,501843760,4669682845,sh900948,3.186,1.49,0.046,伊泰Ｂ股
hangye_ZB07,石油和天然气开采业,8,7.97875,-0.04125,-0.5143391521197,714774549,3607049435,sh600777,3.321,2.8,0.09,新潮能源
hangye_ZB08,黑色金属矿采选业,7,11.642857142857,-0.21714285714286,-1.8308841243074,92765025,2105462883,sh601121,0.698,7.21,0.05,宝地矿业
hangye_ZB09,有色金属矿采选业,25,14.944,-0.1508,-0.99901952990434,508378547,5749736310,sz000426,1.107,9.13,0.1,兴业银锡
hangye_ZB10,非金属矿采选业,2,27.155,-0.195,-0.71297989031079,5445520,148574133,sz000426,0.0,9.13,0.1,兴业银锡
hangye_ZB11,开采辅助活动,16,10.555,-0.08875,-0.83382266588373,200295447,1116373887,sh603979,0.37,35.28,0.13,金诚信
hangye_ZC13,农副食品加工业,64,15.57421875,0.02859375,0.18393438668436,1044368437,9756711322,sh603536,9.976,18.19,1.65,惠发食品
hangye_ZC14,食品制造业,76,18.246842105263,-0.20986842105263,-1.1370846432976,782722288,10584557327,bj871970,10.448,5.18,0.49,大禹生物
hangye_ZC15,酒、饮料和精制茶制造业,52,75.583076923077,-0.11865384615385,-0.15673861739773,310733712,14582633385,bj832023,2.825,3.64,0.1,田野股份
hangye_ZC17,纺织业,53,11.678,0.0072264150943396,0.061918904019232,657112993,4432041080,sh600630,9.977,9.59,0.87,龙头股份
hangye_ZC18,纺织服装、服饰业,40,11.354,-0.0455,-0.39914031317163,338038707,2053889898,sz002569,1.961,8.32,0.16,ST步森
hangye_ZC19,皮革、毛皮、羽毛及其制品和制鞋业,12,11.095,-0.0275,-0.24724657226343,101307346,645822006,sz300979,1.804,46.84,0.83,华利集团
hangye_ZC20,木材加工和木、竹、藤、棕、草制品业,9,10.155555555556,0.0088888888888889,0.08760402978537,58479242,316430623,sh603226,1.201,6.74,0.08,菲林格尔
hangye_ZC21,家具制造业,31,19.827096774194,-0.089032258064516,-0.44703595724004,111167515,1534358051,bj873132,3.232,17.25,0.54,泰鹏智能
hangye_ZC22,造纸和纸制品业,42,11.792142857143,-0.073571428571429,-0.62003371057067,255185986,1865612037,bj872392,3.744,11.36,0.41,佳合科技
hangye_ZC23,印刷和记录媒介复制业,15,10.000666666667,-0.044666666666667,-0.44465091584815,142710988,1620431755,sz002599,1.889,7.55,0.14,盛通股份
hangye_ZC24,文教、工美、体育和娱乐用品制造业,28,13.21,-0.11285714285714,-0.84709414539996,477146248,4667993042,sz002292,8.343,9.09,0.7,奥飞娱乐
hangye_ZC25,石油加工、炼焦和核燃料加工业,18,6.7116666666667,-0.047777777777778,-0.70682994986439,241116732,1216823518,sh600725,1.342,3.02,0.04,云维股份
