标题,摘要,发布时间,链接
东方财富财经早餐 10月22日周三,【东方财富财经早餐 10月22日周三】1、特朗普称将于明年初访问中国，外交部回应。2、广东：支持工业智能算力应用，培育工业软件和智能装备。3、国际金银大幅收跌，黄金盘中一度创自2013年4月以来的最大单日跌幅。,2025-10-22 06:00:04,http://finance.eastmoney.com/a/202510223540307843.html
东方财富财经早餐 10月21日周二,【东方财富财经早餐 10月21日周二】1、美方称将稀土、芬太尼和大豆列为中美经贸磋商的三大问题，外交部回应。2、iPhone 17标准版被中国果粉“买爆”：销量比iPhone 16多出近1倍。3、宇树科技重磅！发布新版全尺寸通用人形机器人，增重50%。,2025-10-21 06:00:42,http://finance.eastmoney.com/a/202510203539050819.html
东方财富财经早餐 10月20日周一,【东方财富财经早餐 10月20日周一】1、继续释放关税缓和信号！特朗普在最新采访中暗示：大门仍敞开着。2、何立峰与美国财政部长贝森特、贸易代表格里尔举行视频通话。3、财政部等三部门公告：调整风力发电等增值税政策。,2025-10-20 06:00:29,http://finance.eastmoney.com/a/202510193538074718.html
东方财富财经早餐 10月17日周五,【财经早餐】1、美方有意延长对华关税暂停期换取中方推迟实行稀土出口管制，外交部回应。2、中美是否会举行新一轮经贸会谈？商务部回应。3、工信部：开展城域“毫秒用算”专项行动，在城域内提供毫秒级算力资源网络通达能力。,2025-10-17 06:00:22,http://finance.eastmoney.com/a/202510173536418364.html
东方财富财经早餐 10月16日周四,【东方财富财经早餐 10月16日周四】1、央行：前三季度社会融资规模增量30.09万亿元，人民币贷款增加14.75万亿元。2、特朗普威胁不买中国食用油报复中方“故意不买美国大豆”，外交部回应。3、三花智控：关于获得机器人大额订单的传言不属实。,2025-10-16 06:00:53,http://finance.eastmoney.com/a/202510153535163559.html
东方财富财经早餐 10月15日周三,【东方财富财经早餐 10月15日周三】1、商务部新闻发言人就美对华造船等行业301调查限制措施落地答记者问。2、上海推动AI终端“做大做强”！智能眼镜、机器人等获点名。3、央行今日将开展6000亿元买断式逆回购操作。,2025-10-15 06:00:51,http://finance.eastmoney.com/a/202510143533900228.html
东方财富财经早餐 10月14日周二,【东方财富财经早餐 10月14日周二】1、巴基斯坦利用中国技术向美国赠送稀土？外交部驳斥。2、交通运输部印发《对美船舶收取船舶特别港务费实施办法》。3、现货黄金向上触及4100美元/盎司，再创历史新高。,2025-10-14 06:00:52,http://finance.eastmoney.com/a/202510133532674128.html
东方财富财经早餐 10月13日周一,【东方财富财经早餐 10月13日周一】1、万斯称“特朗普愿意与中国进行理性谈判”！“TACO”交易再次上演。2、商务部新闻发言人就近期中方相关经贸政策措施情况答记者问。3、包钢股份、北方稀土精矿交易价格再上调，环比提升超37%。,2025-10-13 06:00:52,http://finance.eastmoney.com/a/202510123531561082.html
东方财富财经早餐 10月10日周五,【东方财富财经早餐 10月10日周五】1、商务部、海关总署连发4则公告，涉超硬材料、稀土、锂电池等出口管制。2、中方领导人是否会在APEC期间同特朗普会晤？外交部回应。3、两部门：治理价格无序竞争，维护良好市场价格秩序。,2025-10-10 06:00:51,http://finance.eastmoney.com/a/202510093529756780.html
东方财富财经早餐 10月9日周四,【东方财富财经早餐 10月9日周四】1、国务院办公厅发文：政府采购中给予本国产品20%的价格评审优惠。2、央行：10月9日将开展11000亿元买断式逆回购操作，期限为3个月。3、金价又创历史新高！COMEX黄金期货升破4000美元/盎司。,2025-10-09 06:00:34,http://finance.eastmoney.com/a/202510083528763124.html
东方财富财经早餐 9月30日周二,【东方财富财经早餐 9月30日周二】1、中共中央政治局召开会议，讨论拟提请二十届四中全会审议的文件。2、国家发改委重磅发声！将适时加力实施宏观政策。3、DeepSeek-V3.2-Exp API价格官宣大幅下调。,2025-09-30 06:00:28,http://finance.eastmoney.com/a/202509293526629634.html
东方财富财经早餐 9月29日周一,【东方财富财经早餐 9月29日周一】1、央行货币政策委员会：下阶段建议加强货币政策调控，提高前瞻性、针对性、有效性。2、国务院国资委召开国有企业经济运行座谈会：要带头坚决抵制“内卷式”竞争。3、八部门印发《有色金属行业稳增长工作方案（2025—2026年）》。,2025-09-29 06:00:51,http://finance.eastmoney.com/a/202509283525690419.html
