标题,内容,发布日期,发布时间
湖北“十五五”规划建议：着力在具身智能、6G、高端芯片、量子科技、脑机接口等领域抢占新赛道,【湖北“十五五”规划建议：着力在具身智能、6G、高端芯片、量子科技、脑机接口等领域抢占新赛道】财联社12月5日电，中共湖北省委关于制定全省国民经济和社会发展第十五个五年规划的建议发布，其中提到，加快未来产业前瞻布局。深刻把握国家战略导向和经济社会发展潜在需求，重点围绕未来制造、未来信息、未来材料、未来健康、未来能源等主攻方向，探索多元技术路线、典型应用场景、可行商业模式、市场监管规则。着力在具身智能、第六代移动通信（6G）、高端芯片、量子科技、脑机接口、合成生物、基因和细胞治疗、氢能与核聚变能等领域抢占新赛道，培育新的经济增长点。建立未来产业投入增长和风险分担机制，发挥政府投资基金与国资基金作用，引导社会资本参与未来技术创新和产业化落地。引导各地聚焦优势领域，合理规划、优选培育未来产业细分赛道，建设一批未来产业先导区。,2025-12-05,08:21:41
美国未偿国债首破30万亿美元 自2018年来已翻倍,【美国未偿国债首破30万亿美元 自2018年来已翻倍】财联社12月5日电，美国财政部当地时间12月4日公布数据显示，11月份国库券、票据和债券合计增加约0.7%，达到30.2万亿美元，这是美国政府未偿债务规模首次突破30万亿美元，自2018年以来已增长逾一倍。,2025-12-05,08:21:58
美国财政部发行在外的国债规模突破30万亿美元 较2018年翻倍,【美国财政部发行在外的国债规模突破30万亿美元 较2018年翻倍】财联社12月5日电，最新数据显示，美国财政部发行在外的国债余额首次突破30万亿美元大关，约为2018年的两倍。此项余额包括国库券、国债票据和长期国债，是美国联邦总债务的核心组成部分。与此同时，美国整体联邦债务已升至约38.4万亿美元。其中，约30万亿美元为市场持有债务，其余为政府内部账户（如社会保障信托基金）持有。,2025-12-05,08:22:15
湖北“十五五”规划建议：优化企业挂牌上市服务体系 推动企业上市增量提质,【湖北“十五五”规划建议：优化企业挂牌上市服务体系 推动企业上市增量提质】财联社12月5日电，中共湖北省委关于制定全省国民经济和社会发展第十五个五年规划的建议发布，其中提到，推动金融改革创新。加快构建股权投资引导体系、债权融资增信体系、多层次资本市场公开募资培育体系，为各类创新主体、产业主体提供全业态、全链条金融服务。大力发展科技金融、绿色金融、普惠金融、养老金融、数字金融，服务实体经济高质量发展。完善供应链金融服务平台、中小企业融资信用平台，着力提升金融资源配置效率。优化企业挂牌上市服务体系，推动企业上市增量提质。面向全球招引头部金融机构和专业化金融服务中介，广泛吸引各类基金资源、集聚新兴金融业态，高水平推进武汉科技金融中心建设。,2025-12-05,08:23:14
湖北“十五五”规划建议：持续推进农业转移人口市民化 推行由常住地登记户口提供基本公共服务制度,【湖北“十五五”规划建议：持续推进农业转移人口市民化 推行由常住地登记户口提供基本公共服务制度】财联社12月5日电，中共湖北省委关于制定全省国民经济和社会发展第十五个五年规划的建议发布，其中提到，深入推进以人为本的新型城镇化。持续推进农业转移人口市民化，推行由常住地登记户口提供基本公共服务制度。优化城市规模结构，支持武汉探索超大城市治理现代化新路子，促进大中小城市和小城镇协调发展、集约紧凑布局。分类推进以县城为重要载体的城镇化建设，实施县域经济“双20”帮扶机制、“双百”科技赋能工程、经济强县高质量发展行动，加快百强县进位、千亿县扩容。坚持城市内涵式发展，大力实施城市更新，优化城市空间结构，提升功能品质，保护传承历史文脉，建设具有荆楚特色的创新、宜居、美丽、韧性、文明、智慧现代化人民城市。,2025-12-05,08:25:57
湖北“十五五”规划建议：完善商品房开发、融资和销售等基础制度 健全“人、房、地、钱”要素联动机制,【湖北“十五五”规划建议：完善商品房开发、融资和销售等基础制度 健全“人、房、地、钱”要素联动机制】财联社12月5日电，中共湖北省委关于制定全省国民经济和社会发展第十五个五年规划的建议发布，其中提到，推动房地产高质量发展。优化住房供应体系，完善商品房开发、融资和销售等基础制度，健全“人、房、地、钱”要素联动机制。优化保障性住房供给，满足城镇工薪群体和各类困难家庭基本住房需求。加快构建房地产发展新模式，建设安全舒适绿色智慧的“好房子”，打造全生态“好服务”。因城施策优化住房消费政策，增加改善性住房供给，激活返乡置业、教育置业、创业置业和改善性置业需求。实施房屋品质提升工程和物业服务质量提升行动。建立房屋全生命周期安全管理制度。,2025-12-05,08:27:50
日本财务大臣片山皋月：将密切关注利率市场动态,【日本财务大臣片山皋月：将密切关注利率市场动态】财联社12月5日电，日本财务大臣片山皋月表示，利率由多种因素决定，将密切关注市场动态。并表示，在制定下一财年预算时将考虑到财政可持续性，已在兼顾财政可持续性的前提下制定额外预算。,2025-12-05,08:29:19
中国大宗商品价格指数连续七个月环比上升,【中国大宗商品价格指数连续七个月环比上升】财联社12月5日电，中国物流与采购联合会今天（5日）公布11月份中国大宗商品价格指数。从指数运行情况看，连续七个月实现环比上升，且好于去年同期水平。11月份中国大宗商品价格指数为114.1点，环比上涨0.8%，同比上涨1.6%。在中国物流与采购联合会重点监测的50种大宗商品中，11月价格环比上涨的大宗商品有25种。其中碳酸锂、焦炭和瓦楞纸涨幅居前，较上月分别上涨15%、7.2%和7.1%。,2025-12-05,08:32:20
委内瑞拉总统：如有必要可能进行“武装斗争”,【委内瑞拉总统：如有必要可能进行“武装斗争”】财联社12月5日电，据央视新闻，当地时间12月4日，委内瑞拉总统马杜罗在直播节目中表示，如有必要可能进行“武装斗争”，但其最终目标是捍卫和平与国家主权。马杜罗称，委内瑞拉政府若被迫转向武装冲突，将是为了和平、主权、祖国以及保卫这片土地而战。委内瑞拉将继续沿着当前道路前行。,2025-12-05,08:36:18
阿里加码对即时零售长期投入新信号：饿了么App正式焕新为淘宝闪购,"【阿里加码对即时零售长期投入新信号：饿了么App正式焕新为淘宝闪购】财联社12月5日电，经过过去半年快速增长后，站在全新市场格局下的淘宝闪购，迈出新阶段的重要步伐。12月5日上午，其官方正式宣布：即日起“饿了么”App在更新至最新版本后将全面焕新为 “淘宝闪购”。

“更新是为了更好，更好也激励我们常新。”淘宝闪购表示，“这是饿了么多年沉淀的服务和履约能力、产品技术、用户信任与组织韧性的全面检验和焕新升级，由此将更深度融入阿里集团‘大消费平台’战略，释放更大价值，在服务用户、商家、骑士的道路上迈出更关键的一步。”

在近期财报电话会上，阿里巴巴管理层强调：淘宝闪购在第一阶段完成了规模的快速扩张，第二阶段的经济效益优化符合预期，这为外卖业务长期可持续发展奠定了基础，也增加了在即时零售长期投入的决心。",2025-12-05,08:45:44
