标题,内容,发布日期,发布时间
汇丰控股：在港交所等交易所回购约362万股,【汇丰控股：在港交所等交易所回购约362万股】财联社9月19日电，汇丰控股(00005.HK)在港交所发布公告称，9月18日于香港斥资约1.6亿港元回购约149万股，每股回购价在106.9至107.6港元；同日在伦交所等交易所回购约213万股，每股回购价在10.112至10.232英镑，斥资约2164万英镑。,2025-09-19,17:34:16
广州若羽臣科技股份有限公司在港交所提交IPO申请,【广州若羽臣科技股份有限公司在港交所提交IPO申请】财联社9月19日电，利弗莫尔证券显示，广州若羽臣科技股份有限公司在港交所提交IPO申请，中信建投国际、广发证券为联席保荐人。,2025-09-19,17:36:33
思科瑞：2022年虚增利润总额700.54万元涉嫌违反《证券法》相关规定 9月23日起证券简称变成为ST思科瑞,【思科瑞：2022年虚增利润总额700.54万元涉嫌违反《证券法》相关规定 9月23日起证券简称变成为ST思科瑞】财联社9月19日电，思科瑞(688053.SH)公告称，公司收到中国证监会四川监管局下发的《行政处罚事先告知书》，经查明，思科瑞2022年年度报告存在虚假记载，虚增营业收入996.04万元，虚增利润总额700.54万元。思科瑞被警告并处以二百万元罚款，相关责任人舒晓辉、张亚、马卫东、涂全鑫分别被警告并处以一百二十万元、八十万元、八十万元、八十万元罚款。该行为涉嫌违反《证券法》相关规定，构成违法行为。根据《上市规则》相关规定，思科瑞股票将被实施其他风险警示，A股简称变更为ST思科瑞，扩位简称变更为ST思科瑞微电子。停牌日期为2025年9月22日，实施起始日为2025年9月23日。实施风险警示期间，公司股票不进入上海证券交易所风险警示板交易，投资者当日通过竞价交易、大宗交易和盘后固定价格交易累计买入的公司股票数量不得超过50万股。,2025-09-19,17:36:36
以军称约48万加沙城居民已撤往加沙地带南部,【以军称约48万加沙城居民已撤往加沙地带南部】财联社9月19日电，以色列国防军9月19日表示，自以军对加沙地带北部的加沙城发动大规模军事行动以来，估计已有约48万名巴勒斯坦居民从加沙城撤离至加沙地带南部。据悉，在军事行动开始前，加沙城约有100万人口。为配合军事行动，以军此前要求加沙城所有居民立即撤离，并前往位于南部的、由以方指定的所谓“人道主义区域”。 (央视新闻),2025-09-19,17:37:27
,财联社9月19日电，贝壳-W(02423)发布公告，于9月19日斥资450万美元回购67.57万股股份。,2025-09-19,17:38:11
渣打集团：以约735万英镑回购约52万股,【渣打集团：以约735万英镑回购约52万股】财联社9月19日电，渣打集团(02888.HK)在港交所发布公告称，9月18日在伦交所等交易所斥资约734.6万英镑回购股份约52万股，每股回购价在14.065至14.335英镑。,2025-09-19,17:41:29
南向资金今日净买入逾98亿港元 山高控股获净买入居前,【南向资金今日净买入逾98亿港元 山高控股获净买入居前】财联社9月19日电，南向资金今日净买入约98.38亿港元。 山高控股、阿里巴巴-W分别获净买入约22.4亿港元、17.27亿港元；腾讯控股遭净卖出6.22亿港元。,2025-09-19,17:41:33
,财联社9月19日电，根据港交所文件披露，腾讯控股于9月19日斥资5.508亿港元回购85.7万股股票。,2025-09-19,17:41:38
今年以来LNG运输船新造船市场出现严重“订单荒”,【今年以来LNG运输船新造船市场出现严重“订单荒”】财联社9月19日电，今年迄今为止，LNG运输船新造船市场出现严重“订单荒”，全球仅新下单17艘LNG运输船，较去年同期约70艘的订单狂潮形成鲜明对比。其中，韩国船厂接获15艘、美国船厂接获2艘，中国船厂目前尚未签单。在各大主要船型市场，LNG运输船的订单放缓态势最为显著。造船业相关人员表示：““今年LNG运输船订单量虽低于预期，但随着下半年主要项目逐步落实，市场普遍预期订单量将有所释放。尽管船价压力依然存在，但在能源安全保障与环保燃料转型趋势下，LNG运输船需求必将呈现结构性增长。”,2025-09-19,17:44:52
港口煤价突破700元关口,【港口煤价突破700元关口】财联社9月19日电，本周以来，宏观以及产业利好消息频频，叠加国庆假期前部分补库需求释放，煤炭市场情绪向好，价格持续偏强运行，北方港口5500K动力煤价格突破700元整数关口。截至9月19日，“CCTD环渤海动力煤现货参考价”5500K、5000K、4500K三个规格品价格分别收于703、614、542元/吨，周环比分别上涨22、23、20元/吨。 (中国煤炭市场网),2025-09-19,17:46:22
五洲交通：控股股东获得中信银行不超1.53亿元贷款承诺函用于增持公司股份,【五洲交通：控股股东获得中信银行不超1.53亿元贷款承诺函用于增持公司股份】财联社9月19日电，五洲交通(600368.SH)公告称，公司控股股东广西交通投资集团有限公司已获得中信银行股份有限公司南宁分行出具的贷款承诺函，中信银行承诺对交投集团股份增持事项提供贷款支持，贷款资金最高不超过人民币1.53亿元。交投集团计划自2025年9月15日起12个月内，通过上海证券交易所集中竞价交易等合法合规方式增持公司股份，拟增持金额不低于人民币0.85亿元（含）且不高于人民币1.7亿元（含）。,2025-09-19,17:46:30
集泰股份：公司的部分产品已通过宁德时代验证,【集泰股份：公司的部分产品已通过宁德时代验证】财联社9月19日电，集泰股份(002909.SZ)发布投资者关系活动记录表公告称，公司的安徽安庆新材料产业基地一期项目部分产线已经完成验收在试产阶段，剩余产线按计划建设中。公司的船用防锈漆、船舶油舱漆等产品目前主要用于船舶水线以上。公司将积极把握新能源下游市场快速扩容的战略机遇，继续着力拓展含电池用胶在内的新能源用胶等工业类用胶市场。公司的部分产品已通过宁德时代验证，暂未形成批量供货。,2025-09-19,17:48:14
宏工科技：研发了适用于固态电池的全自动吨袋拆包系统等,【宏工科技：研发了适用于固态电池的全自动吨袋拆包系统等】财联社9月19日电，宏工科技(301662.SZ)发布投资者关系活动记录表公告称，针对固态电池、干法电极工艺的特殊需求，目前公司研发或联合研发了混合均质一体机、干法研磨机、适用于干法电极的双螺杆挤出机、适用于固态电池的全自动吨袋拆包系统等。,2025-09-19,17:50:54
中国央行、金融监管总局、证监会、外汇局负责人将于9月22日下午3点召开新闻发布会 介绍“十四五”时期金融业发展成就,【中国央行、金融监管总局、证监会、外汇局负责人将于9月22日下午3点召开新闻发布会 介绍“十四五”时期金融业发展成就】财联社9月19日电，国务院新闻办公室将于2025年9月22日（星期一）下午3时举行“高质量完成‘十四五’规划”系列主题新闻发布会，请中国人民银行行长潘功胜，金融监管总局局长李云泽，中国证监会主席吴清，中国人民银行副行长、国家外汇局局长朱鹤新介绍“十四五”时期金融业发展成就，并答记者问。,2025-09-19,17:53:26
英国交易平台IG集团收购澳大利亚加密货币交易所,【英国交易平台IG集团收购澳大利亚加密货币交易所】财联社9月19日电，英国在线交易平台IG集团周五表示，已以1.78亿澳元（约合1.1741亿美元）的价格收购澳大利亚加密货币交易所Independent Reserve。此次收购将扩大IG集团的数字业务范围，并增强其在亚太地区的市场布局。IG集团称，预计该交易完成后的首个完整财年，将为每股现金收益带来正向贡献。,2025-09-19,17:55:08
上交所：本周对天普股份、首开股份等严重异常波动股票进行重点监控,【上交所：本周对天普股份、首开股份等严重异常波动股票进行重点监控】财联社9月19日电，上交所表示，9月15日至9月19日，上交所对274起拉抬打压、虚假申报等证券异常交易行为采取了自律监管措施，对天普股份、首开股份等严重异常波动股票进行重点监控，对36起上市公司重大事项等进行专项核查。,2025-09-19,17:56:19
