标题,摘要,发布时间,链接
智元机器人首次披露合伙人名单 彭志辉任总裁一职,【智元机器人首次披露合伙人名单 彭志辉任总裁一职】9月19日，记者注意到，智元机器人官网新披露了合伙人团队名单。其中，邓泰华为创始人、董事长、CEO，彭志辉为联合创始人、总裁、CTO。,2025-09-19 17:58:57,https://finance.eastmoney.com/a/202509193518533748.html
上交所：对天普股份、首开股份等严重异常波动股票进行重点监控,上交所：2025年9月15日至2025年9月19日，对天普股份、首开股份等严重异常波动股票进行重点监控，对36起上市公司重大事项等进行专项核查。,2025-09-19 17:55:53,https://finance.eastmoney.com/a/202509193518532564.html
国新办将于9月22日下午3时举行新闻发布会 潘功胜、李云泽、吴清等出席,【国新办将于9月22日下午3时举行新闻发布会 潘功胜、李云泽、吴清等出席】国务院新闻办公室将于2025年9月22日（星期一）下午3时举行“高质量完成‘十四五’规划”系列主题新闻发布会，请中国人民银行行长潘功胜，金融监管总局局长李云泽，中国证监会主席吴清，中国人民银行副行长、国家外汇局局长朱鹤新介绍“十四五”时期金融业发展成就，并答记者问。,2025-09-19 17:53:37,https://finance.eastmoney.com/a/202509193518532039.html
国家能源局：8月核发绿证2.71亿个 全国交易绿证4838万个,【国家能源局：8月核发绿证2.71亿个 全国交易绿证4838万个】2025年8月，国家能源局核发绿证2.71亿个，涉及可再生能源发电项目30.65万个，其中可交易绿证1.52亿个，占比55.99%。2025年8月，全国交易绿证4838万个，其中绿色电力交易绿证1763万个。,2025-09-19 17:52:42,https://finance.eastmoney.com/a/202509193518531918.html
宏工科技：研发了适用于固态电池的全自动吨袋拆包系统等,【宏工科技：研发了适用于固态电池的全自动吨袋拆包系统等】宏工科技(301662.SZ)发布投资者关系活动记录表公告称，针对固态电池、干法电极工艺的特殊需求，目前公司研发或联合研发了混合均质一体机、干法研磨机、适用于干法电极的双螺杆挤出机、适用于固态电池的全自动吨袋拆包系统等。,2025-09-19 17:52:09,https://finance.eastmoney.com/a/202509193518531475.html
今年以来LNG运输船新造船市场出现严重“订单荒”,【今年以来LNG运输船新造船市场出现严重“订单荒”】今年迄今为止，LNG运输船新造船市场出现严重“订单荒”，全球仅新下单17艘LNG运输船，较去年同期约70艘的订单狂潮形成鲜明对比。其中，韩国船厂接获15艘、美国船厂接获2艘，中国船厂目前尚未签单。,2025-09-19 17:47:34,https://finance.eastmoney.com/a/202509193518529965.html
广州若羽臣科技股份有限公司在港交所提交IPO申请,【广州若羽臣科技股份有限公司在港交所提交IPO申请】广州若羽臣科技股份有限公司在港交所提交IPO申请，中信建投国际、广发证券为联席保荐人。,2025-09-19 17:46:44,https://finance.eastmoney.com/a/202509193518528776.html
天际股份：目前三个六氟磷酸锂工厂均保持满负荷生产状态,【天际股份：目前三个六氟磷酸锂工厂均保持满负荷生产状态】天际股份(002759)发布投资者关系活动记录表，公司目前六氟磷酸锂的产能为3.7万吨/年，公司目前三个六氟磷酸锂工厂均保持满负荷生产状态，六氟磷酸锂库存保持在较低水平，价格有所上涨。,2025-09-19 17:44:56,https://finance.eastmoney.com/a/202509193518529067.html
腾讯控股于9月19日斥资5.508亿港元回购85.7万股股票,【腾讯控股于9月19日斥资5.508亿港元回购85.7万股股票】根据港交所文件披露，腾讯控股于9月19日斥资5.508亿港元回购85.7万股股票。,2025-09-19 17:43:17,https://finance.eastmoney.com/a/202509193518521971.html
“深沪快线”跨航司签转服务正式上线,【“深沪快线”跨航司签转服务正式上线】9月19日起，深圳宝安机场往返上海虹桥机场的国内快线跨航司自愿签转服务正式上线，进一步优化航空出行体验。,2025-09-19 17:43:12,https://finance.eastmoney.com/a/202509193518528847.html
提价意愿强烈！存储芯片板块逆市走强,【提价意愿强烈！存储芯片板块逆市走强】存储芯片概念在9月19日逆市走强，收盘时德明利涨停，江波龙大涨超10%，且这两股均创出历史新高。此外，普冉股份、聚辰股份、佰维存储、香农芯创等也纷纷跟涨。,2025-09-19 17:38:54,https://finance.eastmoney.com/a/202509193518516172.html
南向资金净买逾98亿港元 逾22亿抢筹山高控股,【南向资金净买逾98亿港元 逾22亿抢筹山高控股】南向十大成交股中，山高控股、阿里巴巴-W、盈富基金分别获净买入22.40亿港元、17.27亿港元、10.70亿港元。腾讯控股、小米集团-W、长飞光纤光缆分别遭净卖出6.22亿港元、3.98亿港元、4805.74万港元。,2025-09-19 17:37:07,https://finance.eastmoney.com/a/202509193518512781.html
思科瑞：股票将被实施其他风险警示 简称变成为ST思科瑞,【思科瑞：股票将被实施其他风险警示 简称变成为ST思科瑞】思科瑞(688053.SH)公告称，公司于2025年9月19日收到中国证监会四川监管局下发的《行政处罚事先告知书》，经查明，思科瑞2022年年度报告存在虚假记载。根据《上市规则》相关规定，思科瑞股票将被实施其他风险警示，A股简称变更为ST思科瑞，扩位简称变更为ST思科瑞微电子。,2025-09-19 17:36:58,https://finance.eastmoney.com/a/202509193518513015.html
清陶能源：拟借壳上市传闻不实 未来将根据发展需要择机启动IPO进程,【清陶能源：拟借壳上市传闻不实 未来将根据发展需要择机启动IPO进程】对于清陶能源拟借壳上市的传闻，清陶能源澄清称，公司正严格按上市公司规范要求完善治理结构，未来将根据业务发展需要择机启动IPO进程，并通过官方渠道披露进展。,2025-09-19 17:30:41,https://finance.eastmoney.com/a/202509193518506290.html
和林微纳：控股股东及实控人决定提前终止股份减持计划,【和林微纳：控股股东及实控人决定提前终止股份减持计划】和林微纳(688661)9月19日公告，公司控股股东及实控人骆兴顺决定提前终止股份减持计划，截至公告披露日骆兴顺已减持公司1.12%股份。此前公司披露，骆兴顺计划减持其所持有的公司股份比例不超过1.5%。,2025-09-19 17:28:59,https://finance.eastmoney.com/a/202509193518508598.html
