时间,内容
2025-09-19 18:02:16,【国资委公布中国稀土集团等8户中央企业13名领导人员职务任免】李志辉任中国稀土集团有限公司党委副书记、董事，提名为中国稀土集团有限公司总经理人选，免去其中国有研科技集团有限公司党委副书记职务。刘华斌任中国稀土集团有限公司党委委员、纪委书记。李显锋任中国国际工程咨询有限公司党委委员、纪委书记。贾鸾（女）任中国机械科学研究总院集团有限公司党委委员、纪委书记。
2025-09-19 18:01:51,印度卢比兑美元收于88.09卢比，较前一交易日收盘价88.1275卢比几无变动。
2025-09-19 18:01:04,【事关婴幼儿配方液态乳产品 市场监管总局公开征求意见】，近日，《全国人民代表大会常务委员会关于修改〈中华人民共和国食品安全法〉的决定》将婴幼儿配方液态乳纳入注册管理。市场监管总局组织修订了《婴幼儿配方乳粉产品配方注册管理办法》，明确婴配液态乳产品配方注册适用该办法，将向社会公开征求意见。同时，市场监管总局还将就婴配液态乳产品配方注册相关配套文件公开征求意见。
2025-09-19 17:59:33,【美两党议员拟推法案：将咖啡排除在特朗普关税外 最快本周五提交】据报道，美国众议员Don Bacon（共和党，内布拉斯加州）与Ro Khanna（民主党，加利福尼亚州）计划提交一项法案，旨在将一款日常产品——咖啡——排除在特朗普的关税政策之外。法案草案显示，这项两党联合提出的立法将规定，2025年1月19日（特朗普就职前一天）之后实施的所有关税，均不适用于咖啡产品。该豁免范围涵盖烘焙咖啡、脱咖啡因咖啡，以及咖啡果壳、咖啡皮，还有其他含咖啡的饮品或咖啡替代品，实质上相当于撤销白宫对咖啡产品征收的关税。该法案最快可能于本周五提交。
2025-09-19 17:59:08,"【武汉力源两高管减持股份计划实施完毕】2025年6月，武汉力源信息技术股份有限公司董事兼高管王晓东、刘昌柏计划减持股份。9月19日，公司收到二人《关于减持股份计划实施完成告知函》，减持计划实施完毕。王晓东于9月18 - 19日通过集中竞价交易减持527,300股，减持比例0.0457%，减持均价12.062元/股；刘昌柏同期减持74,991股，减持比例0.0065%，减持均价12.069元/股。此次减持符合相关规定，未超计划减持数量，且不会影响公司治理结构、持续经营及控制权。"
2025-09-19 17:58:38,日本外相岩屋毅：强烈敦促以色列采取措施结束人道主义危机，停止单方面行动。
2025-09-19 17:58:38,【山东中锐为子公司808万余元融资租赁提供连带责任担保】山东中锐产业发展股份有限公司发布为子公司提供担保进展公告。近日，其全资子公司大冶劲鹏因日常经营开展融资租赁业务，公司为该业务向出租人提供最高额8087040元的连带责任担保。截至2024年底，大冶劲鹏总资产15453.15万元，2025年上半年净利润 -21.25万元。截至公告披露日，公司及控股子公司对合并报表内子公司担保余额9.54亿元，对合并报表外单位担保余额0.09亿元，无逾期对外担保。公司称本次担保是正常商业行为，不影响持续经营，也不损害公司及股东利益。
2025-09-19 17:58:11,【联合国报告：今年上半年苏丹武装冲突致3384名平民死亡】当地时间9月19日，联合国人权事务高级专员办事处就苏丹局势发布报告称，苏丹武装冲突给平民造成的伤害正不断加剧，仅今年上半年，联合国方面就记录了至少3384名平民在冲突中死亡，而实际死亡数字可能更高。（央视新闻）
2025-09-19 17:57:53,"【交通银行副行长周万阜：三、四季度信贷项目储备和需求总体保持平稳】在今日下午的2025年上海辖区上市公司集体接待日暨中报业绩说明会上，交通银行执行董事、副行长周万阜针对有关“公司下半年信贷投放储备情况如何？是否有利于提高息差？”提问表示，交行一直以来高度重视信贷项目储备，认真落实金融服务实体经济高质量发展相关要求，全力推动项目储备扩容提质。“目前看，我们三、四季度项目储备和需求总体保持平稳，项目储备重点聚焦‘两重’‘两新’、制造业、普惠金融、绿色发展、科技创新、乡村振兴等重点领域，进一步强化推动力度。同时，交行也结合各地方产业经济结构和产业特色，储备了一批重点优质项目。”中报显示，今年上半年，交通银行的客户贷款利息收入1,383.25亿元，同比减少123.96亿元，降幅8.22%，主要由于客户贷款年化平均收益率同比下降57个基点。"
2025-09-19 17:57:37,【深圳强瑞精密：非独立董事辞任，选举职工代表董事】深圳市强瑞精密技术股份有限公司公告，非独立董事吴维萍因个人原因，辞去第三届董事会非独立董事等职务，辞职报告送达生效，其原定任期至2028年6月22日，虽未持股仍受相关减持规定限制，公司对其贡献表示感谢。同日公告，9月19日公司召开职工代表大会，选举张丽为第三届董事会职工代表董事，任期至第三届董事会届满。张丽曾任公司多职，截至公告日不持股，无关联关系与违规情况。
2025-09-19 17:57:23,日本外相岩屋毅：本月在联合国会议上没有计划承认巴勒斯坦国。对日本而言，这不是是否承认巴勒斯坦国的问题，而是何时承认的问题。
2025-09-19 17:56:25,【英国交易平台IG集团收购澳大利亚加密货币交易所】英国在线交易平台IG集团周五表示，已以1.78亿澳元（约合1.1741亿美元）的价格收购澳大利亚加密货币交易所Independent Reserve。此次收购将扩大IG集团的数字业务范围，并增强其在亚太地区的市场布局。IG集团称，预计该交易完成后的首个完整财年，将为每股现金收益带来正向贡献。
2025-09-19 17:56:18,上交所：2025年9月15日至2025年9月19日，对天普股份、首开股份等严重异常波动股票进行重点监控，对36起上市公司重大事项等进行专项核查。
2025-09-19 17:53:37,【国新办将于9月22日下午3时举行新闻发布会 潘功胜、李云泽、吴清等出席】国务院新闻办公室将于2025年9月22日（星期一）下午3时举行“高质量完成‘十四五’规划”系列主题新闻发布会，请中国人民银行行长潘功胜，金融监管总局局长李云泽，中国证监会主席吴清，中国人民银行副行长、国家外汇局局长朱鹤新介绍“十四五”时期金融业发展成就，并答记者问。
2025-09-19 17:52:15,欧洲央行行长拉加德：过去对俄罗斯资产的担忧依然存在。
2025-09-19 17:51:51,【宏工科技：研发了适用于固态电池的全自动吨袋拆包系统等】宏工科技发布投资者关系记录表，针对固态电池、干法电极工艺的特殊需求，目前公司研发或联合研发了混合均质一体机、干法研磨机、适用于干法电极的双螺杆挤出机、适用于固态电池的全自动吨袋拆包系统等。
2025-09-19 17:51:49,"【天邦食品：副总裁严小明因家庭原因辞职】2025年9月19日，天邦食品股份有限公司董事会收到副总裁严小明的书面辞职报告，因其个人家庭原因，请求辞去副总裁职务，辞职后不再担任公司职务。其辞职申请自报告送达董事会时生效，且不会影响公司正常生产经营。截至公告披露日，严小明持有公司股份356,640股，他承诺辞职后遵守相关规定。公司对严小明任职期间的贡献表示感谢。"
2025-09-19 17:51:29,台积电称，子公司台积电环球（TSMC Global）购买了总计3730万美元的固定收益证券。
