标题,内容,发布时间,链接
上交所：本周对天普股份、首开股份等严重异常波动股票进行重点监控,上交所：本周，上交所公司监管部门共发送监管工作函16份；通过事中事后监管，要求上市公司披露补充、更正类公告9份。同时，加大信息披露和股价异常的联动监管，针对公司披露敏感信息或股价发生明显异常的，提请启动内幕交易、异常交易核查16单。同时，上交所对274起拉抬打压、虚假申报等证券异常交易行为采取了自律监管措施，对天普股份、首开股份等严重异常波动股票进行重点监控，对36起上市公司重大事项等进行专项核查。,2025-09-19 17:56:14,https://news.10jqka.com.cn/20250919/c671273678.shtml
国新办将于9月22日下午3时举行新闻发布会 潘功胜、李云泽、吴清等出席,国务院新闻办公室将于2025年9月22日（星期一）下午3时举行“高质量完成‘十四五’规划”系列主题新闻发布会，请中国人民银行行长潘功胜，金融监管总局局长李云泽，中国证监会主席吴清，中国人民银行副行长、国家外汇局局长朱鹤新介绍“十四五”时期金融业发展成就，并答记者问。,2025-09-19 17:53:48,https://news.10jqka.com.cn/20250919/c671273649.shtml
当虹科技发布全新多模态空间大模型BlackEye2.0,当虹科技发布BlackEye2.0多模态空间大模型及其在传媒文化、工业与卫星、车载智能座舱、机器人等方向最新产品与应用。同时，当虹科技在现场与阿里云、云深处科技、镜识科技、神舞科技等公司签约。在此次发布会上，当虹科技还宣布公司战略升级，迈向以“AI多模态+空间视频+行业”为核心的全新发展阶段。（经济观察网）,2025-09-19 17:53:26,https://news.10jqka.com.cn/20250919/c671273646.shtml
中储股份：以债转股方式对中储恒科增资8431.46万元,中储股份公告，拟将持有的中储恒科物联网系统有限公司65%债权转让给中国包装有限责任公司，并将持有的中储恒科35%债权转增为中储恒科的实收资本，增资金额为8431.46万元。交易完成后，中储股份对中储恒科的注册资本相应增加8431.46万元，中储恒科的注册资本将增加2.41亿元，中国包装持有65%股权，中储股份持有35%股权。此次交易尚需提交公司股东大会审议。,2025-09-19 17:48:40,https://news.10jqka.com.cn/20250919/c671273541.shtml
捷邦科技：实际控制人由辛云峰、杨巍、殷冠明变更为辛云峰和杨巍,捷邦科技公告，公司实际控制人辛云峰、杨巍、殷冠明签署的原一致行动协议于2025年9月20日到期，殷冠明决定不再续签，三方一致行动关系解除。辛云峰和杨巍重新签署了新一致行动协议，继续保持一致行动关系。变动后，辛云峰和杨巍合计拥有公司55.89%的表决权，实际控制人变更为辛云峰和杨巍。此次变动不会对公司的日常经营、财务状况产生重大影响。,2025-09-19 17:43:29,https://news.10jqka.com.cn/20250919/c671273392.shtml
仙琚制药：取得雌二醇片境内生产药品注册证书,仙琚制药公告，近日收到国家药品监督管理局核准签发的关于雌二醇片的《药品注册证书》（证书编号：2025S02904），公司雌二醇片被批准注册。,2025-09-19 17:41:35,https://news.10jqka.com.cn/20250919/c671273349.shtml
以军称约48万加沙城居民已撤往加沙地带南部,以色列国防军9月19日表示，自以军对加沙地带北部的加沙城发动大规模军事行动以来，估计已有约48万名巴勒斯坦居民从加沙城撤离至加沙地带南部。据悉，在军事行动开始前，加沙城约有100万人口。为配合军事行动，以军此前要求加沙城所有居民立即撤离，并前往位于南部的、由以方指定的所谓“人道主义区域”。（央视新闻）,2025-09-19 17:37:01,https://news.10jqka.com.cn/20250919/c671273138.shtml
国家药监局：2025年已批准上市18款生物制品，支持先进治疗药品研发,9月19日，第五届中国生物制品质量控制大会在青岛开幕。会议指出，国家药监局全链条深化药品监管改革，提升审评审批质量和效率，激发生物医药创新活力。2025年已批准上市的56款创新药中，生物制品有18款。下一步，国家药监局将全面贯彻落实国务院办公厅《关于全面深化药品医疗器械监管改革促进医药产业高质量发展的意见》，持续深化审评审批制度改革，完善监管法规制度体系，聚焦临床需求，支持先进治疗药品研发，支持企业融入国际创新链、供应链，推动我国生物医药产业高质量发展。（中证金牛座）,2025-09-19 17:36:53,https://news.10jqka.com.cn/20250919/c671273131.shtml
思科瑞：公司股票将被实施其他风险警示，将于9月22日停牌1天,思科瑞公告，公司因收到中国证监会四川监管局下发的《行政处罚事先告知书》，根据相关规定，公司股票将被实施其他风险警示。公司股票将于2025年9月22日停牌1天，并于9月23日起复牌。复牌后，公司股票简称将变更为“ST思科瑞”。,2025-09-19 17:34:06,https://news.10jqka.com.cn/20250919/c671273048.shtml
据港交所文件：广州若羽臣科技股份有限公司向港交所提交上市申请书,据港交所文件：广州若羽臣科技股份有限公司向港交所提交上市申请书。,2025-09-19 17:33:11,https://news.10jqka.com.cn/20250919/c671273032.shtml
我国主导全球首个文化遗产保护国际标准通过立项,记者从国家文物局获悉，由我国牵头提出的馆藏文物防震标准提案通过国际标准化组织立项，成为文化遗产领域首个启动研制的国际标准。同时，由我国主导组建的文物防震国际标准工作组同步获批，标志着我国在相关领域从技术创新到标准引领的全球战略突破。（央视新闻）,2025-09-19 17:32:22,https://news.10jqka.com.cn/20250919/c671273012.shtml
互联网女性创业者占一半以上 女AI训练师已超1.4万人,国务院新闻办公室今天举行新闻发布会，发布《新时代中国推进妇女全面发展的实践与成就》白皮书，相关负责人介绍了白皮书有关情况并答记者问。全国妇联副主席、书记处书记冯玲表示，在数字经济浪潮里，“她力量”正成为一道亮丽的风景线。目前互联网女性创业者占一半以上，在数字贸易、直播行业的女性占比三分之一，2024年超1.4万名女性拿到了人工智能训练师证书。中国用“政策引路、培训赋能、扶持托底”的组合拳，让女性提升数字技能，掌握数字工具，拓宽了职业发展路径。（央视新闻）,2025-09-19 17:31:26,https://news.10jqka.com.cn/20250919/c671272996.shtml
