日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-10-10,2.552,2.552,2.552,2.552,329445,93793119.615,0.0,5.88
2022-10-11,2.607,2.607,2.361,2.37,465909,127474999.537,9.64,8.32
2022-10-12,2.37,2.44,2.318,2.424,189224,50817384.207,5.15,3.38
2022-10-13,2.409,2.434,2.385,2.415,81983,22163622.44,2.02,1.46
2022-10-14,2.408,2.418,2.366,2.378,100379,27018560.233,2.15,1.79
2022-10-17,2.378,2.378,2.364,2.374,25304,6743296.951,0.59,0.45
2022-10-18,2.375,2.419,2.371,2.391,75426,20299515.597,2.02,1.35
2022-10-19,2.39,2.399,2.368,2.371,41781,11172840.45,1.3,0.75
2022-10-20,2.371,2.375,2.348,2.356,52445,13912519.303,1.14,0.94
2022-10-21,2.356,2.362,2.311,2.343,127660,33531766.289,2.16,2.28
2022-10-24,2.336,2.336,2.295,2.299,60965,15921971.071,1.75,1.09
2022-10-25,2.299,2.299,2.256,2.279,85190,21863974.897,1.87,1.52
2022-10-26,2.278,2.312,2.255,2.279,95344,24534884.528,2.5,1.7
2022-10-27,2.282,2.309,2.261,2.283,96810,25011592.6,2.11,1.73
2022-10-28,2.283,2.305,2.28,2.293,57174,14757690.795,1.1,1.02
2022-10-31,2.294,2.301,2.256,2.287,40275,10402204.402,1.96,0.72
2022-11-01,2.287,2.325,2.287,2.313,54737,14215266.863,1.66,0.98
2022-11-02,2.313,2.374,2.305,2.361,66078,17465720.228,2.98,1.18
2022-11-03,2.361,2.368,2.344,2.359,77199,20485826.429,1.02,1.38
2022-11-04,2.359,2.404,2.345,2.393,111862,29977258.458,2.5,2.0
2022-11-07,2.393,2.404,2.375,2.393,93548,25115902.394,1.21,1.67
2022-11-08,2.39,2.39,2.336,2.364,80911,21495584.818,2.26,1.45
2022-11-09,2.36,2.363,2.332,2.345,50397,13312081.141,1.31,0.9
2022-11-10,2.347,2.349,2.326,2.34,103837,27282801.167,0.98,1.85
2022-11-11,2.34,2.365,2.34,2.356,53854,14285619.373,1.07,0.96
2022-11-14,2.355,2.361,2.338,2.347,23830,6306916.887,0.98,0.43
2022-11-15,2.375,2.375,2.305,2.323,28393,7442450.372,2.98,0.51
2022-11-16,2.323,2.337,2.303,2.31,52615,13741394.162,1.46,0.94
2022-11-17,2.306,2.316,2.293,2.316,80662,20959508.98,1.0,1.44
2022-11-18,2.313,2.323,2.288,2.311,57576,14969883.377,1.51,1.03
2022-11-21,2.307,2.354,2.288,2.354,82075,21454051.559,2.86,1.47
2022-11-22,2.354,2.355,2.325,2.343,13818,3647254.392,1.27,0.25
2022-11-23,2.343,2.353,2.325,2.341,72687,19151336.537,1.2,1.3
2022-11-24,2.341,2.352,2.331,2.345,26361,6949213.931,0.9,0.47
2022-11-25,2.346,2.364,2.346,2.359,48051,12745781.386,0.77,0.86
2022-11-28,2.359,2.366,2.329,2.366,41818,11074621.634,1.57,0.75
