日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-09-23,2.477,2.482,2.347,2.471,191686,48944444.339,5.47,3.69
2024-09-24,2.416,2.439,2.397,2.417,18059,4557475.87,1.7,0.35
2024-09-25,2.4,2.416,2.347,2.412,28008,6952590.526,2.85,0.54
2024-09-26,2.382,2.392,2.367,2.378,12051,2990269.288,1.04,0.23
2024-09-27,2.379,2.379,2.308,2.328,50767,12387500.7,2.99,0.98
2024-09-30,2.297,2.297,2.103,2.265,38624,9061494.767,8.33,0.74
2024-10-08,2.253,2.283,2.227,2.272,32897,7803374.29,2.47,0.63
2024-10-09,2.247,2.268,2.227,2.266,19188,4522415.025,1.8,0.37
2024-10-10,2.266,2.288,2.234,2.287,11365,2675051.538,2.38,0.22
2024-10-11,2.277,2.301,2.248,2.301,8014,1917802.771,2.32,0.15
2024-10-14,2.299,2.299,2.276,2.287,4059,969858.259,1.0,0.08
2024-10-15,2.276,2.276,2.242,2.248,14842,3497761.503,1.49,0.29
2024-10-16,2.243,2.259,2.231,2.248,7870,1844730.948,1.25,0.15
2024-10-17,2.235,2.248,2.227,2.247,24552,5748248.231,0.93,0.47
2024-10-18,2.236,2.245,2.232,2.242,6686,1565913.465,0.58,0.13
2024-10-21,2.233,2.246,2.233,2.24,3140,736255.181,0.58,0.06
2024-10-22,2.229,2.295,2.229,2.287,28599,6821421.486,2.95,0.55
2024-10-23,2.295,2.295,2.268,2.281,21549,5128913.728,1.18,0.41
2024-10-24,2.273,2.296,2.273,2.283,3113,742119.314,1.01,0.06
2024-10-25,2.275,2.497,2.234,2.27,25482,6098631.39,11.52,0.49
2024-10-28,2.235,2.277,2.235,2.247,19580,4620038.797,1.85,0.38
2024-10-29,2.24,2.25,2.238,2.243,12542,2940136.927,0.53,0.24
2024-10-30,2.238,2.243,2.229,2.237,19582,4582278.273,0.62,0.38
2024-10-31,2.259,2.259,2.232,2.239,4187,980727.993,1.21,0.08
2024-11-01,2.239,2.239,2.229,2.231,8209,1917863.68,0.45,0.16
2024-11-04,2.228,2.238,2.223,2.23,9997,2330909.929,0.67,0.19
2024-11-05,2.227,2.233,2.22,2.225,14745,3433979.313,0.58,0.28
2024-11-06,2.229,2.229,2.215,2.218,6955,1615440.521,0.63,0.13
2024-11-07,2.218,2.227,2.218,2.223,8229,1914924.707,0.41,0.16
2024-11-08,2.226,2.23,2.21,2.211,7637,1775203.916,0.9,0.15
2024-11-11,2.198,2.225,2.197,2.223,9042,2094949.334,1.27,0.17
2024-11-12,2.222,2.235,2.205,2.216,11171,2600242.641,1.35,0.21
2024-11-13,2.204,2.252,2.204,2.246,19489,4548249.09,2.17,0.37
2024-11-14,2.235,2.27,2.234,2.268,7101,1676122.337,1.6,0.14
2024-11-15,2.269,2.273,2.249,2.257,2693,637275.951,1.06,0.05
2024-11-18,2.258,2.262,2.255,2.255,3081,726743.94,0.31,0.06
2024-11-19,2.248,2.262,2.248,2.26,6078,1435106.008,0.62,0.12
2024-11-20,2.252,2.259,2.252,2.254,3859,909981.8,0.31,0.07
2024-11-21,2.248,2.258,2.248,2.25,20074,4726654.928,0.44,0.39
2024-11-22,2.244,2.253,2.229,2.229,4043,946717.5,1.07,0.08
2024-11-25,2.229,2.229,2.2,2.227,4525,1047107.442,1.3,0.09
2024-11-26,2.224,2.227,2.213,2.227,4084,949313.328,0.63,0.08
2024-11-27,2.208,2.247,2.208,2.237,11657,2722931.481,1.75,0.22
2024-11-28,2.237,2.248,2.22,2.243,6371,1492041.352,1.25,0.12
2024-11-29,2.223,2.234,2.223,2.228,599,139817.016,0.49,0.01
2024-12-02,2.239,2.25,2.218,2.249,4365,1020552.477,1.44,0.08
2024-12-03,2.25,2.256,2.233,2.248,2998,703653.889,1.02,0.06
2024-12-04,2.251,2.255,2.233,2.249,19115,4490276.508,0.98,0.37
2024-12-05,2.228,2.265,2.228,2.252,16587,3910241.436,1.65,0.32
2024-12-06,2.232,2.255,2.232,2.253,10722,2520900.04,1.02,0.21
2024-12-09,2.253,2.272,2.241,2.247,5320,1249364.796,1.38,0.1
2024-12-10,2.277,2.277,2.237,2.248,3758,883504.646,1.78,0.07
2024-12-11,2.239,2.265,2.238,2.249,7647,1799488.607,1.2,0.15
2024-12-12,2.258,2.258,2.241,2.253,29520,6944930.271,0.76,0.57
2024-12-13,2.244,2.256,2.244,2.252,4114,968945.364,0.53,0.08
2024-12-16,2.252,2.258,2.246,2.247,15617,3676144.748,0.53,0.3
2024-12-17,2.25,2.25,2.242,2.242,21814,5125972.588,0.36,0.42
2024-12-18,2.246,2.249,2.237,2.242,16134,3784183.111,0.54,0.31
2024-12-19,2.241,2.247,2.24,2.242,1924,451187.203,0.31,0.04
2024-12-20,2.243,2.247,2.243,2.247,1799,422799.88,0.18,0.03
2024-12-23,2.246,2.254,2.244,2.253,12006,2822592.647,0.45,0.23
2024-12-24,2.278,2.278,2.231,2.248,9294,2185401.162,2.09,0.18
2024-12-25,2.241,2.261,2.241,2.249,25126,5915712.191,0.89,0.48
2024-12-26,2.247,2.257,2.246,2.249,4740,1115321.0,0.49,0.09
2024-12-27,2.249,2.257,2.247,2.247,5012,1179597.784,0.44,0.1
2024-12-30,2.247,2.274,2.247,2.263,19215,4546761.268,1.2,0.37
2024-12-31,2.253,2.266,2.249,2.261,3798,896521.256,0.75,0.07
2025-01-02,2.262,2.292,2.25,2.267,27798,6603180.058,1.86,0.53
2025-01-03,2.269,2.355,2.255,2.354,48756,11868337.964,4.41,0.94
2025-01-06,2.357,2.403,2.316,2.373,74753,18525677.066,3.7,1.44
2025-01-07,2.367,2.367,2.273,2.319,22992,5545449.108,3.96,0.44
2025-01-08,2.28,2.365,2.28,2.358,53263,13048622.551,3.67,1.02
2025-01-09,2.35,2.382,2.328,2.382,35913,8880368.192,2.29,0.69
2025-01-10,2.382,2.397,2.357,2.397,56350,14019018.124,1.68,1.08
2025-01-13,2.38,2.411,2.325,2.343,37243,9249048.137,3.59,0.72
2025-01-14,2.327,2.349,2.296,2.305,20969,5087354.864,2.26,0.4
2025-01-15,2.305,2.361,2.295,2.353,23512,5741937.743,2.86,0.45
2025-01-16,2.34,2.359,2.335,2.359,8747,2148487.666,1.02,0.17
2025-01-17,2.344,2.352,2.334,2.336,13242,3239140.3,0.76,0.25
2025-01-20,2.321,2.355,2.321,2.354,17969,4384928.868,1.46,0.35
2025-01-21,2.345,2.361,2.331,2.359,35697,8776423.144,1.27,0.69
2025-01-22,2.359,2.373,2.349,2.37,9554,2354604.664,1.02,0.18
2025-01-23,2.356,2.386,2.355,2.37,16286,4018389.41,1.31,0.31
2025-01-24,2.354,2.403,2.354,2.398,10672,2650315.057,2.07,0.21
2025-01-27,2.386,2.442,2.386,2.435,16884,4267403.267,2.34,0.32
2025-02-05,2.437,2.44,2.38,2.403,99217,24881975.182,2.46,1.91
2025-02-06,2.398,2.407,2.378,2.386,24061,5997652.407,1.21,0.46
