日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-19,3.094,3.318,3.094,3.243,41960,14065561.345,7.54,3.7
2024-12-20,3.238,3.289,3.197,3.265,22882,7730236.491,2.84,2.02
2024-12-23,3.272,3.294,3.208,3.264,9425,3202310.3,2.63,0.83
2024-12-24,3.264,3.264,3.219,3.24,21401,7239022.383,1.38,1.89
2024-12-25,3.244,3.244,3.185,3.233,10078,3397378.363,1.82,0.89
2024-12-26,3.224,3.244,3.194,3.244,17853,6015721.821,1.55,1.57
2024-12-27,3.242,3.265,3.206,3.265,7749,2636210.749,1.82,0.68
2024-12-30,3.265,3.296,3.225,3.288,29821,10260230.651,2.17,2.63
2024-12-31,3.289,3.343,3.284,3.317,16809,5798236.385,1.79,1.48
2025-01-02,3.316,3.316,3.279,3.312,21250,7349652.952,1.12,1.87
2025-01-03,3.31,3.399,3.28,3.399,46944,16438923.514,3.59,4.14
2025-01-06,3.504,3.504,3.359,3.453,27257,9819272.512,4.27,2.4
2025-01-07,3.463,3.814,3.363,3.414,16476,5917455.365,13.06,1.45
2025-01-08,3.435,3.444,3.419,3.443,16859,6056270.516,0.73,1.49
2025-01-09,3.439,3.794,3.439,3.593,21453,7934379.688,10.31,1.89
2025-01-10,3.663,3.663,3.557,3.594,13318,4990722.538,2.95,1.17
2025-01-13,3.594,3.631,3.584,3.584,6909,2594703.192,1.31,0.61
2025-01-14,3.62,3.62,3.51,3.576,24263,9073360.122,3.07,2.14
2025-01-15,3.593,3.62,3.55,3.566,17861,6660012.5,1.96,1.57
2025-01-16,3.614,3.614,3.53,3.562,7726,2860349.16,2.36,0.68
2025-01-17,3.609,3.609,3.522,3.563,11443,4249127.108,2.44,1.01
2025-01-20,3.523,3.604,3.523,3.57,21102,7851060.352,2.27,1.86
2025-01-21,3.57,3.942,3.537,3.57,22138,8243487.46,11.34,1.95
2025-01-22,3.584,3.594,3.564,3.579,8495,3168227.613,0.84,0.75
2025-01-23,3.579,3.634,3.544,3.625,27053,10143793.6,2.51,2.38
2025-01-24,3.625,3.732,3.614,3.721,14907,5754034.69,3.26,1.31
2025-01-27,3.695,3.89,3.695,3.848,7601,3031500.225,5.24,0.67
2025-02-05,3.848,3.898,3.808,3.84,11731,4671890.147,2.34,1.03
2025-02-06,3.88,3.88,3.8,3.842,7615,3035583.953,2.08,0.67
2025-02-07,3.87,4.224,3.804,3.865,12815,5106430.768,10.93,1.13
2025-02-10,3.865,3.932,3.864,3.926,7167,2898938.997,1.76,0.63
2025-02-11,3.926,4.039,3.926,4.039,12436,5158580.082,2.88,1.1
2025-02-12,4.043,4.165,3.973,4.011,11925,5016842.456,4.75,1.05
2025-02-13,4.011,4.123,3.901,3.954,20033,8235603.084,5.53,1.77
2025-02-14,3.992,3.992,3.825,3.959,23563,9619356.756,4.22,2.08
2025-02-17,3.944,3.97,3.923,3.94,10636,4369046.556,1.19,0.94
2025-02-18,3.94,3.964,3.862,3.904,22604,9161749.84,2.59,1.99
2025-02-19,3.899,3.943,3.86,3.909,10216,4141216.876,2.13,0.9
2025-02-20,3.909,3.94,3.864,3.894,10259,4150671.02,1.94,0.9
2025-02-21,3.894,3.931,3.831,3.894,10924,4419135.44,2.57,0.96
2025-02-24,3.897,3.944,3.844,3.908,12940,5272307.818,2.57,1.14
2025-02-25,3.906,3.924,3.879,3.894,4058,1646393.302,1.15,0.36
2025-02-26,3.904,3.93,3.887,3.893,5002,2029735.822,1.1,0.44
2025-02-27,3.903,3.905,3.819,3.849,11151,4466872.406,2.21,0.98
2025-02-28,3.859,3.869,3.824,3.837,11122,4441854.681,1.17,0.98
2025-03-03,3.797,3.894,3.797,3.818,8193,3271018.695,2.53,0.72
2025-03-04,3.856,3.903,3.823,3.834,10946,4394771.8,2.1,0.96
2025-03-05,3.804,3.889,3.804,3.832,5078,2029891.5,2.22,0.45
2025-03-06,3.809,3.844,3.809,3.822,4316,1716414.336,0.91,0.38
2025-03-07,3.834,3.834,3.806,3.823,5380,2138311.912,0.73,0.47
2025-03-10,3.844,3.863,3.839,3.843,17111,6849960.3,0.63,1.51
2025-03-11,3.814,3.963,3.814,3.845,7372,2947285.177,3.88,0.65
2025-03-12,3.879,3.879,3.806,3.846,1717,687878.1,1.9,0.15
2025-03-13,3.846,3.854,3.833,3.847,3375,1349857.659,0.55,0.3
2025-03-14,3.896,3.896,3.839,3.848,3112,1245226.876,1.48,0.27
2025-03-17,3.88,3.908,3.811,3.884,12151,4905420.583,2.52,1.07
2025-03-18,3.913,3.913,3.881,3.888,5591,2259081.666,0.82,0.49
2025-03-19,3.92,3.943,3.894,3.934,9971,4068294.265,1.26,0.88
2025-03-20,3.967,3.974,3.926,3.954,8984,3686018.084,1.22,0.79
2025-03-21,3.981,3.981,3.935,3.948,4601,1887098.392,1.16,0.41
2025-03-24,3.945,3.974,3.907,3.924,7251,2959042.967,1.7,0.64
2025-03-25,3.927,3.946,3.917,3.933,7483,3058020.345,0.74,0.66
2025-03-26,3.923,3.95,3.923,3.944,3787,1551547.259,0.69,0.33
2025-03-27,3.956,3.965,3.942,3.956,7411,3040515.796,0.58,0.65
2025-03-28,3.977,4.0,3.977,3.982,7437,3078772.1,0.58,0.66
2025-03-31,4.004,4.004,3.907,3.924,5067,2079719.504,2.44,0.45
2025-04-01,3.885,4.331,3.874,3.897,6627,2695704.4,11.65,0.58
2025-04-02,3.929,3.934,3.913,3.932,6426,2619891.1,0.54,0.57
2025-04-03,3.934,3.993,3.934,3.954,7040,2890960.608,1.5,0.62
2025-04-07,3.954,3.954,3.898,3.944,15735,6442600.108,1.42,1.39
2025-04-08,3.944,3.944,3.924,3.939,4393,1796548.004,0.51,0.39
2025-04-09,3.987,3.987,3.895,3.909,7622,3097891.492,2.34,0.67
2025-04-10,3.942,3.942,3.894,3.93,335,136843.3,1.23,0.03
2025-04-11,3.95,4.052,3.95,4.044,9063,3790750.248,2.6,0.8
2025-04-14,4.094,4.094,4.004,4.044,2742,1149346.3,2.23,0.24
2025-04-15,4.023,4.044,4.011,4.024,6263,2616103.6,0.82,0.55
2025-04-16,4.041,4.041,4.007,4.016,2657,1108494.582,0.84,0.23
2025-04-17,4.033,4.05,4.006,4.033,5997,2505942.8,1.1,0.53
2025-04-18,4.05,4.05,3.994,4.015,1626,677316.004,1.39,0.14
2025-04-21,4.0,4.011,3.998,3.998,2096,871294.468,0.32,0.18
2025-04-22,3.998,3.998,3.894,3.919,10174,4153324.4,2.6,0.9
2025-04-23,3.919,3.931,3.912,3.914,5470,2228068.6,0.48,0.48
2025-04-24,3.914,3.93,3.898,3.911,3949,1604566.6,0.82,0.35
2025-04-25,3.926,3.926,3.893,3.898,4337,1759476.2,0.84,0.38
2025-04-28,3.898,3.898,3.771,3.782,9879,3920022.0,3.26,0.87
2025-04-29,3.812,3.843,3.775,3.82,4318,1717053.8,1.8,0.38
2025-04-30,3.842,3.859,3.781,3.844,7458,2955922.396,2.04,0.66
2025-05-06,3.828,3.854,3.824,3.824,7085,2823697.9,0.78,0.62
2025-05-07,3.843,3.843,3.802,3.813,9637,3825050.292,1.07,0.85
2025-05-08,3.813,3.823,3.806,3.818,7692,3052796.0,0.45,0.68
2025-05-09,3.807,3.826,3.802,3.803,19095,7565537.88,0.63,1.68
2025-05-12,3.795,3.814,3.794,3.809,12245,4844406.3,0.53,1.08
2025-05-13,3.809,3.855,3.804,3.841,12034,4804109.9,1.34,1.06
2025-05-14,3.825,3.87,3.825,3.864,10162,4066807.656,1.17,0.9
2025-05-15,3.848,3.878,3.828,3.828,3017,1206710.0,1.29,0.27
2025-05-16,3.843,3.849,3.823,3.84,6694,2675918.8,0.68,0.59
