日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-12-14,6.226,7.517,6.226,7.074,330237,278061168.0,23.65,16.16
2021-12-15,7.074,7.858,7.074,7.758,119730,109460348.0,11.08,5.86
2021-12-16,7.758,8.358,7.758,7.886,110623,107266052.0,7.73,5.41
2021-12-17,7.887,8.341,7.887,8.152,77372,75411942.0,5.76,3.79
2021-12-20,8.152,8.173,7.308,7.508,62190,57991466.0,10.61,3.04
2021-12-21,7.492,7.493,7.058,7.175,39943,35202293.0,5.79,1.96
2021-12-22,7.175,7.342,7.058,7.318,33193,29216835.0,3.96,1.62
2021-12-23,7.319,7.595,7.319,7.592,33126,30382473.0,3.77,1.62
2021-12-24,7.593,7.708,7.468,7.57,26312,24268928.0,3.16,1.29
2021-12-27,7.571,7.613,7.515,7.556,19908,18292867.0,1.29,0.97
2021-12-28,7.558,7.579,7.536,7.545,15148,13919060.0,0.57,0.74
2021-12-29,7.545,7.545,7.448,7.452,20347,18553933.0,1.29,1.0
2021-12-30,7.451,7.451,7.358,7.362,19995,18015840.0,1.25,0.98
2021-12-31,7.362,7.452,7.301,7.452,18192,16441035.0,2.05,0.89
2022-01-04,7.452,7.538,7.449,7.455,16762,15252491.0,1.19,0.82
2022-01-05,7.456,7.478,7.424,7.426,12906,11707007.0,0.72,0.63
2022-01-06,7.426,7.447,7.388,7.401,14379,12997758.0,0.79,0.7
2022-01-07,7.4,7.4,7.359,7.379,14180,12794695.0,0.55,0.69
2022-01-10,7.379,7.379,7.348,7.364,15628,14058684.0,0.42,0.76
2022-01-11,7.364,7.364,7.344,7.346,11700,10516619.0,0.27,0.57
2022-01-12,7.346,7.485,7.346,7.453,22841,20776343.0,1.89,1.12
2022-01-13,7.454,7.488,7.421,7.428,19203,17475077.0,0.9,0.94
2022-01-14,7.428,7.428,7.348,7.362,14882,13413539.0,1.08,0.73
2022-01-17,7.362,7.427,7.358,7.404,18619,16817997.0,0.94,0.91
2022-01-18,7.404,7.408,7.38,7.388,14299,12908206.0,0.38,0.7
2022-01-19,7.388,7.412,7.376,7.381,15895,14343985.0,0.49,0.78
2022-01-20,7.381,7.381,7.373,7.377,16965,15299139.0,0.11,0.83
2022-01-21,7.377,7.603,7.372,7.538,30880,28207852.0,3.13,1.51
2022-01-24,7.538,7.963,7.538,7.701,49548,46259788.0,5.64,2.43
2022-01-25,7.702,7.808,7.469,7.514,29142,26863661.0,4.4,1.43
2022-01-26,7.514,7.514,7.387,7.459,22961,20901131.0,1.69,1.12
2022-01-27,7.459,7.509,7.429,7.446,25741,23397203.0,1.07,1.26
2022-01-28,7.448,7.597,7.448,7.597,26775,24538834.0,2.0,1.31
2022-02-07,7.601,7.878,7.601,7.868,39262,37052381.0,3.65,1.92
2022-02-08,7.869,8.226,7.869,7.957,59260,57585016.0,4.54,2.9
2022-02-09,7.978,8.046,7.691,7.901,54918,51923787.0,4.46,2.69
2022-02-10,7.874,7.968,7.728,7.907,39010,37110535.0,3.04,1.91
2022-02-11,7.907,8.138,7.877,8.122,53680,51809056.0,3.3,2.63
2022-02-14,8.121,8.333,8.061,8.288,64178,63516684.0,3.35,3.14
2022-02-15,8.288,8.407,8.146,8.324,63554,63210782.0,3.15,3.11
2022-02-16,8.324,8.325,7.943,8.205,43832,42947801.0,4.59,2.15
2022-02-17,8.008,8.206,7.943,8.0,46417,44997651.0,3.21,2.27
2022-02-18,7.958,8.187,7.808,8.178,51582,49593990.0,4.74,2.52
2022-02-21,8.18,8.256,8.073,8.121,32549,31909966.0,2.24,1.59
2022-02-22,8.008,8.07,7.818,7.828,36502,34848519.0,3.1,1.79
2022-02-23,7.828,7.828,7.559,7.742,34948,32600288.0,3.44,1.71
2022-02-24,7.74,7.74,7.467,7.48,26739,24713053.0,3.53,1.31
2022-02-25,7.48,7.663,7.48,7.557,32282,29747981.0,2.45,1.58
2022-02-28,7.557,7.598,7.518,7.533,17985,16503132.0,1.06,0.88
2022-03-01,7.533,7.57,7.39,7.469,21840,19860263.0,2.39,1.07
2022-03-02,7.469,7.595,7.319,7.557,26739,24393547.0,3.7,1.31
2022-03-03,7.558,7.666,7.558,7.666,24306,22560002.0,1.43,1.19
2022-03-04,7.667,7.738,7.551,7.563,29135,26982180.0,2.44,1.43
2022-03-07,7.552,7.552,7.368,7.376,27190,24630333.0,2.43,1.33
2022-03-08,7.347,7.347,7.268,7.277,22929,20491853.0,1.07,1.12
2022-03-09,7.277,7.372,7.086,7.193,26987,23895625.0,3.93,1.32
2022-03-10,7.196,7.288,7.196,7.241,22314,19831731.0,1.28,1.09
2022-03-11,7.158,7.158,7.058,7.078,28086,24512555.0,1.38,1.37
2022-03-14,7.078,7.078,6.888,6.899,21629,18542617.0,2.68,1.06
2022-03-15,6.876,6.876,6.398,6.422,48377,39741762.0,6.93,2.37
2022-03-16,6.422,6.778,6.42,6.742,33371,27456054.0,5.57,1.63
2022-03-17,6.958,6.998,6.746,6.981,30210,25903514.0,3.74,1.48
2022-03-18,6.981,7.008,6.892,6.981,15378,13248577.0,1.66,0.75
2022-03-21,6.981,7.161,6.959,7.143,16264,14250549.0,2.89,0.8
2022-03-22,7.143,7.338,7.143,7.329,30524,27227998.0,2.73,1.49
2022-03-23,7.334,7.428,7.129,7.178,32299,28771076.0,4.08,1.58
2022-03-24,7.178,7.326,6.959,7.26,28869,25550335.0,5.11,1.41
2022-03-25,7.26,7.328,7.138,7.214,15093,13414732.0,2.62,0.74
2022-03-28,7.146,7.174,7.058,7.079,12784,11188039.0,1.61,0.63
2022-03-29,7.076,7.159,7.076,7.093,7275,6365715.0,1.17,0.36
2022-03-30,7.109,7.159,7.077,7.092,12816,11203358.0,1.16,0.63
2022-03-31,7.091,7.091,7.039,7.044,7705,6696593.0,0.73,0.38
2022-04-01,7.039,7.085,7.007,7.078,9031,7862239.0,1.11,0.44
2022-04-06,7.078,7.083,7.025,7.028,12764,11088381.0,0.82,0.62
2022-04-07,7.028,7.038,7.028,7.031,10716,9294689.0,0.14,0.52
2022-04-08,7.031,7.105,6.963,7.105,12604,10982053.0,2.02,0.62
2022-04-11,7.103,7.103,6.992,7.004,12406,10749256.0,1.56,0.61
2022-04-12,7.008,7.117,7.008,7.097,11020,9609595.0,1.56,0.54
2022-04-13,7.097,7.166,7.021,7.152,13869,12121302.0,2.04,0.68
2022-04-14,7.152,7.158,7.127,7.144,12704,11168547.0,0.43,0.62
2022-04-15,7.145,7.156,7.088,7.099,9457,8280754.0,0.95,0.46
2022-04-18,7.099,7.102,7.056,7.072,11083,9654740.0,0.65,0.54
2022-04-19,7.068,7.07,7.038,7.059,4304,3745706.0,0.45,0.21
2022-04-20,7.059,7.059,7.038,7.042,8863,7698574.0,0.3,0.43
2022-04-21,7.041,7.042,6.969,6.969,8118,7021411.0,1.04,0.4
2022-04-22,6.978,7.048,6.849,7.036,17257,14807761.0,2.86,0.84
2022-04-25,7.006,7.006,6.893,6.893,10051,8608607.0,1.61,0.49
2022-04-26,6.888,6.89,6.768,6.825,10905,9243847.0,1.77,0.53
2022-04-27,6.782,6.851,6.725,6.83,22947,19294102.0,1.85,1.12
2022-04-28,6.816,6.817,6.688,6.695,16591,13878444.0,1.89,0.81
2022-04-29,6.695,6.74,6.658,6.709,8371,6988283.0,1.22,0.41
2022-05-05,6.706,6.798,6.64,6.798,15762,13166271.0,2.36,0.77
2022-05-06,6.782,6.782,6.688,6.738,8922,7464177.0,1.38,0.44
2022-05-09,6.738,6.738,6.682,6.696,7030,5868911.0,0.83,0.34
2022-05-10,6.696,6.707,6.691,6.692,11112,9269750.0,0.24,0.54
2022-05-11,6.69,6.758,6.66,6.712,9099,7605418.0,1.46,0.45
2022-05-12,6.712,6.782,6.708,6.775,8026,6749707.0,1.1,0.39
2022-05-13,6.775,6.806,6.775,6.783,9126,7695747.0,0.46,0.45
2022-05-16,6.783,6.808,6.763,6.769,5363,4515128.0,0.66,0.26
2022-05-17,6.768,6.791,6.768,6.768,8018,6747691.0,0.34,0.39
2022-05-18,6.77,6.788,6.749,6.752,5126,4303657.0,0.58,0.25
2022-05-19,6.746,6.746,6.693,6.697,7317,6102450.0,0.78,0.36
2022-05-20,6.696,6.713,6.686,6.706,4753,3966251.0,0.4,0.23
2022-05-23,6.706,6.706,6.676,6.683,7317,6095718.0,0.45,0.36
2022-05-24,6.681,6.683,6.658,6.661,9643,8009005.0,0.37,0.47
2022-05-25,6.66,6.695,6.643,6.649,9190,7626101.0,0.78,0.45
2022-05-26,6.649,6.665,6.634,6.654,9864,8176498.0,0.47,0.48
2022-05-27,6.654,6.655,6.638,6.655,10874,9012639.0,0.26,0.53
2022-05-30,6.655,6.667,6.633,6.638,10566,8748699.0,0.51,0.52
2022-05-31,6.633,6.633,6.584,6.632,21663,17861149.0,0.74,1.06
2022-06-01,6.632,6.641,6.61,6.626,20980,17339500.0,0.47,1.03
2022-06-02,6.626,6.73,6.626,6.72,20350,16878411.0,1.57,1.0
2022-06-06,6.723,6.892,6.698,6.888,20985,17717127.0,2.89,1.03
2022-06-07,6.888,7.041,6.876,6.996,17982,15458803.0,2.4,0.88
2022-06-08,6.997,7.0,6.866,6.904,13843,11835836.0,1.92,0.68
2022-06-09,6.904,6.983,6.853,6.977,18232,15626592.0,1.88,0.89
2022-06-10,6.978,7.057,6.911,7.035,18129,15706767.0,2.09,0.89
2022-06-13,7.021,7.084,6.958,7.077,17133,14882947.0,1.79,0.84
2022-06-14,7.077,7.077,7.018,7.061,17379,15116256.0,0.83,0.85
2022-06-15,7.028,7.055,6.962,7.022,19527,16933663.0,1.32,0.96
2022-06-16,7.001,7.013,6.963,6.984,16984,14652847.0,0.71,0.83
2022-06-17,6.983,6.99,6.929,6.938,16102,13837658.0,0.87,0.79
2022-06-20,6.938,6.938,6.857,6.867,19080,16239827.0,1.17,0.93
