日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-07-26,5.49,5.49,4.325,4.99,658792,468102849.263,31.31,13.82
2022-07-27,4.965,5.473,4.765,5.355,169552,125981099.404,14.19,3.56
2022-07-28,5.357,5.455,5.185,5.195,91314,67897461.252,5.04,1.92
2022-07-29,5.195,5.227,5.189,5.202,33468,24705560.829,0.73,0.7
2022-08-01,5.204,5.292,5.204,5.279,24888,18500932.923,1.69,0.52
2022-08-02,5.274,5.307,5.195,5.268,37021,27499115.433,2.12,0.78
2022-08-03,5.276,5.382,5.276,5.376,25301,19053509.442,2.01,0.53
2022-08-04,5.377,5.508,5.377,5.494,29845,22844384.546,2.44,0.63
2022-08-05,5.509,5.725,5.451,5.607,36191,28024447.641,4.99,0.76
2022-08-08,5.611,5.682,5.56,5.561,34781,27141601.503,2.18,0.73
2022-08-09,5.554,5.554,5.424,5.436,36640,27989490.452,2.34,0.77
2022-08-10,5.435,5.515,5.381,5.515,37175,28368173.552,2.47,0.78
2022-08-11,5.531,5.588,5.525,5.555,26492,20509794.011,1.14,0.56
2022-08-12,5.554,5.638,5.495,5.638,32832,25529058.027,2.57,0.69
2022-08-15,5.638,5.775,5.624,5.775,31293,24786257.382,2.68,0.66
2022-08-16,5.775,5.826,5.647,5.666,34880,27611191.763,3.1,0.73
2022-08-17,5.663,5.76,5.623,5.741,21690,17156725.665,2.42,0.46
2022-08-18,5.745,5.798,5.721,5.758,29429,23344666.013,1.34,0.62
2022-08-19,5.759,5.942,5.758,5.942,29669,23785847.552,3.2,0.62
2022-08-22,5.947,6.125,5.81,5.923,43734,35785121.929,5.3,0.92
2022-08-23,5.866,6.055,5.866,6.053,43829,35916669.853,3.19,0.92
2022-08-24,6.053,6.123,5.969,6.008,41367,33869781.672,2.54,0.87
2022-08-25,5.995,6.075,5.988,6.065,31011,25449114.324,1.45,0.65
2022-08-26,6.065,6.081,6.001,6.07,27208,22377593.636,1.32,0.57
2022-08-29,6.063,6.063,5.965,5.98,27852,22769868.028,1.61,0.58
2022-08-30,5.98,6.02,5.936,5.939,37609,30622423.807,1.4,0.79
2022-08-31,5.938,5.969,5.826,5.959,40315,32665181.67,2.41,0.85
2022-09-01,5.937,5.96,5.918,5.947,34646,28109695.422,0.7,0.73
