日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-08-31,2.943,2.943,2.943,2.943,165629,53481584.726,0.0,5.28
2022-09-01,3.072,3.184,2.964,3.12,468515,158623759.268,7.48,14.94
2022-09-02,3.124,3.14,3.072,3.121,91014,30975574.094,2.18,2.9
2022-09-05,3.192,3.192,3.109,3.109,50205,17138818.077,2.66,1.6
2022-09-06,3.114,3.126,3.085,3.118,66571,22547019.786,1.32,2.12
2022-09-07,3.12,3.132,3.114,3.13,27057,9234172.719,0.58,0.86
2022-09-08,3.189,3.189,3.13,3.142,37148,12734797.736,1.88,1.18
2022-09-09,3.144,3.154,3.14,3.141,36100,12379188.007,0.45,1.15
2022-09-13,3.14,3.141,3.115,3.137,25402,8688071.209,0.83,0.81
2022-09-14,3.133,3.149,3.119,3.132,34889,11932550.478,0.96,1.11
2022-09-15,3.133,3.138,3.126,3.127,18206,6215886.636,0.38,0.58
2022-09-16,3.127,3.127,3.1,3.112,37970,12895525.888,0.86,1.21
2022-09-19,3.113,3.121,3.104,3.107,25049,8502111.14,0.55,0.8
2022-09-20,3.107,3.107,3.097,3.103,12762,4323053.633,0.32,0.41
2022-09-21,3.103,3.106,3.098,3.104,8526,2889536.902,0.26,0.27
2022-09-22,3.104,3.112,3.091,3.108,15821,5364610.228,0.68,0.5
2022-09-23,3.108,3.115,3.101,3.109,13778,4679657.324,0.45,0.44
2022-09-26,3.109,3.117,3.106,3.106,9139,3106611.952,0.35,0.29
2022-09-27,3.108,3.115,3.1,3.102,18237,6190038.051,0.48,0.58
2022-09-28,3.102,3.314,3.098,3.114,32494,11079980.053,6.96,1.04
2022-09-29,3.114,3.114,3.095,3.099,9690,3285694.361,0.61,0.31
2022-09-30,3.101,3.109,3.093,3.095,7646,2586061.126,0.52,0.24
2022-10-10,3.095,3.095,3.034,3.04,22562,7550601.281,1.97,0.72
2022-10-11,3.04,3.043,2.959,2.99,43058,14084126.624,2.76,1.37
2022-10-12,2.976,2.994,2.976,2.991,7413,2427116.323,0.6,0.24
2022-10-13,2.992,3.014,2.985,2.987,12351,4050915.829,0.97,0.39
2022-10-14,2.986,2.99,2.975,2.99,13628,4456045.439,0.5,0.43
2022-10-17,2.991,2.992,2.984,2.986,9955,3257799.935,0.27,0.32
2022-10-18,2.985,2.99,2.982,2.986,12805,4190672.017,0.27,0.41
2022-10-19,2.986,2.99,2.979,2.982,18873,6173054.311,0.37,0.6
2022-10-20,2.98,2.98,2.958,2.978,50986,16591552.482,0.74,1.63
2022-10-21,2.978,2.978,2.944,2.967,31178,10106927.702,1.14,0.99
2022-10-24,2.967,2.967,2.931,2.932,18065,5838900.583,1.21,0.58
2022-10-25,2.931,2.931,2.88,2.882,34435,10945026.678,1.74,1.1
2022-10-26,2.881,2.909,2.879,2.906,17439,5563714.63,1.04,0.56
2022-10-27,2.906,2.924,2.906,2.922,31673,10148169.566,0.62,1.01
2022-10-28,2.922,2.925,2.897,2.922,37347,11949306.584,0.96,1.19
2022-10-31,2.922,2.942,2.882,2.936,27879,8970841.948,2.05,0.89
2022-11-01,2.936,2.951,2.936,2.947,5390,1742902.262,0.51,0.17
2022-11-02,2.948,2.964,2.948,2.955,19987,6480251.415,0.54,0.64
2022-11-03,2.955,2.964,2.955,2.962,5236,1700210.447,0.3,0.17
2022-11-04,2.962,3.047,2.962,3.043,28744,9424782.532,2.87,0.92
2022-11-07,3.033,3.033,3.003,3.004,26388,8714438.983,0.99,0.84
2022-11-08,3.003,3.012,2.981,2.983,5368,1759429.723,1.03,0.17
2022-11-09,2.983,3.007,2.963,2.965,10902,3564857.68,1.48,0.35
2022-11-10,2.97,2.992,2.936,2.943,12676,4100824.986,1.89,0.4
2022-11-11,2.939,2.991,2.935,2.971,14175,4603461.177,1.9,0.45
2022-11-14,2.971,2.971,2.932,2.952,11061,3582256.252,1.31,0.35
2022-11-15,2.949,2.957,2.946,2.949,24535,7943129.025,0.37,0.78
2022-11-16,2.95,2.954,2.626,2.914,23335,7485613.524,11.12,0.74
2022-11-17,2.912,2.913,2.824,2.837,16464,5197407.791,3.05,0.53
2022-11-18,2.834,2.843,2.789,2.814,12603,3896409.827,1.9,0.4
2022-11-21,2.806,2.82,2.769,2.817,20061,6203063.478,1.81,0.64
2022-11-22,2.815,2.815,2.769,2.798,4036,1245385.006,1.63,0.13
2022-11-23,2.798,2.8,2.784,2.788,4080,1255506.276,0.57,0.13
2022-11-24,2.787,2.789,2.755,2.764,26073,7991748.178,1.22,0.83
2022-11-25,2.764,2.771,2.757,2.759,6384,1945752.906,0.51,0.2
2022-11-28,2.759,2.759,2.714,2.731,4840,1460210.84,1.63,0.15
2022-11-29,2.73,2.746,2.73,2.745,6567,1986097.405,0.59,0.21
2022-11-30,2.745,2.745,2.739,2.742,3516,1064710.639,0.22,0.11
2022-12-01,2.741,2.745,2.729,2.745,17799,5384624.923,0.58,0.57
2022-12-02,2.745,2.774,2.744,2.774,9238,2818604.243,1.09,0.29
2022-12-05,2.774,2.818,2.774,2.814,13427,4151387.257,1.59,0.43
2022-12-06,2.814,2.827,2.813,2.815,19280,5980402.849,0.5,0.61
2022-12-07,2.816,2.816,2.802,2.804,8672,2679908.103,0.5,0.28
2022-12-08,2.804,2.804,2.757,2.799,10553,3244640.427,1.68,0.34
2022-12-09,2.799,2.799,2.785,2.787,8878,2729477.585,0.5,0.28
2022-12-12,2.786,2.787,2.77,2.77,12595,3856342.36,0.61,0.4
2022-12-13,2.77,2.77,2.745,2.747,4010,1217369.219,0.9,0.13
2022-12-14,2.747,2.747,2.732,2.734,3308,1000144.326,0.55,0.11
2022-12-15,2.734,2.744,2.734,2.736,4302,1301078.983,0.37,0.14
2022-12-16,2.737,2.737,2.721,2.722,12717,3832407.339,0.58,0.41
2022-12-19,2.722,2.722,2.705,2.71,4120,1234193.794,0.62,0.13
2022-12-20,2.71,2.71,2.627,2.639,13662,4026657.105,3.06,0.44
2022-12-21,2.633,2.684,2.613,2.613,10142,2955250.506,2.69,0.32
2022-12-22,2.614,2.631,2.614,2.614,3712,1079154.585,0.65,0.12
2022-12-23,2.614,2.633,2.614,2.624,5284,1539915.364,0.73,0.17
2022-12-26,2.623,2.713,2.504,2.608,3478,1008163.871,7.96,0.11
2022-12-27,2.609,2.609,2.569,2.571,18572,5325661.315,1.53,0.59
2022-12-28,2.554,2.561,2.514,2.521,17842,5025792.488,1.83,0.57
2022-12-29,2.521,2.526,2.458,2.47,30544,8486608.965,2.7,0.97
2022-12-30,2.47,2.534,2.314,2.433,27696,7492837.955,8.91,0.88
2023-01-03,2.432,2.432,2.396,2.401,20664,5549950.585,1.48,0.66
2023-01-04,2.401,2.401,2.393,2.396,10288,2759437.332,0.33,0.33
2023-01-05,2.394,2.405,2.394,2.404,8108,2180345.204,0.46,0.26
2023-01-06,2.404,2.432,2.404,2.432,23119,6250672.945,1.16,0.74
2023-01-09,2.424,2.461,2.424,2.461,12194,3329815.646,1.52,0.39
2023-01-10,2.461,2.47,2.461,2.462,23065,6342966.899,0.37,0.74
2023-01-11,2.462,2.476,2.454,2.461,29143,8034480.516,0.89,0.93
2023-01-12,2.461,2.461,2.449,2.457,11758,3224096.356,0.49,0.38
2023-01-13,2.457,2.464,2.452,2.453,24692,6767773.446,0.49,0.79
2023-01-16,2.454,2.464,2.439,2.442,14690,4010544.247,1.02,0.47
2023-01-17,2.442,2.449,2.419,2.419,11302,3063968.443,1.23,0.36
2023-01-18,2.424,2.424,2.414,2.416,12700,3432773.842,0.41,0.41
2023-01-19,2.416,2.416,2.413,2.416,13013,3513747.511,0.12,0.42
2023-01-20,2.417,2.446,2.416,2.446,16193,4387270.325,1.24,0.52
2023-01-30,2.45,2.51,2.45,2.483,34088,9474885.057,2.45,1.09
2023-01-31,2.483,2.574,2.483,2.571,28560,8030140.704,3.66,0.91
2023-02-01,2.572,2.664,2.572,2.651,40575,11804899.94,3.58,1.29
2023-02-02,2.652,2.666,2.644,2.646,47272,13913715.091,0.83,1.51
2023-02-03,2.645,2.646,2.617,2.621,25406,7385274.833,1.1,0.81
2023-02-06,2.621,2.629,2.618,2.624,22586,6572735.349,0.42,0.72
2023-02-07,2.624,2.633,2.594,2.598,20869,6051414.126,1.49,0.67
2023-02-08,2.599,2.6,2.584,2.589,17381,4997841.923,0.62,0.55
2023-02-09,2.587,2.587,2.575,2.582,12778,3663632.975,0.46,0.41
2023-02-10,2.582,2.585,2.579,2.585,24702,7082648.644,0.23,0.79
2023-02-13,2.584,2.607,2.58,2.607,25298,7283412.335,1.04,0.81
2023-02-14,2.608,2.673,2.608,2.67,31189,9088771.82,2.49,0.99
2023-02-15,2.684,2.709,2.624,2.684,55097,16445705.377,3.18,1.76
