日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-10-23,2.913,2.998,2.794,2.835,166178,48645087.022,7.73,12.23
2024-10-24,2.838,2.838,2.813,2.818,65813,19129881.228,0.88,4.85
2024-10-25,2.816,2.826,2.795,2.82,29849,8676134.809,1.1,2.2
2024-10-28,2.811,2.814,2.768,2.797,114756,33063371.296,1.63,8.45
2024-10-29,2.797,2.808,2.78,2.795,51413,14804644.104,1.0,3.78
2024-10-30,2.793,2.796,2.783,2.795,46877,13480040.144,0.47,3.45
2024-10-31,2.791,2.814,2.79,2.813,25776,7442453.522,0.86,1.9
2024-11-01,2.803,2.813,2.803,2.807,16403,4746648.186,0.36,1.21
2024-11-04,2.812,2.812,2.793,2.81,24862,7177328.016,0.68,1.83
2024-11-05,2.803,2.811,2.787,2.811,31287,9024906.519,0.85,2.3
2024-11-06,2.812,2.813,2.793,2.8,20003,5784481.328,0.71,1.47
2024-11-07,2.797,2.8,2.788,2.8,28842,8311673.663,0.43,2.12
2024-11-08,2.801,2.847,2.788,2.838,48435,14077654.831,2.11,3.57
2024-11-11,2.837,2.898,2.837,2.898,37247,11012281.626,2.15,2.74
2024-11-12,2.9,2.942,2.9,2.939,22307,6707164.613,1.45,1.64
2024-11-13,2.94,2.951,2.915,2.933,46079,13926191.524,1.22,3.39
2024-11-14,2.933,2.943,2.92,2.928,14070,4240535.619,0.78,1.04
2024-11-15,2.932,2.938,2.889,2.933,26105,7855897.382,1.67,1.92
2024-11-18,2.933,2.945,2.915,2.943,18825,5684626.169,1.02,1.39
2024-11-19,2.944,2.954,2.93,2.945,9464,2865188.231,0.82,0.7
2024-11-20,2.931,2.945,2.931,2.935,1643,496831.642,0.48,0.12
2024-11-21,2.931,2.945,2.928,2.943,1120,338481.262,0.58,0.08
2024-11-22,2.943,2.975,2.923,2.972,10907,3320763.39,1.77,0.8
2024-11-25,2.972,2.975,2.943,2.957,7065,2151639.601,1.08,0.52
2024-11-26,2.945,2.979,2.945,2.975,3853,1175814.119,1.15,0.28
2024-11-27,2.975,2.988,2.963,2.973,713,218098.233,0.84,0.05
2024-11-28,2.973,2.993,2.965,2.976,2038,624836.025,0.94,0.15
2024-11-29,2.973,3.008,2.968,2.993,8517,2627331.647,1.34,0.63
2024-12-02,2.998,3.071,2.989,3.003,6016,1858634.319,2.74,0.44
2024-12-03,3.03,3.03,2.977,2.998,7353,2268914.685,1.76,0.54
2024-12-04,2.993,3.006,2.971,3.002,25217,7782376.614,1.17,1.86
2024-12-05,3.002,3.003,2.982,3.003,1543,475934.474,0.7,0.11
2024-12-06,2.988,3.016,2.988,3.0,11219,3466733.037,0.93,0.83
2024-12-09,3.003,3.032,2.989,3.003,15692,4853356.418,1.43,1.16
2024-12-10,2.996,3.099,2.996,3.099,47633,14972161.565,3.43,3.51
2024-12-11,3.083,3.147,3.078,3.147,24557,7875066.274,2.23,1.81
2024-12-12,3.137,3.183,3.126,3.138,21421,6942883.426,1.81,1.58
2024-12-13,3.139,3.157,3.138,3.153,13044,4217764.21,0.61,0.96
2024-12-16,3.153,3.232,3.153,3.228,38228,12616641.231,2.51,2.81
2024-12-17,3.228,3.262,3.172,3.173,64839,21342144.638,2.79,4.77
2024-12-18,3.188,3.188,3.113,3.114,28891,9292075.355,2.36,2.13
2024-12-19,3.108,3.156,3.075,3.107,12735,4058411.126,2.6,0.94
2024-12-20,3.092,3.214,3.092,3.153,16251,5256835.147,3.93,1.2
2024-12-23,3.14,3.243,3.14,3.163,10461,3398662.75,3.27,0.77
2024-12-24,3.158,3.171,3.099,3.111,41593,13356366.59,2.28,3.06
2024-12-25,3.078,3.11,3.06,3.089,41679,13193089.394,1.61,3.07
2024-12-26,3.076,3.106,3.071,3.092,10748,3411803.934,1.13,0.79
2024-12-27,3.077,3.116,3.077,3.111,16738,5354454.88,1.26,1.23
2024-12-30,3.092,3.118,3.09,3.108,20743,6632357.306,0.9,1.53
2024-12-31,3.108,3.122,3.092,3.108,8296,2646589.054,0.97,0.61
