日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-03-14,6.442,6.445,6.306,6.41,18377,12714823.374,2.17,0.29
2024-03-15,6.402,6.404,6.345,6.393,3030,2083177.809,0.92,0.05
2024-03-18,6.388,6.436,6.326,6.383,3062,2107231.529,1.72,0.05
2024-03-19,6.383,6.385,6.31,6.354,5305,3633326.514,1.17,0.08
2024-03-20,6.33,6.353,6.33,6.335,2539,1735121.312,0.36,0.04
2024-03-21,6.331,6.383,6.33,6.34,3588,2451706.203,0.84,0.06
2024-03-22,6.33,6.355,6.33,6.332,2568,1754108.188,0.39,0.04
2024-03-25,6.332,6.332,6.316,6.316,2748,1872377.6,0.25,0.04
2024-03-26,6.302,6.316,6.27,6.279,1741,1179060.518,0.73,0.03
2024-03-27,6.305,6.305,6.29,6.294,5409,3673653.6,0.24,0.09
2024-03-28,6.266,6.266,6.236,6.242,3337,2248420.0,0.48,0.05
2024-03-29,6.242,6.243,6.222,6.229,2627,1766295.793,0.34,0.04
2024-04-01,6.228,6.305,6.216,6.253,3566,2413042.298,1.43,0.06
2024-04-02,6.243,6.272,6.24,6.262,7455,5029142.478,0.51,0.12
2024-04-03,6.262,6.29,6.262,6.283,1693,1146440.212,0.45,0.03
2024-04-08,6.277,6.355,6.277,6.302,2206,1501108.186,1.24,0.03
2024-04-09,6.305,6.365,6.305,6.346,9200,6301102.644,0.95,0.15
2024-04-10,6.359,6.44,6.358,6.415,13044,9004809.104,1.29,0.21
2024-04-11,6.386,6.536,6.386,6.445,8802,6122200.679,2.34,0.14
2024-04-12,6.416,6.459,6.407,6.409,3107,2152641.5,0.81,0.05
2024-04-15,6.449,6.449,6.39,6.403,2106,1457921.9,0.92,0.03
2024-04-16,6.386,6.441,6.327,6.404,8217,5670234.912,1.78,0.13
2024-04-17,6.404,6.41,6.404,6.407,10599,7315660.5,0.09,0.17
2024-04-18,6.407,6.415,6.406,6.407,9056,6250940.473,0.14,0.14
2024-04-19,6.407,6.411,6.387,6.407,10113,6980738.773,0.37,0.16
2024-04-22,6.387,6.432,6.387,6.425,7689,5308630.6,0.7,0.12
2024-04-23,6.425,6.425,6.406,6.41,12414,8570564.6,0.3,0.2
2024-04-24,6.41,6.44,6.41,6.413,3017,2085208.062,0.47,0.05
2024-04-25,6.39,6.431,6.39,6.41,13258,9156254.832,0.64,0.21
2024-04-26,6.406,6.443,6.406,6.423,5651,3907653.8,0.58,0.09
2024-04-29,6.42,6.435,6.393,6.411,15630,10793165.517,0.65,0.25
