日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-01-24,3.771,3.771,3.771,3.771,67738,26654973.83,0.0,5.49
2025-01-27,4.165,4.165,3.986,4.08,174392,74327429.955,4.75,14.13
2025-02-05,4.036,4.089,3.996,4.086,55097,23256501.413,2.28,4.47
2025-02-06,4.051,4.141,4.032,4.124,90830,38481419.833,2.67,7.36
2025-02-07,4.123,4.151,4.09,4.144,65278,28045648.917,1.48,5.29
2025-02-10,4.144,4.194,4.116,4.193,56181,24337736.74,1.88,4.55
2025-02-11,4.193,4.295,4.193,4.291,64048,28346129.96,2.43,5.19
2025-02-12,4.291,4.296,4.246,4.296,72461,32116386.593,1.17,5.87
2025-02-13,4.298,4.301,4.256,4.282,32199,14327295.897,1.05,2.61
2025-02-14,4.282,4.286,4.227,4.282,33694,14903240.323,1.38,2.73
2025-02-17,4.282,4.314,4.243,4.297,14113,6284801.416,1.66,1.14
2025-02-18,4.28,4.336,4.276,4.31,7206,3226529.56,1.4,0.58
2025-02-19,4.291,4.328,4.266,4.318,10813,4824821.025,1.44,0.88
2025-02-20,4.318,4.336,4.294,4.323,4648,2083837.566,0.97,0.38
2025-02-21,4.323,4.336,4.303,4.336,8585,3851622.778,0.76,0.7
2025-02-24,4.338,4.338,4.281,4.303,13739,6139673.786,1.31,1.11
2025-02-25,4.296,4.336,4.214,4.276,10347,4590895.474,2.84,0.84
2025-02-26,4.242,4.29,4.242,4.26,15763,6996714.197,1.12,1.28
2025-02-27,4.26,4.26,4.207,4.247,15224,6690992.102,1.24,1.23
2025-02-28,4.246,4.247,4.21,4.227,10613,4667504.672,0.87,0.86
2025-03-03,4.227,4.254,4.213,4.242,6962,3067928.827,0.97,0.56
2025-03-04,4.243,4.267,4.243,4.262,18700,8266792.96,0.57,1.52
2025-03-05,4.241,4.314,4.241,4.256,12276,5441486.987,1.71,0.99
2025-03-06,4.256,4.267,4.237,4.246,6668,2943085.794,0.7,0.54
