日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-06-27,4.108,4.108,4.108,4.108,10697,4394315.276,0.0,0.71
2025-06-30,4.519,4.519,4.2,4.299,350154,152033101.54,7.77,23.35
2025-07-01,4.298,4.298,4.229,4.246,139085,59077563.747,1.61,9.27
2025-07-02,4.236,4.338,4.23,4.316,71647,30747689.46,2.54,4.78
2025-07-03,4.317,4.367,4.278,4.33,64566,27982250.669,2.06,4.3
2025-07-04,4.323,4.388,4.32,4.375,26092,11379781.676,1.57,1.74
2025-07-07,4.375,4.424,4.375,4.38,17251,7583463.794,1.12,1.15
2025-07-08,4.38,4.391,4.357,4.39,70651,30906751.464,0.78,4.71
2025-07-09,4.39,4.406,4.371,4.387,24915,10932328.57,0.8,1.66
2025-07-10,4.386,4.41,4.372,4.39,26360,11586896.19,0.87,1.76
2025-07-11,4.39,4.42,4.372,4.419,63421,27900318.204,1.09,4.23
2025-07-14,4.419,4.43,4.375,4.377,26055,11457049.422,1.24,1.74
2025-07-15,4.378,4.402,4.351,4.391,56556,24800885.836,1.17,3.77
2025-07-16,4.39,4.392,4.378,4.381,16052,7038928.382,0.32,1.07
2025-07-17,4.381,4.415,4.37,4.384,46148,20266298.694,1.03,3.08
2025-07-18,4.38,4.385,4.37,4.38,8307,3636889.696,0.34,0.55
2025-07-21,4.381,4.382,4.357,4.36,10412,4542754.866,0.57,0.69
2025-07-22,4.35,4.36,4.303,4.304,13452,5825827.783,1.31,0.9
2025-07-23,4.304,4.304,4.165,4.199,61772,25998134.857,3.23,4.12
2025-07-24,4.199,4.199,4.138,4.161,40046,16649271.984,1.45,2.67
2025-07-25,4.158,4.188,4.121,4.169,25146,10437783.246,1.61,1.68
2025-07-28,4.171,4.225,4.171,4.208,38267,16083713.753,1.3,2.55
2025-07-29,4.22,4.22,4.174,4.184,12636,5299988.055,1.09,0.84
2025-07-30,4.171,4.22,4.15,4.204,25440,10664234.404,1.67,1.7
2025-07-31,4.203,4.245,4.201,4.238,20056,8477924.574,1.05,1.34
2025-08-01,4.221,4.272,4.21,4.25,26367,11201220.844,1.46,1.76
2025-08-04,4.238,4.267,4.203,4.225,12893,5465580.004,1.51,0.86
2025-08-05,4.212,4.241,4.146,4.23,13972,5874876.389,2.25,0.93
2025-08-06,4.213,4.241,4.186,4.24,16939,7150254.126,1.3,1.13
2025-08-07,4.239,4.239,4.214,4.231,10127,4283036.17,0.59,0.68
2025-08-08,4.214,4.215,4.19,4.209,10329,4337567.656,0.59,0.69
2025-08-11,4.193,4.2,4.17,4.182,5643,2360696.117,0.71,0.38
2025-08-12,4.179,4.205,4.17,4.194,17979,7549235.96,0.84,1.2
2025-08-13,4.21,4.21,4.177,4.2,5327,2232236.932,0.79,0.36
2025-08-14,4.183,4.201,4.175,4.186,5087,2130236.478,0.62,0.34
2025-08-15,4.18,4.199,4.11,4.115,15411,6372997.738,2.13,1.03
2025-08-18,4.13,4.13,3.98,3.98,23246,9346294.421,3.65,1.55
2025-08-19,3.98,3.992,3.88,3.981,80931,31679268.669,2.81,5.4
2025-08-20,3.93,4.028,3.93,3.98,25349,10141309.005,2.46,1.69
2025-08-21,3.98,4.1,3.979,4.06,17601,7140497.024,3.04,1.17
2025-08-22,4.065,4.065,4.037,4.044,8042,3251021.839,0.69,0.54
2025-08-25,4.04,4.116,4.011,4.109,8688,3537054.897,2.6,0.58
2025-08-26,4.105,4.147,4.105,4.133,13560,5591215.855,1.02,0.9
2025-08-27,4.122,4.149,4.122,4.139,5176,2143998.375,0.65,0.35
2025-08-28,4.114,4.148,4.103,4.126,4193,1727897.459,1.09,0.28
2025-08-29,4.103,4.125,4.098,4.116,2401,985727.645,0.65,0.16
2025-09-01,4.129,4.129,4.08,4.082,6725,2752616.033,1.19,0.45
2025-09-02,4.071,4.111,4.06,4.1,4739,1938159.756,1.25,0.32
2025-09-03,4.101,4.124,4.072,4.124,6655,2725202.46,1.27,0.44
2025-09-04,4.122,4.14,4.108,4.132,7540,3113204.409,0.78,0.5
2025-09-05,4.132,4.137,4.1,4.127,7976,3284685.585,0.9,0.53
2025-09-08,4.124,4.127,4.042,4.09,14792,6020777.286,2.06,0.99
2025-09-09,4.09,4.09,4.06,4.083,2773,1131005.891,0.73,0.18
2025-09-10,4.079,4.079,4.02,4.049,12101,4889091.645,1.45,0.81
2025-09-11,4.046,4.046,4.012,4.031,12025,4836879.059,0.84,0.8
