日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-11-08,3.305,3.335,3.15,3.193,215187,71902015.35,6.9,11.59
2024-11-11,3.193,3.26,3.156,3.26,30264,10223971.883,3.26,1.63
2024-11-12,3.26,3.379,3.224,3.345,22132,7645206.025,4.75,1.19
2024-11-13,3.355,3.355,3.3,3.319,87826,30334086.05,1.64,4.73
2024-11-14,3.319,3.325,3.275,3.298,77122,26562200.583,1.51,4.15
2024-11-15,3.298,3.298,3.26,3.279,39590,13553757.93,1.15,2.13
2024-11-18,3.283,3.305,3.264,3.269,52185,17830652.418,1.25,2.81
2024-11-19,3.255,3.275,3.254,3.273,45692,15582487.197,0.64,2.46
2024-11-20,3.273,3.304,3.245,3.273,46961,15997602.1,1.8,2.53
2024-11-21,3.255,3.288,3.245,3.267,38680,13184057.494,1.31,2.08
2024-11-22,3.24,3.28,3.24,3.277,27738,9468416.744,1.22,1.49
2024-11-25,3.273,3.293,3.238,3.281,24480,8385439.731,1.68,1.32
2024-11-26,3.263,3.294,3.263,3.283,33782,11575504.847,0.94,1.82
2024-11-27,3.243,3.325,3.243,3.293,21404,7354347.466,2.5,1.15
2024-11-28,3.285,3.31,3.285,3.31,23370,8054023.387,0.76,1.26
2024-11-29,3.31,3.328,3.271,3.315,17300,5988563.149,1.72,0.93
2024-12-02,3.315,3.365,3.309,3.365,48810,17027212.875,1.69,2.63
2024-12-03,3.366,3.39,3.343,3.39,25719,9055812.946,1.4,1.39
2024-12-04,3.35,3.491,3.35,3.383,21105,7485067.517,4.16,1.14
2024-12-05,3.383,3.413,3.357,3.395,17050,6028408.385,1.66,0.92
2024-12-06,3.355,3.455,3.355,3.413,26222,9352850.863,2.95,1.41
2024-12-09,3.373,3.503,3.373,3.418,12730,4535438.867,3.81,0.69
2024-12-10,3.418,3.508,3.418,3.501,14519,5227630.023,2.63,0.78
2024-12-11,3.501,3.593,3.501,3.574,21860,8100139.869,2.63,1.18
2024-12-12,3.575,3.705,3.575,3.695,41782,15890166.961,3.64,2.25
2024-12-13,3.695,3.773,3.663,3.705,107091,41446210.106,2.98,5.77
2024-12-16,3.695,3.761,3.665,3.742,24696,9508285.32,2.59,1.33
2024-12-17,3.742,3.765,3.735,3.742,15389,5981845.793,0.8,0.83
2024-12-18,3.742,4.055,3.515,3.68,13753,5292017.666,14.43,0.74
2024-12-19,3.671,3.734,3.558,3.649,26679,10016624.667,4.78,1.44
2024-12-20,3.609,3.735,3.609,3.735,16492,6309989.689,3.45,0.89
2024-12-23,3.735,3.855,3.696,3.715,17844,6928183.056,4.26,0.96
2024-12-24,3.683,3.753,3.669,3.671,17167,6586255.502,2.26,0.92
2024-12-25,3.631,3.705,3.631,3.67,43291,16471768.082,2.02,2.33
2024-12-26,3.681,3.754,3.668,3.697,14263,5482456.453,2.34,0.77
2024-12-27,3.657,3.765,3.657,3.729,22616,8784718.266,2.92,1.22
2024-12-30,3.695,3.854,3.695,3.804,17940,7095233.25,4.26,0.97
2024-12-31,3.766,3.885,3.765,3.783,14937,5901616.259,3.15,0.8
2025-01-02,3.743,3.824,3.743,3.82,13798,5453335.879,2.14,0.74
2025-01-03,3.82,3.96,3.82,3.96,23142,9363851.053,3.66,1.25
2025-01-06,4.065,4.152,3.939,4.052,26840,11247356.758,5.38,1.45
2025-01-07,4.034,4.352,3.939,3.981,23459,9680728.266,10.19,1.26
2025-01-08,3.956,4.104,3.956,4.055,19356,8134335.468,3.72,1.04
2025-01-09,4.035,4.155,4.015,4.03,51707,21595224.687,3.45,2.79
2025-01-10,4.015,4.08,3.984,4.005,44069,18300718.463,2.38,2.37
2025-01-13,4.005,4.055,3.896,3.92,12046,4953201.522,3.97,0.65
2025-01-14,3.955,3.955,3.856,3.881,11353,4564288.514,2.53,0.61
