日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-06-21,10.89,10.89,9.434,9.545,118345,181529352.0,17.73,14.82
2021-06-22,9.545,9.545,8.246,9.534,43224,59971081.0,13.61,5.41
2021-06-23,9.506,9.506,8.773,9.122,19417,27794168.0,7.69,2.43
2021-06-24,9.121,9.121,8.824,8.904,11671,16419460.0,3.26,1.46
2021-06-25,8.904,8.924,8.896,8.912,7896,11105713.0,0.31,0.99
2021-06-28,8.913,8.923,8.888,8.888,8254,11611747.0,0.39,1.03
2021-06-29,8.889,8.893,8.829,8.83,7969,11163376.0,0.72,1.0
2021-06-30,8.831,8.918,8.831,8.871,2497,3504693.0,0.99,0.31
2021-07-01,8.871,9.091,8.834,9.02,4167,5886021.0,2.9,0.52
2021-07-02,9.004,9.004,8.832,8.871,6571,9210140.0,1.91,0.82
2021-07-05,8.871,8.883,8.847,8.852,4861,6814395.0,0.41,0.61
2021-07-06,8.854,8.86,8.839,8.842,5728,8026150.0,0.24,0.72
2021-07-07,8.842,8.854,8.832,8.835,5166,7232440.0,0.25,0.65
2021-07-08,8.834,8.836,8.827,8.828,4252,5952161.0,0.1,0.53
2021-07-09,8.828,8.834,8.828,8.832,3901,5460458.0,0.07,0.49
2021-07-12,8.833,8.834,8.828,8.831,4653,6512831.0,0.07,0.58
2021-07-13,8.831,8.833,8.828,8.831,3666,5130361.0,0.06,0.46
2021-07-14,8.83,8.83,8.778,8.782,3921,5474793.0,0.59,0.49
2021-07-15,8.782,8.824,8.782,8.821,3699,5163771.0,0.48,0.46
2021-07-16,8.822,8.845,8.822,8.843,6505,9111675.0,0.26,0.81
2021-07-19,8.843,8.846,8.836,8.845,4432,6207971.0,0.11,0.55
2021-07-20,8.846,8.874,8.814,8.854,3495,4895877.0,0.68,0.44
2021-07-21,8.854,8.854,8.834,8.843,2468,3457786.0,0.23,0.31
2021-07-22,8.843,8.849,8.833,8.848,1829,2562313.0,0.18,0.23
2021-07-23,8.848,8.984,8.848,8.879,3032,4253608.0,1.54,0.38
2021-07-26,8.879,8.879,8.863,8.873,2993,4201080.0,0.18,0.37
2021-07-27,8.874,8.878,8.843,8.876,3404,4777657.0,0.39,0.43
2021-07-28,8.875,8.876,8.843,8.876,3659,5132185.0,0.37,0.46
2021-07-29,8.876,8.877,8.835,8.875,2277,3196163.0,0.47,0.29
2021-07-30,8.874,8.877,8.835,8.875,1629,2286863.0,0.47,0.2
2021-08-02,8.874,8.883,8.845,8.881,2810,3944812.0,0.43,0.35
2021-08-03,8.881,8.997,8.852,8.981,2733,3856966.0,1.63,0.34
2021-08-04,8.98,9.096,8.854,9.084,1956,2785334.0,2.69,0.24
2021-08-05,9.084,9.161,8.975,9.158,2428,3460384.0,2.05,0.3
2021-08-06,9.158,9.333,9.158,9.177,4272,6131497.0,1.91,0.53
2021-08-09,9.178,9.225,9.178,9.225,1779,2558546.0,0.51,0.22
2021-08-10,9.225,9.316,9.225,9.315,3787,5479358.0,0.99,0.47
2021-08-11,9.316,9.533,9.315,9.377,6254,9152635.0,2.34,0.78
2021-08-12,9.377,9.524,9.377,9.483,4038,5908752.0,1.57,0.51
2021-08-13,9.484,9.684,9.31,9.315,5005,7281647.0,3.94,0.63
2021-08-16,9.315,9.315,8.954,9.214,2559,3673517.0,3.88,0.32
2021-08-17,9.214,9.274,9.214,9.233,1924,2772336.0,0.65,0.24
2021-08-18,9.233,9.274,9.233,9.274,2303,3318025.0,0.44,0.29
2021-08-19,9.274,9.344,9.274,9.311,3143,4549017.0,0.75,0.39
2021-08-20,9.311,9.324,9.269,9.323,2808,4060468.0,0.59,0.35
2021-08-23,9.323,9.323,9.294,9.298,4732,6845246.0,0.31,0.59
2021-08-24,9.299,9.309,9.297,9.302,4548,6579851.0,0.13,0.57
2021-08-25,9.301,9.314,9.28,9.305,4363,6310977.0,0.37,0.55
2021-08-26,9.305,9.422,9.297,9.409,2948,4280659.0,1.34,0.37
2021-08-27,9.409,9.561,9.402,9.55,5326,7809898.0,1.69,0.67
2021-08-30,9.551,9.837,9.551,9.754,7390,11048551.0,2.99,0.93
2021-08-31,9.754,9.992,9.754,9.847,5246,7879057.0,2.44,0.66
2021-09-01,9.847,9.986,9.754,9.782,4981,7471306.0,2.36,0.62
2021-09-02,9.782,9.954,9.779,9.834,4189,6286723.0,1.79,0.52
2021-09-03,9.835,10.134,9.834,9.849,3971,5964407.0,3.05,0.5
2021-09-06,9.849,10.114,9.849,9.852,5725,8603848.0,2.69,0.72
2021-09-07,9.853,9.91,9.853,9.874,5173,7785072.0,0.58,0.65
