日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-08-08,5.6,5.85,5.442,5.85,792767,451739247.712,9.07,26.43
2025-08-11,5.95,6.15,5.85,6.065,311318,186657227.721,5.13,10.38
2025-08-12,6.006,6.145,6.003,6.128,151104,91866348.922,2.34,5.04
2025-08-13,6.12,6.139,6.04,6.09,125689,76774152.714,1.62,4.19
2025-08-14,6.053,6.103,6.042,6.1,89823,54759485.489,1.0,2.99
2025-08-15,6.1,6.115,6.066,6.099,63232,38509479.748,0.8,2.11
2025-08-18,6.097,6.097,5.87,5.975,100538,59888327.233,3.72,3.35
2025-08-19,5.932,5.944,5.821,5.939,68200,40271451.045,2.06,2.27
2025-08-20,5.88,6.018,5.88,5.95,61602,36871623.575,2.32,2.05
2025-08-21,5.97,6.002,5.911,5.999,52901,31623136.33,1.53,1.76
2025-08-22,6.0,6.025,5.963,6.01,39838,23881105.588,1.03,1.33
2025-08-25,6.01,6.031,5.956,6.029,41981,25237639.249,1.25,1.4
2025-08-26,6.029,6.14,6.0,6.124,43358,26314995.479,2.32,1.45
2025-08-27,6.101,6.127,6.071,6.115,39900,24372429.771,0.91,1.33
2025-08-28,6.115,6.115,6.055,6.084,36360,22076559.516,0.98,1.21
2025-08-29,6.08,6.085,6.032,6.081,37447,22690463.589,0.87,1.25
2025-09-01,6.07,6.079,6.037,6.072,36650,22212866.809,0.69,1.22
2025-09-02,6.072,6.089,6.037,6.078,50868,30835233.541,0.86,1.7
2025-09-03,6.08,6.106,6.053,6.087,35049,21266961.51,0.87,1.17
2025-09-04,6.091,6.1,6.059,6.09,33910,20626507.635,0.67,1.13
2025-09-05,6.09,6.09,6.056,6.072,29500,17913565.348,0.56,0.98
2025-09-08,6.072,6.072,5.999,6.019,32964,19815359.131,1.2,1.1
2025-09-09,6.019,6.044,5.982,6.028,25013,15057189.985,1.03,0.83
2025-09-10,6.003,6.029,5.98,6.022,27003,16197603.668,0.81,0.9
2025-09-11,6.002,6.041,5.993,6.041,33725,20239311.375,0.8,1.12
2025-09-12,6.04,6.043,6.006,6.035,28435,17124393.464,0.61,0.95
2025-09-15,6.027,6.099,6.014,6.095,37802,22933005.454,1.41,1.26
2025-09-16,6.095,6.107,6.063,6.096,32229,19592400.601,0.72,1.07
2025-09-17,6.07,6.112,6.033,6.098,39738,24164687.407,1.3,1.32
2025-09-18,6.068,6.135,6.068,6.133,25285,15464407.772,1.1,0.84
2025-09-19,6.125,6.149,6.098,6.12,19147,11735745.18,0.83,0.64
2025-09-22,6.12,6.12,6.061,6.09,34887,21232346.37,0.96,1.16
2025-09-23,6.07,6.12,6.058,6.09,24059,14639087.714,1.02,0.8
2025-09-24,6.07,6.09,6.051,6.09,20973,12737557.003,0.64,0.7
2025-09-25,6.078,6.085,5.981,6.06,52195,31481985.033,1.71,1.74
