日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-08-16,2.225,2.286,2.217,2.275,316796,75077566.0,3.14,4.79
2024-08-19,2.278,2.278,2.23,2.255,18391,4403472.0,2.11,0.28
2024-08-20,2.248,2.278,2.225,2.242,54051,12931713.0,2.35,0.82
2024-08-21,2.226,2.234,2.189,2.204,45296,10596881.0,2.01,0.69
2024-08-22,2.195,2.212,2.188,2.209,11618,2712756.0,1.09,0.18
2024-08-23,2.207,2.211,2.195,2.21,10257,2399947.0,0.72,0.16
2024-08-26,2.211,2.211,2.204,2.21,9860,2310174.0,0.32,0.15
2024-08-27,2.23,2.23,2.197,2.203,2317,541713.0,1.49,0.04
2024-08-28,2.201,2.212,2.201,2.211,6102,1426735.0,0.5,0.09
2024-08-29,2.212,2.213,2.198,2.199,5380,1257418.0,0.68,0.08
2024-08-30,2.197,2.202,2.188,2.199,10757,2504203.0,0.64,0.16
2024-09-02,2.196,2.196,2.187,2.188,4578,1063986.0,0.41,0.07
2024-09-03,2.188,2.2,2.183,2.197,5734,1333812.0,0.78,0.09
2024-09-04,2.195,2.199,2.183,2.198,3065,712846.0,0.73,0.05
2024-09-05,2.204,2.206,2.194,2.203,3536,826468.0,0.55,0.05
2024-09-06,2.204,2.208,2.195,2.208,5374,1257575.0,0.59,0.08
2024-09-09,2.189,2.219,2.189,2.194,2767,646644.0,1.36,0.04
2024-09-10,2.196,2.211,2.195,2.199,2180,509317.0,0.73,0.03
2024-09-11,2.199,2.206,2.192,2.2,3271,764058.0,0.64,0.05
2024-09-12,2.205,2.205,2.196,2.199,1533,357913.0,0.41,0.02
2024-09-13,2.199,2.199,2.194,2.197,306,71344.0,0.23,0.0
2024-09-18,2.198,2.211,2.194,2.197,2441,570326.0,0.77,0.04
2024-09-19,2.204,2.204,2.194,2.196,2519,588203.0,0.46,0.04
2024-09-20,2.204,2.204,2.17,2.172,4189,969819.0,1.55,0.06
2024-09-23,2.167,2.177,2.152,2.168,2408,554758.0,1.15,0.04
2024-09-24,2.173,2.183,2.153,2.176,1545,356702.0,1.38,0.02
2024-09-25,2.172,2.172,2.145,2.166,3530,810684.0,1.24,0.05
2024-09-26,2.175,2.176,2.155,2.169,4205,965818.0,0.97,0.06
2024-09-27,2.157,2.165,2.15,2.155,2827,648080.0,0.69,0.04
2024-09-30,2.152,2.152,2.097,2.142,8544,1932997.0,2.55,0.13
2024-10-08,2.141,2.181,2.084,2.129,21959,4988877.0,4.53,0.33
2024-10-09,2.126,2.13,2.113,2.115,7775,1755821.0,0.8,0.12
2024-10-10,2.193,2.193,2.095,2.103,3951,888008.0,4.63,0.06
2024-10-11,2.11,2.134,2.094,2.112,4891,1095552.0,1.9,0.07
2024-10-14,2.096,2.12,2.096,2.12,2304,518449.0,1.14,0.03
2024-10-15,2.119,2.12,2.097,2.119,4942,1106695.0,1.08,0.07
2024-10-16,2.118,2.118,2.111,2.113,1290,290038.0,0.33,0.02
2024-10-17,2.101,2.116,2.096,2.102,3945,882676.0,0.95,0.06
2024-10-18,2.103,2.112,2.103,2.105,3609,808972.0,0.43,0.05
2024-10-21,2.101,2.108,2.095,2.105,3089,689931.0,0.62,0.05
2024-10-22,2.098,2.115,2.094,2.115,3374,754667.0,1.0,0.05
2024-10-23,2.12,2.12,2.108,2.114,1567,352736.0,0.57,0.02
2024-10-24,2.114,2.114,2.105,2.105,1424,319368.0,0.43,0.02
2024-10-25,2.103,2.118,2.096,2.115,2132,477313.0,1.05,0.03
2024-10-28,2.097,2.116,2.095,2.111,40673,9122214.0,0.99,0.62
2024-10-29,2.109,2.115,2.103,2.108,16836,3772453.0,0.57,0.25
2024-10-30,2.105,2.109,2.1,2.105,4258,953743.0,0.43,0.06
2024-10-31,2.105,2.108,2.092,2.093,6760,1509623.0,0.76,0.1
2024-11-01,2.093,2.1,2.091,2.097,1015,226321.0,0.43,0.02
2024-11-04,2.088,2.104,2.088,2.1,7448,1662946.0,0.76,0.11
2024-11-05,2.097,2.102,2.087,2.099,4110,916326.0,0.71,0.06
2024-11-06,2.089,2.111,2.089,2.103,7299,1629479.0,1.05,0.11
2024-11-07,2.1,2.104,2.099,2.101,3431,767821.0,0.24,0.05
2024-11-08,2.101,2.104,2.093,2.101,1415,315995.0,0.52,0.02
2024-11-11,2.104,2.104,2.094,2.103,2378,531762.0,0.48,0.04
2024-11-12,2.104,2.105,2.095,2.104,2796,625875.0,0.48,0.04
2024-11-13,2.095,2.104,2.095,2.099,2960,661687.0,0.43,0.04
2024-11-14,2.1,2.103,2.095,2.095,5674,1265972.0,0.38,0.09
2024-11-15,2.101,2.102,2.091,2.098,4974,1108998.0,0.53,0.08
2024-11-18,2.101,2.104,2.093,2.094,5324,1188275.0,0.52,0.08
2024-11-19,2.093,2.094,2.09,2.092,2710,603323.0,0.19,0.04
2024-11-20,2.094,2.098,2.09,2.091,17883,3981914.0,0.38,0.27
2024-11-21,2.094,2.095,2.089,2.09,3465,772036.0,0.29,0.05
2024-11-22,2.093,2.095,2.08,2.088,9491,2108415.0,0.72,0.14
2024-11-25,2.088,2.093,2.048,2.077,4631,1023476.0,2.16,0.07
