日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-11-05,3.16,3.293,3.16,3.175,48945,15849439.0,4.21,3.65
2024-11-06,3.167,3.17,3.161,3.164,2031,657784.0,0.28,0.15
2024-11-07,3.153,3.168,3.153,3.167,5410,1751413.0,0.47,0.4
2024-11-08,3.166,3.169,3.138,3.166,13718,4431709.0,0.98,1.02
2024-11-11,3.137,3.165,3.129,3.16,2799,905194.0,1.14,0.21
2024-11-12,3.13,3.166,3.13,3.165,12374,4003620.0,1.14,0.92
2024-11-13,3.135,3.161,3.135,3.157,661,213420.0,0.82,0.05
2024-11-14,3.13,3.16,3.13,3.159,3092,999868.0,0.95,0.23
2024-11-15,3.133,3.16,3.133,3.153,562,181569.0,0.85,0.04
2024-11-18,3.128,3.16,3.128,3.158,391,126224.0,1.01,0.03
2024-11-19,3.148,3.161,3.148,3.156,4524,1462524.0,0.41,0.34
2024-11-20,3.148,3.16,3.148,3.16,611,197267.0,0.38,0.05
2024-11-21,3.156,3.16,3.13,3.158,1388,448087.0,0.95,0.1
2024-11-22,3.128,3.156,3.128,3.156,359,115777.0,0.89,0.03
2024-11-25,3.147,3.156,3.138,3.144,327,105162.0,0.57,0.02
2024-11-26,3.13,3.16,3.13,3.147,1236,397462.0,0.95,0.09
2024-11-27,3.138,3.147,3.138,3.147,896,288354.0,0.29,0.07
2024-11-28,3.129,3.156,3.129,3.149,416,134134.0,0.86,0.03
2024-11-29,3.13,3.149,3.13,3.143,1394,447321.0,0.6,0.1
2024-12-02,3.138,3.161,3.138,3.157,5669,1831679.0,0.73,0.42
2024-12-03,3.142,3.161,3.142,3.158,1706,551339.0,0.6,0.13
2024-12-04,3.157,3.16,3.134,3.157,1056,340752.0,0.82,0.08
2024-12-05,3.15,3.164,3.149,3.16,1797,581161.0,0.48,0.13
2024-12-06,3.144,3.164,3.144,3.16,8937,2890279.0,0.63,0.67
2024-12-09,3.148,3.16,3.148,3.158,2161,698282.0,0.38,0.16
2024-12-10,3.156,3.161,3.139,3.16,7944,2569011.0,0.7,0.59
2024-12-11,3.156,3.167,3.155,3.164,6518,2110153.0,0.38,0.49
2024-12-12,3.16,3.165,3.156,3.164,11627,3762322.0,0.28,0.87
2024-12-13,3.164,3.166,3.156,3.165,5963,1929851.0,0.32,0.44
2024-12-16,3.164,3.202,3.164,3.19,24586,8010328.0,1.2,1.83
2024-12-17,3.191,3.195,3.181,3.189,1701,554926.0,0.44,0.13
2024-12-18,3.184,3.196,3.18,3.196,1404,458516.0,0.5,0.1
2024-12-19,3.16,3.196,3.16,3.174,1378,447905.0,1.13,0.1
2024-12-20,3.174,3.196,3.142,3.162,655,212224.0,1.7,0.05
2024-12-23,3.161,3.484,3.136,3.185,766,249073.0,11.01,0.06
2024-12-24,3.185,3.185,3.153,3.176,1217,394533.0,1.0,0.09
2024-12-25,3.175,3.176,3.161,3.169,895,289955.0,0.47,0.07
2024-12-26,3.169,3.196,3.162,3.196,1329,432380.0,1.07,0.1
2024-12-27,3.157,3.196,3.157,3.185,1690,551847.0,1.22,0.13
2024-12-30,3.206,3.282,3.179,3.218,16793,5518438.0,3.23,1.25
2024-12-31,3.219,3.261,3.205,3.219,20115,6632456.0,1.74,1.5
2025-01-02,3.218,3.276,3.181,3.255,25518,8475767.0,2.95,1.9
2025-01-03,3.255,3.296,3.246,3.295,40363,13546644.0,1.54,3.01
2025-01-06,3.295,3.301,3.259,3.287,15333,5156490.0,1.27,1.14
2025-01-07,3.285,3.285,3.237,3.245,11206,3718674.0,1.46,0.83
2025-01-08,3.21,3.325,3.21,3.269,20328,6797360.0,3.54,1.51
2025-01-09,3.281,3.348,3.269,3.287,28728,9696085.0,2.42,2.14
2025-01-10,3.286,3.309,3.248,3.306,21784,7349920.0,1.86,1.62
2025-01-13,3.285,3.308,3.272,3.274,6553,2211375.0,1.09,0.49
2025-01-14,3.274,3.286,3.223,3.24,10628,3532730.0,1.92,0.79
2025-01-15,3.246,3.276,3.221,3.276,1492,497606.0,1.7,0.11
2025-01-16,3.289,3.306,3.244,3.292,12362,4155048.0,1.89,0.92
2025-01-17,3.292,3.306,3.292,3.301,8242,2782427.0,0.43,0.61
2025-01-20,3.335,3.335,3.267,3.27,2843,953961.0,2.06,0.21
2025-01-21,3.269,3.301,3.269,3.286,1700,571258.0,0.98,0.13
2025-01-22,3.286,3.321,3.286,3.32,12242,4139815.0,1.07,0.91
2025-01-23,3.299,3.361,3.299,3.36,18179,6202317.0,1.87,1.35
2025-01-24,3.332,3.381,3.332,3.378,17550,6049042.0,1.46,1.31
2025-01-27,3.376,3.423,3.368,3.389,17899,6200846.0,1.63,1.33
2025-02-05,3.389,3.396,3.365,3.385,8212,2841167.0,0.91,0.61
2025-02-06,3.385,3.401,3.351,3.386,4863,1682369.0,1.48,0.36
2025-02-07,3.365,3.406,3.357,3.386,6783,2349392.0,1.45,0.51
2025-02-10,3.396,3.448,3.368,3.444,22913,8016249.0,2.36,1.71
2025-02-11,3.44,3.506,3.422,3.492,38557,13711100.0,2.44,2.87
2025-02-12,3.47,3.503,3.466,3.472,12340,4394276.0,1.06,0.92
2025-02-13,3.461,3.474,3.404,3.423,5514,1930517.0,2.02,0.41
2025-02-14,3.383,3.456,3.346,3.426,10838,3801920.0,3.21,0.81
2025-02-17,3.423,3.476,3.394,3.465,4885,1718716.0,2.39,0.36
2025-02-18,3.485,3.511,3.447,3.494,6141,2192734.0,1.85,0.46
2025-02-19,3.548,3.611,3.467,3.588,11089,4010608.0,4.12,0.83
2025-02-20,3.588,3.726,3.549,3.613,17340,6483979.0,4.93,1.29
2025-02-21,3.602,3.701,3.557,3.591,19394,7141981.0,3.99,1.44
2025-02-24,3.591,3.645,3.552,3.584,32806,11943179.0,2.59,2.44
2025-02-25,3.555,3.611,3.546,3.578,26600,9725195.0,1.81,1.98
2025-02-26,3.606,3.606,3.551,3.575,9823,3575247.0,1.54,0.73
2025-02-27,3.563,3.571,3.488,3.524,11481,4122070.0,2.32,0.86
2025-02-28,3.485,3.496,3.461,3.467,8481,3001009.0,0.99,0.63
2025-03-03,3.476,3.506,3.466,3.499,1082,385954.0,1.15,0.08
2025-03-04,3.499,3.606,3.499,3.55,8857,3218857.0,3.06,0.66
2025-03-05,3.606,3.606,3.551,3.574,24152,8820818.0,1.55,1.8
2025-03-06,3.574,3.575,3.541,3.575,6487,2360307.0,0.95,0.48
2025-03-07,3.575,3.606,3.524,3.561,15944,5806011.0,2.29,1.19
2025-03-10,3.548,3.574,3.548,3.562,2146,781173.0,0.73,0.16
2025-03-11,3.556,3.556,3.54,3.553,2213,801572.0,0.45,0.16
2025-03-12,3.539,3.558,3.471,3.512,20228,7215536.0,2.45,1.51
2025-03-13,3.505,3.537,3.474,3.497,14308,5129273.0,1.79,1.07
2025-03-14,3.497,3.519,3.492,3.497,9404,3364074.0,0.77,0.7
2025-03-17,3.497,3.854,3.496,3.557,20691,7487478.0,10.24,1.54
2025-03-18,3.546,3.593,3.546,3.589,4290,1569671.0,1.32,0.32
2025-03-19,3.591,3.726,3.586,3.593,10221,3784002.0,3.9,0.76
2025-03-20,3.593,3.626,3.55,3.576,17504,6406645.0,2.12,1.3
2025-03-21,3.559,3.566,3.535,3.556,7484,2708934.0,0.87,0.56
2025-03-24,3.555,3.575,3.541,3.568,8325,3020389.0,0.96,0.62
2025-03-25,3.572,3.638,3.557,3.617,7097,2604371.0,2.27,0.53
2025-03-26,3.606,3.64,3.577,3.638,3810,1408461.0,1.74,0.28
2025-03-27,3.657,3.69,3.619,3.626,2161,801961.0,1.95,0.16
2025-03-28,3.633,3.69,3.628,3.658,16326,6103863.0,1.71,1.22
2025-03-31,3.644,3.718,3.634,3.711,9547,3561405.0,2.3,0.71
2025-04-01,3.689,3.709,3.686,3.687,1197,451936.0,0.62,0.09
2025-04-02,3.668,3.727,3.663,3.694,8654,3274225.0,1.74,0.64
