日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-08-28,2.445,2.53,2.425,2.476,94190,24556089.0,4.5,1.78
2024-08-29,2.44,2.477,2.44,2.474,6365,1660266.0,1.49,0.12
2024-08-30,2.474,2.476,2.455,2.464,9420,2448739.0,0.85,0.18
2024-09-02,2.365,2.474,2.365,2.465,25573,6635208.0,4.42,0.48
2024-09-03,2.465,2.472,2.449,2.462,19224,4997725.0,0.93,0.36
2024-09-04,2.462,2.471,2.458,2.47,22487,5850775.0,0.53,0.43
2024-09-05,2.473,2.485,2.459,2.485,10324,2694423.0,1.05,0.2
2024-09-06,2.485,2.539,2.485,2.524,21440,5682653.0,2.17,0.41
2024-09-09,2.528,2.565,2.474,2.526,10920,2907786.0,3.61,0.21
2024-09-10,2.531,2.562,2.531,2.562,6083,1633549.0,1.23,0.12
2024-09-11,2.584,2.584,2.506,2.533,36269,9699320.0,3.04,0.69
2024-09-12,2.494,2.546,2.481,2.513,42554,11290637.0,2.57,0.81
2024-09-13,2.465,2.533,2.465,2.505,14672,3878798.0,2.71,0.28
2024-09-18,2.562,2.562,2.501,2.511,35410,9377022.0,2.44,0.67
2024-09-19,2.511,2.518,2.497,2.512,22139,5858232.0,0.84,0.42
2024-09-20,2.525,2.525,2.493,2.51,16198,4280043.0,1.27,0.31
2024-09-23,2.517,2.518,2.473,2.489,27140,7115413.0,1.79,0.51
2024-09-24,2.469,2.514,2.469,2.502,22996,6063234.0,1.81,0.44
2024-09-25,2.469,2.523,2.469,2.518,16096,4266114.0,2.16,0.3
2024-09-26,2.478,2.559,2.478,2.554,24341,6472876.0,3.22,0.46
2024-09-27,2.554,2.555,2.509,2.554,4477,1200336.0,1.8,0.08
2024-09-30,2.554,2.567,2.45,2.566,16506,4395912.0,4.58,0.31
2024-10-08,2.582,2.836,2.582,2.61,25808,7059513.0,9.9,0.49
2024-10-09,2.61,2.61,2.567,2.575,15412,4178643.0,1.65,0.29
2024-10-10,2.515,2.575,2.515,2.569,481,130069.0,2.33,0.01
2024-10-11,2.569,2.605,2.56,2.569,10517,2858541.0,1.75,0.2
2024-10-14,2.464,2.575,2.464,2.564,10653,2875162.0,4.32,0.2
2024-10-15,2.546,2.609,2.543,2.6,13166,3573355.0,2.57,0.25
2024-10-16,2.6,2.63,2.58,2.599,10739,2945533.0,1.92,0.2
2024-10-17,2.598,2.6,2.588,2.593,3991,1088636.0,0.46,0.08
2024-10-18,2.59,2.598,2.566,2.573,3110,844236.0,1.23,0.06
2024-10-21,2.597,2.597,2.574,2.574,1073,291279.0,0.89,0.02
2024-10-22,2.573,2.573,2.522,2.554,7598,2041734.0,1.98,0.14
2024-10-23,2.545,2.604,2.541,2.56,1580,425712.0,2.47,0.03
2024-10-24,2.556,2.556,2.542,2.549,1334,357616.0,0.55,0.03
2024-10-25,2.548,2.572,2.548,2.557,14345,3866386.0,0.94,0.27
2024-10-28,2.531,2.551,2.53,2.547,10420,2790972.0,0.82,0.2
2024-10-29,2.554,2.593,2.548,2.585,7413,2010850.0,1.77,0.14
2024-10-30,2.556,2.583,2.555,2.559,8362,2259376.0,1.08,0.16
2024-10-31,2.557,2.56,2.549,2.556,4591,1236245.0,0.43,0.09
2024-11-01,2.546,2.556,2.537,2.551,1068,286536.0,0.74,0.02
2024-11-04,2.565,2.565,2.543,2.552,6034,1620582.0,0.86,0.11
2024-11-05,2.604,2.604,2.531,2.55,10422,2794190.0,2.86,0.2
2024-11-06,2.55,2.553,2.533,2.543,1446,386833.0,0.78,0.03
2024-11-07,2.533,2.556,2.533,2.539,420,112429.0,0.9,0.01
2024-11-08,2.518,2.575,2.513,2.533,4385,1172176.0,2.44,0.08
2024-11-11,2.52,2.544,2.504,2.544,13897,3690552.0,1.58,0.26
2024-11-12,2.532,2.565,2.532,2.555,1822,490429.0,1.3,0.03
2024-11-13,2.55,2.568,2.546,2.557,980,263884.0,0.86,0.02
2024-11-14,2.546,2.583,2.546,2.561,10905,2939919.0,1.45,0.21
2024-11-15,2.544,2.587,2.544,2.58,476,128853.0,1.68,0.01
2024-11-18,2.544,2.584,2.544,2.568,5443,1470125.0,1.55,0.1
2024-11-19,2.528,2.575,2.528,2.574,634,171646.0,1.83,0.01
2024-11-20,2.565,2.566,2.562,2.565,5140,1387654.0,0.16,0.1
2024-11-21,2.565,2.566,2.548,2.551,7084,1906781.0,0.7,0.13
2024-11-22,2.545,2.56,2.495,2.56,3604,967838.0,2.55,0.07
