日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-06-21,2.425,2.765,2.425,2.578,350333,138462459.0,14.2,14.38
2021-06-22,2.535,2.603,2.395,2.583,96322,36672897.0,8.07,3.95
2021-06-23,2.58,2.624,2.542,2.587,41147,15998963.0,3.17,1.69
2021-06-24,2.587,2.595,2.542,2.576,30886,11942945.0,2.05,1.27
2021-06-25,2.576,2.586,2.565,2.578,22098,8560542.0,0.82,0.91
2021-06-28,2.584,2.584,2.555,2.568,24307,9408536.0,1.12,1.0
2021-06-29,2.567,2.567,2.533,2.534,19194,7387897.0,1.32,0.79
2021-06-30,2.534,2.535,2.51,2.514,16509,6308032.0,0.99,0.68
2021-07-01,2.514,2.574,2.513,2.573,15999,6140966.0,2.43,0.66
2021-07-02,2.574,2.592,2.521,2.585,12200,4699525.0,2.76,0.5
2021-07-05,2.581,2.583,2.547,2.56,12982,5014984.0,1.39,0.53
2021-07-06,2.561,2.561,2.533,2.541,11400,4383641.0,1.09,0.47
2021-07-07,2.541,2.541,2.525,2.531,10649,4082658.0,0.63,0.44
2021-07-08,2.531,2.532,2.513,2.513,15669,5993542.0,0.75,0.64
2021-07-09,2.515,2.545,2.505,2.532,15223,5823495.0,1.59,0.62
2021-07-12,2.533,2.554,2.529,2.538,16891,6494586.0,0.99,0.69
2021-07-13,2.535,2.541,2.527,2.537,9798,3762292.0,0.55,0.4
2021-07-14,2.534,2.535,2.517,2.53,6839,2617705.0,0.71,0.28
2021-07-15,2.53,2.547,2.517,2.545,10114,3880245.0,1.19,0.42
2021-07-16,2.546,2.554,2.543,2.553,15170,5846153.0,0.43,0.62
2021-07-19,2.551,2.566,2.548,2.563,16458,6364217.0,0.71,0.68
2021-07-20,2.564,2.573,2.556,2.571,10590,4099996.0,0.66,0.43
2021-07-21,2.572,2.583,2.565,2.572,6659,2580319.0,0.7,0.27
2021-07-22,2.572,2.58,2.57,2.575,6401,2483257.0,0.39,0.26
2021-07-23,2.576,2.591,2.576,2.591,8061,3137286.0,0.58,0.33
2021-07-26,2.591,2.591,2.577,2.584,12569,4884276.0,0.54,0.52
2021-07-27,2.584,2.595,2.577,2.586,15256,5937884.0,0.7,0.63
2021-07-28,2.585,2.585,2.563,2.576,8464,3285727.0,0.85,0.35
2021-07-29,2.576,2.582,2.57,2.574,8125,3153943.0,0.47,0.33
2021-07-30,2.574,2.583,2.57,2.577,7352,2853545.0,0.51,0.3
2021-08-02,2.578,2.605,2.575,2.603,13858,5395079.0,1.16,0.57
2021-08-03,2.598,2.63,2.581,2.626,11133,4363605.0,1.88,0.46
2021-08-04,2.626,2.668,2.618,2.663,14213,5631882.0,1.9,0.58
2021-08-05,2.664,2.68,2.664,2.679,10693,4254546.0,0.6,0.44
2021-08-06,2.68,2.739,2.68,2.69,23169,9287826.0,2.2,0.95
2021-08-09,2.689,2.689,2.655,2.671,10473,4155591.0,1.26,0.43
2021-08-10,2.671,2.679,2.67,2.675,7595,3023663.0,0.34,0.31
2021-08-11,2.675,2.675,2.658,2.665,8400,3337614.0,0.64,0.34
2021-08-12,2.661,2.665,2.649,2.651,9638,3817261.0,0.6,0.4
2021-08-13,2.651,2.653,2.641,2.644,6133,2423986.0,0.45,0.25
2021-08-16,2.644,2.657,2.618,2.622,11900,4682725.0,1.48,0.49
2021-08-17,2.621,2.623,2.614,2.615,6808,2670225.0,0.34,0.28
2021-08-18,2.615,2.644,2.606,2.635,6310,2481979.0,1.45,0.26
2021-08-19,2.637,2.652,2.637,2.647,7883,3113785.0,0.57,0.32
2021-08-20,2.648,2.658,2.644,2.654,8157,3228120.0,0.53,0.33
2021-08-23,2.655,2.67,2.644,2.652,9619,3807096.0,0.98,0.39
2021-08-24,2.652,2.656,2.64,2.654,8144,3221134.0,0.6,0.33
