日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2023-10-27,5.867,5.886,5.866,5.886,44416,33215593.0,0.34,2.36
2023-10-30,5.884,5.884,5.856,5.871,12161,9081153.0,0.48,0.65
2023-10-31,5.866,5.87,5.858,5.866,4368,3260180.0,0.2,0.23
2023-11-01,5.866,5.866,5.716,5.792,29087,21363228.0,2.56,1.55
2023-11-02,5.796,5.796,5.668,5.747,8844,6470692.0,2.21,0.47
2023-11-03,5.707,5.756,5.673,5.755,5380,3933856.0,1.44,0.29
2023-11-06,5.715,5.715,5.68,5.701,3973,2898233.0,0.61,0.21
2023-11-07,5.701,5.701,5.597,5.61,2345,1692060.0,1.82,0.12
2023-11-08,5.616,5.616,5.536,5.605,3858,2770980.0,1.43,0.21
2023-11-09,5.596,5.596,5.546,5.579,1973,1418636.0,0.89,0.11
2023-11-10,5.575,5.575,5.543,5.544,1944,1390867.0,0.57,0.1
2023-11-13,5.541,5.565,5.516,5.547,1037,741694.0,0.88,0.06
2023-11-14,5.546,5.558,5.546,5.558,1244,890232.0,0.22,0.07
2023-11-15,5.558,5.558,5.488,5.506,2534,1805247.0,1.26,0.13
2023-11-16,5.506,5.506,5.467,5.467,1857,1318395.0,0.71,0.1
2023-11-17,5.464,5.464,5.376,5.41,3807,2667818.0,1.61,0.2
2023-11-20,5.371,5.371,5.286,5.295,2881,2004307.0,1.57,0.15
2023-11-21,5.293,5.293,5.146,5.196,5048,3431157.0,2.78,0.27
2023-11-22,5.166,5.166,5.098,5.112,1942,1303242.0,1.31,0.1
2023-11-23,5.112,5.112,4.926,5.002,5825,3843104.0,3.64,0.31
2023-11-24,4.986,4.986,4.856,4.879,3936,2558343.0,2.6,0.21
2023-11-27,4.846,4.846,4.692,4.743,2835,1800612.0,3.16,0.15
2023-11-28,4.703,4.896,4.703,4.896,2399,1549346.0,4.07,0.13
2023-11-29,4.896,4.925,4.896,4.925,2888,1882073.0,0.59,0.15
2023-11-30,4.925,4.925,4.872,4.896,2386,1547855.0,1.08,0.13
2023-12-01,4.866,4.876,4.858,4.872,1906,1234821.0,0.37,0.1
2023-12-04,4.873,4.945,4.873,4.884,2453,1590753.0,1.48,0.13
2023-12-05,4.89,4.925,4.796,4.826,2981,1933660.0,2.64,0.16
2023-12-06,4.796,4.816,4.777,4.784,1652,1056292.0,0.81,0.09
2023-12-07,4.783,4.783,4.776,4.779,1761,1124188.0,0.15,0.09
2023-12-08,4.78,4.781,4.726,4.751,1750,1108458.0,1.15,0.09
2023-12-11,4.751,4.986,4.751,4.986,3208,2055953.0,4.95,0.17
2023-12-12,4.946,4.995,4.716,4.974,5495,3572057.0,5.6,0.29
2023-12-13,4.922,4.986,4.725,4.986,6541,4267019.0,5.25,0.35
2023-12-14,4.946,5.006,4.946,5.006,2040,1343837.0,1.2,0.11
2023-12-15,4.969,5.046,4.969,5.046,1527,1010584.0,1.54,0.08
2023-12-18,5.018,5.186,5.018,5.121,1996,1353977.0,3.33,0.11
2023-12-19,5.096,5.215,5.096,5.208,2357,1605349.0,2.32,0.13
2023-12-20,5.174,5.268,5.174,5.264,1539,1057252.0,1.8,0.08
2023-12-21,5.286,5.423,5.286,5.396,4065,2830865.0,2.6,0.22
2023-12-22,5.397,5.502,5.315,5.486,6655,4680830.0,3.47,0.35
2023-12-25,5.484,5.523,5.446,5.516,3792,2684491.0,1.4,0.2
2023-12-26,5.692,5.692,5.32,5.497,3175,2061271.0,6.74,0.17
2023-12-27,5.485,5.485,5.357,5.426,1050,676618.0,2.33,0.06
2023-12-28,5.425,5.45,5.365,5.427,2266,1461510.0,1.57,0.12
2023-12-29,5.427,5.505,5.387,5.501,3239,2089587.0,2.17,0.17
2024-01-02,5.475,5.475,5.425,5.425,3335,2156033.0,0.91,0.18
2024-01-03,5.416,5.416,5.291,5.297,2956,1889836.0,2.3,0.16
2024-01-04,5.297,5.297,5.176,5.226,1579,985743.0,2.28,0.08
2024-01-05,5.226,5.235,5.195,5.214,1498,934938.0,0.77,0.08
2024-01-08,5.214,5.275,5.214,5.257,2121,1334343.0,1.17,0.11
2024-01-09,5.257,5.316,5.236,5.315,921,581940.0,1.52,0.05
2024-01-10,5.315,5.42,5.315,5.42,3914,2513805.0,1.98,0.21
2024-01-11,5.42,5.614,5.42,5.61,3419,2244130.0,3.58,0.18
2024-01-12,5.625,5.687,5.501,5.516,1812,1196956.0,3.32,0.1
2024-01-15,5.505,5.505,5.325,5.472,2523,1620907.0,3.26,0.13
2024-01-16,5.453,5.475,5.375,5.438,3099,2000070.0,1.83,0.16
2024-01-17,5.452,5.575,5.423,5.558,2128,1385712.0,2.8,0.11
2024-01-18,5.569,5.569,5.395,5.459,1830,1193059.0,3.13,0.1
2024-01-19,5.419,5.451,5.396,5.402,1449,934228.0,1.01,0.08
2024-01-22,5.387,5.409,5.385,5.403,994,638201.0,0.44,0.05
2024-01-23,5.375,5.375,5.343,5.368,477,304821.0,0.59,0.03
2024-01-24,5.365,5.373,5.278,5.372,754,479343.0,1.77,0.04
2024-01-25,5.351,5.385,5.332,5.384,1487,951403.0,0.99,0.08
2024-01-26,5.394,5.399,5.385,5.395,884,567332.0,0.26,0.05
2024-01-29,5.395,5.525,5.395,5.519,3073,1990330.0,2.41,0.16
2024-01-30,5.499,5.523,5.499,5.523,1154,754106.0,0.43,0.06
2024-01-31,5.524,5.64,5.483,5.619,5619,3690016.0,2.84,0.3
2024-02-01,5.579,5.678,5.579,5.65,5795,3854711.0,1.76,0.31
2024-02-02,5.644,5.716,5.64,5.662,5157,3450169.0,1.35,0.27
2024-02-05,5.622,5.712,5.622,5.662,2544,1704028.0,1.59,0.14
2024-02-06,5.66,5.684,5.631,5.631,2256,1507610.0,0.94,0.12
2024-02-07,5.631,5.722,5.518,5.653,6735,4461347.0,3.62,0.36
2024-02-08,5.653,5.725,5.645,5.681,2097,1403400.0,1.42,0.11
2024-02-19,5.69,5.835,5.679,5.825,2299,1552603.0,2.75,0.12
2024-02-20,5.835,5.893,5.785,5.863,3842,2650158.0,1.85,0.2
2024-02-21,5.863,5.9,5.845,5.864,5891,4065249.0,0.94,0.31
2024-02-22,5.849,5.954,5.849,5.916,8625,5975150.0,1.79,0.46
2024-02-23,5.916,5.941,5.855,5.905,8827,6118845.0,1.45,0.47
2024-02-26,5.878,6.098,5.878,5.942,17502,12235251.0,3.73,0.93
2024-02-27,5.94,5.94,5.914,5.92,7340,5097644.0,0.44,0.39
2024-02-28,5.88,5.918,5.845,5.893,8488,5871799.0,1.23,0.45
2024-02-29,5.879,5.936,5.853,5.904,7822,5415835.0,1.41,0.42
2024-03-01,5.954,5.973,5.877,5.923,10861,7554050.0,1.63,0.58
2024-03-04,5.889,6.075,5.889,6.032,14058,9872715.0,3.14,0.75
2024-03-05,6.018,6.205,6.018,6.125,17385,12464217.0,3.1,0.93
2024-03-06,6.101,6.225,6.089,6.133,16403,11787621.0,2.22,0.87
2024-03-07,6.133,6.175,6.066,6.137,11349,8101442.0,1.78,0.6
2024-03-08,6.16,6.225,6.075,6.125,17998,12863349.0,2.44,0.96
2024-03-11,6.118,6.213,6.052,6.124,17514,12524237.0,2.63,0.93
2024-03-12,6.124,6.175,6.055,6.078,17499,12429310.0,1.96,0.93
2024-03-13,6.055,6.147,5.996,6.032,16115,11421221.0,2.48,0.86
2024-03-14,6.016,6.15,5.956,6.116,18770,13283602.0,3.22,1.0
2024-03-15,6.116,6.163,6.057,6.075,15873,11271550.0,1.73,0.84
2024-03-18,6.091,6.141,6.015,6.076,16799,11926371.0,2.07,0.89
2024-03-19,6.076,6.112,6.009,6.044,14252,10077753.0,1.7,0.76
2024-03-20,6.044,6.058,5.965,6.004,16126,11349527.0,1.54,0.86
2024-03-21,5.975,6.029,5.875,5.889,14368,10016722.0,2.56,0.76
2024-03-22,5.88,5.942,5.835,5.87,12294,8489140.0,1.82,0.65
