日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-07-08,6.526,6.533,6.461,6.489,234288,224989050.0,1.11,7.82
2022-07-11,6.494,6.494,6.468,6.482,45363,43551495.0,0.4,1.51
2022-07-12,6.481,6.499,6.471,6.495,34740,33376915.0,0.43,1.16
2022-07-13,6.497,6.498,6.484,6.492,18249,17546141.0,0.22,0.61
2022-07-14,6.492,6.493,6.47,6.476,25903,24880978.0,0.35,0.86
2022-07-15,6.476,6.48,6.471,6.479,16991,16312521.0,0.14,0.57
2022-07-18,6.479,6.481,6.472,6.478,14071,13509742.0,0.14,0.47
2022-07-19,6.478,6.479,6.472,6.477,11527,11067155.0,0.11,0.38
2022-07-20,6.477,6.484,6.474,6.481,18631,17889035.0,0.15,0.62
2022-07-21,6.481,6.506,6.476,6.49,23916,22991391.0,0.46,0.8
2022-07-22,6.49,6.51,6.479,6.505,34770,33473640.0,0.48,1.16
2022-07-25,6.505,6.512,6.487,6.502,26594,25599969.0,0.38,0.89
2022-07-26,6.5,6.51,6.491,6.504,28010,26956427.0,0.29,0.94
2022-07-27,6.504,6.507,6.499,6.503,12967,12483429.0,0.12,0.43
2022-07-28,6.503,6.505,6.496,6.504,16948,16313565.0,0.14,0.57
2022-07-29,6.504,6.51,6.494,6.506,25522,24579536.0,0.25,0.85
2022-08-01,6.507,6.507,6.497,6.502,22900,22041104.0,0.15,0.76
2022-08-02,6.502,6.502,6.473,6.495,19616,18851046.0,0.45,0.65
2022-08-03,6.491,6.491,6.482,6.488,14971,14391977.0,0.14,0.5
2022-08-04,6.489,6.491,6.477,6.491,14556,13986322.0,0.22,0.49
2022-08-05,6.482,6.501,6.482,6.492,20859,20058499.0,0.29,0.7
2022-08-08,6.495,6.495,6.485,6.49,10390,9989950.0,0.15,0.35
2022-08-09,6.491,6.495,6.483,6.485,13475,12949055.0,0.18,0.45
2022-08-10,6.484,6.558,6.481,6.494,17131,16494556.0,1.19,0.57
2022-08-11,6.493,6.515,6.488,6.493,18502,17794039.0,0.42,0.62
2022-08-12,6.493,6.514,6.488,6.507,37543,36156546.0,0.4,1.25
2022-08-15,6.507,6.566,6.501,6.556,41065,39712921.0,1.0,1.37
2022-08-16,6.548,6.557,6.532,6.541,33423,32319564.0,0.38,1.12
2022-08-17,6.544,6.613,6.541,6.59,40021,38831297.0,1.1,1.34
2022-08-18,6.589,6.665,6.561,6.658,33017,32208128.0,1.58,1.1
2022-08-19,6.675,6.875,6.675,6.823,52757,52398767.0,3.0,1.76
2022-08-22,6.831,6.9,6.735,6.738,36019,35892024.0,2.42,1.2
2022-08-23,6.738,6.758,6.679,6.737,41493,40872463.0,1.17,1.39
2022-08-24,6.729,6.796,6.684,6.748,26006,25630931.0,1.66,0.87
2022-08-25,6.736,6.876,6.689,6.875,30355,30116623.0,2.77,1.01
2022-08-26,6.872,6.927,6.791,6.904,32678,32691665.0,1.98,1.09
2022-08-29,6.875,6.907,6.842,6.886,25956,25953428.0,0.94,0.87
2022-08-30,6.882,6.941,6.845,6.934,18407,18491025.0,1.39,0.61
2022-08-31,6.933,7.045,6.896,7.043,38735,39089739.0,2.15,1.29
2022-09-01,7.033,7.033,6.921,6.998,27595,27819901.0,1.59,0.92
2022-09-02,6.915,7.016,6.915,7.011,26348,26580616.0,1.44,0.88
2022-09-05,7.004,7.011,6.946,6.955,18566,18735659.0,0.93,0.62
2022-09-06,6.949,6.988,6.926,6.987,14082,14199140.0,0.89,0.47
2022-09-07,6.987,7.04,6.932,7.033,20090,20366857.0,1.55,0.67
2022-09-08,7.034,7.085,7.034,7.082,21518,21934530.0,0.73,0.72
2022-09-09,7.082,7.093,7.036,7.073,23426,23870108.0,0.8,0.78
2022-09-13,7.073,7.073,6.989,7.007,17420,17679260.0,1.19,0.58
2022-09-14,7.005,7.005,6.975,6.983,25025,25300440.0,0.43,0.84
2022-09-15,6.975,6.975,6.92,6.923,17942,18057491.0,0.79,0.6
2022-09-16,6.918,6.918,6.811,6.843,22848,22868896.0,1.55,0.76
2022-09-19,6.843,6.936,6.843,6.871,20238,20240118.0,1.36,0.68
2022-09-20,6.871,6.919,6.841,6.914,15529,15566811.0,1.14,0.52
2022-09-21,6.974,6.974,6.882,6.915,15412,15454579.0,1.33,0.51
2022-09-22,6.914,6.956,6.87,6.949,22821,22950002.0,1.24,0.76
2022-09-23,6.949,6.952,6.827,6.854,47549,47537755.0,1.8,1.59
2022-09-26,6.844,6.845,6.718,6.768,36443,35972388.0,1.85,1.22
2022-09-27,6.765,6.861,6.642,6.853,25302,25027631.0,3.24,0.84
2022-09-28,6.853,6.927,6.806,6.884,30670,30643817.0,1.77,1.02
2022-09-29,6.874,6.874,6.797,6.824,38221,38062610.0,1.12,1.28
2022-09-30,6.824,6.833,6.781,6.793,26242,26046641.0,0.76,0.88
2022-10-10,6.794,6.815,6.736,6.773,28372,28122684.0,1.16,0.95
2022-10-11,6.773,6.773,6.72,6.731,16629,16385563.0,0.78,0.56
2022-10-12,6.726,6.78,6.628,6.746,23578,23152565.0,2.26,0.79
2022-10-13,6.745,6.806,6.647,6.804,20441,20156081.0,2.36,0.68
2022-10-14,6.806,6.831,6.707,6.823,13698,13582808.0,1.82,0.46
2022-10-17,6.823,6.831,6.784,6.816,19087,18960365.0,0.69,0.64
2022-10-18,6.806,6.831,6.757,6.822,19888,19764053.0,1.09,0.66
2022-10-19,6.822,6.822,6.747,6.792,27725,27470684.0,1.1,0.93
2022-10-20,6.786,6.789,6.657,6.735,28397,27982512.0,1.94,0.95
2022-10-21,6.736,6.736,6.666,6.698,25837,25376682.0,1.04,0.86
2022-10-24,6.697,6.697,6.52,6.588,32418,31509738.0,2.64,1.08
2022-10-25,6.588,6.675,6.527,6.58,29382,28438758.0,2.25,0.98
2022-10-26,6.576,6.579,6.533,6.566,23677,22930257.0,0.7,0.79
2022-10-27,6.566,6.572,6.542,6.567,13439,13017819.0,0.46,0.45
2022-10-28,6.566,6.57,6.486,6.558,26772,25834328.0,1.28,0.89
2022-10-31,6.557,6.557,6.488,6.507,17176,16542221.0,1.05,0.57
2022-11-01,6.558,6.565,6.466,6.565,16450,15877918.0,1.52,0.55
2022-11-02,6.559,6.694,6.544,6.671,22622,22020393.0,2.28,0.76
2022-11-03,6.664,6.757,6.648,6.74,20032,19742984.0,1.63,0.67
2022-11-04,6.728,6.79,6.701,6.767,19674,19436187.0,1.32,0.66
2022-11-07,6.763,6.763,6.57,6.689,23234,22770461.0,2.85,0.78
