日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-11-22,8.499,8.499,7.806,8.159,143180,147672881.0,8.01,3.36
2022-11-23,7.969,7.984,7.819,7.912,39483,40034438.0,2.02,0.93
2022-11-24,7.889,8.068,7.859,7.984,26009,26596405.0,2.64,0.61
2022-11-25,7.982,8.048,7.969,8.016,20848,21360485.0,0.99,0.49
2022-11-28,8.019,8.034,7.941,8.008,26960,27550686.0,1.16,0.63
2022-11-29,7.999,8.026,7.97,7.997,15965,16350625.0,0.7,0.37
2022-11-30,7.996,8.005,7.979,7.997,15462,15815887.0,0.33,0.36
2022-12-01,7.995,8.014,7.98,8.01,28726,29406774.0,0.43,0.67
2022-12-02,8.059,8.059,8.019,8.027,13295,13638517.0,0.5,0.31
2022-12-05,8.028,8.178,8.028,8.174,16295,16897229.0,1.87,0.38
2022-12-06,8.176,8.376,8.175,8.369,34275,36102851.0,2.46,0.8
2022-12-07,8.374,8.414,8.316,8.329,18589,19657417.0,1.17,0.44
2022-12-08,8.329,8.372,8.327,8.364,12740,13484931.0,0.54,0.3
2022-12-09,8.365,8.384,8.359,8.371,13791,14630341.0,0.3,0.32
2022-12-12,8.379,8.388,8.369,8.373,17189,18239424.0,0.23,0.4
2022-12-13,8.373,8.373,8.199,8.201,23449,24600373.0,2.08,0.55
2022-12-14,8.159,8.166,8.1,8.16,14228,14771635.0,0.8,0.33
2022-12-15,8.161,8.19,8.149,8.157,15855,16496995.0,0.5,0.37
2022-12-16,8.161,8.245,8.139,8.144,17014,17673846.0,1.3,0.4
2022-12-19,8.161,8.161,8.119,8.133,12278,12726412.0,0.52,0.29
2022-12-20,8.161,8.161,8.03,8.055,9377,9654300.0,1.61,0.22
2022-12-21,8.088,8.088,8.031,8.033,12754,13103798.0,0.71,0.3
2022-12-22,8.063,8.063,8.031,8.047,11316,11627681.0,0.4,0.27
2022-12-23,8.083,8.083,8.029,8.065,20740,21331234.0,0.67,0.49
2022-12-26,8.093,8.099,8.078,8.091,6243,6444074.0,0.26,0.15
2022-12-27,8.091,8.118,8.029,8.117,9211,9511780.0,1.1,0.22
2022-12-28,8.118,8.169,8.1,8.134,4931,5105696.0,0.85,0.12
2022-12-29,8.139,8.165,8.101,8.165,6548,6793284.0,0.79,0.15
2022-12-30,8.166,8.269,8.142,8.268,5928,6189673.0,1.56,0.14
2023-01-03,8.268,8.269,8.251,8.255,8133,8531555.0,0.22,0.19
2023-01-04,8.255,8.255,8.094,8.237,14512,15194530.0,1.95,0.34
2023-01-05,8.126,8.239,8.126,8.237,13845,14486417.0,1.37,0.32
2023-01-06,8.237,8.286,8.174,8.285,17834,18714353.0,1.36,0.42
2023-01-09,8.285,8.285,8.187,8.269,9653,10137761.0,1.18,0.23
2023-01-10,8.269,8.294,8.205,8.284,13156,13812349.0,1.08,0.31
2023-01-11,8.284,8.284,8.237,8.258,13317,13961708.0,0.57,0.31
2023-01-12,8.257,8.26,8.21,8.259,8843,9269558.0,0.61,0.21
2023-01-13,8.259,8.259,8.225,8.23,6741,7056712.0,0.41,0.16
2023-01-16,8.233,8.239,8.202,8.205,9377,9801759.0,0.45,0.22
2023-01-17,8.191,8.202,8.119,8.147,12781,13296242.0,1.01,0.3
2023-01-18,8.149,8.178,8.108,8.15,10134,10516046.0,0.86,0.24
2023-01-19,8.15,8.15,8.12,8.129,11779,12203982.0,0.37,0.28
2023-01-20,8.129,8.151,8.129,8.136,11532,11955501.0,0.27,0.27
2023-01-30,8.136,8.187,8.136,8.177,12252,12739892.0,0.63,0.29
2023-01-31,8.177,8.307,8.177,8.274,20505,21462946.0,1.59,0.48
2023-02-01,8.274,8.284,8.235,8.235,15401,16147571.0,0.59,0.36
