日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-11,2.48,2.48,2.381,2.472,52992,13500948.0,4.01,6.65
2024-12-12,2.473,2.522,2.453,2.501,24888,6420553.0,2.79,3.12
2024-12-13,2.491,2.517,2.471,2.51,24093,6210355.0,1.84,3.02
2024-12-16,2.501,2.571,2.501,2.54,85996,22402284.0,2.79,10.79
2024-12-17,2.532,2.57,2.532,2.542,18185,4767840.0,1.5,2.28
2024-12-18,2.542,2.568,2.526,2.53,21781,5721876.0,1.65,2.73
2024-12-19,2.521,2.56,2.421,2.531,22772,5904860.0,5.49,2.86
2024-12-20,2.524,2.539,2.493,2.529,11605,3026712.0,1.82,1.46
2024-12-23,2.483,2.781,2.483,2.563,8129,2114200.0,11.78,1.02
2024-12-24,2.551,2.616,2.519,2.541,6884,1802519.0,3.78,0.86
2024-12-25,2.54,2.559,2.502,2.521,1791,465856.0,2.24,0.22
2024-12-26,2.519,2.538,2.503,2.527,4727,1231725.0,1.39,0.59
2024-12-27,2.53,2.551,2.511,2.55,13570,3550783.0,1.58,1.7
2024-12-30,2.523,2.571,2.523,2.559,11966,3142283.0,1.88,1.5
2024-12-31,2.571,2.641,2.523,2.621,9957,2656110.0,4.61,1.25
2025-01-02,2.633,2.67,2.621,2.647,14154,3847057.0,1.87,1.78
2025-01-03,2.626,2.809,2.626,2.761,33037,9303249.0,6.91,4.14
2025-01-06,2.761,2.801,2.701,2.791,22961,6573315.0,3.62,2.88
2025-01-07,2.791,2.809,2.734,2.78,5381,1526729.0,2.69,0.68
2025-01-08,2.779,2.809,2.752,2.795,3836,1101916.0,2.05,0.48
2025-01-09,2.794,2.951,2.766,2.839,9282,2709844.0,6.62,1.16
2025-01-10,2.839,2.884,2.807,2.878,23696,6964948.0,2.71,2.97
2025-01-13,2.848,2.967,2.848,2.882,6109,1814960.0,4.13,0.77
2025-01-14,2.881,2.921,2.865,2.895,30735,9129064.0,1.94,3.86
2025-01-15,2.94,2.94,2.851,2.9,1269,377110.0,3.07,0.16
2025-01-16,2.939,2.939,2.853,2.881,8101,2396412.0,2.97,1.02
2025-01-17,2.921,2.921,2.871,2.882,3123,924471.0,1.74,0.39
2025-01-20,2.92,2.92,2.832,2.883,6733,1982898.0,3.05,0.84
2025-01-21,2.868,2.901,2.853,2.888,10073,2981601.0,1.66,1.26
2025-01-22,2.873,2.892,2.865,2.891,2443,723667.0,0.93,0.31
2025-01-23,2.881,2.901,2.871,2.891,4299,1273134.0,1.04,0.54
2025-01-24,2.89,2.921,2.887,2.902,1730,515298.0,1.18,0.22
2025-01-27,2.887,3.121,2.887,2.948,6287,1895698.0,8.06,0.79
2025-02-05,2.948,3.021,2.731,2.966,12042,3568153.0,9.84,1.51
2025-02-06,2.965,2.965,2.905,2.937,15152,4568563.0,2.02,1.9
2025-02-07,2.921,2.955,2.907,2.918,8743,2622731.0,1.63,1.1
2025-02-10,2.918,2.993,2.917,2.946,8625,2594322.0,2.6,1.08
2025-02-11,2.945,3.112,2.945,3.091,29077,9083478.0,5.67,3.65
2025-02-12,3.081,3.121,3.044,3.089,29683,9387067.0,2.49,3.72
2025-02-13,3.089,3.12,3.026,3.081,8283,2615729.0,3.04,1.04
2025-02-14,3.111,3.171,3.051,3.081,10123,3198241.0,3.89,1.27
2025-02-17,3.081,3.321,3.062,3.095,12032,3819651.0,8.41,1.51
2025-02-18,3.096,3.103,3.063,3.098,9358,2960901.0,1.29,1.17
2025-02-19,3.083,3.17,3.076,3.166,26488,8426041.0,3.03,3.32
2025-02-20,3.191,3.221,3.117,3.21,7580,2464037.0,3.28,0.95
2025-02-21,3.181,3.307,3.168,3.274,15744,5203633.0,4.33,1.98
2025-02-24,3.316,3.316,3.207,3.226,13617,4514473.0,3.33,1.71
2025-02-25,3.224,3.257,3.136,3.17,23913,7809577.0,3.75,3.0
2025-02-26,3.187,3.187,3.111,3.163,17435,5606702.0,2.4,2.19
2025-02-27,3.147,3.178,3.074,3.109,13697,4361697.0,3.29,1.72
2025-02-28,3.105,3.105,3.039,3.07,17445,5466687.0,2.12,2.19
2025-03-03,3.074,3.164,3.073,3.139,23626,7520756.0,2.96,2.96
2025-03-04,3.145,3.19,3.11,3.139,25640,8275411.0,2.55,3.22
2025-03-05,3.149,3.149,3.101,3.136,7211,2305088.0,1.53,0.9
2025-03-06,3.142,3.15,3.076,3.099,16586,5286135.0,2.36,2.08
2025-03-07,3.067,3.097,3.043,3.089,8811,2773621.0,1.74,1.11
2025-03-10,3.081,3.11,3.07,3.093,2509,795536.0,1.29,0.31
2025-03-11,3.125,3.151,3.084,3.091,379,120371.0,2.17,0.05
2025-03-12,3.092,3.113,3.036,3.056,8595,2714724.0,2.49,1.08
2025-03-13,3.053,3.081,3.04,3.041,764,239233.0,1.34,0.1
2025-03-14,3.011,3.066,3.011,3.055,6067,1894315.0,1.81,0.76
2025-03-17,3.024,3.125,3.024,3.066,9173,2899049.0,3.31,1.15
2025-03-18,3.044,3.096,3.044,3.058,1257,395343.0,1.7,0.16
2025-03-19,3.069,3.069,3.051,3.06,571,178981.0,0.59,0.07
2025-03-20,3.06,3.111,3.059,3.088,8512,2683956.0,1.7,1.07
2025-03-21,3.088,3.109,3.056,3.076,1512,477091.0,1.72,0.19
2025-03-24,3.06,3.202,3.06,3.073,1617,509036.0,4.62,0.2
2025-03-25,3.061,3.104,3.061,3.08,6224,1964808.0,1.4,0.78
2025-03-26,3.071,3.111,3.071,3.085,1191,376695.0,1.3,0.15
2025-03-27,3.085,3.141,3.085,3.098,9607,3064979.0,1.82,1.21
2025-03-28,3.093,3.171,3.093,3.169,7230,2314408.0,2.52,0.91
2025-03-31,3.146,3.218,3.105,3.116,15086,4849635.0,3.57,1.89
2025-04-01,3.111,3.128,3.081,3.094,2323,738823.0,1.51,0.29
2025-04-02,3.089,3.146,3.084,3.14,2911,929563.0,2.0,0.37
2025-04-03,3.129,3.233,3.129,3.227,2386,777500.0,3.31,0.3
2025-04-07,3.216,3.237,3.121,3.164,2586,837272.0,3.59,0.32
2025-04-08,3.139,3.177,3.137,3.149,1944,629288.0,1.26,0.24
2025-04-09,3.139,3.239,3.106,3.112,3229,1035193.0,4.22,0.41
2025-04-10,3.106,3.172,3.095,3.11,4296,1382172.0,2.47,0.54
2025-04-11,3.106,3.126,3.089,3.107,2295,729159.0,1.19,0.29
2025-04-14,3.095,3.119,3.095,3.112,863,274993.0,0.77,0.11
2025-04-15,3.101,3.128,3.101,3.116,1249,398792.0,0.87,0.16
2025-04-16,3.116,3.137,3.116,3.117,1937,619863.0,0.67,0.24
