日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-07-23,6.325,6.325,5.946,5.97,69681,50402390.0,7.24,4.36
2024-07-24,5.967,6.025,5.755,5.999,22547,15921165.0,4.52,1.41
2024-07-25,5.991,6.0,5.94,5.981,9989,7153246.0,1.0,0.62
2024-07-26,5.965,5.98,5.86,5.906,30389,21498107.0,2.01,1.9
2024-07-29,5.894,5.97,5.834,5.912,16730,11851246.0,2.3,1.05
2024-07-30,5.881,5.97,5.881,5.94,8512,6046024.0,1.51,0.53
2024-07-31,5.97,5.97,5.905,5.941,3449,2455712.0,1.09,0.22
2024-08-01,5.942,6.015,5.942,6.011,11962,8571860.0,1.23,0.75
2024-08-02,5.996,6.065,5.945,6.056,7969,5747666.0,2.0,0.5
2024-08-05,6.047,6.221,6.047,6.213,8108,5958677.0,2.87,0.51
2024-08-06,6.18,6.325,6.18,6.318,5228,3906098.0,2.33,0.33
2024-08-07,6.318,6.493,6.318,6.478,13887,10555910.0,2.77,0.87
2024-08-08,6.515,6.515,6.402,6.451,21036,16066952.0,1.74,1.31
2024-08-09,6.437,6.476,6.385,6.473,7536,5732109.0,1.41,0.47
2024-08-12,6.445,6.505,6.431,6.466,4669,3565982.0,1.14,0.29
2024-08-13,6.432,6.52,6.398,6.444,18625,14187303.0,1.89,1.16
2024-08-14,6.445,6.465,6.418,6.465,4598,3503911.0,0.73,0.29
2024-08-15,6.46,6.464,6.403,6.414,5469,4160946.0,0.94,0.34
2024-08-16,6.381,6.447,6.381,6.423,2101,1598171.0,1.03,0.13
2024-08-19,6.449,6.453,6.363,6.415,5192,3932710.0,1.4,0.32
2024-08-20,6.42,6.424,6.365,6.41,3488,2640166.0,0.92,0.22
2024-08-21,6.41,6.441,6.382,6.416,1668,1264959.0,0.92,0.1
2024-08-22,6.418,6.465,6.399,6.425,2222,1690032.0,1.03,0.14
2024-08-23,6.485,6.51,6.415,6.424,3604,2738138.0,1.48,0.23
2024-08-26,6.444,6.444,6.375,6.418,4028,3052768.0,1.07,0.25
2024-08-27,6.413,6.47,6.385,6.439,2696,2046843.0,1.32,0.17
2024-08-28,6.439,6.446,6.376,6.438,3852,2925946.0,1.09,0.24
2024-08-29,6.475,6.475,6.355,6.42,10466,7932785.0,1.86,0.65
2024-08-30,6.42,6.445,6.42,6.443,1599,1217381.0,0.39,0.1
2024-09-02,6.475,6.475,6.43,6.446,3011,2294233.0,0.7,0.19
2024-09-03,6.435,6.475,6.387,6.438,3970,3018366.0,1.37,0.25
2024-09-04,6.342,6.472,6.342,6.47,4934,3737672.0,2.02,0.31
2024-09-05,6.465,6.564,6.434,6.514,5885,4511210.0,2.01,0.37
2024-09-06,6.516,6.553,6.503,6.552,3612,2781225.0,0.77,0.23
2024-09-09,6.552,6.625,6.542,6.553,1587,1227423.0,1.27,0.1
2024-09-10,6.595,6.595,6.525,6.582,2709,2093988.0,1.07,0.17
2024-09-11,6.584,6.613,6.552,6.574,916,709892.0,0.93,0.06
2024-09-12,6.595,6.596,6.496,6.505,1718,1325853.0,1.52,0.11
2024-09-13,6.524,6.596,6.479,6.595,5715,4409233.0,1.8,0.36
2024-09-18,6.75,6.75,6.556,6.604,1579,1229408.0,2.94,0.1
2024-09-19,6.604,6.634,6.49,6.504,6469,4996230.0,2.18,0.4
2024-09-20,6.506,6.564,6.475,6.504,1088,835115.0,1.37,0.07
2024-09-23,6.525,6.525,6.43,6.485,598,457906.0,1.46,0.04
2024-09-24,6.585,6.585,6.325,6.484,1652,1257237.0,4.01,0.1
2024-09-25,6.559,6.559,6.4,6.501,1520,1166980.0,2.45,0.1
2024-09-26,6.461,6.525,6.437,6.498,1534,1176722.0,1.35,0.1
2024-09-27,6.491,6.498,6.466,6.49,1169,896540.0,0.49,0.07
2024-09-30,6.452,6.47,6.042,6.47,2324,1764690.0,6.59,0.15
2024-10-08,6.457,6.457,6.196,6.405,2757,2088900.0,4.03,0.17
2024-10-09,6.198,6.405,6.198,6.371,1648,1239193.0,3.23,0.1
2024-10-10,6.325,6.385,6.275,6.345,1662,1246170.0,1.73,0.1
2024-10-11,6.196,6.512,6.196,6.364,2819,2123608.0,4.98,0.18
2024-10-14,6.343,6.385,6.32,6.375,3452,2598021.0,1.02,0.22
2024-10-15,6.405,6.417,6.328,6.409,3206,2424441.0,1.4,0.2
2024-10-16,6.376,6.465,6.348,6.449,4341,3290750.0,1.83,0.27
2024-10-17,6.445,6.577,6.429,6.494,4401,3370852.0,2.29,0.28
2024-10-18,6.575,6.575,6.43,6.505,3618,2770812.0,2.23,0.23
2024-10-21,6.504,6.523,6.44,6.483,2383,1825196.0,1.28,0.15
2024-10-22,6.482,6.524,6.453,6.499,4319,3308743.0,1.1,0.27
2024-10-23,6.505,6.505,6.466,6.496,1872,1435736.0,0.6,0.12
2024-10-24,6.505,6.519,6.401,6.472,3502,2678584.0,1.82,0.22
2024-10-25,6.49,6.49,6.395,6.42,2458,1872627.0,1.47,0.15
2024-10-28,6.38,6.518,6.048,6.404,7658,5792194.0,7.32,0.48
2024-10-29,6.444,6.444,6.346,6.348,2165,1631703.0,1.53,0.14
2024-10-30,6.405,6.405,6.305,6.334,1854,1393569.0,1.58,0.12
2024-10-31,6.483,6.483,6.13,6.32,5035,3777309.0,5.57,0.31
2024-11-01,6.375,6.418,6.28,6.326,3982,2988804.0,2.18,0.25
2024-11-04,6.483,6.483,6.286,6.379,5052,3797775.0,3.11,0.32
2024-11-05,6.475,6.475,6.376,6.443,2407,1831179.0,1.55,0.15
2024-11-06,6.442,6.483,6.437,6.44,181,137872.0,0.71,0.01
2024-11-07,6.44,6.493,6.401,6.443,691,525424.0,1.43,0.04
2024-11-08,6.474,6.474,6.403,6.438,594,452392.0,1.1,0.04
2024-11-11,6.536,6.536,6.398,6.503,4536,3465120.0,2.14,0.28
2024-11-12,6.514,6.585,6.463,6.576,3117,2403154.0,1.88,0.19
2024-11-13,6.603,6.603,6.556,6.575,2609,2022387.0,0.71,0.16
2024-11-14,6.556,6.73,6.535,6.551,2199,1702376.0,2.97,0.14
2024-11-15,6.597,6.597,6.525,6.559,6691,5169405.0,1.1,0.42
2024-11-18,6.641,6.641,6.535,6.552,2076,1603884.0,1.62,0.13
2024-11-19,6.555,6.555,6.415,6.503,3490,2677290.0,2.14,0.22
2024-11-20,6.6,6.6,6.408,6.418,12668,9651234.0,2.95,0.79
2024-11-21,6.421,6.513,6.343,6.439,5075,3857871.0,2.65,0.32
2024-11-22,6.575,6.575,6.445,6.518,2213,1699002.0,2.02,0.14
2024-11-25,6.478,6.512,6.375,6.467,3627,2766108.0,2.1,0.23
2024-11-26,6.463,6.605,6.427,6.515,2958,2268854.0,2.75,0.18
2024-11-27,6.475,6.575,6.399,6.53,1408,1082291.0,2.7,0.09
2024-11-28,6.554,6.555,6.49,6.545,1166,897357.0,1.0,0.07
2024-11-29,6.545,6.77,6.545,6.58,4447,3456196.0,3.44,0.28
2024-12-02,6.603,6.603,6.547,6.595,1633,1268074.0,0.85,0.1
2024-12-03,6.601,6.605,6.566,6.597,2857,2215612.0,0.59,0.18
2024-12-04,6.585,6.694,6.487,6.687,7888,6156176.0,3.14,0.49
2024-12-05,6.688,6.789,6.684,6.789,3719,2940648.0,1.57,0.23
2024-12-06,6.749,7.005,6.749,6.805,1293,1033089.0,3.77,0.08
2024-12-09,6.79,6.935,6.765,6.81,6846,5483541.0,2.5,0.43
2024-12-10,6.77,6.867,6.77,6.823,875,699819.0,1.42,0.05
2024-12-11,6.814,6.919,6.752,6.87,6636,5327161.0,2.45,0.41
2024-12-12,6.83,7.286,6.83,7.064,9752,7979029.0,6.64,0.61
2024-12-13,7.064,7.225,6.936,7.096,17810,14689064.0,4.09,1.11
2024-12-16,7.095,7.395,7.095,7.268,13859,11663866.0,4.23,0.87
2024-12-17,7.258,7.271,7.175,7.199,5025,4216701.0,1.32,0.31
2024-12-18,7.188,7.199,6.826,6.984,13357,10925109.0,5.18,0.83
2024-12-19,6.998,6.998,6.73,6.87,5901,4533759.0,3.84,0.37
2024-12-20,6.85,6.984,6.83,6.89,3445,2651810.0,2.24,0.22
2024-12-23,6.975,6.977,6.865,6.92,3640,2811467.0,1.63,0.23
2024-12-24,6.915,6.984,6.91,6.97,2759,2136352.0,1.07,0.17
2024-12-25,7.043,7.043,6.931,7.009,1396,1084434.0,1.61,0.09
2024-12-26,7.011,7.013,6.934,6.98,1455,1129670.0,1.13,0.09
2024-12-27,6.979,7.036,6.97,7.024,3941,3078540.0,0.95,0.25
2024-12-30,6.99,7.1,6.977,7.014,1438,1121937.0,1.75,0.09
2024-12-31,7.085,7.085,6.959,7.04,1005,786829.0,1.8,0.06
2025-01-02,7.117,7.117,7.04,7.115,1763,1389782.0,1.09,0.11
2025-01-03,7.075,7.194,6.942,7.153,19131,15159827.0,3.54,1.2
2025-01-06,7.185,7.185,7.1,7.162,8075,6405778.0,1.19,0.5
2025-01-07,7.17,7.17,7.122,7.138,2778,2207995.0,0.67,0.17
2025-01-08,7.1,7.37,7.1,7.353,2061,1648303.0,3.78,0.13
2025-01-09,7.35,7.35,7.289,7.34,1635,1330113.0,0.83,0.1
2025-01-10,7.32,7.32,7.211,7.27,3006,2422849.0,1.49,0.19
2025-01-13,7.26,7.333,7.102,7.211,2099,1685086.0,3.18,0.13
2025-01-14,7.213,7.249,7.185,7.19,2908,2326137.0,0.89,0.18
2025-01-15,7.181,7.221,7.051,7.196,1667,1325741.0,2.36,0.1
2025-01-16,7.199,7.259,7.101,7.134,4442,3534184.0,2.2,0.28
2025-01-17,7.101,7.161,7.086,7.099,3290,2605036.0,1.05,0.21
2025-01-20,7.187,7.187,7.01,7.185,2124,1676431.0,2.49,0.13
2025-01-21,7.2,7.222,7.159,7.171,1006,803221.0,0.88,0.06
2025-01-22,7.173,7.2,7.16,7.173,627,500466.0,0.56,0.04
2025-01-23,7.2,7.2,7.063,7.19,1297,1028980.0,1.91,0.08
2025-01-24,7.15,7.199,7.114,7.191,1210,964670.0,1.18,0.08
2025-01-27,7.225,7.225,7.082,7.2,3771,3013646.0,1.99,0.24
2025-02-05,7.2,7.2,7.1,7.11,2695,2138725.0,1.39,0.17
2025-02-06,7.102,7.179,7.076,7.08,2116,1674476.0,1.45,0.13
2025-02-07,7.045,7.1,6.957,7.077,2128,1662799.0,2.02,0.13
2025-02-10,7.074,7.179,7.001,7.076,2060,1618159.0,2.52,0.13
2025-02-11,7.077,7.143,7.046,7.133,5955,4704657.0,1.37,0.37
2025-02-12,7.168,7.211,7.094,7.127,1515,1203211.0,1.64,0.09
2025-02-13,7.099,7.168,7.099,7.138,2310,1831376.0,0.97,0.14
2025-02-14,7.11,7.171,7.012,7.09,5651,4456423.0,2.23,0.35
2025-02-17,7.089,7.18,7.06,7.153,2751,2172183.0,1.69,0.17
2025-02-18,7.118,7.182,7.118,7.14,2249,1787467.0,0.89,0.14
2025-02-19,7.153,7.164,7.058,7.13,2421,1917466.0,1.48,0.15
2025-02-20,7.129,7.16,7.059,7.11,2537,2006414.0,1.42,0.16
2025-02-21,7.129,7.13,7.062,7.13,1638,1293938.0,0.96,0.1
2025-02-24,7.15,7.15,7.035,7.08,3057,2410262.0,1.61,0.19
2025-02-25,7.077,7.085,6.938,7.081,3151,2478082.0,2.08,0.2
2025-02-26,7.082,7.17,7.045,7.161,2192,1733025.0,1.77,0.14
2025-02-27,7.176,7.186,7.045,7.052,4616,3656596.0,1.97,0.29
2025-02-28,7.087,7.119,6.923,6.952,3959,3086374.0,2.78,0.25
2025-03-03,6.959,7.041,6.857,6.961,3384,2615409.0,2.65,0.21
2025-03-04,6.921,7.036,6.921,6.997,1246,971409.0,1.65,0.08
2025-03-05,7.004,7.077,6.957,7.061,3331,2607399.0,1.72,0.21
2025-03-06,7.063,7.133,7.063,7.113,6010,4738916.0,0.99,0.38
2025-03-07,7.131,7.198,7.074,7.075,8256,6521249.0,1.74,0.52
2025-03-10,7.099,7.1,7.022,7.052,5842,4589819.0,1.1,0.37
2025-03-11,7.053,7.145,7.053,7.138,5366,4241755.0,1.3,0.34
2025-03-12,7.145,7.23,7.103,7.19,8118,6488400.0,1.78,0.51
2025-03-13,7.2,7.307,7.151,7.197,7594,6094586.0,2.17,0.47
2025-03-14,7.204,7.337,7.19,7.202,5929,4745599.0,2.04,0.37
2025-03-17,7.24,7.255,7.197,7.221,866,694642.0,0.81,0.05
2025-03-18,7.2,7.351,7.169,7.35,2946,2375492.0,2.52,0.18
2025-03-19,7.313,7.375,7.269,7.374,3935,3186466.0,1.44,0.25
2025-03-20,7.337,7.471,7.337,7.383,3245,2657599.0,1.82,0.2
2025-03-21,7.375,7.577,7.375,7.577,4842,3973816.0,2.74,0.3
2025-03-24,7.577,8.08,7.577,7.614,981,826993.0,6.64,0.06
2025-03-25,7.613,7.659,7.534,7.626,2709,2277378.0,1.64,0.17
2025-03-26,7.616,7.754,7.616,7.754,6046,5136341.0,1.81,0.38
2025-03-27,7.714,7.895,7.683,7.883,4942,4257653.0,2.73,0.31
2025-03-28,7.88,8.055,7.88,8.038,3235,2851314.0,2.22,0.2
2025-03-31,8.215,8.698,8.087,8.088,15550,13997148.0,7.6,0.97
2025-04-01,8.09,8.268,7.96,7.99,7878,6994551.0,3.81,0.49
2025-04-02,7.993,8.202,7.993,8.169,9911,8813765.0,2.62,0.62
2025-04-03,8.307,8.307,7.993,8.149,3956,3296152.0,3.84,0.25
2025-04-07,8.109,8.16,7.813,7.946,3359,2761952.0,4.26,0.21
2025-04-08,7.941,8.042,7.844,7.853,5019,4081781.0,2.49,0.31
2025-04-09,7.838,8.213,7.807,7.813,2389,1920642.0,5.17,0.15
2025-04-10,7.863,8.013,7.792,7.851,1363,1094115.0,2.83,0.09
2025-04-11,7.891,7.955,7.716,7.851,3289,2647656.0,3.04,0.21
2025-04-14,7.814,7.889,7.811,7.848,935,751833.0,0.99,0.06
2025-04-15,7.853,7.868,7.75,7.868,2271,1820009.0,1.5,0.14
2025-04-16,7.853,7.91,7.843,7.888,1551,1249306.0,0.85,0.1
2025-04-17,7.889,7.938,7.859,7.93,2488,2013588.0,1.0,0.16
2025-04-18,7.93,8.027,7.93,8.014,2911,2378483.0,1.22,0.18
2025-04-21,8.027,8.027,7.895,8.003,4041,3282477.0,1.65,0.25
2025-04-22,7.957,8.019,7.933,7.952,1826,1488686.0,1.07,0.11
2025-04-23,7.952,7.991,7.855,7.95,2775,2246432.0,1.71,0.17
2025-04-24,7.917,8.012,7.894,7.946,2945,2392591.0,1.48,0.18
2025-04-25,7.963,8.002,7.892,7.923,1826,1484020.0,1.38,0.11
2025-04-28,7.955,7.993,7.841,7.913,1814,1467218.0,1.92,0.11
2025-04-29,7.912,7.912,7.802,7.862,3570,2868681.0,1.39,0.22
2025-04-30,7.862,7.976,7.854,7.868,1599,1294643.0,1.55,0.1
2025-05-06,7.9,7.932,7.783,7.871,1427,1144771.0,1.89,0.09
2025-05-07,7.87,7.93,7.832,7.894,966,780334.0,1.25,0.06
2025-05-08,7.896,7.937,7.856,7.93,792,642319.0,1.03,0.05
2025-05-09,7.962,7.962,7.864,7.953,849,687811.0,1.24,0.05
2025-05-12,7.953,8.025,7.933,8.015,2490,2038096.0,1.16,0.16
2025-05-13,8.015,8.021,7.934,8.003,1035,844981.0,1.09,0.06
2025-05-14,7.97,8.035,7.963,7.991,1471,1205468.0,0.9,0.09
2025-05-15,7.992,8.012,7.893,7.981,868,706872.0,1.49,0.05
2025-05-16,7.98,7.98,7.894,7.935,917,743808.0,1.08,0.06
2025-05-19,7.934,7.999,7.913,7.992,1292,1052816.0,1.08,0.08
2025-05-20,8.003,8.013,7.959,8.003,1884,1540043.0,0.68,0.12
2025-05-21,8.004,8.231,8.004,8.146,2409,1990573.0,2.84,0.15
2025-05-22,8.145,8.227,8.047,8.205,2085,1739464.0,2.21,0.13
2025-05-23,8.206,8.306,8.131,8.292,2808,2371034.0,2.13,0.18
2025-05-26,8.292,8.413,8.25,8.411,4199,3590512.0,1.97,0.26
2025-05-27,8.433,8.583,8.336,8.515,4629,4010936.0,2.94,0.29
2025-05-28,8.514,8.571,8.266,8.308,3405,2931457.0,3.58,0.21
2025-05-29,8.268,8.311,7.459,8.122,3358,2800887.0,10.26,0.21
2025-05-30,8.089,8.155,8.046,8.094,3008,2488059.0,1.34,0.19
2025-06-03,8.127,8.249,8.062,8.248,2735,2285182.0,2.31,0.17
2025-06-04,8.248,8.413,8.214,8.413,2746,2315407.0,2.41,0.17
2025-06-05,8.413,8.562,8.311,8.557,4569,3955140.0,2.98,0.29
2025-06-06,8.591,8.636,8.42,8.545,2981,2596816.0,2.52,0.19
2025-06-09,8.578,8.578,8.461,8.543,2773,2416201.0,1.37,0.17
2025-06-10,8.508,8.561,8.394,8.526,2522,2189645.0,1.95,0.16
2025-06-11,8.553,8.7,8.49,8.692,6727,5928890.0,2.46,0.42
2025-06-12,8.703,8.792,8.599,8.701,2731,2427513.0,2.22,0.17
2025-06-13,8.7,8.843,8.638,8.843,3383,3019227.0,2.36,0.21
2025-06-16,8.879,8.883,8.721,8.88,3014,2715665.0,1.83,0.19
2025-06-17,8.88,9.067,8.805,8.849,6720,6107838.0,2.95,0.42
2025-06-18,8.84,9.003,8.823,8.871,4546,4119309.0,2.03,0.28
2025-06-19,8.836,8.882,8.819,8.865,3904,3532392.0,0.71,0.24
2025-06-20,8.865,8.943,8.794,8.872,3112,2814388.0,1.68,0.19
2025-06-23,8.874,8.973,8.729,8.875,2795,2528341.0,2.75,0.17
2025-06-24,8.875,8.875,8.59,8.796,4834,4319591.0,3.21,0.3
2025-06-25,8.76,8.845,8.632,8.785,3170,2828181.0,2.42,0.2
2025-06-26,8.792,8.856,8.733,8.756,3477,3112338.0,1.4,0.22
2025-06-27,8.749,8.863,8.742,8.771,4836,4327323.0,1.38,0.3
2025-06-30,8.805,8.843,8.68,8.768,3630,3254068.0,1.86,0.23
2025-07-01,8.729,8.843,8.595,8.784,4158,3696444.0,2.83,0.26
2025-07-02,8.748,8.961,8.748,8.913,5268,4764772.0,2.42,0.33
2025-07-03,8.948,9.819,8.83,9.078,5481,5002746.0,11.1,0.34
2025-07-04,9.119,9.333,9.042,9.062,3977,3690561.0,3.21,0.25
2025-07-07,9.2,9.282,8.956,9.236,6467,6004311.0,3.6,0.4
2025-07-08,9.277,9.277,9.066,9.115,6020,5625085.0,2.28,0.38
2025-07-09,9.143,9.4,9.029,9.069,3235,3012290.0,4.07,0.2
2025-07-10,9.069,9.069,8.913,8.965,5946,5444776.0,1.72,0.37
2025-07-11,8.953,9.02,8.928,8.971,3357,3066374.0,1.03,0.21
2025-07-14,8.869,8.973,8.833,8.906,6845,6223471.0,1.56,0.43
2025-07-15,8.867,8.933,8.725,8.845,4012,3629919.0,2.34,0.25
2025-07-16,8.806,8.983,8.803,8.87,3572,3227716.0,2.04,0.22
2025-07-17,8.831,9.011,8.794,8.831,5736,5181614.0,2.45,0.36
2025-07-18,8.831,8.903,8.765,8.774,3429,3085771.0,1.56,0.21
2025-07-21,8.813,8.95,8.666,8.72,6209,5559832.0,3.24,0.39
2025-07-22,8.733,8.763,8.593,8.623,3531,3116498.0,1.95,0.22
2025-07-23,8.623,8.623,8.238,8.353,12305,10463091.0,4.46,0.77
2025-07-24,8.314,8.41,8.174,8.221,8230,6934042.0,2.83,0.51
2025-07-25,8.25,8.25,7.983,8.013,14226,11699446.0,3.25,0.89
2025-07-28,8.011,8.011,7.933,7.987,12318,10061516.0,0.97,0.77
2025-07-29,7.963,8.01,7.897,7.943,9393,7639765.0,1.41,0.59
2025-07-30,7.971,7.971,7.911,7.922,14766,11982546.0,0.76,0.92
2025-07-31,7.916,8.02,7.916,7.979,15683,12817438.0,1.31,0.98
2025-08-01,8.011,8.012,7.943,7.959,10891,8895562.0,0.86,0.68
2025-08-04,7.985,7.993,7.935,7.952,7988,6514326.0,0.73,0.5
2025-08-05,7.98,7.98,7.914,7.942,5963,4843350.0,0.83,0.37
