日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-03-12,2.475,2.493,2.375,2.489,87569,23317309.0,4.77,5.91
2024-03-13,2.477,2.492,2.434,2.49,17234,4605943.0,2.33,1.16
2024-03-14,2.478,2.491,2.478,2.489,14338,3842730.0,0.52,0.97
2024-03-15,2.476,2.489,2.474,2.487,27501,7354678.0,0.6,1.86
2024-03-18,2.477,2.484,2.473,2.477,29538,7892107.0,0.44,1.99
2024-03-19,2.474,2.479,2.433,2.45,6764,1788740.0,1.86,0.46
2024-03-20,2.414,2.454,2.414,2.433,10337,2712775.0,1.63,0.7
2024-03-21,2.433,2.433,2.352,2.354,12766,3283251.0,3.33,0.86
2024-03-22,2.352,2.352,2.279,2.294,9969,2488945.0,3.1,0.67
2024-03-25,2.282,2.294,2.222,2.239,12163,2981358.0,3.14,0.82
2024-03-26,2.234,2.289,2.205,2.215,17185,4165878.0,3.75,1.16
2024-03-27,2.223,2.262,2.202,2.257,16969,4139978.0,2.71,1.15
2024-03-28,2.257,2.306,2.251,2.278,5137,1267184.0,2.44,0.35
2024-03-29,2.278,2.278,2.254,2.255,5458,1340310.0,1.05,0.37
2024-04-01,2.258,2.261,2.249,2.254,1635,400250.0,0.53,0.11
2024-04-02,2.254,2.26,2.244,2.26,4731,1157995.0,0.71,0.32
2024-04-03,2.255,2.264,2.249,2.258,8880,2176009.0,0.66,0.6
2024-04-08,2.25,2.264,2.244,2.253,9178,2250050.0,0.89,0.62
2024-04-09,2.253,2.268,2.248,2.261,19259,4721773.0,0.89,1.3
2024-04-10,2.255,2.32,2.255,2.319,16264,4009718.0,2.87,1.1
2024-04-11,2.316,2.37,2.316,2.354,14831,3758510.0,2.33,1.0
2024-04-12,2.358,2.36,2.325,2.355,10555,2687245.0,1.49,0.71
2024-04-15,2.354,2.354,2.341,2.341,4644,1179545.0,0.55,0.31
2024-04-16,2.343,2.347,2.3,2.329,3234,814263.0,2.01,0.22
2024-04-17,2.324,2.345,2.323,2.336,3424,866206.0,0.94,0.23
2024-04-18,2.333,2.341,2.333,2.337,4207,1065521.0,0.34,0.28
2024-04-19,2.334,2.335,2.324,2.333,1261,318413.0,0.47,0.09
2024-04-22,2.325,2.336,2.317,2.324,1166,294177.0,0.81,0.08
2024-04-23,2.324,2.333,2.31,2.331,3561,897102.0,0.99,0.24
2024-04-24,2.323,2.337,2.323,2.325,389,98339.0,0.6,0.03
2024-04-25,2.334,2.351,2.32,2.343,9720,2465293.0,1.33,0.66
2024-04-26,2.343,2.448,2.343,2.444,49245,12906349.0,4.48,3.33
2024-04-29,2.446,2.499,2.446,2.492,23149,6201074.0,2.17,1.56
2024-04-30,2.494,2.494,2.454,2.484,3833,1026253.0,1.61,0.26
2024-05-06,2.465,2.5,2.452,2.496,7736,2073148.0,1.93,0.52
2024-05-07,2.496,2.584,2.471,2.564,16234,4437453.0,4.53,1.1
2024-05-08,2.564,2.588,2.54,2.566,3821,1054445.0,1.87,0.26
2024-05-09,2.527,2.573,2.527,2.552,13404,3695753.0,1.79,0.91
2024-05-10,2.552,2.564,2.515,2.55,6560,1803466.0,1.92,0.44
2024-05-13,2.544,2.594,2.543,2.569,12214,3381014.0,2.0,0.82
2024-05-14,2.569,2.584,2.558,2.583,8183,2262675.0,1.01,0.55
2024-05-15,2.568,2.58,2.563,2.573,2996,829617.0,0.66,0.2
2024-05-16,2.551,2.579,2.535,2.57,2035,562974.0,1.71,0.14
2024-05-17,2.57,2.573,2.533,2.568,1705,471223.0,1.56,0.12
2024-05-20,2.559,2.583,2.533,2.573,10307,2850266.0,1.95,0.7
2024-05-21,2.572,2.58,2.538,2.572,3500,969266.0,1.63,0.24
2024-05-22,2.572,2.572,2.554,2.56,8266,2278281.0,0.7,0.56
2024-05-23,2.535,2.558,2.488,2.498,17244,4677831.0,2.73,1.16
2024-05-24,2.484,2.514,2.481,2.499,6455,1741195.0,1.32,0.44
2024-05-27,2.504,2.513,2.5,2.501,8093,2187593.0,0.52,0.55
2024-05-28,2.5,2.601,2.494,2.522,16228,4394307.0,4.28,1.1
2024-05-29,2.482,2.558,2.476,2.515,15175,4107168.0,3.25,1.02
2024-05-30,2.489,2.515,2.489,2.501,14037,3796965.0,1.03,0.95
2024-05-31,2.506,2.537,2.501,2.52,5716,1533292.0,1.44,0.39
2024-06-03,2.482,2.535,2.482,2.534,10182,2755788.0,2.1,0.69
2024-06-04,2.495,2.562,2.495,2.561,13969,3781301.0,2.64,0.94
2024-06-05,2.56,2.56,2.534,2.547,8573,2330312.0,1.02,0.58
2024-06-06,2.529,2.557,2.527,2.541,13806,3753242.0,1.18,0.93
2024-06-07,2.506,2.538,2.506,2.517,2289,615845.0,1.26,0.15
2024-06-11,2.514,2.519,2.501,2.501,1322,353972.0,0.72,0.09
2024-06-12,2.491,2.507,2.459,2.506,4868,1290492.0,1.92,0.33
2024-06-13,2.494,2.545,2.494,2.516,6722,1809415.0,2.04,0.45
2024-06-14,2.504,2.556,2.478,2.556,20432,5523301.0,3.1,1.38
2024-06-17,2.557,2.557,2.517,2.55,12907,3501182.0,1.56,0.87
2024-06-18,2.526,2.599,2.526,2.555,16032,4371125.0,2.86,1.08
2024-06-19,2.529,2.543,2.526,2.531,3173,858816.0,0.67,0.21
2024-06-20,2.519,2.539,2.509,2.53,10276,2777629.0,1.19,0.69
2024-06-21,2.523,2.536,2.516,2.531,5829,1571617.0,0.79,0.39
2024-06-24,2.516,2.535,2.516,2.52,9134,2463463.0,0.75,0.62
2024-06-25,2.518,2.528,2.504,2.515,11299,3037562.0,0.95,0.76
2024-06-26,2.506,2.507,2.481,2.487,55396,14760331.0,1.03,3.74
2024-06-27,2.487,2.525,2.477,2.515,14062,3754722.0,1.93,0.95
2024-06-28,2.502,2.517,2.502,2.507,4386,1177569.0,0.6,0.3
2024-07-01,2.506,2.508,2.487,2.5,1357,362603.0,0.84,0.09
2024-07-02,2.509,2.511,2.487,2.511,6197,1659711.0,0.96,0.42
2024-07-03,2.505,2.531,2.505,2.524,11647,3137126.0,1.04,0.79
2024-07-04,2.522,2.523,2.496,2.513,6999,1880873.0,1.07,0.47
2024-07-05,2.52,2.521,2.496,2.508,1374,368497.0,0.99,0.09
2024-07-08,2.507,2.508,2.496,2.508,415,110990.0,0.48,0.03
2024-07-09,2.511,2.544,2.496,2.497,12286,3305226.0,1.91,0.83
2024-07-10,2.483,2.511,2.483,2.51,479,128398.0,1.12,0.03
2024-07-11,2.509,2.509,2.492,2.507,2821,755428.0,0.68,0.19
2024-07-12,2.476,2.506,2.476,2.505,4240,1134329.0,1.2,0.29
2024-07-15,2.505,2.507,2.496,2.504,10047,2687645.0,0.44,0.68
2024-07-16,2.498,2.508,2.496,2.5,5822,1558390.0,0.48,0.39
2024-07-17,2.52,2.52,2.497,2.499,6971,1866108.0,0.92,0.47
2024-07-18,2.5,2.508,2.5,2.507,11622,3113450.0,0.32,0.78
2024-07-19,2.49,2.506,2.49,2.504,1999,535039.0,0.64,0.13
2024-07-22,2.498,2.505,2.495,2.503,4367,1168479.0,0.4,0.29
2024-07-23,2.493,2.504,2.493,2.501,2272,607650.0,0.44,0.15
2024-07-24,2.498,2.506,2.487,2.49,9106,2427743.0,0.76,0.61
