日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-04-28,8.93,9.153,8.431,8.638,721122,698756864.0,8.56,9.16
2022-04-29,8.632,8.91,8.447,8.822,265868,256008602.0,5.36,3.38
2022-05-05,8.826,8.826,8.633,8.731,104179,100755420.0,2.19,1.32
2022-05-06,8.66,8.68,8.562,8.628,63152,60577440.0,1.35,0.8
2022-05-09,8.628,8.628,8.58,8.584,47965,45850519.0,0.56,0.61
2022-05-10,8.574,8.629,8.537,8.598,55729,53249462.0,1.07,0.71
2022-05-11,8.598,8.627,8.584,8.595,67981,65052914.0,0.5,0.86
2022-05-12,8.595,8.598,8.582,8.593,27785,26564880.0,0.19,0.35
2022-05-13,8.593,8.6,8.593,8.593,41420,39615979.0,0.08,0.53
2022-05-16,8.596,8.61,8.591,8.609,34777,33261517.0,0.22,0.44
2022-05-17,8.61,8.614,8.588,8.596,50503,48322325.0,0.3,0.64
2022-05-18,8.593,8.602,8.583,8.593,30958,29586991.0,0.22,0.39
2022-05-19,8.589,8.589,8.572,8.576,25156,24007587.0,0.2,0.32
2022-05-20,8.575,8.595,8.571,8.594,30389,29018545.0,0.28,0.39
2022-05-23,8.593,8.593,8.57,8.571,41375,39483927.0,0.27,0.53
2022-05-24,8.571,8.571,8.537,8.538,32321,30768134.0,0.4,0.41
2022-05-25,8.534,8.536,8.502,8.511,42066,39889501.0,0.4,0.53
2022-05-26,8.511,8.519,8.508,8.514,33680,31930570.0,0.13,0.43
2022-05-27,8.512,8.518,8.511,8.513,29293,27778219.0,0.08,0.37
2022-05-30,8.513,8.52,8.513,8.514,23594,22374209.0,0.08,0.3
2022-05-31,8.514,8.517,8.485,8.489,45426,42965368.0,0.38,0.58
2022-06-01,8.489,8.489,8.46,8.461,53230,50219014.0,0.34,0.68
2022-06-02,8.461,8.479,8.458,8.459,41453,39091920.0,0.25,0.53
2022-06-06,8.459,8.54,8.457,8.536,44348,41902331.0,0.98,0.56
2022-06-07,8.531,8.662,8.51,8.642,60264,57641379.0,1.78,0.77
2022-06-08,8.641,8.641,8.553,8.58,36990,35314716.0,1.02,0.47
2022-06-09,8.575,8.592,8.542,8.581,31218,29739849.0,0.58,0.4
2022-06-10,8.577,8.579,8.542,8.567,31115,29665567.0,0.43,0.4
2022-06-13,8.55,8.554,8.534,8.554,28229,26854779.0,0.23,0.36
2022-06-14,8.552,8.567,8.526,8.547,32171,30617853.0,0.48,0.41
2022-06-15,8.545,8.553,8.539,8.544,38178,36334462.0,0.16,0.49
