日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-10-13,4.925,4.925,4.925,4.925,177205,94910912.0,0.0,11.1
2022-10-14,4.658,4.937,4.389,4.919,147732,78915618.0,11.13,9.26
2022-10-17,4.916,5.013,4.799,4.998,45243,24254705.0,4.35,2.83
2022-10-18,4.994,5.219,4.994,5.194,41276,23050635.0,4.5,2.59
2022-10-19,5.199,5.266,5.154,5.179,19232,10833885.0,2.16,1.2
2022-10-20,5.18,5.244,5.179,5.219,21385,12051012.0,1.26,1.34
2022-10-21,5.219,5.282,5.219,5.279,34101,19405887.0,1.21,2.14
2022-10-24,5.279,5.282,5.149,5.152,36128,20444515.0,2.52,2.26
2022-10-25,5.151,5.151,5.039,5.085,53553,29559313.0,2.17,3.36
2022-10-26,5.069,5.204,5.062,5.115,41275,22901527.0,2.79,2.59
2022-10-27,5.096,5.155,5.096,5.104,18655,10363955.0,1.15,1.17
2022-10-28,5.104,5.156,5.019,5.156,47044,25796701.0,2.68,2.95
2022-10-31,5.153,5.21,5.058,5.138,50366,27952818.0,2.95,3.16
2022-11-01,5.133,5.225,5.09,5.218,49089,27598641.0,2.63,3.08
2022-11-02,5.218,5.239,5.188,5.209,41150,23197127.0,0.98,2.58
2022-11-03,5.209,5.249,5.151,5.191,36935,20728368.0,1.88,2.31
2022-11-04,5.186,5.237,5.177,5.209,50358,28434513.0,1.16,3.16
2022-11-07,5.209,5.212,5.069,5.173,42200,23631013.0,2.75,2.64
2022-11-08,5.16,5.172,5.121,5.146,50656,28232085.0,0.99,3.17
2022-11-09,5.149,5.185,5.079,5.159,36183,20215579.0,2.06,2.27
2022-11-10,5.154,5.161,5.121,5.153,32360,18045924.0,0.78,2.03
2022-11-11,5.153,5.251,5.075,5.112,64694,36064464.0,3.42,4.05
2022-11-14,5.102,5.139,5.082,5.09,41670,23038239.0,1.12,2.61
2022-11-15,5.098,5.119,5.077,5.085,22010,12149591.0,0.83,1.38
2022-11-16,5.089,5.134,5.051,5.062,32603,17931927.0,1.63,2.04
2022-11-17,5.054,5.068,4.961,5.051,46829,25480760.0,2.11,2.93
2022-11-18,5.043,5.129,4.984,5.031,32377,17633628.0,2.87,2.03
2022-11-21,5.023,5.113,4.987,5.077,26889,14795532.0,2.5,1.68
2022-11-22,5.039,5.102,5.039,5.092,22813,12596525.0,1.24,1.43
2022-11-23,5.071,5.141,5.071,5.128,34059,18924704.0,1.37,2.13
2022-11-24,5.127,5.14,5.089,5.114,42630,23654678.0,0.99,2.67
2022-11-25,5.105,5.141,5.074,5.12,24422,13555638.0,1.31,1.53
2022-11-28,5.114,5.159,5.069,5.089,49520,27320873.0,1.76,3.1
2022-11-29,5.082,5.116,5.069,5.094,47569,26231116.0,0.92,2.98
2022-11-30,5.088,5.136,5.07,5.099,26603,14703010.0,1.3,1.67
2022-12-01,5.097,5.128,5.094,5.113,29691,16452525.0,0.67,1.86
2022-12-02,5.118,5.135,5.088,5.123,32293,17925514.0,0.92,2.02
2022-12-05,5.123,5.149,5.094,5.136,40686,22650719.0,1.07,2.55
2022-12-06,5.142,5.17,5.103,5.12,32574,18097952.0,1.3,2.04
2022-12-07,5.112,5.158,5.082,5.099,39628,21915013.0,1.48,2.48
2022-12-08,5.103,5.117,5.075,5.107,35388,19581959.0,0.82,2.22
2022-12-09,5.107,5.165,5.078,5.093,16900,9353355.0,1.7,1.06
2022-12-12,5.089,5.098,5.067,5.068,18244,10050776.0,0.61,1.14
2022-12-13,5.069,5.073,5.035,5.047,35576,19499594.0,0.75,2.23
2022-12-14,5.047,5.068,5.02,5.051,46532,25497659.0,0.95,2.92
2022-12-15,5.052,5.112,5.021,5.048,40850,22403107.0,1.8,2.56
2022-12-16,5.048,5.104,5.022,5.044,44833,24543813.0,1.62,2.81
2022-12-19,5.042,5.068,5.016,5.034,35335,19323918.0,1.03,2.21
2022-12-20,5.025,5.041,4.91,4.949,49641,26780164.0,2.6,3.11
2022-12-21,4.956,4.971,4.91,4.923,21808,11696246.0,1.23,1.37
2022-12-22,4.93,4.942,4.898,4.918,44446,23756901.0,0.89,2.78
2022-12-23,4.92,4.994,4.903,4.994,51088,27422046.0,1.85,3.2
2022-12-26,4.994,4.994,4.94,4.956,43991,23754409.0,1.08,2.76
2022-12-27,4.95,4.987,4.792,4.913,34274,18434410.0,3.93,2.15
2022-12-28,4.907,4.907,4.829,4.829,21333,11319218.0,1.59,1.34
2022-12-29,4.863,4.863,4.745,4.75,29374,15397846.0,2.44,1.84
2022-12-30,4.756,4.912,4.659,4.759,51046,26327586.0,5.33,3.2
2023-01-03,4.754,4.909,4.624,4.656,29886,15278994.0,5.99,1.87
2023-01-04,4.744,4.744,4.459,4.591,49291,24712622.0,6.12,3.09
2023-01-05,4.569,4.569,4.399,4.432,80650,39559122.0,3.7,5.05
2023-01-06,4.469,4.639,4.369,4.637,51117,24949081.0,6.09,3.2
